phase,instance,arm,seed,runtime_budget_seconds,objective,bks,gap_percent,iterations,algorithm_runtime_seconds,end_to_end_seconds,complete,feasible,independent_valid,phase_count,mechanism_query_count,mechanism_action_count,mechanism_ledger_valid,within_runtime_tolerance
development,PR11A,wide,7,60.0,6760252,6655548,1.5731837558680366,40324,60.00570737500675,60.1727662080084,True,True,True,1,5,0,True,True
development,PR11A,wide70_fast30,7,60.0,6769564,6655548,1.7130971033489655,45805,60.00422666600207,60.18114279099973,True,True,True,2,10,0,True,True
development,PR11A,foundation,7,60.0,6730727,6655548,1.1295688950030862,56938,60.00573070801329,60.19113287504297,True,True,True,1,5,0,True,True
development,PR17A,wide,7,60.0,6354611,6292594,0.9855554005232182,39798,60.00422033399809,60.19137404096546,True,True,True,1,5,0,True,True
development,PR11A,fast20_wide60_fast20,7,60.0,6748749,6655548,1.4003505045715243,46530,60.00577137502842,60.19952129101148,True,True,True,3,15,0,True,True
development,PR17A,foundation,7,60.0,6324357,6292594,0.5047679859847942,60380,60.00685050000902,60.20193325000582,True,True,True,1,5,0,True,True
development,PR17A,fast20_wide60_fast20,7,60.0,6309522,6292594,0.2690146543698831,47880,60.00679462496191,60.298008500016294,True,True,True,3,15,0,True,True
development,PR21A,wide70_fast30,7,60.0,6307739,6230046,1.2470694437890186,47176,60.006210416031536,60.28069275000598,True,True,True,2,10,0,True,True
development,PR21A,wide,7,60.0,6307739,6230046,1.2470694437890186,41550,60.006300874985754,60.28289783297805,True,True,True,1,5,0,True,True
development,PR17A,wide70_fast30,7,60.0,6347821,6292594,0.8776507748632758,46038,60.00302824995015,60.30711233301554,True,True,True,2,10,0,True,True
development,PR21A,foundation,7,60.0,6271982,6230046,0.6731250459466912,61400,60.007294124981854,60.28999141702661,True,True,True,1,5,0,True,True
development,PR21A,fast20_wide60_fast20,7,60.0,6271727,6230046,0.6690319782550562,49562,60.00830379204126,60.2807977499906,True,True,True,3,15,0,True,True
