instance,seed,algorithm,time_limit_seconds,elapsed_seconds,route_count,distance_double,lexicographic_score,evaluations,feasible,independent_recompute_pass,violation_count,solution_sha256,status
C1_2_1,1,pyvrp_0_12_2_hgs,2.0,2.0377081250189804,20,2704.5677663304728,950264.5677663304,,True,True,0,51a18945dc1f8098bbf9c4a22610a5ca9cac8686a04f401212c6d717835dce23,OK
C1_2_1,1,project_alns,2.0,2.256949041970074,21,4254.77588313951,999192.7758831395,8,True,True,0,9f8d36af3c194845a76a14d37146b8188e052d73f37d462390a418350700aa68,OK
C1_2_1,1,hybrid_hgs_seed,1.0,1.0364821670227684,20,2704.5677663304728,950264.5677663304,,True,True,0,51a18945dc1f8098bbf9c4a22610a5ca9cac8686a04f401212c6d717835dce23,OK
C1_2_1,1,hgs_then_project_alns,2.0,2.2751181260100566,20,2704.5677663304728,950264.5677663304,4,True,True,0,51a18945dc1f8098bbf9c4a22610a5ca9cac8686a04f401212c6d717835dce23,OK
C1_2_1,1,pyvrp_0_13_4_ils,2.0,2.033224583021365,21,4254.77588313951,999192.7758831395,,True,True,0,9f8d36af3c194845a76a14d37146b8188e052d73f37d462390a418350700aa68,OK
C2_2_1,1,pyvrp_0_12_2_hgs,2.0,2.0394715419970453,6,1931.4425029392023,279107.4425029392,,True,True,0,f63376bd8ce94da935df3bfd7d82e82d351e741278bf16d640e77d84fcb46b86,OK
C2_2_1,1,project_alns,2.0,2.2827197500155307,7,2743.138323373105,326115.1383233731,4,True,True,0,a4a72ede295cc66929ecd795cf27577d4c704ba41182fd7ad5fc9e79c6aab725,OK
C2_2_1,1,hybrid_hgs_seed,1.0,1.0307204999844544,6,1931.4425029392023,279107.4425029392,,True,True,0,f63376bd8ce94da935df3bfd7d82e82d351e741278bf16d640e77d84fcb46b86,OK
C2_2_1,1,hgs_then_project_alns,2.0,2.106878124992363,6,1931.4425029392023,279107.4425029392,2,True,True,0,f63376bd8ce94da935df3bfd7d82e82d351e741278bf16d640e77d84fcb46b86,OK
C2_2_1,1,pyvrp_0_13_4_ils,2.0,2.062103083997499,6,1931.442502939202,279107.4425029392,,True,True,0,a2b71cfc6875f1226841850c1e0b2946e69c20373506e5ba992dd9dec19f8110,OK
