instance_id,seed,arm,n_clients,iterations_budget,iterations_run,final_cost,final_source,cpu_seconds
PR16A,1,hybrid,960,6200,6200,14427.883,hgs3,493.4
PR16B,1,hybrid,960,6200,6200,11587.368,hgs3,476.7
PR20A,1,hybrid,880,6200,6200,11910.286,hgs3,414.6
PR24A,1,hybrid,960,6200,6200,11949.072,hgs3,504.7
PR17B,1,hybrid,360,6200,6200,4806.936,hgs3,85.8
PR21B,1,hybrid,420,6200,6200,4886.968,sp2,112.5
PR16A,1,mother_equal,960,6200,6200,14386.987,mother,476.3
PR16B,1,mother_equal,960,6200,6200,11569.536,mother,469.4
PR20A,1,mother_equal,880,6200,6200,11991.31,mother,379.1
PR24A,1,mother_equal,960,6200,6200,11893.049,mother,394.0
PR17B,1,mother_equal,360,6200,6200,4811.135,mother,86.6
PR21B,1,mother_equal,420,6200,6200,4859.206,mother,108.3
PR16A,1,mother_short,960,3000,3000,14657.261,mother,232.5
PR16B,1,mother_short,960,3000,3000,11703.861,mother,217.6
PR20A,1,mother_short,880,3000,3000,12122.289,mother,192.9
PR24A,1,mother_short,960,3000,3000,12098.684,mother,222.0
PR17B,1,mother_short,360,3000,3000,4830.878,mother,36.9
PR21B,1,mother_short,420,3000,3000,4904.148,mother,39.3
