arm_id,budget_limit,complete_evaluations,budget_respected,candidate_count,moves,initial_total_cost,initial_total_deficit,best_total_cost,best_total_deficit,best_assignment,best_profit,best_deficit,proximity_operator_enabled,fairness_operator_enabled,first_candidate_differs_from_base,independent_recompute_match
BASE,0,0,True,0,[],7.0,21.0,7.0,21.0,"{""c1"": ""A"", ""c2"": ""A"", ""c3"": ""A"", ""c4"": ""C""}","{""A"": 30.0, ""B"": 0.0, ""C"": 11.0}","{""A"": 0.0, ""B"": 16.0, ""C"": 5.0}",False,False,False,True
BASE,1,1,True,1,"[""c1->C""]",7.0,21.0,11.0,16.0,"{""c1"": ""C"", ""c2"": ""A"", ""c3"": ""A"", ""c4"": ""C""}","{""A"": 19.0, ""B"": 0.0, ""C"": 18.0}","{""A"": 0.0, ""B"": 16.0, ""C"": 0.0}",False,False,False,True
BASE,2,2,True,2,"[""c1->C"", ""c1->B""]",7.0,21.0,11.0,16.0,"{""c1"": ""C"", ""c2"": ""A"", ""c3"": ""A"", ""c4"": ""C""}","{""A"": 19.0, ""B"": 0.0, ""C"": 18.0}","{""A"": 0.0, ""B"": 16.0, ""C"": 0.0}",False,False,False,True
BASE,5,5,True,5,"[""c1->C"", ""c1->B"", ""c2->C"", ""c2->B"", ""c3->B""]",7.0,21.0,8.0,13.0,"{""c1"": ""A"", ""c2"": ""A"", ""c3"": ""B"", ""c4"": ""C""}","{""A"": 21.0, ""B"": 8.0, ""C"": 11.0}","{""A"": 0.0, ""B"": 8.0, ""C"": 5.0}",False,False,False,True
PROX_ONLY,0,0,True,0,[],7.0,21.0,7.0,21.0,"{""c1"": ""A"", ""c2"": ""A"", ""c3"": ""A"", ""c4"": ""C""}","{""A"": 30.0, ""B"": 0.0, ""C"": 11.0}","{""A"": 0.0, ""B"": 16.0, ""C"": 5.0}",True,False,True,True
PROX_ONLY,1,1,True,1,"[""c3->B""]",7.0,21.0,8.0,13.0,"{""c1"": ""A"", ""c2"": ""A"", ""c3"": ""B"", ""c4"": ""C""}","{""A"": 21.0, ""B"": 8.0, ""C"": 11.0}","{""A"": 0.0, ""B"": 8.0, ""C"": 5.0}",True,False,True,True
PROX_ONLY,2,2,True,2,"[""c3->B"", ""c3->C""]",7.0,21.0,8.0,13.0,"{""c1"": ""A"", ""c2"": ""A"", ""c3"": ""B"", ""c4"": ""C""}","{""A"": 21.0, ""B"": 8.0, ""C"": 11.0}","{""A"": 0.0, ""B"": 8.0, ""C"": 5.0}",True,False,True,True
PROX_ONLY,5,5,True,5,"[""c3->B"", ""c3->C"", ""c2->C"", ""c2->B"", ""c1->C""]",7.0,21.0,8.0,13.0,"{""c1"": ""A"", ""c2"": ""A"", ""c3"": ""B"", ""c4"": ""C""}","{""A"": 21.0, ""B"": 8.0, ""C"": 11.0}","{""A"": 0.0, ""B"": 8.0, ""C"": 5.0}",True,False,True,True
FAIR_ONLY,0,0,True,0,[],7.0,21.0,7.0,21.0,"{""c1"": ""A"", ""c2"": ""A"", ""c3"": ""A"", ""c4"": ""C""}","{""A"": 30.0, ""B"": 0.0, ""C"": 11.0}","{""A"": 0.0, ""B"": 16.0, ""C"": 5.0}",False,True,True,True
FAIR_ONLY,1,1,True,1,"[""c1->B""]",7.0,21.0,13.0,16.0,"{""c1"": ""B"", ""c2"": ""A"", ""c3"": ""A"", ""c4"": ""C""}","{""A"": 19.0, ""B"": 5.0, ""C"": 11.0}","{""A"": 0.0, ""B"": 11.0, ""C"": 5.0}",False,True,True,True
FAIR_ONLY,2,2,True,2,"[""c1->B"", ""c1->C""]",7.0,21.0,11.0,16.0,"{""c1"": ""C"", ""c2"": ""A"", ""c3"": ""A"", ""c4"": ""C""}","{""A"": 19.0, ""B"": 0.0, ""C"": 18.0}","{""A"": 0.0, ""B"": 16.0, ""C"": 0.0}",False,True,True,True
FAIR_ONLY,5,5,True,5,"[""c1->B"", ""c1->C"", ""c2->B"", ""c2->C"", ""c3->B""]",7.0,21.0,8.0,13.0,"{""c1"": ""A"", ""c2"": ""A"", ""c3"": ""B"", ""c4"": ""C""}","{""A"": 21.0, ""B"": 8.0, ""C"": 11.0}","{""A"": 0.0, ""B"": 8.0, ""C"": 5.0}",False,True,True,True
PROX_FAIR,0,0,True,0,[],7.0,21.0,7.0,21.0,"{""c1"": ""A"", ""c2"": ""A"", ""c3"": ""A"", ""c4"": ""C""}","{""A"": 30.0, ""B"": 0.0, ""C"": 11.0}","{""A"": 0.0, ""B"": 16.0, ""C"": 5.0}",True,True,True,True
PROX_FAIR,1,1,True,1,"[""c3->B""]",7.0,21.0,8.0,13.0,"{""c1"": ""A"", ""c2"": ""A"", ""c3"": ""B"", ""c4"": ""C""}","{""A"": 21.0, ""B"": 8.0, ""C"": 11.0}","{""A"": 0.0, ""B"": 8.0, ""C"": 5.0}",True,True,True,True
PROX_FAIR,2,2,True,2,"[""c3->B"", ""c3->C""]",7.0,21.0,8.0,13.0,"{""c1"": ""A"", ""c2"": ""A"", ""c3"": ""B"", ""c4"": ""C""}","{""A"": 21.0, ""B"": 8.0, ""C"": 11.0}","{""A"": 0.0, ""B"": 8.0, ""C"": 5.0}",True,True,True,True
PROX_FAIR,5,5,True,5,"[""c3->B"", ""c3->C"", ""c2->B"", ""c2->C"", ""c1->B""]",7.0,21.0,8.0,13.0,"{""c1"": ""A"", ""c2"": ""A"", ""c3"": ""B"", ""c4"": ""C""}","{""A"": 21.0, ""B"": 8.0, ""C"": 11.0}","{""A"": 0.0, ""B"": 8.0, ""C"": 5.0}",True,True,True,True
