action_id,focus_customer_ids,focus_distance_advantage_km,status,evaluated,complete_model_feasible,violation_count,violations_json,cross_site_service_count,after_cost_cny,cost_change_cny,after_emissions_kg,minimum_participation_margin_cny,penalized_change_cny,improves_initial_penalized,maximum_charge_end_soc,charging_actions_entering_taper_region,wall_seconds,error_type,error
relocate:CV_D_guangzhou_3#T1:C089->CV_D_dongguan_1#T1@0,C089,C089:5.63622134772,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.002362750004976988,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_dongguan_1#T1 misses C005's time window
relocate:CV_D_guangzhou_3#T1:C089->CV_D_dongguan_1#T1@1,C089,C089:5.63622134772,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.001728417002595961,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_dongguan_1#T1 misses C006's time window
relocate:CV_D_guangzhou_3#T1:C089->CV_D_dongguan_1#T1@2,C089,C089:5.63622134772,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.00232883301214315,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_dongguan_1#T1 misses C010's time window
relocate:CV_D_guangzhou_3#T1:C089->CV_D_dongguan_1#T1@3,C089,C089:5.63622134772,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0017484579875599593,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_dongguan_1#T1 misses C003's time window
relocate:CV_D_guangzhou_3#T1:C089->CV_D_dongguan_1#T1@4,C089,C089:5.63622134772,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0016344580217264593,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_dongguan_1#T1 misses C004's time window
relocate:CV_D_guangzhou_3#T1:C089->CV_D_dongguan_1#T1@5,C089,C089:5.63622134772,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0016398339939769357,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_dongguan_1#T1 misses C002's time window
relocate:CV_D_guangzhou_3#T1:C089->CV_D_dongguan_1#T1@6,C089,C089:5.63622134772,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0016514589951839298,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_dongguan_1#T1 misses C011's time window
relocate:CV_D_guangzhou_3#T1:C089->CV_D_dongguan_1#T1@7,C089,C089:5.63622134772,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0015782919945195317,ValueError,E3_STRICT_MULTITRIP_V2: CV_D_dongguan_1 has overlap or incomplete recharge
relocate:CV_D_guangzhou_3#T1:C089->CV_D_dongguan_1#T2@0,C089,C089:5.63622134772,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0014819169882684946,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_dongguan_1#T2 misses C001's time window
relocate:CV_D_guangzhou_3#T1:C089->CV_D_dongguan_1#T2@1,C089,C089:5.63622134772,REJECTED_INTERFACE,False,,,[],,,,,,,,,,0.0015530830132775009,ValueError,E3_STRICT_MULTITRIP_V2: route CV_D_dongguan_1#T2 misses C019's time window
