education_round,candidate_count,accepted,accepted_action_id,accepted_channel,before_cost_cny,after_cost_cny,before_emissions_kg,after_emissions_kg,minimum_participation_margin_before,minimum_participation_margin_after
1,3958,True,swap:CV_D_shenzhen_1#T2:C029<->EV_D_shenzhen_1#T2:C031,mixed_fleet,2020.7254397956153,1994.7490493697717,212.86971418497873,206.83324656713623,0.0,0.0
2,3958,True,relocate:CV_D_shenzhen_2#T1:C048->EV_D_shenzhen_1#T2@0,mixed_fleet,1994.7490493697717,1974.5675928831115,206.83324656713623,201.70042409783485,0.0,0.0
3,3957,True,2opt:CV_D_shenzhen_1#T1@1:3,route_order,1974.5675928831115,1959.1221186308105,201.70042409783485,198.70951934650515,0.0,0.0
4,3957,True,relocate:CV_D_guangzhou_2#T1:C007->CV_D_guangzhou_1#T2@0,relocate,1959.1221186308105,1947.3520767233842,198.70951934650515,196.2870152045546,0.0,11.770041907426275
5,3959,True,2opt:CV_D_guangzhou_2#T1@3:5,route_order,1947.3520767233842,1921.4922365180596,196.2870152045546,191.18700391610636,11.770041907426275,37.62988211275024
6,3959,True,relocate:EV_D_shenzhen_1#T2:C025->CV_D_shenzhen_2#T1@5,mixed_fleet,1921.4922365180596,1911.2176317720155,191.18700391610636,191.42293106131132,37.62988211275024,37.62988211275024
7,3960,True,relocate:CV_D_guangzhou_1#T1:C016->CV_D_guangzhou_2#T1@0,relocate,1911.2176317720155,1902.29670813902,191.42293106131132,189.6333234104576,37.62988211275024,46.5508057457464
8,3958,True,2opt:CV_D_guangzhou_2#T1@1:3,route_order,1902.29670813902,1892.632171723403,189.6333234104576,187.73106256422588,46.5508057457464,56.21534216136297
9,3958,True,2opt:CV_D_guangzhou_2#T1@2:4,route_order,1892.632171723403,1888.3799408888237,187.73106256422588,186.90705448114534,56.21534216136297,60.467572995942646
10,3958,True,2opt:CV_D_guangzhou_1#T2@1:3,route_order,1888.3799408888237,1885.2330266089812,186.90705448114534,186.2506044197583,60.467572995942646,63.614487275784995
11,3958,True,2opt:EV_D_shenzhen_1#T1@0:2,route_order,1885.2330266089812,1883.6663015502947,186.2506044197583,186.07917786259412,63.614487275784995,63.614487275784995
12,3958,True,2opt:CV_D_shenzhen_2#T1@2:4,route_order,1883.6663015502947,1882.3144682058069,186.07917786259412,185.7952476873305,63.614487275784995,63.614487275784995
13,3958,True,2opt:EV_D_shenzhen_1#T1@2:4,route_order,1882.3144682058069,1881.0760057392497,185.7952476873305,185.65892168938706,63.614487275784995,63.614487275784995
14,3958,True,2opt:EV_D_shenzhen_1#T1@4:6,route_order,1881.0760057392497,1878.9755054704756,185.65892168938706,185.44765256001563,63.614487275784995,63.614487275784995
15,3958,True,2opt:EV_D_shenzhen_1#T2@3:5,route_order,1878.9755054704756,1877.764668587312,185.44765256001563,185.44200364590517,63.614487275784995,63.614487275784995
16,3958,True,2opt:EV_D_shenzhen_1#T2@1:3,route_order,1877.764668587312,1875.9993998461655,185.44200364590517,185.4246957936132,63.614487275784995,63.614487275784995
17,3958,True,2opt:CV_D_shenzhen_2#T1@1:4,route_order,1875.9993998461655,1874.8068424944745,185.4246957936132,185.17375768712623,63.614487275784995,63.614487275784995
18,3958,True,2opt:CV_D_shenzhen_1#T2@0:2,route_order,1874.8068424944745,1873.8354856419414,185.17375768712623,185.0128181852129,63.614487275784995,63.614487275784995
19,3958,True,relocate:CV_D_shenzhen_2#T1:C045->CV_D_shenzhen_1#T2@0,relocate,1873.8354856419414,1870.5126587915856,185.0128181852129,184.4324346843389,63.614487275784995,63.614487275784995
20,3965,True,relocate:CV_D_shenzhen_1#T1:C039->CV_D_shenzhen_2#T1@0,relocate,1870.5126587915856,1869.1362478912426,184.4324346843389,184.11937833630898,63.614487275784995,63.614487275784995
21,3962,True,relocate:EV_D_shenzhen_1#T1:C046->CV_D_shenzhen_1#T1@1,mixed_fleet,1869.1362478912426,1868.1297968639985,184.11937833630898,184.1085468812277,63.614487275784995,63.614487275784995
22,3968,True,2opt:CV_D_guangzhou_1#T2@3:5,route_order,1868.1297968639985,1868.072748818845,184.1085468812277,184.11467558395094,63.614487275784995,63.67153532093835
23,3968,False,,,,,,,,
