instance_id,sealed_cost,probe_cost,gain_cny,gain_pct,accepted_moves,complete_evaluations,final_violations,sealed_ev_routes,probe_ev_routes,probe_station_charging_kwh,probe_n_veh_cv,probe_n_veh_ev
cn-cy-100c-01-V2-LOCATIONS,5175.207397764388,5175.207397764388,0.0,0.0,0,0,0,4,4,0,14,4
cn-cy-100c-02-V2-LOCATIONS,4908.635560767924,4908.635560767924,0.0,0.0,0,0,0,0,0,0,16,0
cn-cy-100c-03-V2-LOCATIONS,4793.265372366562,4793.265372366562,0.0,0.0,0,0,0,1,1,0,15,1
cn-cy-10c-01-V2-LOCATIONS,560.9997483144829,560.9997483144829,0.0,0.0,0,0,0,1,1,0,1,1
cn-cy-10c-02-V2-LOCATIONS,647.2193703672735,647.2193703672735,0.0,0.0,0,0,0,0,0,0,2,0
cn-cy-10c-03-V2-LOCATIONS,672.3824651586395,672.3824651586395,0.0,0.0,0,0,0,0,0,0,2,0
cn-cy-150c-01-V2-LOCATIONS,7355.363828810334,7355.363828810334,0.0,0.0,0,0,0,2,2,0,23,2
cn-cy-150c-02-V2-LOCATIONS,7662.37514566992,7662.37514566992,0.0,0.0,0,0,0,2,2,0,24,2
cn-cy-150c-03-V2-LOCATIONS,7343.359280630915,7343.359280630915,0.0,0.0,0,0,0,0,0,0,24,0
cn-cy-15c-01-V2-LOCATIONS,891.0364458644272,891.0364458644272,0.0,0.0,0,0,0,1,1,0,2,1
cn-cy-15c-02-V2-LOCATIONS,910.2743411972338,910.2743411972338,0.0,0.0,0,0,0,1,1,0,2,1
cn-cy-15c-03-V2-LOCATIONS,943.6940413805244,943.6940413805244,0.0,0.0,0,0,0,1,1,0,2,1
cn-cy-200c-01-V2-LOCATIONS,9567.764571462794,9567.764571462794,0.0,0.0,0,0,0,0,0,0,32,0
cn-cy-200c-02-V2-LOCATIONS,9563.702106004608,9563.702106004608,0.0,0.0,0,0,0,0,0,0,32,0
cn-cy-200c-03-V2-LOCATIONS,9839.869279263292,9839.869279263292,0.0,0.0,0,0,0,0,0,0,33,0
cn-cy-20c-01-V2-LOCATIONS,1207.8935410579593,1207.8935410579593,0.0,0.0,0,0,0,1,1,0,3,1
cn-cy-20c-02-V2-LOCATIONS,1219.9636463183404,1219.9636463183404,0.0,0.0,0,0,0,1,1,0,3,1
cn-cy-20c-03-V2-LOCATIONS,1226.8506051718323,1226.8506051718323,0.0,0.0,0,0,0,1,1,0,3,1
cn-cy-25c-01-V2-LOCATIONS,1287.1206743588011,1287.1206743588011,0.0,0.0,0,0,0,1,1,0,3,1
cn-cy-25c-02-V2-LOCATIONS,1441.5252141764643,1441.5252141764643,0.0,0.0,0,0,0,0,0,0,4,0
cn-cy-25c-03-V2-LOCATIONS,1479.7388864856903,1479.7388864856903,0.0,0.0,0,0,0,2,2,0,3,2
cn-cy-50c-01-V2-LOCATIONS,2554.9626718192767,2554.9626718192767,0.0,0.0,0,0,0,2,2,0,7,2
cn-cy-50c-02-V2-LOCATIONS,2569.7527036301794,2569.7527036301794,0.0,0.0,0,0,0,3,3,0,6,3
cn-cy-50c-03-V2-LOCATIONS,2719.9033915460254,2719.9033915460254,0.0,0.0,0,0,0,1,1,0,8,1
cn-cy-75c-01-V2-LOCATIONS,3552.311451169535,3552.311451169535,0.0,0.0,0,0,0,2,2,0,10,2
cn-cy-75c-02-V2-LOCATIONS,3791.4238007995455,3791.4238007995455,0.0,0.0,0,0,0,2,2,0,11,2
cn-cy-75c-03-V2-LOCATIONS,3642.1498460696434,3642.1498460696434,0.0,0.0,0,0,0,1,1,0,11,1
cn-jjj-100c-01-V2-LOCATIONS,4873.815682546802,4873.815682546802,0.0,0.0,0,0,0,4,4,0,13,4
cn-jjj-100c-02-V2-LOCATIONS,5010.020684180303,5010.020684180303,0.0,0.0,0,0,0,1,1,0,16,1
cn-jjj-100c-03-V2-LOCATIONS,4969.467076423541,4969.467076423541,0.0,0.0,0,0,0,1,1,0,16,1
cn-jjj-10c-01-V2-LOCATIONS,655.1102246719714,655.1102246719714,0.0,0.0,0,0,0,0,0,0,2,0
cn-jjj-10c-02-V2-LOCATIONS,565.6693362689498,565.6693362689498,0.0,0.0,0,0,0,1,1,0,1,1
cn-jjj-10c-03-V2-LOCATIONS,579.4713968936917,579.4713968936917,0.0,0.0,0,0,0,1,1,0,1,1
cn-jjj-150c-01-V2-LOCATIONS,6920.658137092465,6920.658137092465,0.0,0.0,0,0,0,2,2,0,22,2
cn-jjj-150c-02-V2-LOCATIONS,7318.820868363391,7318.820868363391,0.0,0.0,0,0,0,1,1,0,24,1
cn-jjj-150c-03-V2-LOCATIONS,7260.371109289286,7260.371109289286,0.0,0.0,0,0,0,2,2,0,23,2
cn-jjj-15c-01-V2-LOCATIONS,890.1851758129094,890.1851758129094,0.0,0.0,0,0,0,1,1,0,2,1
cn-jjj-15c-02-V2-LOCATIONS,992.6415869518114,992.6415869518114,0.0,0.0,0,0,0,0,0,0,3,0
cn-jjj-15c-03-V2-LOCATIONS,1012.3090478938277,1012.3090478938277,0.0,0.0,0,0,0,0,0,0,3,0
cn-jjj-200c-01-V2-LOCATIONS,9696.276535914245,9696.276535914245,0.0,0.0,0,0,0,1,1,0,32,1
cn-jjj-200c-02-V2-LOCATIONS,9830.690496736503,9830.690496736503,0.0,0.0,0,0,0,3,3,0,31,3
cn-jjj-200c-03-V2-LOCATIONS,9553.847711786362,9553.847711786362,0.0,0.0,0,0,0,2,2,0,31,2
cn-jjj-20c-01-V2-LOCATIONS,992.0656343726765,992.0656343726765,0.0,0.0,0,0,0,0,0,0,3,0
cn-jjj-20c-02-V2-LOCATIONS,1174.3861400588266,1174.3861400588266,0.0,0.0,0,0,0,1,1,0,3,1
cn-jjj-20c-03-V2-LOCATIONS,1199.9122137237935,1199.9122137237935,0.0,0.0,0,0,0,1,1,0,3,1
cn-jjj-25c-01-V2-LOCATIONS,1247.0186692958644,1247.0186692958644,0.0,0.0,0,0,0,1,1,0,3,1
cn-jjj-25c-02-V2-LOCATIONS,1426.643032749301,1426.643032749301,0.0,0.0,0,0,0,2,2,0,3,2
cn-jjj-25c-03-V2-LOCATIONS,1473.9617071398193,1473.9617071398193,0.0,0.0,0,0,0,2,2,0,3,2
cn-jjj-50c-01-V2-LOCATIONS,2474.430149624234,2474.430149624234,0.0,0.0,0,0,0,0,0,0,8,0
cn-jjj-50c-02-V2-LOCATIONS,2638.913419965574,2638.913419965574,0.0,0.0,0,0,0,1,1,0,8,1
cn-jjj-50c-03-V2-LOCATIONS,2902.8621872585445,2902.8621872585445,0.0,0.0,0,0,0,2,2,0,8,2
cn-jjj-75c-01-V2-LOCATIONS,3823.106569937251,3823.106569937251,0.0,0.0,0,0,0,1,1,0,12,1
cn-jjj-75c-02-V2-LOCATIONS,3628.7354398328944,3628.7354398328944,0.0,0.0,0,0,0,0,0,0,12,0
cn-jjj-75c-03-V2-LOCATIONS,3804.1949811150616,3804.1949811150616,0.0,0.0,0,0,0,2,2,0,11,2
cn-prd-100c-01-V2-LOCATIONS,4312.448489640502,4312.448489640502,0.0,0.0,0,0,0,1,1,0,14,1
cn-prd-100c-02-V2-LOCATIONS,4981.2082452573295,4981.2082452573295,0.0,0.0,0,0,0,2,2,0,16,2
cn-prd-100c-03-V2-LOCATIONS,4616.183683334074,4616.183683334074,0.0,0.0,0,0,0,0,0,0,16,0
cn-prd-10c-01-V2-LOCATIONS,565.595835965041,565.595835965041,0.0,0.0,0,0,0,0,0,0,2,0
cn-prd-10c-02-V2-LOCATIONS,493.6879527458795,493.6879527458795,0.0,0.0,0,0,0,1,1,0,1,1
cn-prd-10c-03-V2-LOCATIONS,495.11445205865334,495.11445205865334,0.0,0.0,0,0,0,1,1,0,1,1
cn-prd-150c-01-V2-LOCATIONS,7230.894451860513,7230.894451860513,0.0,0.0,0,0,0,2,2,0,23,2
cn-prd-150c-02-V2-LOCATIONS,7242.376805706349,7242.376805706349,0.0,0.0,0,0,0,0,0,0,24,0
cn-prd-150c-03-V2-LOCATIONS,6802.399778859607,6802.399778859607,0.0,0.0,0,0,0,1,1,0,22,1
cn-prd-15c-01-V2-LOCATIONS,787.2819935020146,787.2819935020146,0.0,0.0,0,0,0,1,1,0,2,1
cn-prd-15c-02-V2-LOCATIONS,766.6803387806436,766.6803387806436,0.0,0.0,0,0,0,1,1,0,2,1
cn-prd-15c-03-V2-LOCATIONS,774.2448575122603,774.2448575122603,0.0,0.0,0,0,0,1,1,0,2,1
cn-prd-200c-01-V2-LOCATIONS,9619.350720807923,9619.350720807923,0.0,0.0,0,0,0,1,1,0,32,1
cn-prd-200c-02-V2-LOCATIONS,9934.809498400024,9934.809498400024,0.0,0.0,0,0,0,1,1,0,33,1
cn-prd-200c-03-V2-LOCATIONS,10001.533906631263,10001.533906631263,0.0,0.0,0,0,0,3,3,0,32,3
cn-prd-20c-01-V2-LOCATIONS,1031.6270367212462,1031.6270367212462,0.0,0.0,0,0,0,1,1,0,3,1
cn-prd-20c-02-V2-LOCATIONS,1033.3991542735002,1033.3991542735002,0.0,0.0,0,0,0,1,1,0,3,1
cn-prd-20c-03-V2-LOCATIONS,1046.9299381401734,1046.9299381401734,0.0,0.0,0,0,0,1,1,0,3,1
cn-prd-25c-01-V2-LOCATIONS,1125.4666756178794,1125.4666756178794,0.0,0.0,0,0,0,0,0,0,4,0
cn-prd-25c-02-V2-LOCATIONS,1272.9961360850173,1272.9961360850173,0.0,0.0,0,0,0,2,2,0,3,2
cn-prd-25c-03-V2-LOCATIONS,1140.5569045915854,1140.5569045915854,0.0,0.0,0,0,0,0,0,0,4,0
cn-prd-50c-01-V2-LOCATIONS,2393.8185755222853,2393.8185755222853,0.0,0.0,0,0,0,3,3,0,6,3
cn-prd-50c-02-V2-LOCATIONS,2466.646903780146,2466.646903780146,0.0,0.0,0,0,0,2,2,0,7,2
cn-prd-50c-03-V2-LOCATIONS,2512.9322491171747,2512.9322491171747,0.0,0.0,0,0,0,1,1,0,8,1
cn-prd-75c-01-V2-LOCATIONS,3597.6729563569675,3597.6729563569675,0.0,0.0,0,0,0,1,1,0,12,1
cn-prd-75c-02-V2-LOCATIONS,3653.520165611266,3653.520165611266,0.0,0.0,0,0,0,1,1,0,12,1
cn-prd-75c-03-V2-LOCATIONS,3935.78265565653,3935.78265565653,0.0,0.0,0,0,0,1,1,0,13,1
