instance,seed,switch_enabled,switch_reasons,result_fields_read,budget,alns_evaluations,hgs_evaluations,routed_evaluations,alns_cost,hgs_cost,routed_cost,beats_alns,beats_hgs,matches_alns_when_disabled,all_feasible,budgets_exact
L-main-multidepot-10c-01,1,True,"[""EXPLICIT_MULTIDEPOT_SINGLE_HORIZON""]",False,100,100,100,100,371.9993673208387,424.6341437940481,371.9993673208387,False,True,True,True,True
L-main-multidepot-10c-01,2,True,"[""EXPLICIT_MULTIDEPOT_SINGLE_HORIZON""]",False,100,100,100,100,371.9993673208387,407.20180642217866,371.9993673208387,False,True,True,True,True
L-main-multidepot-10c-01,3,True,"[""EXPLICIT_MULTIDEPOT_SINGLE_HORIZON""]",False,100,100,100,100,371.9993673208387,402.39340045874883,371.9993673208387,False,True,True,True,True
L-main-multidepot-15c-01,1,True,"[""EXPLICIT_MULTIDEPOT_SINGLE_HORIZON""]",False,100,100,100,100,649.9158635778574,651.664859919386,649.9158635778574,False,True,True,True,True
L-main-multidepot-15c-01,2,True,"[""EXPLICIT_MULTIDEPOT_SINGLE_HORIZON""]",False,100,100,100,100,649.9158635778574,696.6059667509192,649.9158635778574,False,True,True,True,True
L-main-multidepot-15c-01,3,True,"[""EXPLICIT_MULTIDEPOT_SINGLE_HORIZON""]",False,100,100,100,100,621.371321439464,687.0896843389233,621.371321439464,False,True,True,True,True
L-main-multidepot-20c-01,1,True,"[""EXPLICIT_MULTIDEPOT_SINGLE_HORIZON""]",False,100,100,100,100,707.6335685566808,837.4459448247047,749.8559785415254,False,True,True,True,True
L-main-multidepot-20c-01,2,True,"[""EXPLICIT_MULTIDEPOT_SINGLE_HORIZON""]",False,100,100,100,100,714.014892829286,790.4803232184009,742.2655444660805,False,True,True,True,True
L-main-multidepot-20c-01,3,True,"[""EXPLICIT_MULTIDEPOT_SINGLE_HORIZON""]",False,100,100,100,100,707.3310772358964,904.2768683568762,766.4593188088917,False,True,True,True,True
L-main-multidepot-25c-01,1,True,"[""EXPLICIT_MULTIDEPOT_SINGLE_HORIZON""]",False,100,100,100,100,662.6150117111985,695.9676106780545,612.4140385124521,True,True,True,True,True
L-main-multidepot-25c-01,2,True,"[""EXPLICIT_MULTIDEPOT_SINGLE_HORIZON""]",False,100,100,100,100,658.49749211235,703.5849723146455,604.4024478027854,True,True,True,True,True
L-main-multidepot-25c-01,3,True,"[""EXPLICIT_MULTIDEPOT_SINGLE_HORIZON""]",False,100,100,100,100,638.0338351806475,701.6272315210408,630.3719790444908,True,True,True,True,True
L-main-multidepot-50c-01,1,True,"[""EXPLICIT_MULTIDEPOT_SINGLE_HORIZON""]",False,100,100,100,100,1330.8769407574944,1930.8593816164525,1413.7017153664203,False,True,True,True,True
L-main-multidepot-50c-01,2,True,"[""EXPLICIT_MULTIDEPOT_SINGLE_HORIZON""]",False,100,100,100,100,1323.4094390846326,1901.2985932821364,1435.5998781371502,False,True,True,True,True
L-main-multidepot-50c-01,3,True,"[""EXPLICIT_MULTIDEPOT_SINGLE_HORIZON""]",False,100,100,100,100,1371.8144037381576,1843.864561496582,1357.5028350960677,True,True,True,True,True
