instance,seed,budget,algorithm,cost,recomputed_cost,cost_match,evaluations,budget_exact,elapsed_seconds,route_count,feasible,mechanism_activity
L-main-multidepot-25c-01,1,20,pure_alns,687.9635104764286,687.9635104764286,True,20,True,0.16793599998345599,4,True,"{""alns_actual_moves"": 0}"
L-main-multidepot-25c-01,1,20,pure_hgs_style_outer,731.9056020898158,731.9056020898158,True,20,True,0.03471925004851073,3,True,"{""diversity_rejections"": 3, ""improvements"": 2, ""order_mutations"": 10, ""ordered_crossovers"": 19, ""outer_candidates"": 20}"
L-main-multidepot-25c-01,1,20,mechanism_hgs_alns_skeleton,612.4140385124521,612.4140385124521,True,20,True,0.11899083299795166,3,True,"{""alns_actual_moves"": 0, ""diversity_rejections"": 0, ""improvements"": 1, ""inner_budget"": 19, ""order_mutations"": 1, ""ordered_crossovers"": 0, ""outer_budget"": 1, ""outer_candidates"": 1}"
L-main-multidepot-25c-01,2,20,pure_alns,668.9519888193819,668.9519888193819,True,20,True,0.24502845795359462,4,True,"{""alns_actual_moves"": 0}"
L-main-multidepot-25c-01,2,20,pure_hgs_style_outer,721.3651362362266,721.3651362362266,True,20,True,0.03566395799862221,3,True,"{""diversity_rejections"": 4, ""improvements"": 2, ""order_mutations"": 10, ""ordered_crossovers"": 19, ""outer_candidates"": 20}"
L-main-multidepot-25c-01,2,20,mechanism_hgs_alns_skeleton,647.0618539069759,647.0618539069759,True,20,True,0.1563195830094628,3,True,"{""alns_actual_moves"": 0, ""diversity_rejections"": 0, ""improvements"": 1, ""inner_budget"": 19, ""order_mutations"": 1, ""ordered_crossovers"": 0, ""outer_budget"": 1, ""outer_candidates"": 1}"
L-main-multidepot-25c-01,3,20,pure_alns,685.8490548442018,685.8490548442018,True,20,True,0.1664511249982752,4,True,"{""alns_actual_moves"": 0}"
L-main-multidepot-25c-01,3,20,pure_hgs_style_outer,719.8271302299718,719.8271302299718,True,20,True,0.0349920840235427,3,True,"{""diversity_rejections"": 7, ""improvements"": 1, ""order_mutations"": 13, ""ordered_crossovers"": 19, ""outer_candidates"": 20}"
L-main-multidepot-25c-01,3,20,mechanism_hgs_alns_skeleton,645.9914728366207,645.9914728366207,True,20,True,0.18797724996693432,3,True,"{""alns_actual_moves"": 0, ""diversity_rejections"": 0, ""improvements"": 1, ""inner_budget"": 19, ""order_mutations"": 1, ""ordered_crossovers"": 0, ""outer_budget"": 1, ""outer_candidates"": 1}"
L-main-vanilla-25c-01,1,20,pure_alns,717.1909260232359,717.1909260232359,True,20,True,0.16845075000310317,3,True,"{""alns_actual_moves"": 0}"
