algorithm,instance,seed,time_limit_seconds,elapsed_seconds,cost,route_count,feasible,solution_sha256,diagnostics
official_vidal_hgs_cvrp,X-n110-k13,1,3.0,3.122419249964878,14971.0,13,True,a95f0dd233842bdd5b61f5268d7d2785bee6e78129deeda736845b289aefbe46,{}
mechanism_expert_hgs_alns,X-n110-k13,1,3.0,3.0640717500355095,14971.0,13,True,1300a981486f07378aeffa6a53cafc4d7a35fbce17098bf918113460bb8a2cac,"{""accepted"": 0, ""attempts"": 57, ""consecutive_failures"": 40, ""detour_accepted"": 0, ""detour_attempts"": 0, ""expert_best"": 1e+30, ""expert_cpu_seconds"": 0.013387, ""expert_cpu_share"": 0.00446229, ""failure_stop"": 40, ""hgs_best"": 14971.0, ""iterations"": 7021, ""route_accepted"": 0, ""route_attempts"": 28, ""string_accepted"": 0, ""string_attempts"": 29, ""weights"": [0.501, 1.0, 0.5008]}"
original_n_wouda_alns_7_0_0_sisr_example,X-n110-k13,1,3.0,3.0003382920403965,15086.0,13,True,,"{""acceptance"": ""RecordToRecordTravel.autofit(0.02,0,3000)"", ""destroy"": ""official_cvrp_example_string_removal"", ""repair"": ""official_cvrp_example_greedy_repair"", ""selector"": ""RouletteWheel([25,5,1,0],0.8)"", ""upstream_commit"": ""4962d91385990033d9bce81d1407cf846d4fb70c""}"
official_vidal_hgs_cvrp,X-n110-k13,2,3.0,3.0427395000006072,14971.0,13,True,bbffdc19a007ee04238f846eef72d05695855409a3967e923b2640715db9ab0c,{}
mechanism_expert_hgs_alns,X-n110-k13,2,3.0,3.1202925420366228,14971.0,13,True,3462bd77381b67c2b98ccc2ceb0b6c023f53a84ce9895e7e5a188958a357de22,"{""accepted"": 3, ""attempts"": 72, ""consecutive_failures"": 40, ""detour_accepted"": 0, ""detour_attempts"": 0, ""expert_best"": 14975.0, ""expert_cpu_seconds"": 0.017857, ""expert_cpu_share"": 0.00595068, ""failure_stop"": 40, ""hgs_best"": 14971.0, ""iterations"": 6748, ""route_accepted"": 2, ""route_attempts"": 32, ""string_accepted"": 1, ""string_attempts"": 40, ""weights"": [0.5047, 1.0, 0.5003]}"
original_n_wouda_alns_7_0_0_sisr_example,X-n110-k13,2,3.0,3.000547125004232,15200.0,13,True,,"{""acceptance"": ""RecordToRecordTravel.autofit(0.02,0,3000)"", ""destroy"": ""official_cvrp_example_string_removal"", ""repair"": ""official_cvrp_example_greedy_repair"", ""selector"": ""RouletteWheel([25,5,1,0],0.8)"", ""upstream_commit"": ""4962d91385990033d9bce81d1407cf846d4fb70c""}"
official_vidal_hgs_cvrp,X-n110-k13,3,3.0,3.0254591669654474,14971.0,13,True,7c12d1c07ee348cd5771a910a8abb433287915333f3e48ebef734245601c48fa,{}
mechanism_expert_hgs_alns,X-n110-k13,3,3.0,3.0618600419838913,14971.0,13,True,861130c38b3d6bbc4bb23d7b49a2eaf25d9f1620395c7754652681a4f2b867f2,"{""accepted"": 1, ""attempts"": 47, ""consecutive_failures"": 40, ""detour_accepted"": 0, ""detour_attempts"": 0, ""expert_best"": 15053.0, ""expert_cpu_seconds"": 0.011131, ""expert_cpu_share"": 0.00371027, ""failure_stop"": 40, ""hgs_best"": 14971.0, ""iterations"": 7135, ""route_accepted"": 0, ""route_attempts"": 23, ""string_accepted"": 1, ""string_attempts"": 24, ""weights"": [0.503, 1.0, 0.5077]}"
original_n_wouda_alns_7_0_0_sisr_example,X-n110-k13,3,3.0,3.0005075419903733,15279.0,13,True,,"{""acceptance"": ""RecordToRecordTravel.autofit(0.02,0,3000)"", ""destroy"": ""official_cvrp_example_string_removal"", ""repair"": ""official_cvrp_example_greedy_repair"", ""selector"": ""RouletteWheel([25,5,1,0],0.8)"", ""upstream_commit"": ""4962d91385990033d9bce81d1407cf846d4fb70c""}"
official_vidal_hgs_cvrp,X-n157-k13,1,3.0,3.03960720798932,16881.0,13,True,fb8930d2efeb2040f7843ad1e0bb17d7cfc37a60c72149f42c8f01dd68c7ea57,{}
