algorithm,instance,seed,time_limit_seconds,elapsed_seconds,cost,route_count,feasible,solution_sha256,diagnostics
official_vidal_hgs_cvrp,X-n110-k13,1,3.0,3.0643195000011474,14971.0,13,True,a95f0dd233842bdd5b61f5268d7d2785bee6e78129deeda736845b289aefbe46,{}
mechanism_expert_hgs_alns,X-n110-k13,1,3.0,3.026081084040925,14971.0,13,True,e05c369382f1156c30bc2c4c489e132fcb95f90e10223f73b4885925f637636b,"{""accepted"": 0, ""attempts"": 652, ""detour_accepted"": 0, ""detour_attempts"": 0, ""route_accepted"": 0, ""route_attempts"": 300, ""string_accepted"": 0, ""string_attempts"": 352, ""weights"": [0.5, 1.0, 0.5]}"
original_n_wouda_alns_7_0_0_sisr_example,X-n110-k13,1,3.0,3.0000999170006253,15086.0,13,True,,"{""acceptance"": ""RecordToRecordTravel.autofit(0.02,0,3000)"", ""destroy"": ""official_cvrp_example_string_removal"", ""repair"": ""official_cvrp_example_greedy_repair"", ""selector"": ""RouletteWheel([25,5,1,0],0.8)"", ""upstream_commit"": ""4962d91385990033d9bce81d1407cf846d4fb70c""}"
official_vidal_hgs_cvrp,X-n110-k13,2,3.0,3.020979167020414,14971.0,13,True,bbffdc19a007ee04238f846eef72d05695855409a3967e923b2640715db9ab0c,{}
mechanism_expert_hgs_alns,X-n110-k13,2,3.0,3.082273416046519,14971.0,13,True,b6eb30a041f109370e9697d0008d83e604d87cb95de759c2ee973e9bb0e08ad9,"{""accepted"": 1, ""attempts"": 659, ""detour_accepted"": 0, ""detour_attempts"": 0, ""route_accepted"": 1, ""route_attempts"": 326, ""string_accepted"": 0, ""string_attempts"": 333, ""weights"": [0.5, 1.0, 0.5]}"
original_n_wouda_alns_7_0_0_sisr_example,X-n110-k13,2,3.0,3.0001055839820765,15200.0,13,True,,"{""acceptance"": ""RecordToRecordTravel.autofit(0.02,0,3000)"", ""destroy"": ""official_cvrp_example_string_removal"", ""repair"": ""official_cvrp_example_greedy_repair"", ""selector"": ""RouletteWheel([25,5,1,0],0.8)"", ""upstream_commit"": ""4962d91385990033d9bce81d1407cf846d4fb70c""}"
official_vidal_hgs_cvrp,X-n110-k13,3,3.0,3.018462458043359,14971.0,13,True,7c12d1c07ee348cd5771a910a8abb433287915333f3e48ebef734245601c48fa,{}
mechanism_expert_hgs_alns,X-n110-k13,3,3.0,3.1354915000265464,14971.0,13,True,336a3df92cf920f3235d95fa5fbc589b0146188d61a83cd27277e0aca3e02270,"{""accepted"": 0, ""attempts"": 620, ""detour_accepted"": 0, ""detour_attempts"": 0, ""route_accepted"": 0, ""route_attempts"": 319, ""string_accepted"": 0, ""string_attempts"": 301, ""weights"": [0.5, 1.0, 0.5]}"
original_n_wouda_alns_7_0_0_sisr_example,X-n110-k13,3,3.0,3.0003643330419436,15279.0,13,True,,"{""acceptance"": ""RecordToRecordTravel.autofit(0.02,0,3000)"", ""destroy"": ""official_cvrp_example_string_removal"", ""repair"": ""official_cvrp_example_greedy_repair"", ""selector"": ""RouletteWheel([25,5,1,0],0.8)"", ""upstream_commit"": ""4962d91385990033d9bce81d1407cf846d4fb70c""}"
official_vidal_hgs_cvrp,X-n157-k13,1,3.0,3.0485693750088103,16881.0,13,True,fb8930d2efeb2040f7843ad1e0bb17d7cfc37a60c72149f42c8f01dd68c7ea57,{}
mechanism_expert_hgs_alns,X-n157-k13,1,3.0,3.0741422090213746,16885.0,13,True,97ad46117d4630eb3dc4a7512a58e831b986e5816ac26cf3adf7061c33ce3039,"{""accepted"": 3, ""attempts"": 254, ""detour_accepted"": 0, ""detour_attempts"": 0, ""route_accepted"": 2, ""route_attempts"": 115, ""string_accepted"": 1, ""string_attempts"": 139, ""weights"": [0.5, 1.0, 0.5]}"
original_n_wouda_alns_7_0_0_sisr_example,X-n157-k13,1,3.0,3.000394041999243,17086.0,13,True,,"{""acceptance"": ""RecordToRecordTravel.autofit(0.02,0,3000)"", ""destroy"": ""official_cvrp_example_string_removal"", ""repair"": ""official_cvrp_example_greedy_repair"", ""selector"": ""RouletteWheel([25,5,1,0],0.8)"", ""upstream_commit"": ""4962d91385990033d9bce81d1407cf846d4fb70c""}"
official_vidal_hgs_cvrp,X-n157-k13,2,3.0,3.049410500039812,16879.0,13,True,9f8bdd398760ab7df1a22e9f672ce4422f08c64c2424c0fc8d4061aff20d6b87,{}
mechanism_expert_hgs_alns,X-n157-k13,2,3.0,3.043175374972634,16877.0,13,True,1388514f57e382a1514c42491d7402974dafd1a549c4d6322f59ceb5c2784c2c,"{""accepted"": 1, ""attempts"": 243, ""detour_accepted"": 0, ""detour_attempts"": 0, ""route_accepted"": 0, ""route_attempts"": 108, ""string_accepted"": 1, ""string_attempts"": 135, ""weights"": [0.5, 1.0, 0.5001]}"
original_n_wouda_alns_7_0_0_sisr_example,X-n157-k13,2,3.0,3.000281292013824,17087.0,13,True,,"{""acceptance"": ""RecordToRecordTravel.autofit(0.02,0,3000)"", ""destroy"": ""official_cvrp_example_string_removal"", ""repair"": ""official_cvrp_example_greedy_repair"", ""selector"": ""RouletteWheel([25,5,1,0],0.8)"", ""upstream_commit"": ""4962d91385990033d9bce81d1407cf846d4fb70c""}"
official_vidal_hgs_cvrp,X-n157-k13,3,3.0,3.0192492089699954,16876.0,13,True,d04e7d2222207eb9d5383427c3d18d7b8e5a2adefc04453a4e8f7be28c718f27,{}
mechanism_expert_hgs_alns,X-n157-k13,3,3.0,3.1494589159847237,16877.0,13,True,8f89a87121cf02ed3a8d4189d6a937f04771379e8061b7888c558323c5a4a95e,"{""accepted"": 3, ""attempts"": 230, ""detour_accepted"": 0, ""detour_attempts"": 0, ""route_accepted"": 1, ""route_attempts"": 106, ""string_accepted"": 2, ""string_attempts"": 124, ""weights"": [0.5, 1.0, 0.5002]}"
original_n_wouda_alns_7_0_0_sisr_example,X-n157-k13,3,3.0,3.000304666988086,17005.0,13,True,,"{""acceptance"": ""RecordToRecordTravel.autofit(0.02,0,3000)"", ""destroy"": ""official_cvrp_example_string_removal"", ""repair"": ""official_cvrp_example_greedy_repair"", ""selector"": ""RouletteWheel([25,5,1,0],0.8)"", ""upstream_commit"": ""4962d91385990033d9bce81d1407cf846d4fb70c""}"
official_vidal_hgs_cvrp,X-n190-k8,1,3.0,3.0320197090040892,17247.0,8,True,23d9a461e76bb1d3c70dc9a21d61ca1fecd87386fda1b5bd3edb00bc9b3575b3,{}
mechanism_expert_hgs_alns,X-n190-k8,1,3.0,3.060944417025894,17096.0,8,True,f6f3be024b1f655b10c9e55d6290a97209a365431229fee10eadfd663783938c,"{""accepted"": 13, ""attempts"": 89, ""detour_accepted"": 0, ""detour_attempts"": 0, ""route_accepted"": 2, ""route_attempts"": 33, ""string_accepted"": 11, ""string_attempts"": 56, ""weights"": [0.5452, 1.0, 0.5468]}"
original_n_wouda_alns_7_0_0_sisr_example,X-n190-k8,1,3.0,3.0009889579960145,17663.0,8,True,,"{""acceptance"": ""RecordToRecordTravel.autofit(0.02,0,3000)"", ""destroy"": ""official_cvrp_example_string_removal"", ""repair"": ""official_cvrp_example_greedy_repair"", ""selector"": ""RouletteWheel([25,5,1,0],0.8)"", ""upstream_commit"": ""4962d91385990033d9bce81d1407cf846d4fb70c""}"
official_vidal_hgs_cvrp,X-n190-k8,2,3.0,3.0465933340019546,17136.0,8,True,7fd6b9d82411789ea6d0a3d278fc75bf5d603688b1413742d929b961f93610dd,{}
mechanism_expert_hgs_alns,X-n190-k8,2,3.0,3.0546984579996206,17174.0,8,True,3c9b3062c572ee4ec388a45db1bf3e477732a1cef36a2dcb563aebcf18f69806,"{""accepted"": 7, ""attempts"": 62, ""detour_accepted"": 0, ""detour_attempts"": 0, ""route_accepted"": 1, ""route_attempts"": 22, ""string_accepted"": 6, ""string_attempts"": 40, ""weights"": [0.512, 1.0, 1.615]}"
original_n_wouda_alns_7_0_0_sisr_example,X-n190-k8,2,3.0,3.0010907080140896,17596.0,8,True,,"{""acceptance"": ""RecordToRecordTravel.autofit(0.02,0,3000)"", ""destroy"": ""official_cvrp_example_string_removal"", ""repair"": ""official_cvrp_example_greedy_repair"", ""selector"": ""RouletteWheel([25,5,1,0],0.8)"", ""upstream_commit"": ""4962d91385990033d9bce81d1407cf846d4fb70c""}"
official_vidal_hgs_cvrp,X-n190-k8,3,3.0,3.030399708019104,17116.0,8,True,df6006ce1e676a0f31906ddd349a1462083691d0df88eadb070297a0f80ef7b8,{}
mechanism_expert_hgs_alns,X-n190-k8,3,3.0,3.1417040420346893,17112.0,8,True,de72089a1162601b6b0c726bd173f8e629d30d70da376dbdb1f75f3d73c2cb64,"{""accepted"": 6, ""attempts"": 66, ""detour_accepted"": 0, ""detour_attempts"": 0, ""route_accepted"": 1, ""route_attempts"": 32, ""string_accepted"": 5, ""string_attempts"": 34, ""weights"": [0.5134, 1.0, 0.897]}"
original_n_wouda_alns_7_0_0_sisr_example,X-n190-k8,3,3.0,3.0010107499547303,17713.0,8,True,,"{""acceptance"": ""RecordToRecordTravel.autofit(0.02,0,3000)"", ""destroy"": ""official_cvrp_example_string_removal"", ""repair"": ""official_cvrp_example_greedy_repair"", ""selector"": ""RouletteWheel([25,5,1,0],0.8)"", ""upstream_commit"": ""4962d91385990033d9bce81d1407cf846d4fb70c""}"
