algorithm,instance,seed,time_limit_seconds,elapsed_seconds,cost,route_count,feasible,solution_sha256,diagnostics
official_vidal_hgs_cvrp,X-n110-k13,1,3.0,3.0498470419552177,14971.0,13,True,a95f0dd233842bdd5b61f5268d7d2785bee6e78129deeda736845b289aefbe46,{}
mechanism_expert_hgs_alns,X-n110-k13,1,3.0,3.169264583964832,14971.0,13,True,e05c369382f1156c30bc2c4c489e132fcb95f90e10223f73b4885925f637636b,"{""accepted"": 0, ""attempts"": 44, ""consecutive_failures"": 40, ""detour_accepted"": 0, ""detour_attempts"": 0, ""expert_best"": 1e+30, ""failure_stop"": 40, ""hgs_best"": 14971.0, ""iterations"": 6635, ""route_accepted"": 0, ""route_attempts"": 20, ""string_accepted"": 0, ""string_attempts"": 24, ""weights"": [0.5058, 1.0, 0.5024]}"
original_n_wouda_alns_7_0_0_sisr_example,X-n110-k13,1,3.0,3.0002021670225076,15086.0,13,True,,"{""acceptance"": ""RecordToRecordTravel.autofit(0.02,0,3000)"", ""destroy"": ""official_cvrp_example_string_removal"", ""repair"": ""official_cvrp_example_greedy_repair"", ""selector"": ""RouletteWheel([25,5,1,0],0.8)"", ""upstream_commit"": ""4962d91385990033d9bce81d1407cf846d4fb70c""}"
official_vidal_hgs_cvrp,X-n110-k13,2,3.0,3.0427304159966297,14971.0,13,True,bbffdc19a007ee04238f846eef72d05695855409a3967e923b2640715db9ab0c,{}
mechanism_expert_hgs_alns,X-n110-k13,2,3.0,3.0654631670331582,14971.0,13,True,b6eb30a041f109370e9697d0008d83e604d87cb95de759c2ee973e9bb0e08ad9,"{""accepted"": 1, ""attempts"": 56, ""consecutive_failures"": 40, ""detour_accepted"": 0, ""detour_attempts"": 0, ""expert_best"": 14975.0, ""failure_stop"": 40, ""hgs_best"": 14971.0, ""iterations"": 6944, ""route_accepted"": 1, ""route_attempts"": 27, ""string_accepted"": 0, ""string_attempts"": 29, ""weights"": [0.5078, 1.0, 0.5008]}"
original_n_wouda_alns_7_0_0_sisr_example,X-n110-k13,2,3.0,3.000346584012732,15200.0,13,True,,"{""acceptance"": ""RecordToRecordTravel.autofit(0.02,0,3000)"", ""destroy"": ""official_cvrp_example_string_removal"", ""repair"": ""official_cvrp_example_greedy_repair"", ""selector"": ""RouletteWheel([25,5,1,0],0.8)"", ""upstream_commit"": ""4962d91385990033d9bce81d1407cf846d4fb70c""}"
official_vidal_hgs_cvrp,X-n110-k13,3,3.0,3.0499482919694856,14971.0,13,True,7c12d1c07ee348cd5771a910a8abb433287915333f3e48ebef734245601c48fa,{}
mechanism_expert_hgs_alns,X-n110-k13,3,3.0,3.0776180420070887,14971.0,13,True,336a3df92cf920f3235d95fa5fbc589b0146188d61a83cd27277e0aca3e02270,"{""accepted"": 0, ""attempts"": 59, ""consecutive_failures"": 40, ""detour_accepted"": 0, ""detour_attempts"": 0, ""expert_best"": 1e+30, ""failure_stop"": 40, ""hgs_best"": 14971.0, ""iterations"": 7144, ""route_accepted"": 0, ""route_attempts"": 31, ""string_accepted"": 0, ""string_attempts"": 28, ""weights"": [0.5005, 1.0, 0.501]}"
original_n_wouda_alns_7_0_0_sisr_example,X-n110-k13,3,3.0,3.0001317909918725,15279.0,13,True,,"{""acceptance"": ""RecordToRecordTravel.autofit(0.02,0,3000)"", ""destroy"": ""official_cvrp_example_string_removal"", ""repair"": ""official_cvrp_example_greedy_repair"", ""selector"": ""RouletteWheel([25,5,1,0],0.8)"", ""upstream_commit"": ""4962d91385990033d9bce81d1407cf846d4fb70c""}"
official_vidal_hgs_cvrp,X-n157-k13,1,3.0,3.045091084029991,16881.0,13,True,fb8930d2efeb2040f7843ad1e0bb17d7cfc37a60c72149f42c8f01dd68c7ea57,{}
mechanism_expert_hgs_alns,X-n157-k13,1,3.0,3.145564334001392,16876.0,13,True,ffc8da918f8318ca8069992cf91348dfba5835d4e09faa4234e36cacfc0e66af,"{""accepted"": 4, ""attempts"": 204, ""consecutive_failures"": 33, ""detour_accepted"": 0, ""detour_attempts"": 0, ""expert_best"": 16876.0, ""failure_stop"": 40, ""hgs_best"": 16876.0, ""iterations"": 2793, ""route_accepted"": 2, ""route_attempts"": 90, ""string_accepted"": 2, ""string_attempts"": 114, ""weights"": [0.5, 1.0, 0.5007]}"
original_n_wouda_alns_7_0_0_sisr_example,X-n157-k13,1,3.0,3.000502792012412,17036.0,13,True,,"{""acceptance"": ""RecordToRecordTravel.autofit(0.02,0,3000)"", ""destroy"": ""official_cvrp_example_string_removal"", ""repair"": ""official_cvrp_example_greedy_repair"", ""selector"": ""RouletteWheel([25,5,1,0],0.8)"", ""upstream_commit"": ""4962d91385990033d9bce81d1407cf846d4fb70c""}"
official_vidal_hgs_cvrp,X-n157-k13,2,3.0,3.044753958005458,16879.0,13,True,9f8bdd398760ab7df1a22e9f672ce4422f08c64c2424c0fc8d4061aff20d6b87,{}
mechanism_expert_hgs_alns,X-n157-k13,2,3.0,3.070766500022728,16885.0,13,True,88a9615fe2a7f9796459910bd15cdd105a2e0b1d854dc96d9697842a04706315,"{""accepted"": 1, ""attempts"": 164, ""consecutive_failures"": 40, ""detour_accepted"": 0, ""detour_attempts"": 0, ""expert_best"": 16885.0, ""failure_stop"": 40, ""hgs_best"": 16885.0, ""iterations"": 2826, ""route_accepted"": 0, ""route_attempts"": 75, ""string_accepted"": 1, ""string_attempts"": 89, ""weights"": [0.5, 1.0, 0.5]}"
original_n_wouda_alns_7_0_0_sisr_example,X-n157-k13,2,3.0,3.0005364579847082,17087.0,13,True,,"{""acceptance"": ""RecordToRecordTravel.autofit(0.02,0,3000)"", ""destroy"": ""official_cvrp_example_string_removal"", ""repair"": ""official_cvrp_example_greedy_repair"", ""selector"": ""RouletteWheel([25,5,1,0],0.8)"", ""upstream_commit"": ""4962d91385990033d9bce81d1407cf846d4fb70c""}"
official_vidal_hgs_cvrp,X-n157-k13,3,3.0,3.043977291963529,16876.0,13,True,d04e7d2222207eb9d5383427c3d18d7b8e5a2adefc04453a4e8f7be28c718f27,{}
mechanism_expert_hgs_alns,X-n157-k13,3,3.0,3.0623351250542328,16876.0,13,True,4f93866dbe1c85e70a6251f978d42d46b3921efc92119ae18c68cb3cac492653,"{""accepted"": 3, ""attempts"": 159, ""consecutive_failures"": 40, ""detour_accepted"": 0, ""detour_attempts"": 0, ""expert_best"": 16876.0, ""failure_stop"": 40, ""hgs_best"": 16877.0, ""iterations"": 2880, ""route_accepted"": 1, ""route_attempts"": 74, ""string_accepted"": 2, ""string_attempts"": 85, ""weights"": [0.5, 1.0, 0.5066]}"
original_n_wouda_alns_7_0_0_sisr_example,X-n157-k13,3,3.0,3.000222499947995,17005.0,13,True,,"{""acceptance"": ""RecordToRecordTravel.autofit(0.02,0,3000)"", ""destroy"": ""official_cvrp_example_string_removal"", ""repair"": ""official_cvrp_example_greedy_repair"", ""selector"": ""RouletteWheel([25,5,1,0],0.8)"", ""upstream_commit"": ""4962d91385990033d9bce81d1407cf846d4fb70c""}"
official_vidal_hgs_cvrp,X-n190-k8,1,3.0,3.04631620796863,17247.0,8,True,23d9a461e76bb1d3c70dc9a21d61ca1fecd87386fda1b5bd3edb00bc9b3575b3,{}
mechanism_expert_hgs_alns,X-n190-k8,1,3.0,3.1363802909618244,17096.0,8,True,f6f3be024b1f655b10c9e55d6290a97209a365431229fee10eadfd663783938c,"{""accepted"": 13, ""attempts"": 83, ""consecutive_failures"": 8, ""detour_accepted"": 0, ""detour_attempts"": 0, ""expert_best"": 17096.0, ""failure_stop"": 40, ""hgs_best"": 17146.0, ""iterations"": 1139, ""route_accepted"": 2, ""route_attempts"": 30, ""string_accepted"": 11, ""string_attempts"": 53, ""weights"": [0.5883, 1.0, 0.5914]}"
original_n_wouda_alns_7_0_0_sisr_example,X-n190-k8,1,3.0,3.000782208982855,17630.0,8,True,,"{""acceptance"": ""RecordToRecordTravel.autofit(0.02,0,3000)"", ""destroy"": ""official_cvrp_example_string_removal"", ""repair"": ""official_cvrp_example_greedy_repair"", ""selector"": ""RouletteWheel([25,5,1,0],0.8)"", ""upstream_commit"": ""4962d91385990033d9bce81d1407cf846d4fb70c""}"
official_vidal_hgs_cvrp,X-n190-k8,2,3.0,3.0435271249734797,17136.0,8,True,7fd6b9d82411789ea6d0a3d278fc75bf5d603688b1413742d929b961f93610dd,{}
mechanism_expert_hgs_alns,X-n190-k8,2,3.0,3.0700987500022165,17174.0,8,True,3c9b3062c572ee4ec388a45db1bf3e477732a1cef36a2dcb563aebcf18f69806,"{""accepted"": 7, ""attempts"": 63, ""consecutive_failures"": 1, ""detour_accepted"": 0, ""detour_attempts"": 0, ""expert_best"": 17174.0, ""failure_stop"": 40, ""hgs_best"": 17185.0, ""iterations"": 1202, ""route_accepted"": 1, ""route_attempts"": 23, ""string_accepted"": 6, ""string_attempts"": 40, ""weights"": [0.5096, 1.0, 1.615]}"
original_n_wouda_alns_7_0_0_sisr_example,X-n190-k8,2,3.0,3.0004649170441553,17690.0,8,True,,"{""acceptance"": ""RecordToRecordTravel.autofit(0.02,0,3000)"", ""destroy"": ""official_cvrp_example_string_removal"", ""repair"": ""official_cvrp_example_greedy_repair"", ""selector"": ""RouletteWheel([25,5,1,0],0.8)"", ""upstream_commit"": ""4962d91385990033d9bce81d1407cf846d4fb70c""}"
official_vidal_hgs_cvrp,X-n190-k8,3,3.0,3.025350083014928,17116.0,8,True,df6006ce1e676a0f31906ddd349a1462083691d0df88eadb070297a0f80ef7b8,{}
mechanism_expert_hgs_alns,X-n190-k8,3,3.0,3.0675319170113653,17110.0,8,True,34556b341f46b640ff8410ece922c73840d05c5977e90772c94c387079235e86,"{""accepted"": 7, ""attempts"": 71, ""consecutive_failures"": 4, ""detour_accepted"": 0, ""detour_attempts"": 0, ""expert_best"": 17110.0, ""failure_stop"": 40, ""hgs_best"": 17125.0, ""iterations"": 1233, ""route_accepted"": 1, ""route_attempts"": 34, ""string_accepted"": 6, ""string_attempts"": 37, ""weights"": [0.5086, 1.0, 1.279]}"
original_n_wouda_alns_7_0_0_sisr_example,X-n190-k8,3,3.0,3.0006034999969415,17701.0,8,True,,"{""acceptance"": ""RecordToRecordTravel.autofit(0.02,0,3000)"", ""destroy"": ""official_cvrp_example_string_removal"", ""repair"": ""official_cvrp_example_greedy_repair"", ""selector"": ""RouletteWheel([25,5,1,0],0.8)"", ""upstream_commit"": ""4962d91385990033d9bce81d1407cf846d4fb70c""}"
