new_entries,new_manifest_valid,old_appledouble_entries,old_entries,ordinary_old_hashes_match,search_evaluations,target
5,True,5,10,True,0,bounded_segment_behavior_gate
5,True,5,10,True,0,bounded_segment_behavior_gate_v2_china81_scope
5,True,5,10,True,0,bounded_segment_behavior_gate_v3_china81_scope
7,True,8,15,True,0,public_bks_core_microgate
8,True,9,17,True,0,public_bks_alns_warm_hgs_gate
8,True,9,17,True,0,public_bks_dual_elite_hgs_gate
4,True,4,8,True,0,china81_private_fair_gate_preflight
4,True,4,8,True,0,independent_stage1_audit
4,True,4,8,True,0,independent_stage1_audit_v2
4,True,4,8,True,0,independent_stage1_audit_v3_final
