task_name,instance_id,seed,arm,route_count,customer_count,depot_count_used,distinct_resource_labels,distinct_vehicle_classes,cv_route_count,ev_route_count,ev_route_share,ev_customer_count,ev_customer_share,charging_action_count,depot_charging_action_count,public_charging_action_count,zero_start_charging_action_count,vehicles_with_multiple_charging_actions,cross_site_service_count,resource_label_customer_counts_json
D6-E2-STAGED__cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,HGS-M,18,100,2,4,2,14,4,0.2222222222222222,17,0.17,4,4,0,4,0,0,"{""D_chengdu|cv"": 33, ""D_chengdu|ev"": 9, ""D_chongqing|cv"": 50, ""D_chongqing|ev"": 8}"
D6-E2-STAGED__cn-cy-100c-01-V2-LOCATIONS__seed1,cn-cy-100c-01-V2-LOCATIONS,1,MV-HGS-SP,18,100,2,4,2,14,4,0.2222222222222222,16,0.16,4,4,0,4,0,0,"{""D_chengdu|cv"": 34, ""D_chengdu|ev"": 8, ""D_chongqing|cv"": 50, ""D_chongqing|ev"": 8}"
D6-E2-STAGED__cn-cy-100c-01-V2-LOCATIONS__seed2,cn-cy-100c-01-V2-LOCATIONS,2,HGS-M,18,100,2,4,2,14,4,0.2222222222222222,15,0.15,4,4,0,4,0,0,"{""D_chengdu|cv"": 34, ""D_chengdu|ev"": 8, ""D_chongqing|cv"": 51, ""D_chongqing|ev"": 7}"
D6-E2-STAGED__cn-cy-100c-01-V2-LOCATIONS__seed2,cn-cy-100c-01-V2-LOCATIONS,2,MV-HGS-SP,18,100,2,4,2,14,4,0.2222222222222222,16,0.16,4,4,0,4,0,0,"{""D_chengdu|cv"": 34, ""D_chengdu|ev"": 8, ""D_chongqing|cv"": 50, ""D_chongqing|ev"": 8}"
D6-E2-STAGED__cn-cy-100c-01-V2-LOCATIONS__seed3,cn-cy-100c-01-V2-LOCATIONS,3,HGS-M,18,100,2,4,2,14,4,0.2222222222222222,15,0.15,4,4,0,4,0,0,"{""D_chengdu|cv"": 35, ""D_chengdu|ev"": 7, ""D_chongqing|cv"": 50, ""D_chongqing|ev"": 8}"
D6-E2-STAGED__cn-cy-100c-01-V2-LOCATIONS__seed3,cn-cy-100c-01-V2-LOCATIONS,3,MV-HGS-SP,18,100,2,4,2,14,4,0.2222222222222222,15,0.15,4,4,0,4,0,0,"{""D_chengdu|cv"": 35, ""D_chengdu|ev"": 7, ""D_chongqing|cv"": 50, ""D_chongqing|ev"": 8}"
D6-E2-STAGED__cn-cy-100c-01-V2-LOCATIONS__seed4,cn-cy-100c-01-V2-LOCATIONS,4,HGS-M,18,100,2,4,2,14,4,0.2222222222222222,15,0.15,4,4,0,4,0,0,"{""D_chengdu|cv"": 35, ""D_chengdu|ev"": 7, ""D_chongqing|cv"": 50, ""D_chongqing|ev"": 8}"
D6-E2-STAGED__cn-cy-100c-01-V2-LOCATIONS__seed4,cn-cy-100c-01-V2-LOCATIONS,4,MV-HGS-SP,18,100,2,4,2,14,4,0.2222222222222222,16,0.16,4,4,0,4,0,0,"{""D_chengdu|cv"": 34, ""D_chengdu|ev"": 8, ""D_chongqing|cv"": 50, ""D_chongqing|ev"": 8}"
D6-E2-STAGED__cn-cy-100c-01-V2-LOCATIONS__seed5,cn-cy-100c-01-V2-LOCATIONS,5,HGS-M,18,100,2,4,2,14,4,0.2222222222222222,16,0.16,4,4,0,4,0,0,"{""D_chengdu|cv"": 34, ""D_chengdu|ev"": 8, ""D_chongqing|cv"": 50, ""D_chongqing|ev"": 8}"
D6-E2-STAGED__cn-cy-100c-01-V2-LOCATIONS__seed5,cn-cy-100c-01-V2-LOCATIONS,5,MV-HGS-SP,18,100,2,4,2,14,4,0.2222222222222222,16,0.16,4,4,0,4,0,0,"{""D_chengdu|cv"": 34, ""D_chengdu|ev"": 8, ""D_chongqing|cv"": 50, ""D_chongqing|ev"": 8}"
