instance_id,source,source_kind,source_objective,route_first,route_second,source_adjacent,fallback_columns,fallback_objective,generated_segments,generated_options_before_dedup,columns_after_dedup,selected_routes,mip_status_class,mip_gap,mip_seconds,local_delta,exact_evaluated,candidate_objective,exact_improvement
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,0,1,True,2,614.333390496962,112,764,384,2,OPTIMAL,0.0,0.017939499986823648,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,0,2,False,2,605.0219480318067,86,568,286,2,OPTIMAL,0.0,0.011031874979380518,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,0,3,False,2,618.676148148403,98,664,334,2,OPTIMAL,0.0,0.009376500034704804,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,0,4,False,2,617.7528030865824,128,844,424,2,OPTIMAL,0.0,0.010750374989584088,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,0,5,False,2,632.7506303297291,112,752,378,2,OPTIMAL,0.0,0.009799749997910112,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,0,6,False,2,557.4577653665956,98,724,364,2,OPTIMAL,0.0,0.009664957993663847,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,0,7,False,2,589.3077221381062,86,556,280,2,OPTIMAL,0.0,0.009105750010348856,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,0,8,False,2,582.566095975352,128,892,448,2,OPTIMAL,0.0,0.018222957965917885,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,0,9,False,2,602.0927605034419,112,740,372,2,OPTIMAL,0.0,0.011815916979685426,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,0,10,False,2,589.9144893518678,128,856,430,2,OPTIMAL,0.0,0.012210416956804693,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,0,11,False,2,577.9050794281534,112,740,372,2,OPTIMAL,0.0,0.015862542029935867,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,0,12,False,2,584.8516454309544,98,640,322,2,OPTIMAL,0.0,0.01092862500809133,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,0,13,False,2,599.0723670926413,128,868,436,2,OPTIMAL,0.0,0.01859687501564622,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,0,14,False,2,571.4200373258024,86,568,286,2,OPTIMAL,0.0,0.010173583985306323,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,1,2,True,2,599.2515857493999,86,556,280,2,OPTIMAL,0.0,0.011239917017519474,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,1,3,False,2,612.9057858659962,98,652,328,2,OPTIMAL,0.0,0.009326875035185367,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,1,4,False,2,611.9824408041757,128,832,418,2,OPTIMAL,0.0,0.011337040981743485,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,1,5,False,2,626.9802680473224,112,740,372,2,OPTIMAL,0.0,0.011410332983359694,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,1,6,False,2,551.6874030841889,98,712,358,2,OPTIMAL,0.0,0.00774837500648573,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,1,7,False,2,583.5373598556994,86,544,274,2,OPTIMAL,0.0,0.008718250028323382,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,1,8,False,2,576.7957336929452,128,880,442,2,OPTIMAL,0.0,0.014767499989829957,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,1,9,False,2,596.3223982210352,112,728,366,2,OPTIMAL,0.0,0.010575582971796393,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,1,10,False,2,584.1441270694611,128,844,424,2,OPTIMAL,0.0,0.011899999983143061,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,1,11,False,2,572.1347171457465,112,728,366,2,OPTIMAL,0.0,0.011051541951019317,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,1,12,False,2,579.0812831485475,98,628,316,2,OPTIMAL,0.0,0.010664000001270324,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,1,13,False,2,593.3020048102346,128,856,430,2,OPTIMAL,0.0,0.012009666999801993,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,1,14,False,2,565.6496750433955,86,556,280,2,OPTIMAL,0.0,0.009317083982750773,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,2,3,True,2,603.5943434008409,72,456,230,2,OPTIMAL,0.0,0.007384833006653935,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,2,4,False,2,602.6709983390203,102,636,320,2,OPTIMAL,0.0,0.00917920796200633,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,2,5,False,2,617.6688255821671,86,544,274,2,OPTIMAL,0.0,0.008786292048171163,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,2,6,False,2,542.3759606190335,72,516,260,2,OPTIMAL,0.0,0.006419250043109059,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,2,7,False,2,574.225917390544,60,348,176,2,OPTIMAL,0.0,0.004969500005245209,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,2,8,False,2,567.4842912277899,102,684,344,2,OPTIMAL,0.0,0.014219374977983534,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,2,9,False,2,587.0109557558799,86,532,268,2,OPTIMAL,0.0,0.00984041701303795,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,2,10,False,2,574.8326846043058,102,648,326,2,OPTIMAL,0.0,0.010764041973743588,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,2,11,False,2,562.8232746805912,86,532,268,2,OPTIMAL,0.0,0.017338041972834617,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,2,12,False,2,569.7698406833922,72,432,218,2,OPTIMAL,0.0,0.02105125004891306,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,2,13,False,2,583.9905623450793,102,660,332,2,OPTIMAL,0.0,0.01295558299170807,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,2,14,False,2,556.3382325782402,60,360,182,2,OPTIMAL,0.0,0.00818295800127089,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,3,4,True,2,616.3251984556167,114,732,368,2,OPTIMAL,0.0,0.009376000030897558,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,3,5,False,2,631.3230256987634,98,640,322,2,OPTIMAL,0.0,0.008723290986381471,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,3,6,False,2,556.0301607356299,84,612,308,2,OPTIMAL,0.0,0.00610683299601078,0.0,False,,False
cn-prd-100c-01-V2-LOCATIONS,parent_seed_1,parent,4312.448489640502,3,7,False,2,587.8801175071405,72,444,224,2,OPTIMAL,0.0,0.007524416025262326,0.0,False,,False
