instance_id,control_load_dimensions,treatment_load_dimensions,control_full_model_violation_count,control_cross_site_service_count,treatment_reciprocal_operator,treatment_active_node_operators,treatment_lock_removed,status,search_evaluations
cn-cy-100c-01-V2-LOCATIONS,3,1,0,0,Exchange11,Exchange10|Exchange20|Exchange11|Exchange21|Exchange22|SwapTails,True,PASS,0
cn-cy-100c-02-V2-LOCATIONS,3,1,0,0,Exchange11,Exchange10|Exchange20|Exchange11|Exchange21|Exchange22|SwapTails,True,PASS,0
cn-cy-100c-03-V2-LOCATIONS,3,1,0,0,Exchange11,Exchange10|Exchange20|Exchange11|Exchange21|Exchange22|SwapTails,True,PASS,0
cn-cy-10c-01-V2-LOCATIONS,2,1,0,0,Exchange11,Exchange10|Exchange20|Exchange11|Exchange21|Exchange22|SwapTails,True,PASS,0
cn-cy-10c-02-V2-LOCATIONS,2,1,0,0,Exchange11,Exchange10|Exchange20|Exchange11|Exchange21|Exchange22|SwapTails,True,PASS,0
cn-cy-10c-03-V2-LOCATIONS,2,1,0,0,Exchange11,Exchange10|Exchange20|Exchange11|Exchange21|Exchange22|SwapTails,True,PASS,0
cn-cy-150c-01-V2-LOCATIONS,3,1,0,0,Exchange11,Exchange10|Exchange20|Exchange11|Exchange21|Exchange22|SwapTails,True,PASS,0
cn-cy-150c-02-V2-LOCATIONS,3,1,0,0,Exchange11,Exchange10|Exchange20|Exchange11|Exchange21|Exchange22|SwapTails,True,PASS,0
cn-cy-150c-03-V2-LOCATIONS,3,1,0,0,Exchange11,Exchange10|Exchange20|Exchange11|Exchange21|Exchange22|SwapTails,True,PASS,0
cn-cy-15c-01-V2-LOCATIONS,2,1,0,0,Exchange11,Exchange10|Exchange20|Exchange11|Exchange21|Exchange22|SwapTails,True,PASS,0
cn-cy-15c-02-V2-LOCATIONS,2,1,0,0,Exchange11,Exchange10|Exchange20|Exchange11|Exchange21|Exchange22|SwapTails,True,PASS,0
cn-cy-15c-03-V2-LOCATIONS,2,1,0,0,Exchange11,Exchange10|Exchange20|Exchange11|Exchange21|Exchange22|SwapTails,True,PASS,0
cn-cy-200c-01-V2-LOCATIONS,3,1,0,0,Exchange11,Exchange10|Exchange20|Exchange11|Exchange21|Exchange22|SwapTails,True,PASS,0
cn-cy-200c-02-V2-LOCATIONS,3,1,0,0,Exchange11,Exchange10|Exchange20|Exchange11|Exchange21|Exchange22|SwapTails,True,PASS,0
cn-cy-200c-03-V2-LOCATIONS,3,1,0,0,Exchange11,Exchange10|Exchange20|Exchange11|Exchange21|Exchange22|SwapTails,True,PASS,0
cn-cy-20c-01-V2-LOCATIONS,2,1,0,0,Exchange11,Exchange10|Exchange20|Exchange11|Exchange21|Exchange22|SwapTails,True,PASS,0
cn-cy-20c-02-V2-LOCATIONS,2,1,0,0,Exchange11,Exchange10|Exchange20|Exchange11|Exchange21|Exchange22|SwapTails,True,PASS,0
cn-cy-20c-03-V2-LOCATIONS,2,1,0,0,Exchange11,Exchange10|Exchange20|Exchange11|Exchange21|Exchange22|SwapTails,True,PASS,0
cn-cy-25c-01-V2-LOCATIONS,2,1,0,0,Exchange11,Exchange10|Exchange20|Exchange11|Exchange21|Exchange22|SwapTails,True,PASS,0
cn-cy-25c-02-V2-LOCATIONS,2,1,0,0,Exchange11,Exchange10|Exchange20|Exchange11|Exchange21|Exchange22|SwapTails,True,PASS,0
cn-cy-25c-03-V2-LOCATIONS,2,1,0,0,Exchange11,Exchange10|Exchange20|Exchange11|Exchange21|Exchange22|SwapTails,True,PASS,0
