instance_id,depot_count
cn-cy-100c-01-V2-LOCATIONS,2
cn-cy-100c-02-V2-LOCATIONS,2
cn-cy-100c-03-V2-LOCATIONS,2
cn-cy-150c-01-V2-LOCATIONS,2
cn-cy-150c-02-V2-LOCATIONS,2
cn-cy-150c-03-V2-LOCATIONS,2
cn-cy-200c-01-V2-LOCATIONS,2
cn-cy-200c-02-V2-LOCATIONS,2
cn-cy-200c-03-V2-LOCATIONS,2
cn-cy-50c-01-V2-LOCATIONS,2
cn-cy-50c-02-V2-LOCATIONS,2
cn-cy-50c-03-V2-LOCATIONS,2
cn-cy-75c-01-V2-LOCATIONS,2
cn-cy-75c-02-V2-LOCATIONS,2
cn-cy-75c-03-V2-LOCATIONS,2
cn-jjj-100c-01-V2-LOCATIONS,2
cn-jjj-100c-02-V2-LOCATIONS,2
cn-jjj-100c-03-V2-LOCATIONS,2
cn-jjj-150c-01-V2-LOCATIONS,3
cn-jjj-150c-02-V2-LOCATIONS,3
cn-jjj-150c-03-V2-LOCATIONS,3
cn-jjj-200c-01-V2-LOCATIONS,3
cn-jjj-200c-02-V2-LOCATIONS,3
cn-jjj-200c-03-V2-LOCATIONS,3
cn-jjj-50c-01-V2-LOCATIONS,2
cn-jjj-50c-02-V2-LOCATIONS,2
cn-jjj-50c-03-V2-LOCATIONS,2
cn-jjj-75c-01-V2-LOCATIONS,2
cn-jjj-75c-02-V2-LOCATIONS,2
cn-jjj-75c-03-V2-LOCATIONS,2
cn-prd-100c-01-V2-LOCATIONS,2
cn-prd-100c-02-V2-LOCATIONS,2
cn-prd-100c-03-V2-LOCATIONS,2
cn-prd-150c-01-V2-LOCATIONS,4
cn-prd-150c-02-V2-LOCATIONS,4
cn-prd-150c-03-V2-LOCATIONS,4
cn-prd-200c-01-V2-LOCATIONS,4
cn-prd-200c-02-V2-LOCATIONS,4
cn-prd-200c-03-V2-LOCATIONS,4
cn-prd-50c-01-V2-LOCATIONS,2
cn-prd-50c-02-V2-LOCATIONS,2
cn-prd-50c-03-V2-LOCATIONS,2
cn-prd-75c-01-V2-LOCATIONS,2
cn-prd-75c-02-V2-LOCATIONS,2
cn-prd-75c-03-V2-LOCATIONS,2
