instance_id,region,customer_count,depot_count,mismatch_customer_count,mismatch_rate_pct,nearest_tie_count,administrative_assignment_rule,nearest_assignment_rule
cn-cy-100c-01-V2-LOCATIONS,cy,100,2,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-cy-100c-02-V2-LOCATIONS,cy,100,2,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-cy-100c-03-V2-LOCATIONS,cy,100,2,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-cy-10c-01-V2-LOCATIONS,cy,10,1,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-cy-10c-02-V2-LOCATIONS,cy,10,1,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-cy-10c-03-V2-LOCATIONS,cy,10,1,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-cy-150c-01-V2-LOCATIONS,cy,150,2,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-cy-150c-02-V2-LOCATIONS,cy,150,2,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-cy-150c-03-V2-LOCATIONS,cy,150,2,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-cy-15c-01-V2-LOCATIONS,cy,15,1,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-cy-15c-02-V2-LOCATIONS,cy,15,1,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-cy-15c-03-V2-LOCATIONS,cy,15,1,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-cy-200c-01-V2-LOCATIONS,cy,200,2,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-cy-200c-02-V2-LOCATIONS,cy,200,2,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-cy-200c-03-V2-LOCATIONS,cy,200,2,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-cy-20c-01-V2-LOCATIONS,cy,20,1,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-cy-20c-02-V2-LOCATIONS,cy,20,1,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-cy-20c-03-V2-LOCATIONS,cy,20,1,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-cy-25c-01-V2-LOCATIONS,cy,25,1,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-cy-25c-02-V2-LOCATIONS,cy,25,1,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-cy-25c-03-V2-LOCATIONS,cy,25,1,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-cy-50c-01-V2-LOCATIONS,cy,50,2,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
cn-cy-50c-02-V2-LOCATIONS,cy,50,2,0,0.0,0,customer city -> unique same-city depot,minimum directed depot-to-customer CV road distance
