instance_id,candidate_family,source_family,seed,arm,label_to_depot,source_label_by_depot,customer_count_by_depot,demand_kg_by_depot,payload_capacity_kg_by_depot,available_cv_by_depot,available_ev_by_depot,used_cv_by_depot,used_ev_by_depot,used_cv_total,used_ev_total,total_cost_cny,total_distance_km,total_emissions_kg,cross_contractor_customer_count,joint_relative_cost_change_pct,complete_candidate_evaluations,elapsed_seconds,mapping_sha256,initial_sha256,solution_sha256,status,status_reason
cn-prd-200c-03-V2-LOCATIONS,Uniform_Unbalanced_Capacity_Rank_Aligned,Uniform_Unbalanced,1,HISTORICAL_STANDALONE,"{""0"": ""D_shenzhen"", ""1"": ""D_guangzhou"", ""2"": ""D_foshan"", ""3"": ""D_dongguan""}","{""D_dongguan"": 3, ""D_foshan"": 2, ""D_guangzhou"": 1, ""D_shenzhen"": 0}","{""D_dongguan"": 20, ""D_foshan"": 20, ""D_guangzhou"": 80, ""D_shenzhen"": 80}","{""D_dongguan"": 5001.0, ""D_foshan"": 5487.0, ""D_guangzhou"": 22363.0, ""D_shenzhen"": 23266.0}","{""D_dongguan"": 12075.0, ""D_foshan"": 13810.0, ""D_guangzhou"": 25920.0, ""D_shenzhen"": 29355.0}","{""D_dongguan"": 5, ""D_foshan"": 6, ""D_guangzhou"": 12, ""D_shenzhen"": 13}","{""D_dongguan"": 2, ""D_foshan"": 2, ""D_guangzhou"": 3, ""D_shenzhen"": 4}","{""D_dongguan"": 2, ""D_foshan"": 3, ""D_guangzhou"": 12, ""D_shenzhen"": 11}","{""D_dongguan"": 2, ""D_foshan"": 2, ""D_guangzhou"": 3, ""D_shenzhen"": 4}",28,11,14201.353157624519,5496.53497848315,1389.1011577109866,0,-33.24686916426175,32,30.520986833027564,f538668afb6b378257485e39c500409a5d8d0bcd86901891937008b4a5671ec7,f8b565665e0b11659d18b7da740bd52f8b19bf18ba5300411038e37e85ccb1f4,e7aa4759dcae6b7e58e7da87b34f98e4021aea3cbd2afabdc56c0127b2dd938a,PASS,
cn-prd-200c-03-V2-LOCATIONS,Uniform_Unbalanced_Capacity_Rank_Aligned,Uniform_Unbalanced,1,JOINT_OPTIMIZED,"{""0"": ""D_shenzhen"", ""1"": ""D_guangzhou"", ""2"": ""D_foshan"", ""3"": ""D_dongguan""}","{""D_dongguan"": 3, ""D_foshan"": 2, ""D_guangzhou"": 1, ""D_shenzhen"": 0}","{""D_dongguan"": 20, ""D_foshan"": 20, ""D_guangzhou"": 80, ""D_shenzhen"": 80}","{""D_dongguan"": 5001.0, ""D_foshan"": 5487.0, ""D_guangzhou"": 22363.0, ""D_shenzhen"": 23266.0}","{""D_dongguan"": 12075.0, ""D_foshan"": 13810.0, ""D_guangzhou"": 25920.0, ""D_shenzhen"": 29355.0}","{""D_dongguan"": 5, ""D_foshan"": 6, ""D_guangzhou"": 12, ""D_shenzhen"": 13}","{""D_dongguan"": 2, ""D_foshan"": 2, ""D_guangzhou"": 3, ""D_shenzhen"": 4}","{""D_dongguan"": 3, ""D_foshan"": 4, ""D_guangzhou"": 8, ""D_shenzhen"": 9}","{""D_dongguan"": 2, ""D_foshan"": 2, ""D_guangzhou"": 3, ""D_shenzhen"": 4}",24,11,9479.84785375434,2413.21007354434,650.6255758344452,133,-33.24686916426175,32,34.170524375047535,f538668afb6b378257485e39c500409a5d8d0bcd86901891937008b4a5671ec7,f8b565665e0b11659d18b7da740bd52f8b19bf18ba5300411038e37e85ccb1f4,b0dcff27bc40784a3bfb7ec22b21b410a2b708ed07c557ff9cce9f644d0196d0,PASS,
cn-prd-200c-03-V2-LOCATIONS,Uniform_Unbalanced_Capacity_Rank_Aligned,Uniform_Unbalanced,2,HISTORICAL_STANDALONE,"{""0"": ""D_shenzhen"", ""1"": ""D_guangzhou"", ""2"": ""D_foshan"", ""3"": ""D_dongguan""}","{""D_dongguan"": 3, ""D_foshan"": 2, ""D_guangzhou"": 1, ""D_shenzhen"": 0}","{""D_dongguan"": 20, ""D_foshan"": 20, ""D_guangzhou"": 80, ""D_shenzhen"": 80}","{""D_dongguan"": 5001.0, ""D_foshan"": 5487.0, ""D_guangzhou"": 22363.0, ""D_shenzhen"": 23266.0}","{""D_dongguan"": 12075.0, ""D_foshan"": 13810.0, ""D_guangzhou"": 25920.0, ""D_shenzhen"": 29355.0}","{""D_dongguan"": 5, ""D_foshan"": 6, ""D_guangzhou"": 12, ""D_shenzhen"": 13}","{""D_dongguan"": 2, ""D_foshan"": 2, ""D_guangzhou"": 3, ""D_shenzhen"": 4}","{""D_dongguan"": 2, ""D_foshan"": 2, ""D_guangzhou"": 11, ""D_shenzhen"": 11}","{""D_dongguan"": 2, ""D_foshan"": 2, ""D_guangzhou"": 3, ""D_shenzhen"": 4}",26,11,13671.381642860682,5364.160870348815,1330.7250194896922,0,-31.201916187723796,32,36.067077166982926,f538668afb6b378257485e39c500409a5d8d0bcd86901891937008b4a5671ec7,f8b565665e0b11659d18b7da740bd52f8b19bf18ba5300411038e37e85ccb1f4,ad1e1ec4892fbf009b1800cb353830f2f2da3118b740978e80be024d69bf09c2,PASS,
cn-prd-200c-03-V2-LOCATIONS,Uniform_Unbalanced_Capacity_Rank_Aligned,Uniform_Unbalanced,2,JOINT_OPTIMIZED,"{""0"": ""D_shenzhen"", ""1"": ""D_guangzhou"", ""2"": ""D_foshan"", ""3"": ""D_dongguan""}","{""D_dongguan"": 3, ""D_foshan"": 2, ""D_guangzhou"": 1, ""D_shenzhen"": 0}","{""D_dongguan"": 20, ""D_foshan"": 20, ""D_guangzhou"": 80, ""D_shenzhen"": 80}","{""D_dongguan"": 5001.0, ""D_foshan"": 5487.0, ""D_guangzhou"": 22363.0, ""D_shenzhen"": 23266.0}","{""D_dongguan"": 12075.0, ""D_foshan"": 13810.0, ""D_guangzhou"": 25920.0, ""D_shenzhen"": 29355.0}","{""D_dongguan"": 5, ""D_foshan"": 6, ""D_guangzhou"": 12, ""D_shenzhen"": 13}","{""D_dongguan"": 2, ""D_foshan"": 2, ""D_guangzhou"": 3, ""D_shenzhen"": 4}","{""D_dongguan"": 2, ""D_foshan"": 4, ""D_guangzhou"": 9, ""D_shenzhen"": 8}","{""D_dongguan"": 2, ""D_foshan"": 2, ""D_guangzhou"": 3, ""D_shenzhen"": 4}",23,11,9405.648600951436,2567.36576382663,663.1093635922401,135,-31.201916187723796,32,36.74283441598527,f538668afb6b378257485e39c500409a5d8d0bcd86901891937008b4a5671ec7,f8b565665e0b11659d18b7da740bd52f8b19bf18ba5300411038e37e85ccb1f4,e1b5f22e691fcaee676f5008e77bf50b919142c92ff41f9bf0fe0e918e0b2225,PASS,
cn-prd-200c-03-V2-LOCATIONS,Uniform_Unbalanced_Capacity_Rank_Aligned,Uniform_Unbalanced,3,HISTORICAL_STANDALONE,"{""0"": ""D_shenzhen"", ""1"": ""D_guangzhou"", ""2"": ""D_foshan"", ""3"": ""D_dongguan""}","{""D_dongguan"": 3, ""D_foshan"": 2, ""D_guangzhou"": 1, ""D_shenzhen"": 0}","{""D_dongguan"": 20, ""D_foshan"": 20, ""D_guangzhou"": 80, ""D_shenzhen"": 80}","{""D_dongguan"": 5001.0, ""D_foshan"": 5487.0, ""D_guangzhou"": 22363.0, ""D_shenzhen"": 23266.0}","{""D_dongguan"": 12075.0, ""D_foshan"": 13810.0, ""D_guangzhou"": 25920.0, ""D_shenzhen"": 29355.0}","{""D_dongguan"": 5, ""D_foshan"": 6, ""D_guangzhou"": 12, ""D_shenzhen"": 13}","{""D_dongguan"": 2, ""D_foshan"": 2, ""D_guangzhou"": 3, ""D_shenzhen"": 4}","{""D_dongguan"": 2, ""D_foshan"": 2, ""D_guangzhou"": 11, ""D_shenzhen"": 11}","{""D_dongguan"": 2, ""D_foshan"": 2, ""D_guangzhou"": 3, ""D_shenzhen"": 4}",26,11,13693.814061702578,5361.682613596275,1344.7399295714354,0,-32.32004825118492,32,43.96352975000627,f538668afb6b378257485e39c500409a5d8d0bcd86901891937008b4a5671ec7,f8b565665e0b11659d18b7da740bd52f8b19bf18ba5300411038e37e85ccb1f4,ed2e206477e94225fd07e9217ea9d9c54f562ffce0cf8f43731751ef7ceeb4db,PASS,
cn-prd-200c-03-V2-LOCATIONS,Uniform_Unbalanced_Capacity_Rank_Aligned,Uniform_Unbalanced,3,JOINT_OPTIMIZED,"{""0"": ""D_shenzhen"", ""1"": ""D_guangzhou"", ""2"": ""D_foshan"", ""3"": ""D_dongguan""}","{""D_dongguan"": 3, ""D_foshan"": 2, ""D_guangzhou"": 1, ""D_shenzhen"": 0}","{""D_dongguan"": 20, ""D_foshan"": 20, ""D_guangzhou"": 80, ""D_shenzhen"": 80}","{""D_dongguan"": 5001.0, ""D_foshan"": 5487.0, ""D_guangzhou"": 22363.0, ""D_shenzhen"": 23266.0}","{""D_dongguan"": 12075.0, ""D_foshan"": 13810.0, ""D_guangzhou"": 25920.0, ""D_shenzhen"": 29355.0}","{""D_dongguan"": 5, ""D_foshan"": 6, ""D_guangzhou"": 12, ""D_shenzhen"": 13}","{""D_dongguan"": 2, ""D_foshan"": 2, ""D_guangzhou"": 3, ""D_shenzhen"": 4}","{""D_dongguan"": 3, ""D_foshan"": 2, ""D_guangzhou"": 9, ""D_shenzhen"": 9}","{""D_dongguan"": 2, ""D_foshan"": 2, ""D_guangzhou"": 3, ""D_shenzhen"": 4}",23,11,9267.96674953276,2470.69209766869,633.9681482650408,130,-32.32004825118492,32,36.86750112508889,f538668afb6b378257485e39c500409a5d8d0bcd86901891937008b4a5671ec7,f8b565665e0b11659d18b7da740bd52f8b19bf18ba5300411038e37e85ccb1f4,255028af3df313736e859546894cddab0145443b228944963556fc74f331d31d,PASS,
cn-prd-200c-03-V2-LOCATIONS,Uniform_Unbalanced_Capacity_Rank_Aligned,Uniform_Unbalanced,4,HISTORICAL_STANDALONE,"{""0"": ""D_shenzhen"", ""1"": ""D_guangzhou"", ""2"": ""D_foshan"", ""3"": ""D_dongguan""}","{""D_dongguan"": 3, ""D_foshan"": 2, ""D_guangzhou"": 1, ""D_shenzhen"": 0}","{""D_dongguan"": 20, ""D_foshan"": 20, ""D_guangzhou"": 80, ""D_shenzhen"": 80}","{""D_dongguan"": 5001.0, ""D_foshan"": 5487.0, ""D_guangzhou"": 22363.0, ""D_shenzhen"": 23266.0}","{""D_dongguan"": 12075.0, ""D_foshan"": 13810.0, ""D_guangzhou"": 25920.0, ""D_shenzhen"": 29355.0}","{""D_dongguan"": 5, ""D_foshan"": 6, ""D_guangzhou"": 12, ""D_shenzhen"": 13}","{""D_dongguan"": 2, ""D_foshan"": 2, ""D_guangzhou"": 3, ""D_shenzhen"": 4}","{""D_dongguan"": 2, ""D_foshan"": 3, ""D_guangzhou"": 12, ""D_shenzhen"": 11}","{""D_dongguan"": 2, ""D_foshan"": 2, ""D_guangzhou"": 3, ""D_shenzhen"": 4}",28,11,14082.093587398556,5424.887042346343,1359.9591965317445,0,-33.884589761893906,32,41.1088993329322,f538668afb6b378257485e39c500409a5d8d0bcd86901891937008b4a5671ec7,f8b565665e0b11659d18b7da740bd52f8b19bf18ba5300411038e37e85ccb1f4,21ebe0db1666cb66a731e1fe17538b1bb0d41672c02db59ccacf3582d6a03867,PASS,
cn-prd-200c-03-V2-LOCATIONS,Uniform_Unbalanced_Capacity_Rank_Aligned,Uniform_Unbalanced,4,JOINT_OPTIMIZED,"{""0"": ""D_shenzhen"", ""1"": ""D_guangzhou"", ""2"": ""D_foshan"", ""3"": ""D_dongguan""}","{""D_dongguan"": 3, ""D_foshan"": 2, ""D_guangzhou"": 1, ""D_shenzhen"": 0}","{""D_dongguan"": 20, ""D_foshan"": 20, ""D_guangzhou"": 80, ""D_shenzhen"": 80}","{""D_dongguan"": 5001.0, ""D_foshan"": 5487.0, ""D_guangzhou"": 22363.0, ""D_shenzhen"": 23266.0}","{""D_dongguan"": 12075.0, ""D_foshan"": 13810.0, ""D_guangzhou"": 25920.0, ""D_shenzhen"": 29355.0}","{""D_dongguan"": 5, ""D_foshan"": 6, ""D_guangzhou"": 12, ""D_shenzhen"": 13}","{""D_dongguan"": 2, ""D_foshan"": 2, ""D_guangzhou"": 3, ""D_shenzhen"": 4}","{""D_dongguan"": 3, ""D_foshan"": 4, ""D_guangzhou"": 7, ""D_shenzhen"": 9}","{""D_dongguan"": 2, ""D_foshan"": 2, ""D_guangzhou"": 3, ""D_shenzhen"": 4}",23,11,9310.433945422586,2471.3714524868287,649.1137653502991,137,-33.884589761893906,32,35.30845137499273,f538668afb6b378257485e39c500409a5d8d0bcd86901891937008b4a5671ec7,f8b565665e0b11659d18b7da740bd52f8b19bf18ba5300411038e37e85ccb1f4,dcf0f789d8b97ccb81a8f891ca85d96a3d82ebafc69631eddcb6b760f056c922,PASS,
cn-prd-200c-03-V2-LOCATIONS,Uniform_Unbalanced_Capacity_Rank_Aligned,Uniform_Unbalanced,5,HISTORICAL_STANDALONE,"{""0"": ""D_shenzhen"", ""1"": ""D_guangzhou"", ""2"": ""D_foshan"", ""3"": ""D_dongguan""}","{""D_dongguan"": 3, ""D_foshan"": 2, ""D_guangzhou"": 1, ""D_shenzhen"": 0}","{""D_dongguan"": 20, ""D_foshan"": 20, ""D_guangzhou"": 80, ""D_shenzhen"": 80}","{""D_dongguan"": 5001.0, ""D_foshan"": 5487.0, ""D_guangzhou"": 22363.0, ""D_shenzhen"": 23266.0}","{""D_dongguan"": 12075.0, ""D_foshan"": 13810.0, ""D_guangzhou"": 25920.0, ""D_shenzhen"": 29355.0}","{""D_dongguan"": 5, ""D_foshan"": 6, ""D_guangzhou"": 12, ""D_shenzhen"": 13}","{""D_dongguan"": 2, ""D_foshan"": 2, ""D_guangzhou"": 3, ""D_shenzhen"": 4}","{""D_dongguan"": 2, ""D_foshan"": 2, ""D_guangzhou"": 11, ""D_shenzhen"": 11}","{""D_dongguan"": 2, ""D_foshan"": 2, ""D_guangzhou"": 3, ""D_shenzhen"": 4}",26,11,13751.056655816508,5392.039476998464,1370.4266049792272,0,-30.985806486586164,32,31.414236999931745,f538668afb6b378257485e39c500409a5d8d0bcd86901891937008b4a5671ec7,f8b565665e0b11659d18b7da740bd52f8b19bf18ba5300411038e37e85ccb1f4,0dc82d059ffc1f111e5b0e49a8bfffe8a55aa65023b2c7bd7bc0fc760a2e7f69,PASS,
cn-prd-200c-03-V2-LOCATIONS,Uniform_Unbalanced_Capacity_Rank_Aligned,Uniform_Unbalanced,5,JOINT_OPTIMIZED,"{""0"": ""D_shenzhen"", ""1"": ""D_guangzhou"", ""2"": ""D_foshan"", ""3"": ""D_dongguan""}","{""D_dongguan"": 3, ""D_foshan"": 2, ""D_guangzhou"": 1, ""D_shenzhen"": 0}","{""D_dongguan"": 20, ""D_foshan"": 20, ""D_guangzhou"": 80, ""D_shenzhen"": 80}","{""D_dongguan"": 5001.0, ""D_foshan"": 5487.0, ""D_guangzhou"": 22363.0, ""D_shenzhen"": 23266.0}","{""D_dongguan"": 12075.0, ""D_foshan"": 13810.0, ""D_guangzhou"": 25920.0, ""D_shenzhen"": 29355.0}","{""D_dongguan"": 5, ""D_foshan"": 6, ""D_guangzhou"": 12, ""D_shenzhen"": 13}","{""D_dongguan"": 2, ""D_foshan"": 2, ""D_guangzhou"": 3, ""D_shenzhen"": 4}","{""D_dongguan"": 3, ""D_foshan"": 4, ""D_guangzhou"": 8, ""D_shenzhen"": 9}","{""D_dongguan"": 2, ""D_foshan"": 2, ""D_guangzhou"": 3, ""D_shenzhen"": 4}",24,11,9490.180850584378,2416.52892281807,652.824994433807,134,-30.985806486586164,32,38.49302012496628,f538668afb6b378257485e39c500409a5d8d0bcd86901891937008b4a5671ec7,f8b565665e0b11659d18b7da740bd52f8b19bf18ba5300411038e37e85ccb1f4,15c4328b43dfce272ca66a792ee308711e3b063656ec81cacf256654a185d26d,PASS,
