instance_id,depot_id,city,base_all_cv_routes_Rd,main_reserve_factor,num_cv,num_ev,total_fleet_cap,depot_charger_count,depot_charge_power_kw,fleet_parameter_class,charger_parameter_class,sensitivity_json
cn-cy-100c-01-V2-LOCATIONS,D_chengdu,chengdu,8,1.25,8,2,10,2,22.0,CONSTRUCTED_DEMAND_TIME_WINDOW_ROAD_SCENARIO,CONSTRUCTED_SCENARIO_NOT_OBSERVED_SITE_CONTRACT,"{""1.10"":{""num_cv"":8,""num_ev"":1},""1.25"":{""num_cv"":8,""num_ev"":2},""1.50"":{""num_cv"":8,""num_ev"":4}}"
cn-cy-100c-01-V2-LOCATIONS,D_chongqing,chongqing,10,1.25,10,3,13,2,22.0,CONSTRUCTED_DEMAND_TIME_WINDOW_ROAD_SCENARIO,CONSTRUCTED_SCENARIO_NOT_OBSERVED_SITE_CONTRACT,"{""1.10"":{""num_cv"":10,""num_ev"":2},""1.25"":{""num_cv"":10,""num_ev"":3},""1.50"":{""num_cv"":10,""num_ev"":5}}"
cn-cy-100c-02-V2-LOCATIONS,D_chengdu,chengdu,8,1.25,8,2,10,2,22.0,CONSTRUCTED_DEMAND_TIME_WINDOW_ROAD_SCENARIO,CONSTRUCTED_SCENARIO_NOT_OBSERVED_SITE_CONTRACT,"{""1.10"":{""num_cv"":8,""num_ev"":1},""1.25"":{""num_cv"":8,""num_ev"":2},""1.50"":{""num_cv"":8,""num_ev"":4}}"
cn-cy-100c-02-V2-LOCATIONS,D_chongqing,chongqing,10,1.25,10,3,13,2,22.0,CONSTRUCTED_DEMAND_TIME_WINDOW_ROAD_SCENARIO,CONSTRUCTED_SCENARIO_NOT_OBSERVED_SITE_CONTRACT,"{""1.10"":{""num_cv"":10,""num_ev"":2},""1.25"":{""num_cv"":10,""num_ev"":3},""1.50"":{""num_cv"":10,""num_ev"":5}}"
cn-cy-100c-03-V2-LOCATIONS,D_chengdu,chengdu,7,1.25,7,2,9,2,22.0,CONSTRUCTED_DEMAND_TIME_WINDOW_ROAD_SCENARIO,CONSTRUCTED_SCENARIO_NOT_OBSERVED_SITE_CONTRACT,"{""1.10"":{""num_cv"":7,""num_ev"":1},""1.25"":{""num_cv"":7,""num_ev"":2},""1.50"":{""num_cv"":7,""num_ev"":4}}"
cn-cy-100c-03-V2-LOCATIONS,D_chongqing,chongqing,10,1.25,10,3,13,2,22.0,CONSTRUCTED_DEMAND_TIME_WINDOW_ROAD_SCENARIO,CONSTRUCTED_SCENARIO_NOT_OBSERVED_SITE_CONTRACT,"{""1.10"":{""num_cv"":10,""num_ev"":2},""1.25"":{""num_cv"":10,""num_ev"":3},""1.50"":{""num_cv"":10,""num_ev"":5}}"
cn-cy-10c-01-V2-LOCATIONS,D_chongqing,chongqing,2,1.25,2,1,3,2,22.0,CONSTRUCTED_DEMAND_TIME_WINDOW_ROAD_SCENARIO,CONSTRUCTED_SCENARIO_NOT_OBSERVED_SITE_CONTRACT,"{""1.10"":{""num_cv"":2,""num_ev"":1},""1.25"":{""num_cv"":2,""num_ev"":1},""1.50"":{""num_cv"":2,""num_ev"":1}}"
cn-cy-10c-02-V2-LOCATIONS,D_chongqing,chongqing,2,1.25,2,1,3,2,22.0,CONSTRUCTED_DEMAND_TIME_WINDOW_ROAD_SCENARIO,CONSTRUCTED_SCENARIO_NOT_OBSERVED_SITE_CONTRACT,"{""1.10"":{""num_cv"":2,""num_ev"":1},""1.25"":{""num_cv"":2,""num_ev"":1},""1.50"":{""num_cv"":2,""num_ev"":1}}"
cn-cy-10c-03-V2-LOCATIONS,D_chongqing,chongqing,2,1.25,2,1,3,2,22.0,CONSTRUCTED_DEMAND_TIME_WINDOW_ROAD_SCENARIO,CONSTRUCTED_SCENARIO_NOT_OBSERVED_SITE_CONTRACT,"{""1.10"":{""num_cv"":2,""num_ev"":1},""1.25"":{""num_cv"":2,""num_ev"":1},""1.50"":{""num_cv"":2,""num_ev"":1}}"
cn-cy-150c-01-V2-LOCATIONS,D_chengdu,chengdu,11,1.25,11,3,14,2,22.0,CONSTRUCTED_DEMAND_TIME_WINDOW_ROAD_SCENARIO,CONSTRUCTED_SCENARIO_NOT_OBSERVED_SITE_CONTRACT,"{""1.10"":{""num_cv"":11,""num_ev"":2},""1.25"":{""num_cv"":11,""num_ev"":3},""1.50"":{""num_cv"":11,""num_ev"":6}}"
cn-cy-150c-01-V2-LOCATIONS,D_chongqing,chongqing,16,1.25,16,4,20,2,22.0,CONSTRUCTED_DEMAND_TIME_WINDOW_ROAD_SCENARIO,CONSTRUCTED_SCENARIO_NOT_OBSERVED_SITE_CONTRACT,"{""1.10"":{""num_cv"":16,""num_ev"":2},""1.25"":{""num_cv"":16,""num_ev"":4},""1.50"":{""num_cv"":16,""num_ev"":8}}"
cn-cy-150c-02-V2-LOCATIONS,D_chengdu,chengdu,11,1.25,11,3,14,2,22.0,CONSTRUCTED_DEMAND_TIME_WINDOW_ROAD_SCENARIO,CONSTRUCTED_SCENARIO_NOT_OBSERVED_SITE_CONTRACT,"{""1.10"":{""num_cv"":11,""num_ev"":2},""1.25"":{""num_cv"":11,""num_ev"":3},""1.50"":{""num_cv"":11,""num_ev"":6}}"
cn-cy-150c-02-V2-LOCATIONS,D_chongqing,chongqing,15,1.25,15,4,19,2,22.0,CONSTRUCTED_DEMAND_TIME_WINDOW_ROAD_SCENARIO,CONSTRUCTED_SCENARIO_NOT_OBSERVED_SITE_CONTRACT,"{""1.10"":{""num_cv"":15,""num_ev"":2},""1.25"":{""num_cv"":15,""num_ev"":4},""1.50"":{""num_cv"":15,""num_ev"":8}}"
cn-cy-150c-03-V2-LOCATIONS,D_chengdu,chengdu,11,1.25,11,3,14,2,22.0,CONSTRUCTED_DEMAND_TIME_WINDOW_ROAD_SCENARIO,CONSTRUCTED_SCENARIO_NOT_OBSERVED_SITE_CONTRACT,"{""1.10"":{""num_cv"":11,""num_ev"":2},""1.25"":{""num_cv"":11,""num_ev"":3},""1.50"":{""num_cv"":11,""num_ev"":6}}"
cn-cy-150c-03-V2-LOCATIONS,D_chongqing,chongqing,15,1.25,15,4,19,2,22.0,CONSTRUCTED_DEMAND_TIME_WINDOW_ROAD_SCENARIO,CONSTRUCTED_SCENARIO_NOT_OBSERVED_SITE_CONTRACT,"{""1.10"":{""num_cv"":15,""num_ev"":2},""1.25"":{""num_cv"":15,""num_ev"":4},""1.50"":{""num_cv"":15,""num_ev"":8}}"
cn-cy-15c-01-V2-LOCATIONS,D_chongqing,chongqing,3,1.25,3,1,4,2,22.0,CONSTRUCTED_DEMAND_TIME_WINDOW_ROAD_SCENARIO,CONSTRUCTED_SCENARIO_NOT_OBSERVED_SITE_CONTRACT,"{""1.10"":{""num_cv"":3,""num_ev"":1},""1.25"":{""num_cv"":3,""num_ev"":1},""1.50"":{""num_cv"":3,""num_ev"":2}}"
cn-cy-15c-02-V2-LOCATIONS,D_chongqing,chongqing,3,1.25,3,1,4,2,22.0,CONSTRUCTED_DEMAND_TIME_WINDOW_ROAD_SCENARIO,CONSTRUCTED_SCENARIO_NOT_OBSERVED_SITE_CONTRACT,"{""1.10"":{""num_cv"":3,""num_ev"":1},""1.25"":{""num_cv"":3,""num_ev"":1},""1.50"":{""num_cv"":3,""num_ev"":2}}"
