instance_id,depot_id,city,old_base_all_cv_routes_Rd,new_base_all_cv_routes_Rd,delta_Rd,old_num_cv_rho_1_25,new_num_cv_rho_1_25,old_num_ev_rho_1_25,new_num_ev_rho_1_25,old_total_fleet_cap_rho_1_25,new_total_fleet_cap_rho_1_25,old_num_cv_rho_1_10,new_num_cv_rho_1_10,old_num_ev_rho_1_10,new_num_ev_rho_1_10,old_num_cv_rho_1_50,new_num_cv_rho_1_50,old_num_ev_rho_1_50,new_num_ev_rho_1_50
cn-cy-100c-01-V2-LOCATIONS,D_chengdu,chengdu,8,8,0,8,8,2,2,10,10,8,8,1,1,8,8,4,4
cn-cy-100c-01-V2-LOCATIONS,D_chongqing,chongqing,10,10,0,10,10,3,3,13,13,10,10,2,2,10,10,5,5
cn-cy-100c-02-V2-LOCATIONS,D_chengdu,chengdu,8,8,0,8,8,2,2,10,10,8,8,1,1,8,8,4,4
cn-cy-100c-02-V2-LOCATIONS,D_chongqing,chongqing,10,10,0,10,10,3,3,13,13,10,10,2,2,10,10,5,5
cn-cy-100c-03-V2-LOCATIONS,D_chengdu,chengdu,7,7,0,7,7,2,2,9,9,7,7,1,1,7,7,4,4
cn-cy-100c-03-V2-LOCATIONS,D_chongqing,chongqing,10,10,0,10,10,3,3,13,13,10,10,2,2,10,10,5,5
cn-cy-10c-01-V2-LOCATIONS,D_chongqing,chongqing,2,2,0,2,2,1,1,3,3,2,2,1,1,2,2,1,1
cn-cy-10c-02-V2-LOCATIONS,D_chongqing,chongqing,2,2,0,2,2,1,1,3,3,2,2,1,1,2,2,1,1
cn-cy-10c-03-V2-LOCATIONS,D_chongqing,chongqing,2,2,0,2,2,1,1,3,3,2,2,1,1,2,2,1,1
cn-cy-150c-01-V2-LOCATIONS,D_chengdu,chengdu,11,11,0,11,11,3,3,14,14,11,11,2,2,11,11,6,6
cn-cy-150c-01-V2-LOCATIONS,D_chongqing,chongqing,16,16,0,16,16,4,4,20,20,16,16,2,2,16,16,8,8
cn-cy-150c-02-V2-LOCATIONS,D_chengdu,chengdu,11,11,0,11,11,3,3,14,14,11,11,2,2,11,11,6,6
cn-cy-150c-02-V2-LOCATIONS,D_chongqing,chongqing,15,15,0,15,15,4,4,19,19,15,15,2,2,15,15,8,8
cn-cy-150c-03-V2-LOCATIONS,D_chengdu,chengdu,11,11,0,11,11,3,3,14,14,11,11,2,2,11,11,6,6
cn-cy-150c-03-V2-LOCATIONS,D_chongqing,chongqing,15,15,0,15,15,4,4,19,19,15,15,2,2,15,15,8,8
cn-cy-15c-01-V2-LOCATIONS,D_chongqing,chongqing,3,3,0,3,3,1,1,4,4,3,3,1,1,3,3,2,2
cn-cy-15c-02-V2-LOCATIONS,D_chongqing,chongqing,3,3,0,3,3,1,1,4,4,3,3,1,1,3,3,2,2
cn-cy-15c-03-V2-LOCATIONS,D_chongqing,chongqing,3,3,0,3,3,1,1,4,4,3,3,1,1,3,3,2,2
cn-cy-200c-01-V2-LOCATIONS,D_chengdu,chengdu,14,14,0,14,14,4,4,18,18,14,14,2,2,14,14,7,7
cn-cy-200c-01-V2-LOCATIONS,D_chongqing,chongqing,20,20,0,20,20,5,5,25,25,20,20,3,3,20,20,10,10
cn-cy-200c-02-V2-LOCATIONS,D_chengdu,chengdu,14,14,0,14,14,4,4,18,18,14,14,2,2,14,14,7,7
cn-cy-200c-02-V2-LOCATIONS,D_chongqing,chongqing,20,20,0,20,20,5,5,25,25,20,20,3,3,20,20,10,10
cn-cy-200c-03-V2-LOCATIONS,D_chengdu,chengdu,14,14,0,14,14,4,4,18,18,14,14,2,2,14,14,7,7
cn-cy-200c-03-V2-LOCATIONS,D_chongqing,chongqing,21,21,0,21,21,6,6,27,27,21,21,3,3,21,21,11,11
cn-cy-20c-01-V2-LOCATIONS,D_chongqing,chongqing,4,4,0,4,4,1,1,5,5,4,4,1,1,4,4,2,2
cn-cy-20c-02-V2-LOCATIONS,D_chongqing,chongqing,4,4,0,4,4,1,1,5,5,4,4,1,1,4,4,2,2
cn-cy-20c-03-V2-LOCATIONS,D_chongqing,chongqing,4,4,0,4,4,1,1,5,5,4,4,1,1,4,4,2,2
cn-cy-25c-01-V2-LOCATIONS,D_chongqing,chongqing,4,4,0,4,4,1,1,5,5,4,4,1,1,4,4,2,2
cn-cy-25c-02-V2-LOCATIONS,D_chongqing,chongqing,5,5,0,5,5,2,2,7,7,5,5,1,1,5,5,3,3
cn-cy-25c-03-V2-LOCATIONS,D_chongqing,chongqing,5,5,0,5,5,2,2,7,7,5,5,1,1,5,5,3,3
cn-cy-50c-01-V2-LOCATIONS,D_chengdu,chengdu,4,4,0,4,4,1,1,5,5,4,4,1,1,4,4,2,2
cn-cy-50c-01-V2-LOCATIONS,D_chongqing,chongqing,5,5,0,5,5,2,2,7,7,5,5,1,1,5,5,3,3
cn-cy-50c-02-V2-LOCATIONS,D_chengdu,chengdu,4,4,0,4,4,1,1,5,5,4,4,1,1,4,4,2,2
cn-cy-50c-02-V2-LOCATIONS,D_chongqing,chongqing,5,5,0,5,5,2,2,7,7,5,5,1,1,5,5,3,3
cn-cy-50c-03-V2-LOCATIONS,D_chengdu,chengdu,4,4,0,4,4,1,1,5,5,4,4,1,1,4,4,2,2
cn-cy-50c-03-V2-LOCATIONS,D_chongqing,chongqing,6,6,0,6,6,2,2,8,8,6,6,1,1,6,6,3,3
cn-cy-75c-01-V2-LOCATIONS,D_chengdu,chengdu,5,5,0,5,5,2,2,7,7,5,5,1,1,5,5,3,3
cn-cy-75c-01-V2-LOCATIONS,D_chongqing,chongqing,7,7,0,7,7,2,2,9,9,7,7,1,1,7,7,4,4
cn-cy-75c-02-V2-LOCATIONS,D_chengdu,chengdu,6,6,0,6,6,2,2,8,8,6,6,1,1,6,6,3,3
cn-cy-75c-02-V2-LOCATIONS,D_chongqing,chongqing,7,7,0,7,7,2,2,9,9,7,7,1,1,7,7,4,4
cn-cy-75c-03-V2-LOCATIONS,D_chengdu,chengdu,6,6,0,6,6,2,2,8,8,6,6,1,1,6,6,3,3
cn-cy-75c-03-V2-LOCATIONS,D_chongqing,chongqing,8,8,0,8,8,2,2,10,10,8,8,1,1,8,8,4,4
cn-jjj-100c-01-V2-LOCATIONS,D_beijing,beijing,12,12,0,12,12,3,3,15,15,12,12,2,2,12,12,6,6
cn-jjj-100c-01-V2-LOCATIONS,D_tianjin,tianjin,5,5,0,5,5,2,2,7,7,5,5,1,1,5,5,3,3
