instance_id,depot_count,control_load_dimensions,treatment_load_dimensions,search_space_hard_lock_pass,control_full_model_violation_count,control_cross_site_service_count,complete_candidate_guard_source_pass,route_pool_first_filter_control_record_count,route_pool_open_treatment_record_count,route_pool_mip_second_filter_status,final_certificate_guard_source_pass,treatment_lock_removed,treatment_exchange11_active,treatment_cross_site_constructible,adversarial_cross_site_service_count,topology_note,status,search_evaluations
cn-cy-100c-01-V2-LOCATIONS,2,3,1,True,0,0,True,0,1,PASS_REJECTED_TO_NO_COLUMNS,True,True,True,True,1,MULTI_DEPOT_CROSS_SITE_CONSTRUCTIBLE,PASS,0
cn-cy-100c-02-V2-LOCATIONS,2,3,1,True,0,0,True,0,1,PASS_REJECTED_TO_NO_COLUMNS,True,True,True,True,1,MULTI_DEPOT_CROSS_SITE_CONSTRUCTIBLE,PASS,0
cn-cy-100c-03-V2-LOCATIONS,2,3,1,True,0,0,True,0,1,PASS_REJECTED_TO_NO_COLUMNS,True,True,True,True,1,MULTI_DEPOT_CROSS_SITE_CONSTRUCTIBLE,PASS,0
cn-cy-10c-01-V2-LOCATIONS,1,2,1,True,0,0,True,0,0,NOT_APPLICABLE_SINGLE_DEPOT,True,True,True,False,0,SINGLE_DEPOT_NO_DISTINCT_OTHER_DEPOT_EXISTS,HALT_TREATMENT_CROSS_SITE_TOPOLOGICALLY_IMPOSSIBLE,0
cn-cy-10c-02-V2-LOCATIONS,1,2,1,True,0,0,True,0,0,NOT_APPLICABLE_SINGLE_DEPOT,True,True,True,False,0,SINGLE_DEPOT_NO_DISTINCT_OTHER_DEPOT_EXISTS,HALT_TREATMENT_CROSS_SITE_TOPOLOGICALLY_IMPOSSIBLE,0
cn-cy-10c-03-V2-LOCATIONS,1,2,1,True,0,0,True,0,0,NOT_APPLICABLE_SINGLE_DEPOT,True,True,True,False,0,SINGLE_DEPOT_NO_DISTINCT_OTHER_DEPOT_EXISTS,HALT_TREATMENT_CROSS_SITE_TOPOLOGICALLY_IMPOSSIBLE,0
cn-cy-150c-01-V2-LOCATIONS,2,3,1,True,0,0,True,0,1,PASS_REJECTED_TO_NO_COLUMNS,True,True,True,True,1,MULTI_DEPOT_CROSS_SITE_CONSTRUCTIBLE,PASS,0
cn-cy-150c-02-V2-LOCATIONS,2,3,1,True,0,0,True,0,1,PASS_REJECTED_TO_NO_COLUMNS,True,True,True,True,1,MULTI_DEPOT_CROSS_SITE_CONSTRUCTIBLE,PASS,0
cn-cy-150c-03-V2-LOCATIONS,2,3,1,True,0,0,True,0,1,PASS_REJECTED_TO_NO_COLUMNS,True,True,True,True,1,MULTI_DEPOT_CROSS_SITE_CONSTRUCTIBLE,PASS,0
cn-cy-15c-01-V2-LOCATIONS,1,2,1,True,0,0,True,0,0,NOT_APPLICABLE_SINGLE_DEPOT,True,True,True,False,0,SINGLE_DEPOT_NO_DISTINCT_OTHER_DEPOT_EXISTS,HALT_TREATMENT_CROSS_SITE_TOPOLOGICALLY_IMPOSSIBLE,0
cn-cy-15c-02-V2-LOCATIONS,1,2,1,True,0,0,True,0,0,NOT_APPLICABLE_SINGLE_DEPOT,True,True,True,False,0,SINGLE_DEPOT_NO_DISTINCT_OTHER_DEPOT_EXISTS,HALT_TREATMENT_CROSS_SITE_TOPOLOGICALLY_IMPOSSIBLE,0
cn-cy-15c-03-V2-LOCATIONS,1,2,1,True,0,0,True,0,0,NOT_APPLICABLE_SINGLE_DEPOT,True,True,True,False,0,SINGLE_DEPOT_NO_DISTINCT_OTHER_DEPOT_EXISTS,HALT_TREATMENT_CROSS_SITE_TOPOLOGICALLY_IMPOSSIBLE,0
cn-cy-200c-01-V2-LOCATIONS,2,3,1,True,0,0,True,0,1,PASS_REJECTED_TO_NO_COLUMNS,True,True,True,True,1,MULTI_DEPOT_CROSS_SITE_CONSTRUCTIBLE,PASS,0
cn-cy-200c-02-V2-LOCATIONS,2,3,1,True,0,0,True,0,1,PASS_REJECTED_TO_NO_COLUMNS,True,True,True,True,1,MULTI_DEPOT_CROSS_SITE_CONSTRUCTIBLE,PASS,0
