summary_level,summary_label,row_count,solution_count,grid_day_count,asap_charging_emissions_kg,carbon_charging_emissions_kg,charging_emissions_reduction_pct,unit_reduction_min_pct,unit_reduction_q1_pct,unit_reduction_median_pct,unit_reduction_q3_pct,unit_reduction_max_pct,asap_system_total_emissions_kg,carbon_system_total_emissions_kg,system_total_emissions_reduction_pct,asap_charging_electricity_cost_cny,carbon_charging_electricity_cost_cny,charging_electricity_cost_reduction_pct,charging_energy_kwh,movable_energy_kwh,movable_energy_share_pct,immovable_energy_kwh,immovable_energy_share_pct,window_too_narrow_kwh,already_lowest_carbon_kwh,depot_capacity_constrained_kwh,unclassified_immovable_kwh,asap_violation_count,carbon_violation_count,max_independent_residual
overall,all,11340,405,28,475317.33454016125,214033.62756881423,54.97037199876627,11.404291037270173,40.30049715768079,55.69059169392253,71.50450559749585,95.65610859728508,2680860.5424242686,2419576.835452921,9.74626254654305,528422.792406114,1241158.2749370802,-134.879776719245,1234753.9355474822,1214239.7126303248,98.33859829666697,20514.222917157458,1.6614017033330273,0.0,14066.238565112624,6447.98435204479,0.0,0,0,0.0
region,jjj,3780,135,28,218412.66967130353,101078.29159851004,53.72141563462133,13.362270397951471,49.530198743274454,59.21851141935568,67.38746450022559,83.50733058987682,963036.5295349848,845702.1514621914,12.183793083056774,226817.1431482964,412146.9897160449,-81.70892375916098,408387.8388473832,404539.8122111966,99.0577519039139,3848.026636186638,0.9422480960860998,0.0,2612.821258299905,1235.2053778867091,0.0,0,0,0.0
region,prd,3780,135,28,158861.0467012551,54866.99759089645,65.46227112926171,27.85595949047135,56.48847819327347,73.81702817709302,86.95771065372126,95.65610859728508,841280.5643773397,737286.515266981,12.36139921850307,138894.2886542101,469368.4022073179,-237.9321113597788,415939.36425979633,404485.9469529836,97.2463733200162,11453.417306812713,2.7536266799837903,0.0,11453.41730681272,0.0,0.0,0,0,0.0
region,cy,3780,135,28,98043.61816760256,58088.33837940776,40.75255537784466,11.404291037270173,27.298715731528542,36.403882626909464,48.396836687054595,93.27906872537368,876543.4485119439,836588.1687237491,4.558277157398703,162711.36060360752,359642.8830137175,-121.03120622896675,410426.7324403026,405213.95346614457,98.7299124150213,5212.778974158049,1.2700875849787046,0.0,0.0,5212.778974158081,0.0,0,0,0.0
customer_size,10,1260,45,28,14446.726549581774,5813.606935163161,59.758309848181746,16.789405874963755,42.50993549535958,62.24503917930727,74.55543902084575,95.65610859728508,44417.68495011674,35784.56533569813,19.436221460245015,15783.640925142718,35499.024354409696,-124.91023790246741,35966.47557701482,35966.47557701482,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
customer_size,15,1260,45,28,16144.22760617718,6862.87268653052,57.49023828241485,11.404291037270173,41.18211979206517,61.87002685973881,77.46781643142106,95.65610859728507,79617.37174902485,70336.01682937819,11.6574495185598,17701.03692986123,37721.67097330406,-113.10430074109667,40786.707175061565,40786.707175061565,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
customer_size,20,1260,45,28,15185.022811269875,6256.173483140674,58.8003682253442,16.7580646212506,42.84508221223086,63.12425905370389,80.14737223523996,95.65610859728507,103167.69065804615,94238.84132991695,8.654695351982111,16557.91496351333,35504.89829881821,-114.42855804644518,38662.4595080604,38662.4595080604,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
customer_size,25,1260,45,28,25298.60039018166,10522.021169342863,58.4086826659927,17.586339990790826,42.11592759350367,61.32235664644195,74.29857184845342,95.62764509630809,111955.52187280786,97178.94265196906,13.198615819616652,27209.83242818908,61845.27842129892,-127.29018484225544,64393.279365851326,64393.279365851326,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
customer_size,50,1260,45,28,46109.25314856186,19856.356062761603,56.93628782321555,14.848516248900104,40.683232034757275,55.5348430086714,69.64862226125565,95.56713182632792,215559.04415342098,189306.1470676207,12.178981953137239,55476.897472418605,128461.54393728913,-131.55863033104225,123636.46619366754,118678.75949688426,95.99009349796734,4957.70669678328,4.0099065020326545,0.0,4957.706696783276,0.0,0.0,0,0,0.0
customer_size,75,1260,45,28,55493.92930674572,25649.509710170587,53.779611516799385,20.556427162023198,38.911498976612876,52.211368342816286,66.10614125252081,95.57588671918859,309158.20364761096,279313.7840510358,9.653445790684186,66508.75859235342,157247.1574718656,-136.43075107696336,150738.16104128276,146684.50688251047,97.31079765683083,4053.6541587722895,2.6892023431691676,0.0,4053.6541587722995,0.0,0.0,0,0,0.0
customer_size,100,1260,45,28,76799.92415424802,38245.07907135247,50.20167077959669,13.362270397951471,36.58676757655837,49.716874498984005,65.39450496146434,95.56500526148518,406710.0808814054,368155.23579850985,9.47968759450001,87599.93428116829,197550.01521441824,-125.51388518208782,194798.65696652114,188797.6082845147,96.91935828744558,6001.048682006454,3.080641712554424,0.0,5054.8777095570495,946.1709724494251,0.0,0,0,0.0
customer_size,150,1260,45,28,98248.64546129035,43080.99428102625,56.15105523464949,15.790858981161632,41.984331467226006,52.993731410599395,66.9633630885113,95.421939119742,608238.8104667835,553071.1592865194,9.070064295622062,104413.84087894,258352.57062037484,-147.43134477728412,254272.18249409428,252858.2827062782,99.44394240300001,1413.8997878160735,0.5560575969999836,0.0,0.0,1413.8997878160746,0.0,0,0,0.0
customer_size,200,1260,45,28,127591.00511210479,57747.01416932612,54.74052883384054,14.713736520958943,38.70580594676235,51.86321088757644,65.14921018777645,95.346721665094,802036.134045052,732192.1431022733,8.70833469690723,137170.93593452737,328976.1156453015,-139.82931471891692,331499.54722592834,327411.63363414904,98.76684187776786,4087.913591779303,1.2331581222321397,0.0,0.0,4087.9135917792905,0.0,0,0,0.0
