instance_id,region,customer_count,replicate,route_index,source_vehicle_id,arc_count,ev_road_distance_m,ev_road_distance_km,reference_range_km,exceeds_reference_range,excess_km,formal_six_instance
cn-cy-100c-01-V2-LOCATIONS,cy,100,1,0,FLEET-CV-0001,5,70629.525507742,70.629525507742,95.0,False,0.0,False
cn-cy-100c-01-V2-LOCATIONS,cy,100,1,1,FLEET-CV-0002,6,66233.862204629,66.23386220462899,95.0,False,0.0,False
cn-cy-100c-01-V2-LOCATIONS,cy,100,1,2,FLEET-CV-0003,7,70096.571143079,70.09657114307899,95.0,False,0.0,False
cn-cy-100c-01-V2-LOCATIONS,cy,100,1,3,FLEET-CV-0004,7,81012.330681611,81.012330681611,95.0,False,0.0,False
cn-cy-100c-01-V2-LOCATIONS,cy,100,1,4,FLEET-CV-0005,9,83065.824694257,83.065824694257,95.0,False,0.0,False
cn-cy-100c-01-V2-LOCATIONS,cy,100,1,5,FLEET-CV-0006,6,77409.04949608601,77.40904949608601,95.0,False,0.0,False
cn-cy-100c-01-V2-LOCATIONS,cy,100,1,6,FLEET-CV-0007,7,76095.302184759,76.09530218475899,95.0,False,0.0,False
cn-cy-100c-01-V2-LOCATIONS,cy,100,1,7,FLEET-CV-0008,3,57975.316046778,57.975316046778005,95.0,False,0.0,False
cn-cy-100c-01-V2-LOCATIONS,cy,100,1,8,FLEET-CV-0009,8,145081.762379588,145.081762379588,95.0,True,50.081762379588014,False
cn-cy-100c-01-V2-LOCATIONS,cy,100,1,9,FLEET-CV-0010,10,131221.0816267,131.2210816267,95.0,True,36.2210816267,False
cn-cy-100c-01-V2-LOCATIONS,cy,100,1,10,FLEET-CV-0011,6,115901.933613047,115.901933613047,95.0,True,20.901933613047007,False
cn-cy-100c-01-V2-LOCATIONS,cy,100,1,11,FLEET-CV-0012,7,144854.455183026,144.854455183026,95.0,True,49.854455183026005,False
cn-cy-100c-01-V2-LOCATIONS,cy,100,1,12,FLEET-CV-0013,7,119191.91164909399,119.191911649094,95.0,True,24.191911649093996,False
cn-cy-100c-01-V2-LOCATIONS,cy,100,1,13,FLEET-CV-0014,6,107504.063384929,107.504063384929,95.0,True,12.504063384928997,False
cn-cy-100c-01-V2-LOCATIONS,cy,100,1,14,FLEET-CV-0015,8,120134.748159983,120.134748159983,95.0,True,25.134748159983005,False
cn-cy-100c-01-V2-LOCATIONS,cy,100,1,15,FLEET-CV-0016,6,99355.475337527,99.355475337527,95.0,True,4.355475337526997,False
cn-cy-100c-01-V2-LOCATIONS,cy,100,1,16,FLEET-CV-0017,8,117013.990773168,117.013990773168,95.0,True,22.013990773168004,False
cn-cy-100c-01-V2-LOCATIONS,cy,100,1,17,FLEET-CV-0018,2,76133.34101395,76.13334101395,95.0,False,0.0,False
cn-cy-100c-02-V2-LOCATIONS,cy,100,2,0,FLEET-CV-0001,7,79254.434004272,79.254434004272,95.0,False,0.0,False
cn-cy-100c-02-V2-LOCATIONS,cy,100,2,1,FLEET-CV-0002,8,84041.669296369,84.041669296369,95.0,False,0.0,False
cn-cy-100c-02-V2-LOCATIONS,cy,100,2,2,FLEET-CV-0003,6,58870.464518756,58.870464518756,95.0,False,0.0,False
cn-cy-100c-02-V2-LOCATIONS,cy,100,2,3,FLEET-CV-0004,7,76283.161964502,76.283161964502,95.0,False,0.0,False
cn-cy-100c-02-V2-LOCATIONS,cy,100,2,4,FLEET-CV-0005,6,73247.308692905,73.24730869290501,95.0,False,0.0,False
cn-cy-100c-02-V2-LOCATIONS,cy,100,2,5,FLEET-CV-0006,7,72622.532635243,72.622532635243,95.0,False,0.0,False
cn-cy-100c-02-V2-LOCATIONS,cy,100,2,6,FLEET-CV-0007,6,67353.16580249,67.35316580249,95.0,False,0.0,False
cn-cy-100c-02-V2-LOCATIONS,cy,100,2,7,FLEET-CV-0008,3,59874.15317031,59.874153170309995,95.0,False,0.0,False
cn-cy-100c-02-V2-LOCATIONS,cy,100,2,8,FLEET-CV-0009,8,156744.08302726,156.74408302726,95.0,True,61.74408302725999,False
cn-cy-100c-02-V2-LOCATIONS,cy,100,2,9,FLEET-CV-0010,8,101601.007428513,101.601007428513,95.0,True,6.601007428513,False
cn-cy-100c-02-V2-LOCATIONS,cy,100,2,10,FLEET-CV-0011,7,112596.56470974401,112.59656470974402,95.0,True,17.596564709744015,False
cn-cy-100c-02-V2-LOCATIONS,cy,100,2,11,FLEET-CV-0012,7,122343.054443373,122.34305444337299,95.0,True,27.343054443372992,False
cn-cy-100c-02-V2-LOCATIONS,cy,100,2,12,FLEET-CV-0013,7,110374.508381347,110.374508381347,95.0,True,15.374508381346999,False
cn-cy-100c-02-V2-LOCATIONS,cy,100,2,13,FLEET-CV-0014,7,125836.180574414,125.836180574414,95.0,True,30.836180574414,False
cn-cy-100c-02-V2-LOCATIONS,cy,100,2,14,FLEET-CV-0015,7,107587.832455928,107.587832455928,95.0,True,12.587832455927995,False
cn-cy-100c-02-V2-LOCATIONS,cy,100,2,15,FLEET-CV-0016,8,143815.087058627,143.815087058627,95.0,True,48.815087058627,False
cn-cy-100c-02-V2-LOCATIONS,cy,100,2,16,FLEET-CV-0017,7,93546.95504992,93.54695504992,95.0,False,0.0,False
cn-cy-100c-02-V2-LOCATIONS,cy,100,2,17,FLEET-CV-0018,2,70618.245573107,70.61824557310699,95.0,False,0.0,False
cn-cy-100c-03-V2-LOCATIONS,cy,100,3,0,FLEET-CV-0001,7,91738.878778988,91.738878778988,95.0,False,0.0,False
cn-cy-100c-03-V2-LOCATIONS,cy,100,3,1,FLEET-CV-0002,6,65075.516409569005,65.075516409569,95.0,False,0.0,False
cn-cy-100c-03-V2-LOCATIONS,cy,100,3,2,FLEET-CV-0003,7,81879.308393812,81.879308393812,95.0,False,0.0,False
cn-cy-100c-03-V2-LOCATIONS,cy,100,3,3,FLEET-CV-0004,11,110891.192870289,110.891192870289,95.0,True,15.891192870289004,False
cn-cy-100c-03-V2-LOCATIONS,cy,100,3,4,FLEET-CV-0005,7,72701.050197219,72.70105019721899,95.0,False,0.0,False
cn-cy-100c-03-V2-LOCATIONS,cy,100,3,5,FLEET-CV-0006,5,58806.299367361,58.80629936736101,95.0,False,0.0,False
cn-cy-100c-03-V2-LOCATIONS,cy,100,3,6,FLEET-CV-0007,6,61948.036535116,61.948036535116,95.0,False,0.0,False
cn-cy-100c-03-V2-LOCATIONS,cy,100,3,7,FLEET-CV-0008,8,146344.959201367,146.34495920136698,95.0,True,51.344959201366976,False
cn-cy-100c-03-V2-LOCATIONS,cy,100,3,8,FLEET-CV-0009,8,145351.309539065,145.351309539065,95.0,True,50.351309539065,False
cn-cy-100c-03-V2-LOCATIONS,cy,100,3,9,FLEET-CV-0010,7,116905.061975345,116.905061975345,95.0,True,21.905061975345006,False
cn-cy-100c-03-V2-LOCATIONS,cy,100,3,10,FLEET-CV-0011,8,145375.321298482,145.37532129848202,95.0,True,50.37532129848202,False
cn-cy-100c-03-V2-LOCATIONS,cy,100,3,11,FLEET-CV-0012,8,114091.07819452499,114.091078194525,95.0,True,19.091078194524997,False
cn-cy-100c-03-V2-LOCATIONS,cy,100,3,12,FLEET-CV-0013,7,101913.37509018599,101.913375090186,95.0,True,6.913375090185994,False
cn-cy-100c-03-V2-LOCATIONS,cy,100,3,13,FLEET-CV-0014,8,118575.90389417601,118.57590389417601,95.0,True,23.575903894176008,False
cn-cy-100c-03-V2-LOCATIONS,cy,100,3,14,FLEET-CV-0015,7,123954.992021008,123.954992021008,95.0,True,28.954992021007996,False
cn-cy-100c-03-V2-LOCATIONS,cy,100,3,15,FLEET-CV-0016,4,86288.798221666,86.288798221666,95.0,False,0.0,False
cn-cy-100c-03-V2-LOCATIONS,cy,100,3,16,FLEET-CV-0017,3,97865.353747856,97.865353747856,95.0,True,2.8653537478560054,False
cn-cy-10c-01-V2-LOCATIONS,cy,10,1,0,FLEET-CV-0001,8,129287.634763031,129.287634763031,95.0,True,34.28763476303101,False
cn-cy-10c-01-V2-LOCATIONS,cy,10,1,1,FLEET-CV-0002,4,70180.641333488,70.18064133348801,95.0,False,0.0,False
cn-cy-10c-02-V2-LOCATIONS,cy,10,2,0,FLEET-CV-0001,6,111936.74211435,111.93674211435,95.0,True,16.936742114349997,False
cn-cy-10c-02-V2-LOCATIONS,cy,10,2,1,FLEET-CV-0002,6,102151.47061061,102.15147061061,95.0,True,7.151470610610005,False
cn-cy-10c-03-V2-LOCATIONS,cy,10,3,0,FLEET-CV-0001,7,107692.068439344,107.692068439344,95.0,True,12.692068439343998,False
cn-cy-10c-03-V2-LOCATIONS,cy,10,3,1,FLEET-CV-0002,5,86322.621130331,86.322621130331,95.0,False,0.0,False
cn-cy-150c-01-V2-LOCATIONS,cy,150,1,0,FLEET-CV-0001,7,76686.075165331,76.686075165331,95.0,False,0.0,False
cn-cy-150c-01-V2-LOCATIONS,cy,150,1,1,FLEET-CV-0002,6,73412.927185578,73.412927185578,95.0,False,0.0,False
cn-cy-150c-01-V2-LOCATIONS,cy,150,1,2,FLEET-CV-0003,8,69933.044753249,69.933044753249,95.0,False,0.0,False
cn-cy-150c-01-V2-LOCATIONS,cy,150,1,3,FLEET-CV-0004,8,102220.324874772,102.220324874772,95.0,True,7.220324874772004,False
cn-cy-150c-01-V2-LOCATIONS,cy,150,1,4,FLEET-CV-0005,6,71530.781545853,71.53078154585299,95.0,False,0.0,False
cn-cy-150c-01-V2-LOCATIONS,cy,150,1,5,FLEET-CV-0006,8,80526.61870365,80.52661870365,95.0,False,0.0,False
cn-cy-150c-01-V2-LOCATIONS,cy,150,1,6,FLEET-CV-0007,6,69265.368930465,69.265368930465,95.0,False,0.0,False
cn-cy-150c-01-V2-LOCATIONS,cy,150,1,7,FLEET-CV-0008,8,75121.731391635,75.121731391635,95.0,False,0.0,False
cn-cy-150c-01-V2-LOCATIONS,cy,150,1,8,FLEET-CV-0009,8,82267.075472162,82.267075472162,95.0,False,0.0,False
