unit_id,instance_id,seed,capacity_kwh,public_charge_power_kw,source_unit_sha256,charging_action_count,source_charging_minutes,m17_execution_charging_minutes,duration_increase_minutes,route_hash_unchanged,frozen_action_hash_unchanged,only_duration_and_curve_changed,execution_legal,violation_count,violation_types,battery_violation_count,time_window_violation_count,station_capacity_conflict_count
cn-prd-100c-02-V2-LOCATIONS__seed1__P22__B16,cn-prd-100c-02-V2-LOCATIONS,1,16.0,22.0,c773ef965455241522a956e4a8fdc41742f5051ff9b9fee71ec6899a8a5a9fb1,3,71.96084400016655,75.56404354409192,3.6031995439253706,True,True,True,True,0,,0,0,0
cn-prd-100c-02-V2-LOCATIONS__seed1__P22__B20,cn-prd-100c-02-V2-LOCATIONS,1,20.0,22.0,e414b6a95ea9e9f5ca7c4351c761e876f3162ebc74c919c9430e56fa4356ed7f,2,53.17351175480372,53.3299044364355,0.15639268163177888,True,True,True,False,1,TIME_WINDOW,0,1,0
cn-prd-100c-02-V2-LOCATIONS__seed1__P22__B24,cn-prd-100c-02-V2-LOCATIONS,1,24.0,22.0,bac79128e7f696761747964335a39fe4d3d4fb6d2adfccd57a0470db6641cc6b,1,16.78620575199541,16.835576945383643,0.04937119338823237,True,True,True,True,0,,0,0,0
cn-prd-100c-02-V2-LOCATIONS__seed1__P22__B28,cn-prd-100c-02-V2-LOCATIONS,1,28.0,22.0,6f83bd543cb834f7bcbd6199d4311d518428124f85ea93f21794a3033d7f6d06,1,5.984328410020832,6.001929375932665,0.017600965911833022,True,True,True,True,0,,0,0,0
cn-prd-100c-02-V2-LOCATIONS__seed1__P22__B32,cn-prd-100c-02-V2-LOCATIONS,1,32.0,22.0,b4a9d57d4c73ba92cef97006279f9f49462aaff182fd1e5426aeae923c2ba56e,0,0,0,0,True,True,True,True,0,,0,0,0
cn-prd-100c-02-V2-LOCATIONS__seed2__P22__B16,cn-prd-100c-02-V2-LOCATIONS,2,16.0,22.0,0e301ae5aca2c3e15bf1ddd2132bc00189aca796f5e2b060821ddb0d594a5017,3,75.35539380482959,80.03468257822884,4.67928877339925,True,True,True,False,1,TIME_WINDOW,0,1,0
cn-prd-100c-02-V2-LOCATIONS__seed2__P22__B20,cn-prd-100c-02-V2-LOCATIONS,2,20.0,22.0,9001307fea3870d461e596d57b048b8f11407ba3cc4a2f6dbdf1b1d7401f0806,2,49.682055707176445,49.828179400432845,0.14612369325639918,True,True,True,True,0,,0,0,0
cn-prd-100c-02-V2-LOCATIONS__seed2__P22__B24,cn-prd-100c-02-V2-LOCATIONS,2,24.0,22.0,a019e7d2a883084f489b023947ef97d5e81fbf15d95840c5c7392f169a300cc7,1,16.78620575199541,16.835576945383643,0.04937119338823237,True,True,True,True,0,,0,0,0
cn-prd-100c-02-V2-LOCATIONS__seed2__P22__B28,cn-prd-100c-02-V2-LOCATIONS,2,28.0,22.0,c36d791cdc78608e2378b24394dfb49200c711e9d249f129f89bf4eb6221e017,0,0,0,0,True,True,True,True,0,,0,0,0
cn-prd-100c-02-V2-LOCATIONS__seed2__P22__B32,cn-prd-100c-02-V2-LOCATIONS,2,32.0,22.0,e8d6c7a6e4e4e716e97109ccf61c7c1eaa62c0f402140156e945ed6803e7d8b2,0,0,0,0,True,True,True,True,0,,0,0,0
cn-prd-100c-02-V2-LOCATIONS__seed3__P22__B16,cn-prd-100c-02-V2-LOCATIONS,3,16.0,22.0,c9cddd8415529a756feda94a4e1dc80e7189d13ab88d7d6182fb51f9db817cf3,3,67.8224697563399,68.05951807714483,0.23704832080493077,True,True,True,True,0,,0,0,0
cn-prd-100c-02-V2-LOCATIONS__seed3__P22__B20,cn-prd-100c-02-V2-LOCATIONS,3,20.0,22.0,aab0d61569b0efda1037523c8ea8d4385ec67f103c6e2f6d8fb7c9787b7ca63b,2,46.02751195733569,46.16288699250434,0.13537503516865002,True,True,True,True,0,,0,0,0
cn-prd-100c-02-V2-LOCATIONS__seed3__P22__B24,cn-prd-100c-02-V2-LOCATIONS,3,24.0,22.0,c8332dbabdabf123c6ec4e8b535aea1ba8b91f83501246341f35c747c7ff734e,1,15.482157548662185,15.527693306158252,0.045535757496066864,True,True,True,True,0,,0,0,0
cn-prd-100c-02-V2-LOCATIONS__seed3__P22__B28,cn-prd-100c-02-V2-LOCATIONS,3,28.0,22.0,accc69f220f852ee4ad545b1b7fae032812e866a0bd43b4cd3d529664d4c457e,1,4.573066639571274,4.586516835570015,0.013450195998741421,True,True,True,True,0,,0,0,0
cn-prd-100c-02-V2-LOCATIONS__seed3__P22__B32,cn-prd-100c-02-V2-LOCATIONS,3,32.0,22.0,e1a9098fc92df37b4fdea9ba0861f2dc186826203339eb0315597286c05ff2eb,0,0,0,0,True,True,True,True,0,,0,0,0
cn-prd-50c-01-V2-LOCATIONS__seed1__P22__B16,cn-prd-50c-01-V2-LOCATIONS,1,16.0,22.0,c54a8e1f512d4030ee957767d903b236b09c8aae11e17d99e777814978662947,1,29.063394994973397,29.14887556848802,0.0854805735146229,True,True,True,True,0,,0,0,0
cn-prd-50c-01-V2-LOCATIONS__seed1__P22__B20,cn-prd-50c-01-V2-LOCATIONS,1,20.0,22.0,99f703be8b75373c3366b9a328277b59a43e3fd13d44f45139b9327c82f65d04,1,18.154304085882487,18.207699097899784,0.05339501201729746,True,True,True,True,0,,0,0,0
