instance_id,sample_role,seed,arm,certificate_path,certificate_sha256,certificate_id,planning_physics_feasible,nonlinear_feasible,linear_plan_false_feasible,certificate_status
cn-prd-100c-02-V2-LOCATIONS,ROBUSTNESS,1,L100_control,baselines/china_e3_e7/e5_nonlinear_v4_20260730/certificates/cn-prd-100c-02-V2-LOCATIONS__seed-01__L100_control.json,f14dbff0ce632746ec99df236cd423b5e8c2cb83d4ea75b29fcb0caa911e0736,d5a8038d442eea26707f003b1fed382f3390daea1e36f95a36829400ad6735a8,1,1,0,PASS
cn-prd-100c-02-V2-LOCATIONS,ROBUSTNESS,1,NL90_mild,baselines/china_e3_e7/e5_nonlinear_v4_20260730/certificates/cn-prd-100c-02-V2-LOCATIONS__seed-01__NL90_mild.json,9ded31d605b5744d5c5104913d3b02583e4b38d6f365b785d40638aa6429f7d4,44067cac49ca4f65d3e4b3fa477a2ca83ec685b5aa85372a76d2f3948b27c854,1,1,0,PASS
cn-prd-100c-02-V2-LOCATIONS,ROBUSTNESS,2,L100_control,baselines/china_e3_e7/e5_nonlinear_v4_20260730/certificates/cn-prd-100c-02-V2-LOCATIONS__seed-02__L100_control.json,88702b053710d845576917a98502c122d6ab7c403aa1f808d1e40fc1cb678e75,aafb5aed94e363fd7d4a0c0824345f94ecc4dd6f50cb6893ee0015e9a845c313,1,1,0,PASS
cn-prd-100c-02-V2-LOCATIONS,ROBUSTNESS,2,NL90_mild,baselines/china_e3_e7/e5_nonlinear_v4_20260730/certificates/cn-prd-100c-02-V2-LOCATIONS__seed-02__NL90_mild.json,9bb381330a9cf928a8ad3fcc2450905e6447708834e109a76e111b21e7fc323c,d7cf24bfe0dd050924e79dabdcf2e0b75f8d603f0d4cde2a52c68269c5f07770,1,1,0,PASS
cn-prd-100c-02-V2-LOCATIONS,ROBUSTNESS,3,L100_control,baselines/china_e3_e7/e5_nonlinear_v4_20260730/certificates/cn-prd-100c-02-V2-LOCATIONS__seed-03__L100_control.json,20f82e1c09d734190a6951db03859bd13d16d638c63eb17369869907afb885fd,c64e2558d5b17f07e1f63bbf3d7f0cbfc9da7f9722d0ca88d8d2bc398a3dec39,1,1,0,PASS
cn-prd-100c-02-V2-LOCATIONS,ROBUSTNESS,3,NL90_mild,baselines/china_e3_e7/e5_nonlinear_v4_20260730/certificates/cn-prd-100c-02-V2-LOCATIONS__seed-03__NL90_mild.json,2bc3ca26c869811ad02b60c9905b7a5823c8dcd185138b0036580d529c3e991f,dde3f9fae7578012a53219fe4befedd3cac35a7e40c963f018afd9e20b65c7f5,1,1,0,PASS
cn-prd-100c-02-V2-LOCATIONS,ROBUSTNESS,4,L100_control,baselines/china_e3_e7/e5_nonlinear_v4_20260730/certificates/cn-prd-100c-02-V2-LOCATIONS__seed-04__L100_control.json,920e3296bd763b308f5e8b7c17898dc91bbe0967a1852d2a1946e17fe0dfacf8,ff922acd052bcb5600a0952f386429fcc8b6c229f4c2c0844ebf49dc6e47f1a0,1,1,0,PASS
cn-prd-100c-02-V2-LOCATIONS,ROBUSTNESS,4,NL90_mild,baselines/china_e3_e7/e5_nonlinear_v4_20260730/certificates/cn-prd-100c-02-V2-LOCATIONS__seed-04__NL90_mild.json,955c00a927d47781d48dcd2d3205800bdb8d1d3593d78d963005a439838a0847,86bfacbd5ea66adba03157634aae19765b8204071831dda1a7d3ff035b988476,1,1,0,PASS
cn-prd-100c-02-V2-LOCATIONS,ROBUSTNESS,5,L100_control,baselines/china_e3_e7/e5_nonlinear_v4_20260730/certificates/cn-prd-100c-02-V2-LOCATIONS__seed-05__L100_control.json,ae846d7161a4c0755ca3841339b1b5f170893d320fe12f1efa59311e80d3e236,42312991f140a199451a79c8b3407f1a1333ff51126b23348a2fa3a8a8817e76,1,1,0,PASS
cn-prd-100c-02-V2-LOCATIONS,ROBUSTNESS,5,NL90_mild,baselines/china_e3_e7/e5_nonlinear_v4_20260730/certificates/cn-prd-100c-02-V2-LOCATIONS__seed-05__NL90_mild.json,a2b4f89f9a0caa6056bd6054b30298445e85862fc9049d7c65fc26ac2b17e613,b856d6d9e8e6aff857093cbb8e4eabfb5bfcbbc1752576bfcd2d9970ce139fa4,1,1,0,PASS
