instance_id,sample_role,seed,state,state_status,source_arm,source_plan_path,source_plan_sha256,source_solution_sha256,total_cost_cny,vehicle_count,elapsed_seconds,complete_candidate_evaluations_consumed,profit_D_guangzhou_cny,profit_D_shenzhen_cny,member_profit_json,member_cost_json,member_profit_margin_vs_I_json,member_profit_ratio_vs_I_json,weak_member_id,weak_member_profit_change_vs_I_cny,minimum_member_profit_ratio,all_members_no_worse_than_I,theta,search_reruns,nested_candidate_is_independent_sample
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,1,I,PASS_REUSED_E3_FINAL_SOLUTION,ZONE,baselines/china_e3_e7/e3_zone_joint_20260731/formal/plans/cn-prd-50c-01-V2-LOCATIONS__seed01__ZONE.json,646a9f70fb5238807c0ffc390ff3d074e6d19abb57cea99cebc34acc9cdc712f,1491cd6362a9601c2684314409815f710d909ee726116b44e25ef5b593ad0183,2341.446789956353,9,54.505447625007946,376,6917.233079222592,9075.820130821055,"{""D_guangzhou"": 6917.233079222592, ""D_shenzhen"": 9075.820130821055}","{""D_guangzhou"": 1103.2669207774081, ""D_shenzhen"": 1238.1798691789447}","{""D_guangzhou"": 0.0, ""D_shenzhen"": 0.0}","{""D_guangzhou"": 1.0, ""D_shenzhen"": 1.0}",D_guangzhou,0.0,1.0,True,1.0,0,False
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,1,U,PASS_REUSED_E3_FINAL_SOLUTION,JOINT,baselines/china_e3_e7/e3_zone_joint_20260731/formal/plans/cn-prd-50c-01-V2-LOCATIONS__seed01__JOINT.json,a7c3900ed871d998156d5dd468a00f3702ba6cf2bbdff6902c3e0a8dc5493dbf,159dc8289888437ac1e1e3e7264d06641d933941b307ca488ee526e0dacf3985,2289.318598837748,8,54.46728379104752,331,6051.035457687183,9994.145943475069,"{""D_guangzhou"": 6051.035457687183, ""D_shenzhen"": 9994.145943475069}","{""D_guangzhou"": 823.4645423128172, ""D_shenzhen"": 1465.8540565249311}","{""D_guangzhou"": -866.1976215354089, ""D_shenzhen"": 918.3258126540131}","{""D_guangzhou"": 0.8747768635789906, ""D_shenzhen"": 1.1011837827785307}",D_guangzhou,-866.1976215354089,0.8747768635789906,False,1.0,0,False
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,1,F,HALT_E3_NESTED_CANDIDATE_SOLUTIONS_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,1.0,0,False
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,2,I,PASS_REUSED_E3_FINAL_SOLUTION,ZONE,baselines/china_e3_e7/e3_zone_joint_20260731/formal/plans/cn-prd-50c-01-V2-LOCATIONS__seed02__ZONE.json,6cb54b1acde53185ca7597babe430de2003393067d4b056346338d6a809c7973,e95ab508d344fd37d7dd5f07fc8582764d99812a0b7fc7057c622380fa545a1f,2341.446789956353,9,53.92224183300277,326,6917.233079222592,9075.820130821055,"{""D_guangzhou"": 6917.233079222592, ""D_shenzhen"": 9075.820130821055}","{""D_guangzhou"": 1103.2669207774081, ""D_shenzhen"": 1238.1798691789447}","{""D_guangzhou"": 0.0, ""D_shenzhen"": 0.0}","{""D_guangzhou"": 1.0, ""D_shenzhen"": 1.0}",D_guangzhou,0.0,1.0,True,1.0,0,False
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,2,U,PASS_REUSED_E3_FINAL_SOLUTION,JOINT,baselines/china_e3_e7/e3_zone_joint_20260731/formal/plans/cn-prd-50c-01-V2-LOCATIONS__seed02__JOINT.json,6a763538a50b7e9519a35de1395e8c0cbf344993c613277d90c50bd5a758bb4b,5b31423d4edeb8568a6e6485df9bcdabcd375fe444feabbd8f363f652091d0df,2288.011934963608,8,50.966670709021855,298,5950.233747267041,10096.254317769351,"{""D_guangzhou"": 5950.233747267041, ""D_shenzhen"": 10096.254317769351}","{""D_guangzhou"": 820.7662527329592, ""D_shenzhen"": 1467.245682230648}","{""D_guangzhou"": -966.9993319555515, ""D_shenzhen"": 1020.434186948296}","{""D_guangzhou"": 0.8602043156735395, ""D_shenzhen"": 1.1124343775261643}",D_guangzhou,-966.9993319555515,0.8602043156735395,False,1.0,0,False
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,2,F,HALT_E3_NESTED_CANDIDATE_SOLUTIONS_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,1.0,0,False
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,3,I,PASS_REUSED_E3_FINAL_SOLUTION,ZONE,baselines/china_e3_e7/e3_zone_joint_20260731/formal/plans/cn-prd-50c-01-V2-LOCATIONS__seed03__ZONE.json,c5f6715bdbece27d05c319f8fdaf7cf7ce10b4282a5a76cf9f8d5141b8de0ae0,1491cd6362a9601c2684314409815f710d909ee726116b44e25ef5b593ad0183,2341.446789956353,9,54.21520266600419,325,6917.233079222592,9075.820130821055,"{""D_guangzhou"": 6917.233079222592, ""D_shenzhen"": 9075.820130821055}","{""D_guangzhou"": 1103.2669207774081, ""D_shenzhen"": 1238.1798691789447}","{""D_guangzhou"": 0.0, ""D_shenzhen"": 0.0}","{""D_guangzhou"": 1.0, ""D_shenzhen"": 1.0}",D_guangzhou,0.0,1.0,True,1.0,0,False
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,3,U,PASS_REUSED_E3_FINAL_SOLUTION,JOINT,baselines/china_e3_e7/e3_zone_joint_20260731/formal/plans/cn-prd-50c-01-V2-LOCATIONS__seed03__JOINT.json,a9f866a6fe0eba3b6178c247f29f7bc197247634de90b2072c650b3912db3db3,5b31423d4edeb8568a6e6485df9bcdabcd375fe444feabbd8f363f652091d0df,2288.011934963608,8,52.90319266601,333,5950.233747267041,10096.254317769351,"{""D_guangzhou"": 5950.233747267041, ""D_shenzhen"": 10096.254317769351}","{""D_guangzhou"": 820.7662527329592, ""D_shenzhen"": 1467.245682230648}","{""D_guangzhou"": -966.9993319555515, ""D_shenzhen"": 1020.434186948296}","{""D_guangzhou"": 0.8602043156735395, ""D_shenzhen"": 1.1124343775261643}",D_guangzhou,-966.9993319555515,0.8602043156735395,False,1.0,0,False
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,3,F,HALT_E3_NESTED_CANDIDATE_SOLUTIONS_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,NA_CANDIDATE_POOL_NOT_PERSISTED,1.0,0,False
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,4,I,PASS_REUSED_E3_FINAL_SOLUTION,ZONE,baselines/china_e3_e7/e3_zone_joint_20260731/formal/plans/cn-prd-50c-01-V2-LOCATIONS__seed04__ZONE.json,9e10d260bac75a7348bcea8da462236dfb2e2bef0c7b138fc02dda01ce1d5a7b,1491cd6362a9601c2684314409815f710d909ee726116b44e25ef5b593ad0183,2341.446789956353,9,54.04996979201678,311,6917.233079222592,9075.820130821055,"{""D_guangzhou"": 6917.233079222592, ""D_shenzhen"": 9075.820130821055}","{""D_guangzhou"": 1103.2669207774081, ""D_shenzhen"": 1238.1798691789447}","{""D_guangzhou"": 0.0, ""D_shenzhen"": 0.0}","{""D_guangzhou"": 1.0, ""D_shenzhen"": 1.0}",D_guangzhou,0.0,1.0,True,1.0,0,False
