instance_id,sample_role,seed,state,state_status,source,source_solution_sha256,total_cost_cny,vehicle_count,route_count,elapsed_seconds,time_accounting,complete_candidate_evaluations_consumed,profit_D_guangzhou_cny,profit_D_shenzhen_cny,member_profit_json,member_cost_json,member_profit_margin_vs_I_json,member_profit_ratio_vs_I_json,weak_member_id,weak_member_profit_change_vs_I_cny,u_weak_member_id,u_weak_member_improvement_vs_U_cny,minimum_member_profit_ratio,all_members_no_worse_than_I,theta,candidate_pool_size,participation_satisfying_candidate_count,selected_f_candidate_id,f_fallback_to_I,search_reruns,nested_candidate_is_independent_sample
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,1,I,PASS_REUSED_SEALED_E3_ZONE,baselines/china_e3_e7/e3_zone_joint_20260731/formal/plans/cn-prd-50c-01-V2-LOCATIONS__seed01__ZONE.json,1491cd6362a9601c2684314409815f710d909ee726116b44e25ef5b593ad0183,2341.446789956353,9,9,54.505447625007946,SEALED_E3_ARM_TIME,376,6917.233079222592,9075.820130821055,"{""D_guangzhou"": 6917.233079222592, ""D_shenzhen"": 9075.820130821055}","{""D_guangzhou"": 1103.2669207774081, ""D_shenzhen"": 1238.1798691789447}","{""D_guangzhou"": 0.0, ""D_shenzhen"": 0.0}","{""D_guangzhou"": 1.0, ""D_shenzhen"": 1.0}",D_guangzhou,0.0,D_guangzhou,866.1976215354089,1.0,True,1.0,142,0,,True,1,False
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,1,U,PASS_REUSED_SEALED_E3_JOINT_BITWISE_REPLAYED,baselines/china_e3_e7/e3_zone_joint_20260731/formal/plans/cn-prd-50c-01-V2-LOCATIONS__seed01__JOINT.json,159dc8289888437ac1e1e3e7264d06641d933941b307ca488ee526e0dacf3985,2289.318598837748,8,8,54.46728379104752,SEALED_E3_ARM_TIME,331,6051.035457687183,9994.145943475069,"{""D_guangzhou"": 6051.035457687183, ""D_shenzhen"": 9994.145943475069}","{""D_guangzhou"": 823.4645423128172, ""D_shenzhen"": 1465.8540565249311}","{""D_guangzhou"": -866.1976215354089, ""D_shenzhen"": 918.3258126540131}","{""D_guangzhou"": 0.8747768635789906, ""D_shenzhen"": 1.1011837827785307}",D_guangzhou,-866.1976215354089,D_guangzhou,0.0,0.8747768635789906,False,1.0,142,0,,True,1,False
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,1,F,PASS_FALLBACK_TO_I_NO_FAIR_CANDIDATE,SEALED_E3_ZONE_I_FALLBACK,1491cd6362a9601c2684314409815f710d909ee726116b44e25ef5b593ad0183,2341.446789956353,9,9,54.46728379104752,SHARED_U_SEARCH_TIME_NOT_ADDITIONAL_TRAJECTORY,331,6917.233079222592,9075.820130821055,"{""D_guangzhou"": 6917.233079222592, ""D_shenzhen"": 9075.820130821055}","{""D_guangzhou"": 1103.2669207774081, ""D_shenzhen"": 1238.1798691789447}","{""D_guangzhou"": 0.0, ""D_shenzhen"": 0.0}","{""D_guangzhou"": 1.0, ""D_shenzhen"": 1.0}",D_guangzhou,0.0,D_guangzhou,866.1976215354089,1.0,True,1.0,142,0,,True,1,False
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,2,I,PASS_REUSED_SEALED_E3_ZONE,baselines/china_e3_e7/e3_zone_joint_20260731/formal/plans/cn-prd-50c-01-V2-LOCATIONS__seed02__ZONE.json,e95ab508d344fd37d7dd5f07fc8582764d99812a0b7fc7057c622380fa545a1f,2341.446789956353,9,9,53.92224183300277,SEALED_E3_ARM_TIME,326,6917.233079222592,9075.820130821055,"{""D_guangzhou"": 6917.233079222592, ""D_shenzhen"": 9075.820130821055}","{""D_guangzhou"": 1103.2669207774081, ""D_shenzhen"": 1238.1798691789447}","{""D_guangzhou"": 0.0, ""D_shenzhen"": 0.0}","{""D_guangzhou"": 1.0, ""D_shenzhen"": 1.0}",D_guangzhou,0.0,D_guangzhou,966.9993319555515,1.0,True,1.0,95,0,,True,1,False
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,2,U,PASS_REUSED_SEALED_E3_JOINT_BITWISE_REPLAYED,baselines/china_e3_e7/e3_zone_joint_20260731/formal/plans/cn-prd-50c-01-V2-LOCATIONS__seed02__JOINT.json,5b31423d4edeb8568a6e6485df9bcdabcd375fe444feabbd8f363f652091d0df,2288.011934963607,8,8,50.966670709021855,SEALED_E3_ARM_TIME,298,5950.233747267041,10096.254317769351,"{""D_guangzhou"": 5950.233747267041, ""D_shenzhen"": 10096.254317769351}","{""D_guangzhou"": 820.7662527329592, ""D_shenzhen"": 1467.245682230648}","{""D_guangzhou"": -966.9993319555515, ""D_shenzhen"": 1020.434186948296}","{""D_guangzhou"": 0.8602043156735395, ""D_shenzhen"": 1.1124343775261643}",D_guangzhou,-966.9993319555515,D_guangzhou,0.0,0.8602043156735395,False,1.0,95,0,,True,1,False
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,2,F,PASS_FALLBACK_TO_I_NO_FAIR_CANDIDATE,SEALED_E3_ZONE_I_FALLBACK,e95ab508d344fd37d7dd5f07fc8582764d99812a0b7fc7057c622380fa545a1f,2341.446789956353,9,9,50.966670709021855,SHARED_U_SEARCH_TIME_NOT_ADDITIONAL_TRAJECTORY,298,6917.233079222592,9075.820130821055,"{""D_guangzhou"": 6917.233079222592, ""D_shenzhen"": 9075.820130821055}","{""D_guangzhou"": 1103.2669207774081, ""D_shenzhen"": 1238.1798691789447}","{""D_guangzhou"": 0.0, ""D_shenzhen"": 0.0}","{""D_guangzhou"": 1.0, ""D_shenzhen"": 1.0}",D_guangzhou,0.0,D_guangzhou,966.9993319555515,1.0,True,1.0,95,0,,True,1,False
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,3,I,PASS_REUSED_SEALED_E3_ZONE,baselines/china_e3_e7/e3_zone_joint_20260731/formal/plans/cn-prd-50c-01-V2-LOCATIONS__seed03__ZONE.json,1491cd6362a9601c2684314409815f710d909ee726116b44e25ef5b593ad0183,2341.446789956353,9,9,54.21520266600419,SEALED_E3_ARM_TIME,325,6917.233079222592,9075.820130821055,"{""D_guangzhou"": 6917.233079222592, ""D_shenzhen"": 9075.820130821055}","{""D_guangzhou"": 1103.2669207774081, ""D_shenzhen"": 1238.1798691789447}","{""D_guangzhou"": 0.0, ""D_shenzhen"": 0.0}","{""D_guangzhou"": 1.0, ""D_shenzhen"": 1.0}",D_guangzhou,0.0,D_guangzhou,966.9993319555515,1.0,True,1.0,127,0,,True,1,False
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,3,U,PASS_REUSED_SEALED_E3_JOINT_BITWISE_REPLAYED,baselines/china_e3_e7/e3_zone_joint_20260731/formal/plans/cn-prd-50c-01-V2-LOCATIONS__seed03__JOINT.json,5b31423d4edeb8568a6e6485df9bcdabcd375fe444feabbd8f363f652091d0df,2288.011934963607,8,8,52.90319266601,SEALED_E3_ARM_TIME,333,5950.233747267041,10096.254317769351,"{""D_guangzhou"": 5950.233747267041, ""D_shenzhen"": 10096.254317769351}","{""D_guangzhou"": 820.7662527329592, ""D_shenzhen"": 1467.245682230648}","{""D_guangzhou"": -966.9993319555515, ""D_shenzhen"": 1020.434186948296}","{""D_guangzhou"": 0.8602043156735395, ""D_shenzhen"": 1.1124343775261643}",D_guangzhou,-966.9993319555515,D_guangzhou,0.0,0.8602043156735395,False,1.0,127,0,,True,1,False
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,3,F,PASS_FALLBACK_TO_I_NO_FAIR_CANDIDATE,SEALED_E3_ZONE_I_FALLBACK,1491cd6362a9601c2684314409815f710d909ee726116b44e25ef5b593ad0183,2341.446789956353,9,9,52.90319266601,SHARED_U_SEARCH_TIME_NOT_ADDITIONAL_TRAJECTORY,333,6917.233079222592,9075.820130821055,"{""D_guangzhou"": 6917.233079222592, ""D_shenzhen"": 9075.820130821055}","{""D_guangzhou"": 1103.2669207774081, ""D_shenzhen"": 1238.1798691789447}","{""D_guangzhou"": 0.0, ""D_shenzhen"": 0.0}","{""D_guangzhou"": 1.0, ""D_shenzhen"": 1.0}",D_guangzhou,0.0,D_guangzhou,966.9993319555515,1.0,True,1.0,127,0,,True,1,False
cn-prd-50c-01-V2-LOCATIONS,MAIN_EXHIBIT,4,I,PASS_REUSED_SEALED_E3_ZONE,baselines/china_e3_e7/e3_zone_joint_20260731/formal/plans/cn-prd-50c-01-V2-LOCATIONS__seed04__ZONE.json,1491cd6362a9601c2684314409815f710d909ee726116b44e25ef5b593ad0183,2341.446789956353,9,9,54.04996979201678,SEALED_E3_ARM_TIME,311,6917.233079222592,9075.820130821055,"{""D_guangzhou"": 6917.233079222592, ""D_shenzhen"": 9075.820130821055}","{""D_guangzhou"": 1103.2669207774081, ""D_shenzhen"": 1238.1798691789447}","{""D_guangzhou"": 0.0, ""D_shenzhen"": 0.0}","{""D_guangzhou"": 1.0, ""D_shenzhen"": 1.0}",D_guangzhou,0.0,D_guangzhou,966.9993319555515,1.0,True,1.0,128,0,,True,1,False
