actual_adjustment_count,all_solution_sha256,arm,attempted_trigger_count,charging_action_change_count,distance_m,failure_classification,failure_reason,final_solution_sha256,generated_dynamic_orders,policy,policy_label,response_rate_pct,route_arc_change_count,scheduled_trigger_count,served_dynamic_orders,status,stream_seed,total_cost_cny,total_emissions_kg,used_cv,used_ev,vehicle_count,vehicle_type_customer_change_count
7,"[""9f5741ec6fbbd751f6147e000cce9706029d4ae55a8e1d480e3053c2b2bc28c6"",""361574545cb1cf0503f7858395756914a82146de301a2cb3e737db522cfe710a"",""9922fcabeef9644639cb02ad8084da02dfcc544f337344ef16674d0a20579a99"",""553c067cde48f7fae1fa5d89ed1f82798d7e313416dd680adb308af9071ad805"",""f09018a737af70cbe1dc863df0de50abf37a66bcc7b6ba3cf5104899a2df368f"",""86eaaf5e11946f03bef0d3415fdd1f2aa1c2114762acd14e404dc479571271f6"",""cae0fc8c66aada6ebc4399ae2a7ceb993a37241fcd1eafac889bbca891f0f171"",""8c347e0719a48acdfcc7b669aeffd3cb46c68555ebafecda9653898d614f6354""]",carbon_aware,8,8,2050154.1154582251,SEARCH_NOT_FOUND,"{""carbon_aware"":""full HGS population produced no executable continuation; ValueError: E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route S8_OPEN_010 | ValueError: E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route PYVRP-0001 | ValueError: E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route PYVRP-0004"",""carbon_blind"":""full HGS population produced no executable continuation; ValueError: E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route S8_OPEN_010 | ValueError: E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route PYVRP-0001 | ValueError: E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route PYVRP-0004""}",8c347e0719a48acdfcc7b669aeffd3cb46c68555ebafecda9653898d614f6354,20,fixed_30_minutes,periodic_30_minutes,75.0,30,12,15,SEARCH_NOT_FOUND,1,5712.314077744818,559.7369822317039,12,4,16,15
7,"[""d72ec9bc788ec70cae066190fb32c72666332dc06155c68eac83b431f61cc601"",""361574545cb1cf0503f7858395756914a82146de301a2cb3e737db522cfe710a"",""9922fcabeef9644639cb02ad8084da02dfcc544f337344ef16674d0a20579a99"",""553c067cde48f7fae1fa5d89ed1f82798d7e313416dd680adb308af9071ad805"",""f09018a737af70cbe1dc863df0de50abf37a66bcc7b6ba3cf5104899a2df368f"",""86eaaf5e11946f03bef0d3415fdd1f2aa1c2114762acd14e404dc479571271f6"",""cae0fc8c66aada6ebc4399ae2a7ceb993a37241fcd1eafac889bbca891f0f171"",""8c347e0719a48acdfcc7b669aeffd3cb46c68555ebafecda9653898d614f6354""]",carbon_blind,8,8,2050154.1154582251,SEARCH_NOT_FOUND,"{""carbon_aware"":""full HGS population produced no executable continuation; ValueError: E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route S8_OPEN_010 | ValueError: E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route PYVRP-0001 | ValueError: E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route PYVRP-0004"",""carbon_blind"":""full HGS population produced no executable continuation; ValueError: E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route S8_OPEN_010 | ValueError: E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route PYVRP-0001 | ValueError: E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route PYVRP-0004""}",8c347e0719a48acdfcc7b669aeffd3cb46c68555ebafecda9653898d614f6354,20,fixed_30_minutes,periodic_30_minutes,75.0,30,12,15,SEARCH_NOT_FOUND,1,5712.314077744818,559.7369822317039,12,4,16,15
11,"[""21b0c6f232e4aa8c9322d2100c9e73591188c08477851a2cd282bb9317c2abe0"",""90021d668382ae5af9b5857c9b3558c570890ba24749c84c8bbece559161c11d"",""1811d63becb943682f59b671c7118cd1c6a7f6ba3f77e42d9b4577392a2c93e6"",""894b242eb48280ca488f0a2d4deb0eb6545d122c1048bbe9eb040c801719a7f0"",""090ea84c3b03ea43011ec51c40b0fbe2d722c89408e07047dcbd667c4488c18d"",""db886e920463875740341ca249b9975a979be04b6dbed32a3ef4b305553ff783"",""a922da0ae593e0c8a1a997b91ba93f16ea98d9fdf829cf797d3f62e43cd35080"",""c6c0b51dab9e1eddc29f5bbd9b03e397b17509b738fb9e7ea07bc85776dcb4ce"",""d132bc9c31ff34040041aa7db6b504ba9d180c0681de521bd52ae1a4fecc8e0e"",""93f491b3889db7aa9e3c07bb25fa7cec8136d8ed21c72b80a430e565ec136c8c"",""86659d9747ce56d374a2489f0f1dc043377c9a3525d07a69f2b45b62763cd79a"",""cbdaa518ce672bdbfda769485bc268f35c999eeece7966198ab42f3a31365f47""]",carbon_aware,11,8,2098188.320878433,PASS,,cbdaa518ce672bdbfda769485bc268f35c999eeece7966198ab42f3a31365f47,20,fixed_30_minutes,periodic_30_minutes,100.0,56,11,20,PASS,2,5816.833496643852,585.6975834402386,12,4,16,22
11,"[""503dbd06d77d2674dfcb713c6ccc5684119d8d755e2bf21b56f0d72f23facb89"",""90021d668382ae5af9b5857c9b3558c570890ba24749c84c8bbece559161c11d"",""1811d63becb943682f59b671c7118cd1c6a7f6ba3f77e42d9b4577392a2c93e6"",""894b242eb48280ca488f0a2d4deb0eb6545d122c1048bbe9eb040c801719a7f0"",""090ea84c3b03ea43011ec51c40b0fbe2d722c89408e07047dcbd667c4488c18d"",""db886e920463875740341ca249b9975a979be04b6dbed32a3ef4b305553ff783"",""a922da0ae593e0c8a1a997b91ba93f16ea98d9fdf829cf797d3f62e43cd35080"",""c6c0b51dab9e1eddc29f5bbd9b03e397b17509b738fb9e7ea07bc85776dcb4ce"",""d132bc9c31ff34040041aa7db6b504ba9d180c0681de521bd52ae1a4fecc8e0e"",""93f491b3889db7aa9e3c07bb25fa7cec8136d8ed21c72b80a430e565ec136c8c"",""86659d9747ce56d374a2489f0f1dc043377c9a3525d07a69f2b45b62763cd79a"",""cbdaa518ce672bdbfda769485bc268f35c999eeece7966198ab42f3a31365f47""]",carbon_blind,11,8,2098188.320878433,PASS,,cbdaa518ce672bdbfda769485bc268f35c999eeece7966198ab42f3a31365f47,20,fixed_30_minutes,periodic_30_minutes,100.0,56,11,20,PASS,2,5816.833496643852,585.6975834402386,12,4,16,22
15,"[""209df823fc60bef0459b837d609d70c72ef58a09b88d17c0f297d772af38a2ab"",""67467737fe7a95da52f327c58e3c58a965fa4a6556378defe9c7688ec9bb8018"",""2df1192ae4565186e282fcadf966a2161a1e18124b1367ab7589e4cbd79265ec"",""6f0ca63551b99e937c47c8ba7dda00a1af4df37fbe90d6dfc43f3a2fa2aaa9d3"",""5ca860f587033b46c09e170ac656445c44e0c1d6579cc06ce393906a4c1098ee"",""3a28d2518c7d3bb0456179ca07136885d6ee9881ef16f7bbfb8203b5172e93ed"",""4381b73c3eed47ca36b43642acb941e9d06642bff0660090a1439a1cec29af33"",""fc183b31c02326ed11c1292097fb22a07716ea6ff132ad7bc4b0b82fc02ed820"",""19bc3754a1a04d9ee00dfd0322f225faca32bd33e28ccde9efeb860a7c8b5f23"",""df0d5bd9dd82bd2260316b93188fbb67c7499f0576eacbd692cfeeb36c867cd1"",""6249fccd84a672bdf0c905c0334faa7a28db886ac92503244ffbd3d818d92f88"",""9248c5cf8d1692bcf5190525cead476f9d682a9f39e51cb59c4986aa038dea2b"",""bf94e6b0eeedf749fcba37d24153dabc7e1930a255fa5bfd7960d57063e4af28"",""dd365f9d1ffc477bad64d60b347ef66ba6de608e91b36186b39fde5b7ab10ebd"",""66ee35e4c14bc35003e9280e22f8a090b22738adf2f5ddb9471bac2f2db4bf96"",""02a5251cb47a115489193e56f08ed9edcfa30914f736439a9b0cc0a9e39ad3b9""]",carbon_aware,15,9,2093500.353907352,PASS,,02a5251cb47a115489193e56f08ed9edcfa30914f736439a9b0cc0a9e39ad3b9,20,fixed_30_minutes,periodic_30_minutes,100.0,46,15,20,PASS,3,6006.752525911622,581.7311750582932,13,4,17,22
15,"[""4fdcf1bf4790d2d1a739b0e1a916c8061b692aa008a8ffe2abb53d5b74f21cd6"",""67467737fe7a95da52f327c58e3c58a965fa4a6556378defe9c7688ec9bb8018"",""2df1192ae4565186e282fcadf966a2161a1e18124b1367ab7589e4cbd79265ec"",""6f0ca63551b99e937c47c8ba7dda00a1af4df37fbe90d6dfc43f3a2fa2aaa9d3"",""5ca860f587033b46c09e170ac656445c44e0c1d6579cc06ce393906a4c1098ee"",""3a28d2518c7d3bb0456179ca07136885d6ee9881ef16f7bbfb8203b5172e93ed"",""4381b73c3eed47ca36b43642acb941e9d06642bff0660090a1439a1cec29af33"",""fc183b31c02326ed11c1292097fb22a07716ea6ff132ad7bc4b0b82fc02ed820"",""19bc3754a1a04d9ee00dfd0322f225faca32bd33e28ccde9efeb860a7c8b5f23"",""df0d5bd9dd82bd2260316b93188fbb67c7499f0576eacbd692cfeeb36c867cd1"",""6249fccd84a672bdf0c905c0334faa7a28db886ac92503244ffbd3d818d92f88"",""9248c5cf8d1692bcf5190525cead476f9d682a9f39e51cb59c4986aa038dea2b"",""bf94e6b0eeedf749fcba37d24153dabc7e1930a255fa5bfd7960d57063e4af28"",""dd365f9d1ffc477bad64d60b347ef66ba6de608e91b36186b39fde5b7ab10ebd"",""66ee35e4c14bc35003e9280e22f8a090b22738adf2f5ddb9471bac2f2db4bf96"",""02a5251cb47a115489193e56f08ed9edcfa30914f736439a9b0cc0a9e39ad3b9""]",carbon_blind,15,9,2093500.353907352,PASS,,02a5251cb47a115489193e56f08ed9edcfa30914f736439a9b0cc0a9e39ad3b9,20,fixed_30_minutes,periodic_30_minutes,100.0,46,15,20,PASS,3,6006.752525911622,581.7311750582932,13,4,17,22
13,"[""d8490282a79015925c0f6e94bfebc067d4c9e7e895f70b994cdfa808d67b47f8"",""d4a380484d9aae7cf60fda2bdbb26e0904667106d14e93b878fda7b7751b0c8e"",""747bdd2e25c45b9142fce5500a73b232f948bb3f058947e89af510893d0cafda"",""a4c72041b44ef3ca74bcbf907bd9a6bae9402ae66f5a20ffe7780199c436577c"",""0797441bee92bdd852425112b947b286b293bba8c9e0355835d5fb9581f7181a"",""d837e171a0f98d49d5d9a51c3b6dc5aa0a09e65a27628bf83cbb5f1e54d74efd"",""b0cc2582dfb87147275adefe9f1a07b7e735d2077380ade0ebbd9cbfbca6a209"",""959700975075758df5a930e59e9cdeb9bf4aa60890a4659fdf8b5d203abe3ec1"",""fac051f9ba04dcfa5dd3cc4575e75636bf5313325b47816e5c782b25d1671d7f"",""00ecab9271575f66969e08eb38570b22650c441c754cfb29d42c603b10e2926c"",""def14da59438c42dafb33a80a425c687d4639c5951f1c53084d0c96c51884b81"",""fb0d5d827cb8d1590a08de2059f0d9d7deb4cccfcecb56f381e2698b94a6d30b"",""cec49b0a1bb7ecabb98e84eec3d639bfd55eb605ea70da4b54541ba67845bd83"",""fa55caee9d9399632ecae935244f21b74ecb60b60baf0b6279e07011c0b6623c""]",carbon_aware,13,7,2182466.199240292,PASS,,fa55caee9d9399632ecae935244f21b74ecb60b60baf0b6279e07011c0b6623c,20,fixed_30_minutes,periodic_30_minutes,100.0,40,13,20,PASS,4,6152.850073905602,615.0326082727169,13,4,17,20
13,"[""dc009266dd6991d8af7ee3eb9efbb6f0c9175bb1fe7e5b6197ac68bcfdce28bc"",""d4a380484d9aae7cf60fda2bdbb26e0904667106d14e93b878fda7b7751b0c8e"",""747bdd2e25c45b9142fce5500a73b232f948bb3f058947e89af510893d0cafda"",""a4c72041b44ef3ca74bcbf907bd9a6bae9402ae66f5a20ffe7780199c436577c"",""0797441bee92bdd852425112b947b286b293bba8c9e0355835d5fb9581f7181a"",""d837e171a0f98d49d5d9a51c3b6dc5aa0a09e65a27628bf83cbb5f1e54d74efd"",""b0cc2582dfb87147275adefe9f1a07b7e735d2077380ade0ebbd9cbfbca6a209"",""959700975075758df5a930e59e9cdeb9bf4aa60890a4659fdf8b5d203abe3ec1"",""fac051f9ba04dcfa5dd3cc4575e75636bf5313325b47816e5c782b25d1671d7f"",""00ecab9271575f66969e08eb38570b22650c441c754cfb29d42c603b10e2926c"",""def14da59438c42dafb33a80a425c687d4639c5951f1c53084d0c96c51884b81"",""fb0d5d827cb8d1590a08de2059f0d9d7deb4cccfcecb56f381e2698b94a6d30b"",""cec49b0a1bb7ecabb98e84eec3d639bfd55eb605ea70da4b54541ba67845bd83"",""fa55caee9d9399632ecae935244f21b74ecb60b60baf0b6279e07011c0b6623c""]",carbon_blind,13,7,2182466.199240292,PASS,,fa55caee9d9399632ecae935244f21b74ecb60b60baf0b6279e07011c0b6623c,20,fixed_30_minutes,periodic_30_minutes,100.0,40,13,20,PASS,4,6152.850073905602,615.0326082727169,13,4,17,20
3,"[""17fb16661f7ef06aec499f7a2651db8aa40e655acc27d32ae41ef64343be54ce"",""bbc464ec713e27f3f8a5133393af3dae58d8cb92ccd89c28bc3688f2b4f82e3d"",""b3510d882b30a166b477264a8edc45ee1e135b72c3700267481405ee7e8402b8"",""3c316a681b034b38c2f71a02b48fde83c56eea2509209c91aa3c5ba865dce91d""]",carbon_aware,4,5,1544326.40762037,SEARCH_NOT_FOUND,"{""carbon_aware"":""full HGS population produced no executable continuation; ValueError: E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route S4_OPEN_018 | ValueError: E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route PYVRP-0014 | ValueError: E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route PYVRP-0009"",""carbon_blind"":""full HGS population produced no executable continuation; ValueError: E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route S4_OPEN_018 | ValueError: E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route PYVRP-0014 | ValueError: E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route PYVRP-0009""}",3c316a681b034b38c2f71a02b48fde83c56eea2509209c91aa3c5ba865dce91d,20,fixed_30_minutes,periodic_30_minutes,35.0,14,10,7,SEARCH_NOT_FOUND,5,4347.663133086012,434.2061415265873,8,4,12,7
3,"[""d99874199ca2922ef64748abd37b43452ec5abf5367d1c7c2be32247d9267d65"",""bbc464ec713e27f3f8a5133393af3dae58d8cb92ccd89c28bc3688f2b4f82e3d"",""b3510d882b30a166b477264a8edc45ee1e135b72c3700267481405ee7e8402b8"",""3c316a681b034b38c2f71a02b48fde83c56eea2509209c91aa3c5ba865dce91d""]",carbon_blind,4,5,1544326.40762037,SEARCH_NOT_FOUND,"{""carbon_aware"":""full HGS population produced no executable continuation; ValueError: E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route S4_OPEN_018 | ValueError: E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route PYVRP-0014 | ValueError: E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route PYVRP-0009"",""carbon_blind"":""full HGS population produced no executable continuation; ValueError: E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route S4_OPEN_018 | ValueError: E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route PYVRP-0014 | ValueError: E7_DYNAMIC_MULTITRIP_V1: no inherited asset can serve open route PYVRP-0009""}",3c316a681b034b38c2f71a02b48fde83c56eea2509209c91aa3c5ba865dce91d,20,fixed_30_minutes,periodic_30_minutes,35.0,14,10,7,SEARCH_NOT_FOUND,5,4347.663133086012,434.2061415265873,8,4,12,7
