seed,nl90_minus_linear_cost_cny,cost_relative_percent_vs_linear,nl90_minus_linear_emissions_kg,emissions_relative_percent_vs_linear,route_changed,charging_changed,linear_objective_float_hex,nl90_objective_float_hex,linear_solution_sha256,nl90_solution_sha256,linear_complete_evaluations,nl90_complete_evaluations
1,0.0,0.0,0.0,0.0,false,true,0x1.1d2064a7ab27dp+12,0x1.1d2064a7ab27dp+12,7bef356e208052d68bc0a6f723c784e087f7eae568239e0cbb10259718e12396,da3318633c796a89dcf0f7ff22f5b60d1d005074cbef38a98fc5859022356a57,80,80
2,0.0,0.0,0.0,0.0,false,true,0x1.1d2064a7ab27dp+12,0x1.1d2064a7ab27dp+12,7bef356e208052d68bc0a6f723c784e087f7eae568239e0cbb10259718e12396,da3318633c796a89dcf0f7ff22f5b60d1d005074cbef38a98fc5859022356a57,80,80
3,0.0,0.0,0.0,0.0,false,true,0x1.1d2064a7ab27dp+12,0x1.1d2064a7ab27dp+12,7bef356e208052d68bc0a6f723c784e087f7eae568239e0cbb10259718e12396,da3318633c796a89dcf0f7ff22f5b60d1d005074cbef38a98fc5859022356a57,80,80
4,0.0,0.0,0.0,0.0,false,true,0x1.1d2064a7ab27dp+12,0x1.1d2064a7ab27dp+12,7bef356e208052d68bc0a6f723c784e087f7eae568239e0cbb10259718e12396,da3318633c796a89dcf0f7ff22f5b60d1d005074cbef38a98fc5859022356a57,80,80
5,0.0,0.0,0.0,0.0,false,true,0x1.1d2064a7ab27dp+12,0x1.1d2064a7ab27dp+12,7bef356e208052d68bc0a6f723c784e087f7eae568239e0cbb10259718e12396,da3318633c796a89dcf0f7ff22f5b60d1d005074cbef38a98fc5859022356a57,80,80
6,0.0,0.0,0.0,0.0,false,true,0x1.1d2064a7ab27dp+12,0x1.1d2064a7ab27dp+12,7bef356e208052d68bc0a6f723c784e087f7eae568239e0cbb10259718e12396,da3318633c796a89dcf0f7ff22f5b60d1d005074cbef38a98fc5859022356a57,80,80
7,0.0,0.0,0.0,0.0,false,true,0x1.1d2064a7ab27dp+12,0x1.1d2064a7ab27dp+12,7bef356e208052d68bc0a6f723c784e087f7eae568239e0cbb10259718e12396,da3318633c796a89dcf0f7ff22f5b60d1d005074cbef38a98fc5859022356a57,80,80
8,0.0,0.0,0.0,0.0,false,true,0x1.1d2064a7ab27dp+12,0x1.1d2064a7ab27dp+12,7bef356e208052d68bc0a6f723c784e087f7eae568239e0cbb10259718e12396,da3318633c796a89dcf0f7ff22f5b60d1d005074cbef38a98fc5859022356a57,80,80
9,0.0,0.0,0.0,0.0,false,true,0x1.1d2064a7ab27dp+12,0x1.1d2064a7ab27dp+12,7bef356e208052d68bc0a6f723c784e087f7eae568239e0cbb10259718e12396,da3318633c796a89dcf0f7ff22f5b60d1d005074cbef38a98fc5859022356a57,80,80
10,0.0,0.0,0.0,0.0,false,true,0x1.1d2064a7ab27dp+12,0x1.1d2064a7ab27dp+12,7bef356e208052d68bc0a6f723c784e087f7eae568239e0cbb10259718e12396,da3318633c796a89dcf0f7ff22f5b60d1d005074cbef38a98fc5859022356a57,80,80
