run_id,phase,category,instance,profile,algorithm,seed,status,failure_reason,eval_budget,actual_evals,best_cost,best_signature,feasible,violation_count,route_count
BALANCED_SELECTOR_PROBE__multidepot__e2-multidepot-100c-01__A0_MAIN_LOCAL_SEARCH__seed1,BALANCED_SELECTOR_PROBE,multidepot,e2-multidepot-100c-01,A0_MAIN_LOCAL_SEARCH,alns_e2_throughput,1,OK,,4000,4000,2465.4295205798335,ec94623c0fb63281d25652129773fa58f44229ec2e20ebcf5fb83cf660885299,True,0,14
BALANCED_SELECTOR_PROBE__multidepot__e2-multidepot-100c-01__A4_BALANCED_SELECTOR_LOCAL_SEARCH__seed1,BALANCED_SELECTOR_PROBE,multidepot,e2-multidepot-100c-01,A4_BALANCED_SELECTOR_LOCAL_SEARCH,alns_e2_throughput,1,OK,,4000,4000,2489.748811099388,c53469f9b3b1d8454445bab3b9c67e12d16039e6d29f791f358a8680879f3ba5,True,0,14
BALANCED_SELECTOR_PROBE__multidepot__e2-multidepot-100c-01__LNS_TRACE_REFERENCE__seed1,BALANCED_SELECTOR_PROBE,multidepot,e2-multidepot-100c-01,LNS_TRACE_REFERENCE,LNS,1,OK,,4000,4000,2524.1709481815974,e251fc94f3092e95ebcf97e3b090f96216e0efe2598167cdcade2d7642215c44,True,0,14
BALANCED_SELECTOR_PROBE__multidepot__e2-multidepot-100c-01__A0_MAIN_LOCAL_SEARCH__seed2,BALANCED_SELECTOR_PROBE,multidepot,e2-multidepot-100c-01,A0_MAIN_LOCAL_SEARCH,alns_e2_throughput,2,OK,,4000,4000,2523.2246807715674,875016dbacce40d6e09516a21d7966672760c6cf50f223bc2dbe946e46fa0725,True,0,14
BALANCED_SELECTOR_PROBE__multidepot__e2-multidepot-100c-01__A4_BALANCED_SELECTOR_LOCAL_SEARCH__seed2,BALANCED_SELECTOR_PROBE,multidepot,e2-multidepot-100c-01,A4_BALANCED_SELECTOR_LOCAL_SEARCH,alns_e2_throughput,2,OK,,4000,4000,2494.2776959099506,3def14366c16f9469fca00a5bd5eefbc91f5c8a0e158551781225d8c12bea739,True,0,14
BALANCED_SELECTOR_PROBE__multidepot__e2-multidepot-100c-01__LNS_TRACE_REFERENCE__seed2,BALANCED_SELECTOR_PROBE,multidepot,e2-multidepot-100c-01,LNS_TRACE_REFERENCE,LNS,2,OK,,4000,4000,2515.691011919639,208deab3b2923cb8d3ff66fe850a54a53cfcf8b1901b3d7f85af5a1051b80800,True,0,14
BALANCED_SELECTOR_PROBE__multidepot__e2-multidepot-100c-01__A0_MAIN_LOCAL_SEARCH__seed3,BALANCED_SELECTOR_PROBE,multidepot,e2-multidepot-100c-01,A0_MAIN_LOCAL_SEARCH,alns_e2_throughput,3,OK,,4000,4000,2576.7140100177817,a25e687c3e2f2626e582fd5fd1fffa970a3a210068ce4c8182b4ebe412baa03a,True,0,14
BALANCED_SELECTOR_PROBE__multidepot__e2-multidepot-100c-01__A4_BALANCED_SELECTOR_LOCAL_SEARCH__seed3,BALANCED_SELECTOR_PROBE,multidepot,e2-multidepot-100c-01,A4_BALANCED_SELECTOR_LOCAL_SEARCH,alns_e2_throughput,3,OK,,4000,4000,2577.1342135486134,d8e951726127bae9eb57c5da5fcbdaa06c3b0948d21bb43bc1cccb3520ea885a,True,0,14
BALANCED_SELECTOR_PROBE__multidepot__e2-multidepot-100c-01__LNS_TRACE_REFERENCE__seed3,BALANCED_SELECTOR_PROBE,multidepot,e2-multidepot-100c-01,LNS_TRACE_REFERENCE,LNS,3,OK,,4000,4000,2551.814954251537,ba93b191a1fef88c1bb99741370426e4c3c775a490a2e59855bcdca1cc651ef0,True,0,14
BALANCED_SELECTOR_PROBE__multidepot__e2-multidepot-10c-01__A0_MAIN_LOCAL_SEARCH__seed1,BALANCED_SELECTOR_PROBE,multidepot,e2-multidepot-10c-01,A0_MAIN_LOCAL_SEARCH,alns_e2_throughput,1,OK,,4000,4000,371.9993673208387,af2703e54ec342829fe77a826735a17f481316c42fe3c058bfcf010a64da731d,True,0,2
BALANCED_SELECTOR_PROBE__multidepot__e2-multidepot-10c-01__A4_BALANCED_SELECTOR_LOCAL_SEARCH__seed1,BALANCED_SELECTOR_PROBE,multidepot,e2-multidepot-10c-01,A4_BALANCED_SELECTOR_LOCAL_SEARCH,alns_e2_throughput,1,OK,,4000,4000,387.9007343319535,e912d411804e6ecf628a63c74039a895c2c57ece27acdb7f93879d282d362c2b,True,0,2
BALANCED_SELECTOR_PROBE__multidepot__e2-multidepot-10c-01__LNS_TRACE_REFERENCE__seed1,BALANCED_SELECTOR_PROBE,multidepot,e2-multidepot-10c-01,LNS_TRACE_REFERENCE,LNS,1,OK,,4000,4000,373.5325844458525,1e7f223e3c6ca3e4297c0ae06ab336fc14dfd3e823cf75d6613f8262a1352f52,True,0,2
BALANCED_SELECTOR_PROBE__multidepot__e2-multidepot-10c-01__A0_MAIN_LOCAL_SEARCH__seed2,BALANCED_SELECTOR_PROBE,multidepot,e2-multidepot-10c-01,A0_MAIN_LOCAL_SEARCH,alns_e2_throughput,2,OK,,4000,4000,387.9007343319535,e912d411804e6ecf628a63c74039a895c2c57ece27acdb7f93879d282d362c2b,True,0,2
BALANCED_SELECTOR_PROBE__multidepot__e2-multidepot-10c-01__A4_BALANCED_SELECTOR_LOCAL_SEARCH__seed2,BALANCED_SELECTOR_PROBE,multidepot,e2-multidepot-10c-01,A4_BALANCED_SELECTOR_LOCAL_SEARCH,alns_e2_throughput,2,OK,,4000,4000,387.9007343319535,e912d411804e6ecf628a63c74039a895c2c57ece27acdb7f93879d282d362c2b,True,0,2
