battery_kwh,category,cv_shell_composition,cv_shell_cost,cv_shell_cv_routes,cv_shell_ev_routes,free_mixed_composition,free_mixed_cost,free_mixed_cv_routes,free_mixed_ev_routes,instance,phase,seed,winner_composition,winner_cv_route_count,winner_ev_route_count,winner_ev_route_share,winner_route_count,winner_status,winner_total_cost,winner_variant
60.0,multidepot,all_cv,5022.801116954321,32,0,balanced_mixed,5285.772387877065,23,11,e2-multidepot-100c-01,screen,1,all_cv,32,0,0.0,32,OK,5022.801116954321,cv_shell
60.0,multidepot,all_cv,9652.757155208541,67,0,balanced_mixed,9719.409267140347,36,34,e2-multidepot-200c-01,screen,1,all_cv,67,0,0.0,67,OK,9652.757155208541,cv_shell
60.0,threeshift,all_cv,5387.880559557449,32,0,balanced_mixed,5150.060230408643,22,9,e2-threeshift-100c-01,screen,1,balanced_mixed,22,9,0.2903225806451613,31,OK,5150.060230408643,free_mixed
60.0,threeshift,all_cv,9436.717673224872,64,0,balanced_mixed,9836.149260398799,28,44,e2-threeshift-200c-01,screen,1,all_cv,64,0,0.0,64,OK,9436.717673224872,cv_shell
60.0,threeshift,all_cv,2539.3832256016008,16,0,balanced_mixed,2498.562711370513,10,7,e2-threeshift-50c-01,screen,1,balanced_mixed,10,7,0.4117647058823529,17,OK,2498.562711370513,free_mixed
60.0,vanilla,all_cv,6119.29666327237,34,0,balanced_mixed,5846.958434726063,25,8,e2-vanilla-100c-01,screen,1,balanced_mixed,25,8,0.24242424242424243,33,OK,5846.958434726063,free_mixed
60.0,vanilla,all_cv,11205.548171919037,67,0,balanced_mixed,11541.472991366178,51,20,e2-vanilla-200c-01,screen,1,all_cv,67,0,0.0,67,OK,11205.548171919037,cv_shell
60.0,vanilla,all_cv,1237.6525942518206,7,0,cv_heavy_mixed,1226.1404738659246,6,1,e2-vanilla-25c-01,screen,1,cv_heavy_mixed,6,1,0.14285714285714285,7,OK,1226.1404738659246,free_mixed
80.0,multidepot,all_cv,5022.801116954321,32,0,balanced_mixed,5052.884550121424,20,13,e2-multidepot-100c-01,screen,1,all_cv,32,0,0.0,32,OK,5022.801116954321,cv_shell
80.0,multidepot,all_cv,9652.757155208541,67,0,balanced_mixed,10649.492665749396,29,37,e2-multidepot-200c-01,screen,1,all_cv,67,0,0.0,67,OK,9652.757155208541,cv_shell
80.0,threeshift,all_cv,5387.880559557449,32,0,balanced_mixed,5018.514024852354,20,12,e2-threeshift-100c-01,screen,1,balanced_mixed,20,12,0.375,32,OK,5018.514024852354,free_mixed
80.0,threeshift,all_cv,9436.717673224872,64,0,balanced_mixed,10840.88235514246,34,27,e2-threeshift-200c-01,screen,1,all_cv,64,0,0.0,64,OK,9436.717673224872,cv_shell
80.0,threeshift,all_cv,2539.3832256016008,16,0,balanced_mixed,2350.0292041235143,5,11,e2-threeshift-50c-01,screen,1,balanced_mixed,5,11,0.6875,16,OK,2350.0292041235143,free_mixed
80.0,vanilla,all_cv,6119.29666327237,34,0,balanced_mixed,5809.387725841811,22,11,e2-vanilla-100c-01,screen,1,balanced_mixed,22,11,0.3333333333333333,33,OK,5809.387725841811,free_mixed
80.0,vanilla,all_cv,11205.548171919037,67,0,balanced_mixed,11605.97158561182,30,44,e2-vanilla-200c-01,screen,1,all_cv,67,0,0.0,67,OK,11205.548171919037,cv_shell
80.0,vanilla,all_cv,1237.6525942518206,7,0,balanced_mixed,1179.754700981195,4,3,e2-vanilla-25c-01,screen,1,balanced_mixed,4,3,0.42857142857142855,7,OK,1179.754700981195,free_mixed
81.0,multidepot,all_cv,5022.801116954321,32,0,balanced_mixed,5007.352573189914,21,12,e2-multidepot-100c-01,screen,1,balanced_mixed,21,12,0.36363636363636365,33,OK,5007.352573189914,free_mixed
81.0,multidepot,all_cv,9652.757155208541,67,0,balanced_mixed,10639.292422179396,29,37,e2-multidepot-200c-01,screen,1,all_cv,67,0,0.0,67,OK,9652.757155208541,cv_shell
81.0,threeshift,all_cv,5387.880559557449,32,0,balanced_mixed,5035.865959636525,21,10,e2-threeshift-100c-01,screen,1,balanced_mixed,21,10,0.3225806451612903,31,OK,5035.865959636525,free_mixed
81.0,threeshift,all_cv,9436.717673224872,64,0,balanced_mixed,10833.701179035295,34,27,e2-threeshift-200c-01,screen,1,all_cv,64,0,0.0,64,OK,9436.717673224872,cv_shell
81.0,threeshift,all_cv,2539.3832256016008,16,0,balanced_mixed,2432.0456894531862,5,12,e2-threeshift-50c-01,screen,1,balanced_mixed,5,12,0.7058823529411765,17,OK,2432.0456894531862,free_mixed
81.0,vanilla,all_cv,6119.29666327237,34,0,balanced_mixed,5748.7430502031975,23,9,e2-vanilla-100c-01,screen,1,balanced_mixed,23,9,0.28125,32,OK,5748.7430502031975,free_mixed
81.0,vanilla,all_cv,11205.548171919037,67,0,balanced_mixed,11555.807819129155,46,26,e2-vanilla-200c-01,screen,1,all_cv,67,0,0.0,67,OK,11205.548171919037,cv_shell
81.0,vanilla,all_cv,1237.6525942518206,7,0,balanced_mixed,1160.009021182874,3,4,e2-vanilla-25c-01,screen,1,balanced_mixed,3,4,0.5714285714285714,7,OK,1160.009021182874,free_mixed
82.6,multidepot,all_cv,5022.801116954321,32,0,balanced_mixed,5134.717771617829,21,13,e2-multidepot-100c-01,screen,1,all_cv,32,0,0.0,32,OK,5022.801116954321,cv_shell
82.6,multidepot,all_cv,9652.757155208541,67,0,balanced_mixed,9902.31523175304,29,43,e2-multidepot-200c-01,screen,1,all_cv,67,0,0.0,67,OK,9652.757155208541,cv_shell
82.6,threeshift,all_cv,5387.880559557449,32,0,balanced_mixed,5096.016816485372,21,10,e2-threeshift-100c-01,screen,1,balanced_mixed,21,10,0.3225806451612903,31,OK,5096.016816485372,free_mixed
82.6,threeshift,all_cv,9436.717673224872,64,0,balanced_mixed,10816.536331919882,35,26,e2-threeshift-200c-01,screen,1,all_cv,64,0,0.0,64,OK,9436.717673224872,cv_shell
