algorithm,battery_kwh,comparison_mode,eval_budget,instance,prior_status,queue_action,replicate,runtime_cap_seconds,scenario,seed,size
alns_e2_throughput,80.0,wallclock,16000,e2-vanilla-10c-01,,PENDING,1,60.0,wc80,1,10
LNS,80.0,wallclock,16000,e2-vanilla-10c-01,,PENDING,1,60.0,wc80,1,10
alns_e2_carbon,80.0,wallclock,16000,e2-vanilla-10c-01,,PENDING,1,60.0,wc80,1,10
alns_e2_carbon_ablation,80.0,wallclock,16000,e2-vanilla-10c-01,,PENDING,1,60.0,wc80,1,10
alns_e2_throughput,80.0,wallclock,16000,e2-multidepot-100c-01,,PENDING,1,60.0,wc80,1,100
LNS,80.0,wallclock,16000,e2-multidepot-100c-01,,PENDING,1,60.0,wc80,1,100
alns_e2_carbon,80.0,wallclock,16000,e2-multidepot-100c-01,,PENDING,1,60.0,wc80,1,100
alns_e2_carbon_ablation,80.0,wallclock,16000,e2-multidepot-100c-01,,PENDING,1,60.0,wc80,1,100
alns_e2_throughput,80.0,wallclock,16000,e2-threeshift-200c-01,,PENDING,1,60.0,wc80,1,200
LNS,80.0,wallclock,16000,e2-threeshift-200c-01,,PENDING,1,60.0,wc80,1,200
alns_e2_carbon,80.0,wallclock,16000,e2-threeshift-200c-01,,PENDING,1,60.0,wc80,1,200
alns_e2_carbon_ablation,80.0,wallclock,16000,e2-threeshift-200c-01,,PENDING,1,60.0,wc80,1,200
