algorithm,best_cost,best_obj,current_cost,eval,instance,operator,seed,time_seconds
alns_sa_autofit,6657.994081746442,6657.994081746442,nan,0,e2-multidepot-100c-01,shared_warm_start,2,1.1250085663050413e-06
alns_sa_autofit,6250.706155578043,6250.706155578043,nan,1,e2-multidepot-100c-01,scan_restart,2,0.0021257909829728305
alns_sa_autofit,6228.619040011937,6228.619040011937,nan,2,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,2,0.32977370798471384
alns_sa_autofit,6144.157279318613,6144.157279318613,nan,4,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,2,1.1094012910034508
alns_sa_autofit,5944.5135013574545,5944.5135013574545,nan,6,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,2,1.8083448329998646
alns_sa_autofit,5852.009231873486,5852.009231873486,nan,8,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,2,2.0835995829838794
alns_sa_autofit,5819.259609087395,5819.259609087395,nan,9,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,2,2.4844660829985514
alns_sa_autofit,5735.869668891938,5735.869668891938,nan,10,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,2,2.5777391660085414
alns_sa_autofit,5732.827103729628,5732.827103729628,nan,16,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,2,4.138587041001301
alns_sa_autofit,5618.930723409197,5618.930723409197,nan,17,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,2,4.637010415986879
alns_sa_autofit,5582.329458942358,5582.329458942358,nan,19,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,2,5.435302625002805
alns_sa_autofit,5546.255084455924,5546.255084455924,nan,20,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,2,5.570095625007525
alns_sa_autofit,5525.630891489638,5525.630891489638,nan,96,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,2,26.192437124991557
alns_sa_autofit,5523.481543777017,5523.481543777017,nan,98,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,2,26.594909624982392
alns_sa_autofit,5437.897776990105,5437.897776990105,nan,121,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,2,32.70572416600771
alns_sa_autofit,5404.760170072212,5404.760170072212,nan,124,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,2,33.29895125000621
