algorithm,best_cost,best_obj,current_cost,eval,instance,operator,seed,time_seconds
LNS,9641.11982455522,9641.11982455522,9641.11982455522,0,e2-threeshift-150c-01,shared_warm_start,5,0.0
LNS,9587.231540369121,9587.231540369121,9826.796563774486,16,e2-threeshift-150c-01,lns_worst_customer_removal_regret2_insert_repair,5,1.571818541007815
LNS,9385.34310566579,9385.34310566579,9587.231540369121,17,e2-threeshift-150c-01,lns_random_customer_removal_regret2_insert_repair,5,1.6278572079900187
LNS,9294.422350201585,9294.422350201585,9385.34310566579,18,e2-threeshift-150c-01,lns_shaw_related_removal_regret3_insert_repair,5,1.714676583011169
LNS,9195.9869506963,9195.9869506963,9294.422350201585,19,e2-threeshift-150c-01,lns_random_customer_removal_regret2_insert_repair,5,1.767420249991119
LNS,9073.078163842032,9073.078163842032,9195.9869506963,20,e2-threeshift-150c-01,lns_shaw_related_removal_greedy_insert_repair,5,1.866551665996667
LNS,9072.028160846974,9072.028160846974,9073.078163842032,21,e2-threeshift-150c-01,lns_shaw_related_removal_regret2_insert_repair,5,1.9536506659933366
LNS,8979.460478899102,8979.460478899102,9072.028160846974,22,e2-threeshift-150c-01,lns_random_customer_removal_regret2_insert_repair,5,2.004123916005483
LNS,8978.579976170478,8978.579976170478,8979.460478899102,24,e2-threeshift-150c-01,lns_worst_customer_removal_regret3_insert_repair,5,2.100684250006452
LNS,8916.013477959925,8916.013477959925,9002.52553326537,27,e2-threeshift-150c-01,lns_shaw_related_removal_regret3_insert_repair,5,2.2869155000080355
LNS,8774.54191217343,8774.54191217343,9104.383322048718,30,e2-threeshift-150c-01,lns_worst_customer_removal_regret3_insert_repair,5,2.472818540991284
LNS,8771.223993095646,8771.223993095646,8774.54191217343,31,e2-threeshift-150c-01,lns_random_customer_removal_greedy_insert_repair,5,2.5246292910014745
LNS,8759.327660764291,8759.327660764291,8771.223993095646,32,e2-threeshift-150c-01,lns_shaw_related_removal_greedy_insert_repair,5,2.61178808301338
LNS,8653.9466633616,8653.9466633616,8759.327660764291,33,e2-threeshift-150c-01,lns_random_customer_removal_greedy_insert_repair,5,2.6601787079998758
LNS,8640.434678530306,8640.434678530306,8654.09163693029,35,e2-threeshift-150c-01,lns_worst_customer_removal_greedy_insert_repair,5,2.7574334160017315
LNS,8562.00836942631,8562.00836942631,8640.434678530306,36,e2-threeshift-150c-01,lns_shaw_related_removal_regret3_insert_repair,5,2.837440000002971
LNS,8448.413358555961,8448.413358555961,8563.106439750263,38,e2-threeshift-150c-01,lns_worst_customer_removal_regret2_insert_repair,5,2.9260221250005998
LNS,8433.331231805796,8433.331231805796,8559.165814294161,41,e2-threeshift-150c-01,lns_shaw_related_removal_greedy_insert_repair,5,3.1661665000137873
LNS,8314.23785220044,8314.23785220044,8461.617388128981,55,e2-threeshift-150c-01,lns_random_customer_removal_greedy_insert_repair,5,3.9314086660160683
LNS,8306.698378991803,8306.698378991803,8324.105305412999,57,e2-threeshift-150c-01,lns_worst_customer_removal_regret3_insert_repair,5,4.024207915994339
LNS,8263.6654691404,8263.6654691404,8306.698378991803,58,e2-threeshift-150c-01,lns_shaw_related_removal_regret3_insert_repair,5,4.0958361249940936
LNS,8236.77888496645,8236.77888496645,8263.6654691404,59,e2-threeshift-150c-01,lns_worst_customer_removal_regret2_insert_repair,5,4.140326666005421
LNS,8228.905256620117,8228.905256620117,8238.230746260519,65,e2-threeshift-150c-01,lns_shaw_related_removal_greedy_insert_repair,5,4.510542666015681
LNS,8176.128317248045,8176.128317248045,8228.905256620117,66,e2-threeshift-150c-01,lns_random_customer_removal_regret2_insert_repair,5,4.558180583000649
LNS,8053.9652807447355,8053.9652807447355,8176.128317248045,69,e2-threeshift-150c-01,lns_worst_customer_removal_regret3_insert_repair,5,4.733384457998909
LNS,7955.2019163136665,7955.2019163136665,8053.9652807447355,70,e2-threeshift-150c-01,lns_shaw_related_removal_greedy_insert_repair,5,4.805990541004576
LNS,7948.553151182276,7948.553151182276,7955.2019163136665,71,e2-threeshift-150c-01,lns_shaw_related_removal_regret3_insert_repair,5,4.87993245801772
