algorithm,best_cost,best_obj,current_cost,eval,instance,operator,seed,time_seconds
alns_sa_lns_cooling,3082.2480786777355,3082.2480786777355,nan,0,e2-threeshift-50c-01,shared_warm_start,1,1.0830117389559746e-06
alns_sa_lns_cooling,2893.482963524978,2893.482963524978,nan,1,e2-threeshift-50c-01,scan_restart,1,0.0010755000112112612
alns_sa_lns_cooling,2821.4801437862507,2821.4801437862507,nan,3,e2-threeshift-50c-01,random_customer_removal+greedy_insert_repair,1,0.06467975000850856
alns_sa_lns_cooling,2760.8337485699076,2760.8337485699076,nan,6,e2-threeshift-50c-01,random_customer_removal+greedy_insert_repair,1,0.13980420801090077
alns_sa_lns_cooling,2737.6987243533918,2737.6987243533918,nan,13,e2-threeshift-50c-01,random_customer_removal+greedy_insert_repair,1,0.5107172499992885
alns_sa_lns_cooling,2731.3255701743415,2731.3255701743415,nan,14,e2-threeshift-50c-01,random_customer_removal+greedy_insert_repair,1,0.5723715829954017
alns_sa_lns_cooling,2725.8425848253073,2725.8425848253073,nan,16,e2-threeshift-50c-01,random_customer_removal+greedy_insert_repair,1,0.7289618329959922
alns_sa_lns_cooling,2699.653559291013,2699.653559291013,nan,18,e2-threeshift-50c-01,random_customer_removal+greedy_insert_repair,1,0.8431624580116477
alns_sa_lns_cooling,2686.4336336395736,2686.4336336395736,nan,19,e2-threeshift-50c-01,random_customer_removal+greedy_insert_repair,1,0.8954165409959387
alns_sa_lns_cooling,2681.988821517412,2681.988821517412,nan,20,e2-threeshift-50c-01,random_customer_removal+greedy_insert_repair,1,0.9742981659946963
alns_sa_lns_cooling,2669.7138242191468,2669.7138242191468,nan,21,e2-threeshift-50c-01,random_customer_removal+greedy_insert_repair,1,1.0402901250054128
alns_sa_lns_cooling,2557.5003553740016,2557.5003553740016,nan,22,e2-threeshift-50c-01,random_customer_removal+greedy_insert_repair,1,1.1131057080056053
alns_sa_lns_cooling,2465.087924149598,2465.087924149598,nan,25,e2-threeshift-50c-01,random_customer_removal+greedy_insert_repair,1,1.2722542500123382
alns_sa_lns_cooling,2441.581856074897,2441.581856074897,nan,27,e2-threeshift-50c-01,random_customer_removal+greedy_insert_repair,1,1.4079189999902155
alns_sa_lns_cooling,2434.372510511218,2434.372510511218,nan,36,e2-threeshift-50c-01,random_customer_removal+greedy_insert_repair,1,1.8638225409958977
alns_sa_lns_cooling,2414.38313233758,2414.38313233758,nan,40,e2-threeshift-50c-01,random_customer_removal+greedy_insert_repair,1,2.066025707987137
alns_sa_lns_cooling,2405.6763899167595,2405.6763899167595,nan,209,e2-threeshift-50c-01,random_customer_removal+greedy_insert_repair,1,12.149635125009809
alns_sa_lns_cooling,2405.656462372634,2405.656462372634,nan,219,e2-threeshift-50c-01,random_customer_removal+greedy_insert_repair,1,12.694406333001098
alns_sa_lns_cooling,2402.3983474760485,2402.3983474760485,nan,220,e2-threeshift-50c-01,random_customer_removal+greedy_insert_repair,1,12.810856666008476
alns_sa_lns_cooling,2402.386817018246,2402.386817018246,nan,288,e2-threeshift-50c-01,random_customer_removal+greedy_insert_repair,1,16.287228875007713
alns_sa_lns_cooling,2402.033351929096,2402.033351929096,nan,343,e2-threeshift-50c-01,whole_route_removal+greedy_insert_repair,1,19.904120082996087
alns_sa_lns_cooling,2397.6698412928395,2397.6698412928395,nan,347,e2-threeshift-50c-01,whole_route_removal+greedy_insert_repair,1,19.932428708008956
alns_sa_lns_cooling,2378.0751339359554,2378.0751339359554,nan,386,e2-threeshift-50c-01,vehicle_type_swap+greedy_insert_repair,1,20.16954370800522
alns_sa_lns_cooling,2361.9113516965986,2361.9113516965986,nan,387,e2-threeshift-50c-01,vehicle_type_swap+greedy_insert_repair,1,20.177720582985785
alns_sa_lns_cooling,2358.6776072697094,2358.6776072697094,nan,531,e2-threeshift-50c-01,random_customer_removal+greedy_insert_repair,1,25.629212125000777
alns_sa_lns_cooling,2358.589427973675,2358.589427973675,nan,599,e2-threeshift-50c-01,random_customer_removal+greedy_insert_repair,1,28.745320415997412
