algorithm,best_cost,best_obj,eval,instance,operator,seed,time_seconds
LNS,6657.994081746442,6657.994081746442,0,e2-multidepot-100c-01,shared_warm_start,3,0.0
LNS,6379.536994857015,6379.536994857015,7,e2-multidepot-100c-01,lns_shaw_related_removal_regret3_insert_repair,3,0.3308504169981461
LNS,5987.610259790755,5987.610259790755,8,e2-multidepot-100c-01,lns_shaw_related_removal_greedy_insert_repair,3,0.38417562501854263
LNS,5892.696289318633,5892.696289318633,9,e2-multidepot-100c-01,lns_random_customer_removal_greedy_insert_repair,3,0.4197932920069434
LNS,5719.415727079653,5719.415727079653,10,e2-multidepot-100c-01,lns_worst_customer_removal_greedy_insert_repair,3,0.45540195901412517
LNS,5706.425652652089,5706.425652652089,13,e2-multidepot-100c-01,lns_random_customer_removal_regret3_insert_repair,3,0.555482708994532
LNS,5702.813711490042,5702.813711490042,14,e2-multidepot-100c-01,lns_random_customer_removal_regret3_insert_repair,3,0.5926390840031672
LNS,5589.828238323748,5589.828238323748,15,e2-multidepot-100c-01,lns_worst_customer_removal_regret3_insert_repair,3,0.6201790840132162
LNS,5487.297562780826,5487.297562780826,16,e2-multidepot-100c-01,lns_shaw_related_removal_regret2_insert_repair,3,0.6573912920139264
LNS,5478.843983103244,5478.843983103244,17,e2-multidepot-100c-01,lns_random_customer_removal_regret2_insert_repair,3,0.6889620420115534
LNS,5434.805319621084,5434.805319621084,21,e2-multidepot-100c-01,lns_worst_customer_removal_regret3_insert_repair,3,0.8485825840034522
LNS,5432.156174374129,5432.156174374129,22,e2-multidepot-100c-01,lns_shaw_related_removal_regret2_insert_repair,3,0.895479124999838
LNS,5427.992337948941,5427.992337948941,23,e2-multidepot-100c-01,lns_shaw_related_removal_regret3_insert_repair,3,0.9500920420105103
LNS,5423.94597421881,5423.94597421881,69,e2-multidepot-100c-01,lns_worst_customer_removal_regret2_insert_repair,3,2.533886999997776
LNS,5404.2776262924535,5404.2776262924535,75,e2-multidepot-100c-01,lns_random_customer_removal_regret2_insert_repair,3,2.729483542003436
LNS,5372.422101735421,5372.422101735421,78,e2-multidepot-100c-01,lns_random_customer_removal_regret3_insert_repair,3,2.8396940419916064
LNS,5283.157568815887,5283.157568815887,84,e2-multidepot-100c-01,lns_random_customer_removal_regret2_insert_repair,3,3.049106999998912
