algorithm,best_cost,best_obj,eval,instance,operator,seed,time_seconds
alns_e2_throughput,6657.994081746442,6657.994081746442,0,e2-multidepot-100c-01,shared_warm_start,4,0.0003784579748753458
alns_e2_throughput,6250.706155578043,6250.706155578043,1,e2-multidepot-100c-01,scan_restart,4,0.01149145798990503
alns_e2_throughput,6210.027097519579,6210.027097519579,2,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,4,0.1053539999993518
alns_e2_throughput,6106.502691806075,6106.502691806075,3,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,4,0.1786977079755161
alns_e2_throughput,5815.694252662085,5815.694252662085,4,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,4,0.27261762498528697
alns_e2_throughput,5613.558222292339,5613.558222292339,5,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,4,0.4442517499846872
alns_e2_throughput,5580.458817664458,5580.458817664458,6,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,4,0.535706582973944
alns_e2_throughput,5535.171743029638,5535.171743029638,12,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,4,0.969698916975176
alns_e2_throughput,5389.472427689454,5389.472427689454,42,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,4,3.353442832973087
alns_e2_throughput,5346.4408505705405,5346.4408505705405,85,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,4,6.1980207079905085
alns_e2_throughput,5342.304720525231,5342.304720525231,86,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,4,6.236183249973692
alns_e2_throughput,5304.673282955575,5304.673282955575,88,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,4,6.29478399999789
alns_e2_throughput,5304.332278643767,5304.332278643767,99,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,4,6.904059166990919
alns_e2_throughput,5280.6444491135435,5280.6444491135435,145,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,4,9.843134791997727
alns_e2_throughput,5280.022246940833,5280.022246940833,167,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,4,11.335493957973085
alns_e2_throughput,5273.880278737286,5273.880278737286,176,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,4,12.051250707998406
alns_e2_throughput,5271.498992764562,5271.498992764562,178,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,4,12.191266041976633
alns_e2_throughput,5263.4290331267275,5263.4290331267275,181,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,4,12.25459291698644
alns_e2_throughput,5178.727338391805,5178.727338391805,184,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,4,12.340242207981646
alns_e2_throughput,5178.182000057664,5178.182000057664,189,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,4,12.596575832983945
alns_e2_throughput,5174.580076941116,5174.580076941116,200,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,4,13.188873707986204
alns_e2_throughput,5171.5911703940155,5171.5911703940155,225,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,4,14.828289666998899
alns_e2_throughput,5159.529128233956,5159.529128233956,235,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,4,15.61060866698972
alns_e2_throughput,5062.2506461503945,5062.2506461503945,237,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,4,15.778346249979222
alns_e2_throughput,5062.112277430751,5062.112277430751,243,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,4,16.06791504198918
alns_e2_throughput,5058.429671752132,5058.429671752132,290,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,4,19.169150999980047
alns_e2_throughput,5058.412698529051,5058.412698529051,291,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,4,19.21304712499841
alns_e2_throughput,5057.3550690833345,5057.3550690833345,295,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,4,19.53074249997735
alns_e2_throughput,5053.253820998768,5053.253820998768,323,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,4,21.296203707985114
alns_e2_throughput,5050.950830792869,5050.950830792869,324,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,4,21.322707124985754
alns_e2_throughput,5029.817426252467,5029.817426252467,337,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,4,21.970951957977377
alns_e2_throughput,5025.331264855022,5025.331264855022,353,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,4,23.235546916985186
alns_e2_throughput,5022.276987159943,5022.276987159943,354,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,4,23.27344487499795
alns_e2_throughput,5016.87059980895,5016.87059980895,366,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,4,24.208583749976242
alns_e2_throughput,4999.774008454058,4999.774008454058,371,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,4,24.525811332976446
alns_e2_throughput,4999.459909225927,4999.459909225927,380,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,4,24.888936874980573
alns_e2_throughput,4996.71930196486,4996.71930196486,385,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,4,25.245828999992227
alns_e2_throughput,4990.067921141707,4990.067921141707,392,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,4,25.556195916986326
alns_e2_throughput,4975.294326294051,4975.294326294051,412,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,4,26.887397957994835
alns_e2_throughput,4974.524678951465,4974.524678951465,414,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,4,26.97419887498836
alns_e2_throughput,4974.274360356817,4974.274360356817,429,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,4,27.785120999993524
alns_e2_throughput,4974.220162936763,4974.220162936763,445,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,4,28.752094041992677
alns_e2_throughput,4973.417336461007,4973.417336461007,467,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,4,30.081242416985333
alns_e2_throughput,4968.796015336008,4968.796015336008,491,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,4,31.49425816698931
alns_e2_throughput,4968.754622639672,4968.754622639672,644,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,4,39.963321291987086
alns_e2_throughput,4953.207499301985,4953.207499301985,680,e2-multidepot-100c-01,vehicle_type_swap+greedy_insert_repair,4,41.167816916975426
alns_e2_throughput,4940.015995726885,4940.015995726885,681,e2-multidepot-100c-01,vehicle_type_swap+greedy_insert_repair,4,41.20838699999149
alns_e2_throughput,4918.68624661022,4918.68624661022,682,e2-multidepot-100c-01,vehicle_type_swap+greedy_insert_repair,4,41.230259624979226
alns_e2_throughput,4903.2200650954355,4903.2200650954355,683,e2-multidepot-100c-01,vehicle_type_swap+greedy_insert_repair,4,41.25086754199583
alns_e2_throughput,4884.822007334217,4884.822007334217,684,e2-multidepot-100c-01,vehicle_type_swap+greedy_insert_repair,4,41.27115854198928
alns_e2_throughput,4873.038599980798,4873.038599980798,685,e2-multidepot-100c-01,vehicle_type_swap+greedy_insert_repair,4,41.29201458298485
alns_e2_throughput,4865.98895827877,4865.98895827877,686,e2-multidepot-100c-01,vehicle_type_swap+greedy_insert_repair,4,41.31238074999419
alns_e2_throughput,4852.138930712027,4852.138930712027,687,e2-multidepot-100c-01,vehicle_type_swap+greedy_insert_repair,4,41.3325708329794
alns_e2_throughput,4846.631657298494,4846.631657298494,689,e2-multidepot-100c-01,vehicle_type_swap+greedy_insert_repair,4,41.36726245799218
alns_e2_throughput,4843.393377680057,4843.393377680057,690,e2-multidepot-100c-01,vehicle_type_swap+greedy_insert_repair,4,41.38863845798187
alns_e2_throughput,4839.282326648679,4839.282326648679,691,e2-multidepot-100c-01,vehicle_type_swap+greedy_insert_repair,4,41.40898404197651
alns_e2_throughput,4839.090446004542,4839.090446004542,1056,e2-multidepot-100c-01,random_customer_removal+greedy_insert_repair,4,52.96905054198578
alns_e2_throughput,4833.051014619198,4833.051014619198,1251,e2-multidepot-100c-01,route_segment_removal+greedy_insert_repair,4,61.19487437498174
alns_e2_throughput,4831.873968827979,4831.873968827979,1755,e2-multidepot-100c-01,route_segment_removal+greedy_insert_repair,4,77.21826254198095
