algorithm,best_cost,best_obj,eval,instance,operator,seed,time_seconds
alns_e2_throughput,9641.11982455522,9641.11982455522,0,e2-threeshift-150c-01,shared_warm_start,2,0.000571917014895007
alns_e2_throughput,9469.083937121908,9469.083937121908,2,e2-threeshift-150c-01,random_customer_removal+greedy_insert_repair,2,0.299125624995213
alns_e2_throughput,8993.123410002021,8993.123410002021,3,e2-threeshift-150c-01,random_customer_removal+greedy_insert_repair,2,0.4705287090037018
alns_e2_throughput,8901.090492299747,8901.090492299747,10,e2-threeshift-150c-01,random_customer_removal+greedy_insert_repair,2,2.145139125001151
alns_e2_throughput,8879.104629551051,8879.104629551051,16,e2-threeshift-150c-01,random_customer_removal+greedy_insert_repair,2,3.3230855420115404
alns_e2_throughput,8702.545934662468,8702.545934662468,17,e2-threeshift-150c-01,random_customer_removal+greedy_insert_repair,2,3.458911417023046
alns_e2_throughput,8667.748742787784,8667.748742787784,42,e2-threeshift-150c-01,random_customer_removal+greedy_insert_repair,2,8.37381504199584
alns_e2_throughput,8522.560118746693,8522.560118746693,45,e2-threeshift-150c-01,random_customer_removal+greedy_insert_repair,2,8.636565499997232
alns_e2_throughput,8490.763253294595,8490.763253294595,46,e2-threeshift-150c-01,random_customer_removal+greedy_insert_repair,2,8.745612708997214
alns_e2_throughput,8461.87487625335,8461.87487625335,50,e2-threeshift-150c-01,random_customer_removal+greedy_insert_repair,2,9.530317750002723
alns_e2_throughput,8449.22525746372,8449.22525746372,51,e2-threeshift-150c-01,random_customer_removal+greedy_insert_repair,2,9.825272667017998
alns_e2_throughput,8318.542894149465,8318.542894149465,68,e2-threeshift-150c-01,random_customer_removal+greedy_insert_repair,2,12.57557454201742
alns_e2_throughput,8228.069666330879,8228.069666330879,74,e2-threeshift-150c-01,random_customer_removal+greedy_insert_repair,2,14.06545933400048
alns_e2_throughput,8209.120917104929,8209.120917104929,85,e2-threeshift-150c-01,random_customer_removal+greedy_insert_repair,2,16.131406792002963
alns_e2_throughput,8205.67185818398,8205.67185818398,87,e2-threeshift-150c-01,random_customer_removal+greedy_insert_repair,2,16.52920145902317
alns_e2_throughput,8133.20623496279,8133.20623496279,94,e2-threeshift-150c-01,random_customer_removal+greedy_insert_repair,2,17.974020374997053
alns_e2_throughput,8116.049668394236,8116.049668394236,97,e2-threeshift-150c-01,random_customer_removal+greedy_insert_repair,2,18.138614791998407
alns_e2_throughput,8032.0922916311765,8032.0922916311765,118,e2-threeshift-150c-01,random_customer_removal+greedy_insert_repair,2,21.66242737500579
alns_e2_throughput,7996.668975023547,7996.668975023547,124,e2-threeshift-150c-01,random_customer_removal+greedy_insert_repair,2,22.51888550000149
alns_e2_throughput,7990.183608749369,7990.183608749369,132,e2-threeshift-150c-01,random_customer_removal+greedy_insert_repair,2,23.50790683401283
alns_e2_throughput,7966.012035915246,7966.012035915246,156,e2-threeshift-150c-01,random_customer_removal+greedy_insert_repair,2,28.085887459019432
alns_e2_throughput,7958.928686286826,7958.928686286826,203,e2-threeshift-150c-01,random_customer_removal+greedy_insert_repair,2,35.89932391702314
alns_e2_throughput,7948.548196586706,7948.548196586706,211,e2-threeshift-150c-01,random_customer_removal+greedy_insert_repair,2,37.31422354199458
alns_e2_throughput,7946.432232731146,7946.432232731146,217,e2-threeshift-150c-01,random_customer_removal+greedy_insert_repair,2,38.15350195902283
alns_e2_throughput,7944.528725119766,7944.528725119766,230,e2-threeshift-150c-01,random_customer_removal+greedy_insert_repair,2,40.40077750000637
alns_e2_throughput,7923.402881907828,7923.402881907828,268,e2-threeshift-150c-01,random_customer_removal+greedy_insert_repair,2,46.342232666997006
alns_e2_throughput,7917.978815289613,7917.978815289613,269,e2-threeshift-150c-01,random_customer_removal+greedy_insert_repair,2,46.385809917002916
alns_e2_throughput,7906.448741582735,7906.448741582735,296,e2-threeshift-150c-01,random_customer_removal+greedy_insert_repair,2,51.63909729200532
alns_e2_throughput,7736.189810528198,7736.189810528198,308,e2-threeshift-150c-01,random_customer_removal+greedy_insert_repair,2,53.219120292022126
alns_e2_throughput,7733.49470419411,7733.49470419411,313,e2-threeshift-150c-01,random_customer_removal+greedy_insert_repair,2,53.69294187502237
alns_e2_throughput,7728.361371330346,7728.361371330346,322,e2-threeshift-150c-01,random_customer_removal+greedy_insert_repair,2,55.65559949999442
alns_e2_throughput,7722.936744896703,7722.936744896703,334,e2-threeshift-150c-01,random_customer_removal+greedy_insert_repair,2,57.574637334008
alns_e2_throughput,7722.4573696737725,7722.4573696737725,347,e2-threeshift-150c-01,random_customer_removal+greedy_insert_repair,2,59.2563745000225
alns_e2_throughput,7718.067823828298,7718.067823828298,354,e2-threeshift-150c-01,random_customer_removal+greedy_insert_repair,2,60.1669565839984
alns_e2_throughput,7717.917282310483,7717.917282310483,367,e2-threeshift-150c-01,random_customer_removal+greedy_insert_repair,2,62.10728662501788
alns_e2_throughput,7710.732201185037,7710.732201185037,376,e2-threeshift-150c-01,random_customer_removal+greedy_insert_repair,2,63.57213879202027
alns_e2_throughput,7708.570601125576,7708.570601125576,423,e2-threeshift-150c-01,random_customer_removal+greedy_insert_repair,2,71.02579383400735
alns_e2_throughput,7698.735176483343,7698.735176483343,425,e2-threeshift-150c-01,random_customer_removal+greedy_insert_repair,2,71.236885292019
alns_e2_throughput,7698.728210160898,7698.728210160898,441,e2-threeshift-150c-01,random_customer_removal+greedy_insert_repair,2,73.98478337499546
alns_e2_throughput,7695.89956384161,7695.89956384161,453,e2-threeshift-150c-01,random_customer_removal+greedy_insert_repair,2,75.77370966700255
alns_e2_throughput,7607.8075747190305,7607.8075747190305,476,e2-threeshift-150c-01,random_customer_removal+greedy_insert_repair,2,78.967685584008
alns_e2_throughput,7534.745336769647,7534.745336769647,589,e2-threeshift-150c-01,random_customer_removal+greedy_insert_repair,2,96.22266358401976
alns_e2_throughput,7514.048901162608,7514.048901162608,625,e2-threeshift-150c-01,vehicle_type_swap+greedy_insert_repair,2,100.99999104201561
alns_e2_throughput,7498.390000365956,7498.390000365956,626,e2-threeshift-150c-01,vehicle_type_swap+greedy_insert_repair,2,101.02707908401499
alns_e2_throughput,7483.5117357027675,7483.5117357027675,627,e2-threeshift-150c-01,vehicle_type_swap+greedy_insert_repair,2,101.04986979201203
alns_e2_throughput,7466.117284152318,7466.117284152318,628,e2-threeshift-150c-01,vehicle_type_swap+greedy_insert_repair,2,101.07236637501046
alns_e2_throughput,7445.891896852772,7445.891896852772,629,e2-threeshift-150c-01,vehicle_type_swap+greedy_insert_repair,2,101.09723579199635
alns_e2_throughput,7431.662241410999,7431.662241410999,630,e2-threeshift-150c-01,vehicle_type_swap+greedy_insert_repair,2,101.12001970902202
alns_e2_throughput,7410.144694748758,7410.144694748758,631,e2-threeshift-150c-01,vehicle_type_swap+greedy_insert_repair,2,101.14490570902126
alns_e2_throughput,7394.652935759418,7394.652935759418,632,e2-threeshift-150c-01,vehicle_type_swap+greedy_insert_repair,2,101.16794120901613
alns_e2_throughput,7380.589374473508,7380.589374473508,633,e2-threeshift-150c-01,vehicle_type_swap+greedy_insert_repair,2,101.19387854202068
alns_e2_throughput,7368.770994211999,7368.770994211999,634,e2-threeshift-150c-01,vehicle_type_swap+greedy_insert_repair,2,101.2186779170006
alns_e2_throughput,7358.709545217069,7358.709545217069,635,e2-threeshift-150c-01,vehicle_type_swap+greedy_insert_repair,2,101.24554966701544
alns_e2_throughput,7344.84001004223,7344.84001004223,636,e2-threeshift-150c-01,vehicle_type_swap+greedy_insert_repair,2,101.27308250000351
alns_e2_throughput,7338.163274606155,7338.163274606155,637,e2-threeshift-150c-01,vehicle_type_swap+greedy_insert_repair,2,101.30057041702094
alns_e2_throughput,7324.733217364658,7324.733217364658,638,e2-threeshift-150c-01,vehicle_type_swap+greedy_insert_repair,2,101.326406667009
alns_e2_throughput,7315.879331273464,7315.879331273464,639,e2-threeshift-150c-01,vehicle_type_swap+greedy_insert_repair,2,101.35423145900131
alns_e2_throughput,7302.015538932536,7302.015538932536,640,e2-threeshift-150c-01,vehicle_type_swap+greedy_insert_repair,2,101.38234508401365
alns_e2_throughput,7291.574110524401,7291.574110524401,641,e2-threeshift-150c-01,vehicle_type_swap+greedy_insert_repair,2,101.40924920901307
alns_e2_throughput,7285.726427303235,7285.726427303235,642,e2-threeshift-150c-01,vehicle_type_swap+greedy_insert_repair,2,101.43981291700038
alns_e2_throughput,7279.573211149732,7279.573211149732,643,e2-threeshift-150c-01,vehicle_type_swap+greedy_insert_repair,2,101.47177120900596
alns_e2_throughput,7273.499814276344,7273.499814276344,645,e2-threeshift-150c-01,vehicle_type_swap+greedy_insert_repair,2,101.5295797919971
alns_e2_throughput,7266.048943730232,7266.048943730232,1074,e2-threeshift-150c-01,random_customer_removal+greedy_insert_repair,2,126.28928425000049
alns_e2_throughput,7261.301207702259,7261.301207702259,3330,e2-threeshift-150c-01,route_segment_removal+regret2_insert_repair,2,322.91885420901235
alns_e2_throughput,7257.1574828413895,7257.1574828413895,3516,e2-threeshift-150c-01,route_segment_removal+regret2_insert_repair,2,324.36411545900046
alns_e2_throughput,7256.330133131847,7256.330133131847,3894,e2-threeshift-150c-01,route_segment_removal+regret2_insert_repair,2,327.4802885420213
