algorithm,best_cost,best_obj,eval,instance,operator,seed,time_seconds
alns_e2_throughput,13584.546890245236,13584.546890245236,0,e2-vanilla-200c-01,shared_warm_start,1,0.0007169170130509883
alns_e2_throughput,13565.36345105229,13565.36345105229,8,e2-vanilla-200c-01,random_customer_removal+regret2_insert_repair,1,2.2695222080219537
alns_e2_throughput,12988.052088514967,12988.052088514967,9,e2-vanilla-200c-01,random_customer_removal+regret2_insert_repair,1,2.7926885829947423
alns_e2_throughput,12840.736819017297,12840.736819017297,13,e2-vanilla-200c-01,random_customer_removal+regret2_insert_repair,1,3.975563542015152
alns_e2_throughput,12812.116627066975,12812.116627066975,14,e2-vanilla-200c-01,random_customer_removal+regret2_insert_repair,1,4.177777958015213
alns_e2_throughput,12581.052259312659,12581.052259312659,15,e2-vanilla-200c-01,random_customer_removal+regret2_insert_repair,1,4.598881208017701
alns_e2_throughput,12503.077972724855,12503.077972724855,30,e2-vanilla-200c-01,random_customer_removal+regret2_insert_repair,1,11.334443792002276
alns_e2_throughput,12395.979346252718,12395.979346252718,32,e2-vanilla-200c-01,random_customer_removal+regret2_insert_repair,1,11.91841683301027
alns_e2_throughput,12301.135307116178,12301.135307116178,56,e2-vanilla-200c-01,random_customer_removal+regret2_insert_repair,1,20.065831125015393
alns_e2_throughput,12293.63723139077,12293.63723139077,58,e2-vanilla-200c-01,random_customer_removal+regret2_insert_repair,1,20.400303041998995
alns_e2_throughput,12269.616898602939,12269.616898602939,67,e2-vanilla-200c-01,random_customer_removal+regret2_insert_repair,1,24.269294208002975
alns_e2_throughput,11935.60068913881,11935.60068913881,68,e2-vanilla-200c-01,random_customer_removal+regret2_insert_repair,1,24.67601445800392
alns_e2_throughput,11896.030050739131,11896.030050739131,71,e2-vanilla-200c-01,random_customer_removal+regret2_insert_repair,1,25.26744329201756
alns_e2_throughput,11833.937352141365,11833.937352141365,88,e2-vanilla-200c-01,random_customer_removal+regret2_insert_repair,1,31.421484457998304
alns_e2_throughput,11789.85022705947,11789.85022705947,232,e2-vanilla-200c-01,random_customer_removal+regret2_insert_repair,1,86.36343083300744
alns_e2_throughput,11777.426958093285,11777.426958093285,241,e2-vanilla-200c-01,random_customer_removal+regret2_insert_repair,1,89.95992345799459
alns_e2_throughput,11705.551732378412,11705.551732378412,265,e2-vanilla-200c-01,random_customer_removal+regret2_insert_repair,1,97.807902792003
alns_e2_throughput,11703.257324197124,11703.257324197124,273,e2-vanilla-200c-01,random_customer_removal+regret2_insert_repair,1,100.57867762501701
alns_e2_throughput,11519.779631133792,11519.779631133792,284,e2-vanilla-200c-01,random_customer_removal+regret2_insert_repair,1,105.94999416702194
alns_e2_throughput,11512.684624486927,11512.684624486927,297,e2-vanilla-200c-01,random_customer_removal+regret2_insert_repair,1,110.57226162499865
alns_e2_throughput,11508.641712805407,11508.641712805407,307,e2-vanilla-200c-01,random_customer_removal+regret2_insert_repair,1,114.0578797920025
alns_e2_throughput,11490.162860062657,11490.162860062657,347,e2-vanilla-200c-01,vehicle_type_swap+greedy_insert_repair,1,127.14435070799664
alns_e2_throughput,11469.70199297554,11469.70199297554,348,e2-vanilla-200c-01,vehicle_type_swap+greedy_insert_repair,1,127.17906366701936
alns_e2_throughput,11447.65121405473,11447.65121405473,349,e2-vanilla-200c-01,vehicle_type_swap+greedy_insert_repair,1,127.20592891701381
alns_e2_throughput,11426.717257877894,11426.717257877894,350,e2-vanilla-200c-01,vehicle_type_swap+greedy_insert_repair,1,127.23595270799706
alns_e2_throughput,11406.042184085705,11406.042184085705,351,e2-vanilla-200c-01,vehicle_type_swap+greedy_insert_repair,1,127.26803758300957
alns_e2_throughput,11385.949879537175,11385.949879537175,352,e2-vanilla-200c-01,vehicle_type_swap+greedy_insert_repair,1,127.29978483301238
alns_e2_throughput,11372.933719737477,11372.933719737477,353,e2-vanilla-200c-01,vehicle_type_swap+greedy_insert_repair,1,127.33031049999408
alns_e2_throughput,11361.921384961226,11361.921384961226,354,e2-vanilla-200c-01,vehicle_type_swap+greedy_insert_repair,1,127.36401770799421
alns_e2_throughput,11343.242914032304,11343.242914032304,355,e2-vanilla-200c-01,vehicle_type_swap+greedy_insert_repair,1,127.3966677080025
alns_e2_throughput,11322.642963162734,11322.642963162734,356,e2-vanilla-200c-01,vehicle_type_swap+greedy_insert_repair,1,127.42866525001591
alns_e2_throughput,11312.998731515598,11312.998731515598,357,e2-vanilla-200c-01,vehicle_type_swap+greedy_insert_repair,1,127.46453645802103
alns_e2_throughput,11297.868674534297,11297.868674534297,358,e2-vanilla-200c-01,vehicle_type_swap+greedy_insert_repair,1,127.49759216699749
alns_e2_throughput,11283.628676159919,11283.628676159919,359,e2-vanilla-200c-01,vehicle_type_swap+greedy_insert_repair,1,127.53156745800516
alns_e2_throughput,11263.985660551378,11263.985660551378,360,e2-vanilla-200c-01,vehicle_type_swap+greedy_insert_repair,1,127.56622354200226
alns_e2_throughput,11252.638052734505,11252.638052734505,361,e2-vanilla-200c-01,vehicle_type_swap+greedy_insert_repair,1,127.60035125000286
alns_e2_throughput,11245.42227010642,11245.42227010642,362,e2-vanilla-200c-01,vehicle_type_swap+greedy_insert_repair,1,127.6323438330146
alns_e2_throughput,11238.512405841248,11238.512405841248,363,e2-vanilla-200c-01,vehicle_type_swap+greedy_insert_repair,1,127.66557029201067
alns_e2_throughput,11232.569583658858,11232.569583658858,364,e2-vanilla-200c-01,vehicle_type_swap+greedy_insert_repair,1,127.70442749999347
alns_e2_throughput,11225.591939580361,11225.591939580361,365,e2-vanilla-200c-01,vehicle_type_swap+greedy_insert_repair,1,127.73753887499333
alns_e2_throughput,11218.210009859464,11218.210009859464,366,e2-vanilla-200c-01,vehicle_type_swap+greedy_insert_repair,1,127.77302141700056
alns_e2_throughput,11211.87357591607,11211.87357591607,367,e2-vanilla-200c-01,vehicle_type_swap+greedy_insert_repair,1,127.81018012500135
alns_e2_throughput,11203.823408717953,11203.823408717953,368,e2-vanilla-200c-01,vehicle_type_swap+greedy_insert_repair,1,127.84658375001163
alns_e2_throughput,11191.29593570429,11191.29593570429,369,e2-vanilla-200c-01,vehicle_type_swap+greedy_insert_repair,1,127.88602483301656
alns_e2_throughput,11187.387223328922,11187.387223328922,371,e2-vanilla-200c-01,vehicle_type_swap+greedy_insert_repair,1,127.95036350001465
