instance,size,seed,aware_cost,lns_cost,aware_gain_pct,outcome
L-main-threeshift-100c-01,100,1,5299.410088203287,5752.200433557843,7.871602364775329,WIN
L-main-threeshift-100c-01,100,2,5610.248007437557,5673.785224970613,1.1198382563623546,WIN
L-main-threeshift-100c-01,100,3,5537.001043620819,5657.358469275045,2.127449167449506,WIN
L-main-threeshift-15c-01,15,1,1047.7297588653091,1050.8542669302199,0.2973302924332342,WIN
L-main-threeshift-15c-01,15,2,1047.7297588653091,1021.8545301087881,-2.532183201631084,LOSS
L-main-threeshift-15c-01,15,3,1047.7297588653091,1045.5068138400104,-0.2126188940973159,LOSS
L-main-threeshift-200c-01,200,1,10079.038405713334,13046.944663217633,22.74790254818445,WIN
L-main-threeshift-200c-01,200,2,10283.306517761252,12364.902418149883,16.834713530234986,WIN
L-main-threeshift-200c-01,200,3,10395.024012736312,11572.133681700814,10.171932863391328,WIN
L-main-threeshift-50c-01,50,1,2693.672718519543,2693.933016724359,0.009662385931634317,WIN
L-main-threeshift-50c-01,50,2,2728.7122761933833,2772.7944448522394,1.5898101909680207,WIN
L-main-threeshift-50c-01,50,3,2807.6546350181793,2702.2299577637127,-3.9013954734523413,LOSS
