run_id,instance,algorithm,seed,violation_count,recorded_cost,recomputed_cost,absolute_cost_difference,ok,solution_file,solution_sha256
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-10c-01__staged_hybrid_carbon_aware__seed1,L-main-threeshift-10c-01,staged_hybrid_carbon_aware,1,0,648.5631028751067,648.5631028751067,0.0,True,solutions/E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-10c-01__staged_hybrid_carbon_aware__seed1.json,89ac5de7e70160f23cfb514d949484c811cf4a323ed3fa67cfba74682fb05906
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-10c-01__staged_hybrid_carbon_aware__seed2,L-main-threeshift-10c-01,staged_hybrid_carbon_aware,2,0,648.5631028751067,648.5631028751067,0.0,True,solutions/E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-10c-01__staged_hybrid_carbon_aware__seed2.json,e642a0ec1e371f84df61c69081e0a00aabe9d93373fe01d96042b1c948068ba9
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-10c-01__staged_hybrid_carbon_aware__seed3,L-main-threeshift-10c-01,staged_hybrid_carbon_aware,3,0,648.5631028751067,648.5631028751067,0.0,True,solutions/E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-10c-01__staged_hybrid_carbon_aware__seed3.json,aa53dc7244d157455ab935831f7a68350ceb32ff4d02f0467a8cf295dfa4884b
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-10c-01__staged_hybrid_carbon_aware__seed4,L-main-threeshift-10c-01,staged_hybrid_carbon_aware,4,0,648.5631028751067,648.5631028751067,0.0,True,solutions/E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-10c-01__staged_hybrid_carbon_aware__seed4.json,c523537da94ede2e39599899afd1255892387ef4a35aea4d50e236659d5e6cf1
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-10c-01__staged_hybrid_carbon_aware__seed5,L-main-threeshift-10c-01,staged_hybrid_carbon_aware,5,0,648.5631028751067,648.5631028751067,0.0,True,solutions/E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-10c-01__staged_hybrid_carbon_aware__seed5.json,599a2b55d01939c6937306d3856d8f95dc3793a0e8514140efcedcc7bee83005
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-10c-01__staged_hybrid_carbon_aware__seed6,L-main-threeshift-10c-01,staged_hybrid_carbon_aware,6,0,648.5631028751067,648.5631028751067,0.0,True,solutions/E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-10c-01__staged_hybrid_carbon_aware__seed6.json,406e6a9aa9522be5f620c505da84a125d46ad9fcc4a52ae9ee62a208e059e32a
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-10c-01__staged_hybrid_carbon_aware__seed7,L-main-threeshift-10c-01,staged_hybrid_carbon_aware,7,0,648.5631028751067,648.5631028751067,0.0,True,solutions/E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-10c-01__staged_hybrid_carbon_aware__seed7.json,0a315254316c9fc6d3f0beca9bb85d8872347122b3cf5b620aac1af020bee5f4
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-10c-01__staged_hybrid_carbon_aware__seed8,L-main-threeshift-10c-01,staged_hybrid_carbon_aware,8,0,648.5631028751067,648.5631028751067,0.0,True,solutions/E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-10c-01__staged_hybrid_carbon_aware__seed8.json,599a2b55d01939c6937306d3856d8f95dc3793a0e8514140efcedcc7bee83005
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-10c-01__staged_hybrid_carbon_aware__seed9,L-main-threeshift-10c-01,staged_hybrid_carbon_aware,9,0,648.5631028751067,648.5631028751067,0.0,True,solutions/E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-10c-01__staged_hybrid_carbon_aware__seed9.json,c523537da94ede2e39599899afd1255892387ef4a35aea4d50e236659d5e6cf1
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-10c-01__staged_hybrid_carbon_aware__seed10,L-main-threeshift-10c-01,staged_hybrid_carbon_aware,10,0,648.5631028751067,648.5631028751067,0.0,True,solutions/E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-10c-01__staged_hybrid_carbon_aware__seed10.json,c523537da94ede2e39599899afd1255892387ef4a35aea4d50e236659d5e6cf1
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-10c-01__GA__seed1,L-main-threeshift-10c-01,GA,1,0,803.2040126129434,803.2040126129434,0.0,True,solutions/E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-10c-01__GA__seed1.json,8eb280655658fc8693e21a91ec197a772597782c89214d7598f454ba767684e3
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-10c-01__GA__seed2,L-main-threeshift-10c-01,GA,2,0,701.1135206305416,701.1135206305416,0.0,True,solutions/E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-10c-01__GA__seed2.json,14a866c268b420530f67f05263273b61c51b7652d51aa4fedf185fd8db3cb6fc
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-10c-01__GA__seed3,L-main-threeshift-10c-01,GA,3,0,709.3262174394858,709.3262174394858,0.0,True,solutions/E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-10c-01__GA__seed3.json,996f6969a65ad0ddf84fed308e9c54b8bc8205fdfce2571bc70749a07287603b
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-10c-01__GA__seed4,L-main-threeshift-10c-01,GA,4,0,743.3652872834584,743.3652872834584,0.0,True,solutions/E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-10c-01__GA__seed4.json,f970332309739a4d752c7955d767ad4fc8bc94e0f07e0930c7acd8174f17cb13
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-10c-01__GA__seed5,L-main-threeshift-10c-01,GA,5,0,708.8284135730945,708.8284135730945,0.0,True,solutions/E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-10c-01__GA__seed5.json,7d157442df3306b0fece891e7fdb9bc3a6eb82165f5ce55f055ed3f9ca0f23e4
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-10c-01__GA__seed6,L-main-threeshift-10c-01,GA,6,0,726.6585230073965,726.6585230073965,0.0,True,solutions/E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-10c-01__GA__seed6.json,e9bf53e29eba08f70469cd95e661c4bd65802ca08eb08b7ac7af008f5383fb3c
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-10c-01__GA__seed7,L-main-threeshift-10c-01,GA,7,0,808.5429206318113,808.5429206318113,0.0,True,solutions/E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-10c-01__GA__seed7.json,91ae6583fb7f36fedb23dbfc781759d5dab620562f037cf9e24ef3e8b039a086
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-10c-01__GA__seed8,L-main-threeshift-10c-01,GA,8,0,687.7731541027979,687.7731541027979,0.0,True,solutions/E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-10c-01__GA__seed8.json,611301887a741beb7c5d9e59404641edeae57b82cb28b06181f3121715c09adb
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-10c-01__GA__seed9,L-main-threeshift-10c-01,GA,9,0,700.1395363887264,700.1395363887264,0.0,True,solutions/E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-10c-01__GA__seed9.json,75fb318016fa4cb31ed6747ba6c1421a1ad402403eb09ac86a63a486313d5887
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-10c-01__GA__seed10,L-main-threeshift-10c-01,GA,10,0,805.5201841202036,805.5201841202036,0.0,True,solutions/E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-10c-01__GA__seed10.json,30bb098db6f629641d898d9f3006550e79dcd1e032ee60c6a59ea27f8608abc3
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-10c-01__PSO__seed1,L-main-threeshift-10c-01,PSO,1,0,801.1576237478515,801.1576237478515,0.0,True,solutions/E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-10c-01__PSO__seed1.json,3c4c25fb811b2518585be771c1810a5385dbe89480ea6242f691fe93920296ec
