run_id,instance,algorithm,seed,violation_count,recorded_cost,recomputed_cost,absolute_cost_difference,ok
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-20c-01__staged_hybrid_carbon_aware__seed6,L-main-threeshift-20c-01,staged_hybrid_carbon_aware,6,0,1080.7965406495912,1080.7965406495912,0.0,True
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-20c-01__GA__seed6,L-main-threeshift-20c-01,GA,6,0,1430.3735025369501,1430.3735025369501,0.0,True
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-20c-01__PSO__seed6,L-main-threeshift-20c-01,PSO,6,0,1694.8310900306408,1694.8310900306408,0.0,True
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-20c-01__VNS__seed6,L-main-threeshift-20c-01,VNS,6,0,1350.1815860434715,1350.1815860434715,0.0,True
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-20c-01__ACO__seed6,L-main-threeshift-20c-01,ACO,6,0,1738.5262257132608,1738.5262257132608,0.0,True
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-20c-01__GA-VNS__seed6,L-main-threeshift-20c-01,GA-VNS,6,0,1430.3735025369501,1430.3735025369501,0.0,True
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-20c-01__LNS__seed6,L-main-threeshift-20c-01,LNS,6,0,1341.970649138676,1341.970649138676,0.0,True
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-20c-01__GWO__seed6,L-main-threeshift-20c-01,GWO,6,0,1582.5499330259106,1582.5499330259106,0.0,True
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-20c-01__IWD__seed6,L-main-threeshift-20c-01,IWD,6,0,1880.1889194665705,1880.1889194665705,0.0,True
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-50c-01__staged_hybrid_carbon_aware__seed6,L-main-threeshift-50c-01,staged_hybrid_carbon_aware,6,0,2748.706588272683,2748.706588272683,0.0,True
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-50c-01__GA__seed6,L-main-threeshift-50c-01,GA,6,0,2994.533297923351,2994.533297923351,0.0,True
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-50c-01__PSO__seed6,L-main-threeshift-50c-01,PSO,6,0,3161.077461450479,3161.077461450479,0.0,True
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-50c-01__VNS__seed6,L-main-threeshift-50c-01,VNS,6,0,3122.843417596014,3122.843417596014,0.0,True
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-50c-01__ACO__seed6,L-main-threeshift-50c-01,ACO,6,0,3764.430634100722,3764.430634100722,0.0,True
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-50c-01__GA-VNS__seed6,L-main-threeshift-50c-01,GA-VNS,6,0,2994.533297923351,2994.533297923351,0.0,True
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-50c-01__LNS__seed6,L-main-threeshift-50c-01,LNS,6,0,2898.9989644525194,2898.9989644525194,0.0,True
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-50c-01__GWO__seed6,L-main-threeshift-50c-01,GWO,6,0,3457.0443396627675,3457.0443396627675,0.0,True
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-50c-01__IWD__seed6,L-main-threeshift-50c-01,IWD,6,0,4168.855236581392,4168.855236581392,0.0,True
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-150c-01__staged_hybrid_carbon_aware__seed6,L-main-threeshift-150c-01,staged_hybrid_carbon_aware,6,0,10808.176329065724,10808.176329065724,0.0,True
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-150c-01__GA__seed6,L-main-threeshift-150c-01,GA,6,0,9371.678388026323,9371.678388026323,0.0,True
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-150c-01__PSO__seed6,L-main-threeshift-150c-01,PSO,6,0,10000.347547072759,10000.347547072759,0.0,True
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-150c-01__VNS__seed6,L-main-threeshift-150c-01,VNS,6,0,8660.613719610239,8660.613719610239,0.0,True
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-150c-01__ACO__seed6,L-main-threeshift-150c-01,ACO,6,0,10718.877299795036,10718.877299795036,0.0,True
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-150c-01__GA-VNS__seed6,L-main-threeshift-150c-01,GA-VNS,6,0,9371.678388026323,9371.678388026323,0.0,True
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-150c-01__LNS__seed6,L-main-threeshift-150c-01,LNS,6,0,10110.890190289498,10110.890190289498,0.0,True
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-150c-01__GWO__seed6,L-main-threeshift-150c-01,GWO,6,0,10118.63196260885,10118.63196260885,0.0,True
E2_FINAL_10SEED__diagnostic_280_override__threeshift__L-main-threeshift-150c-01__IWD__seed6,L-main-threeshift-150c-01,IWD,6,0,11391.560952023648,11391.560952023648,0.0,True
