run_id,phase,algorithm,display_algorithm,category,instance,seed,best_cost,common_lift,native_lift,flip_lift,native_best_updates,route_count_unique
A2_COMPONENT_ABLATION__formal_goeke80__threeshift__e2-threeshift-150c-01__alns_component_LOCAL_SEARCH__LOCAL_SEARCH__seed1,A2_COMPONENT_ABLATION,alns_component_LOCAL_SEARCH,alns_e2_throughput+LOCAL_SEARCH,threeshift,e2-threeshift-150c-01,1,4177.50598222582,0.0,1626.0473679729785,0,75,1
A2_COMPONENT_ABLATION__formal_goeke80__threeshift__e2-threeshift-150c-01__alns_component_LOCAL_SEARCH__LOCAL_SEARCH__seed2,A2_COMPONENT_ABLATION,alns_component_LOCAL_SEARCH,alns_e2_throughput+LOCAL_SEARCH,threeshift,e2-threeshift-150c-01,2,3948.141136593668,0.0,1855.4122136051305,0,126,1
A2_COMPONENT_ABLATION__formal_goeke80__threeshift__e2-threeshift-150c-01__alns_component_LOCAL_SEARCH__LOCAL_SEARCH__seed3,A2_COMPONENT_ABLATION,alns_component_LOCAL_SEARCH,alns_e2_throughput+LOCAL_SEARCH,threeshift,e2-threeshift-150c-01,3,3606.94552015496,0.0,2196.6078300438385,0,103,1
A2_COMPONENT_ABLATION__formal_goeke80__threeshift__e2-threeshift-150c-01__alns_component_ROUTE_ELIMINATION__ROUTE_ELIMINATION__seed1,A2_COMPONENT_ABLATION,alns_component_ROUTE_ELIMINATION,alns_e2_throughput+ROUTE_ELIMINATION,threeshift,e2-threeshift-150c-01,1,4083.7036851856014,0.0,1719.849665013197,0,95,1
A2_COMPONENT_ABLATION__formal_goeke80__threeshift__e2-threeshift-150c-01__alns_component_ROUTE_ELIMINATION__ROUTE_ELIMINATION__seed2,A2_COMPONENT_ABLATION,alns_component_ROUTE_ELIMINATION,alns_e2_throughput+ROUTE_ELIMINATION,threeshift,e2-threeshift-150c-01,2,3937.918226784468,0.0,1865.6351234143303,0,64,1
A2_COMPONENT_ABLATION__formal_goeke80__threeshift__e2-threeshift-150c-01__alns_component_ROUTE_ELIMINATION__ROUTE_ELIMINATION__seed3,A2_COMPONENT_ABLATION,alns_component_ROUTE_ELIMINATION,alns_e2_throughput+ROUTE_ELIMINATION,threeshift,e2-threeshift-150c-01,3,3740.0684310777115,0.0,2063.484919121087,0,74,1
A2_COMPONENT_ABLATION__formal_goeke80__threeshift__e2-threeshift-150c-01__alns_component_RRT_TRUE_ACCEPTANCE__RRT_TRUE_ACCEPTANCE__seed1,A2_COMPONENT_ABLATION,alns_component_RRT_TRUE_ACCEPTANCE,alns_e2_throughput+RRT_TRUE_ACCEPTANCE,threeshift,e2-threeshift-150c-01,1,3822.380528898568,0.0,1981.1728213002302,0,55,1
A2_COMPONENT_ABLATION__formal_goeke80__threeshift__e2-threeshift-150c-01__alns_component_RRT_TRUE_ACCEPTANCE__RRT_TRUE_ACCEPTANCE__seed2,A2_COMPONENT_ABLATION,alns_component_RRT_TRUE_ACCEPTANCE,alns_e2_throughput+RRT_TRUE_ACCEPTANCE,threeshift,e2-threeshift-150c-01,2,4028.2964572362357,0.0,1775.2568929625627,0,53,1
A2_COMPONENT_ABLATION__formal_goeke80__threeshift__e2-threeshift-150c-01__alns_component_RRT_TRUE_ACCEPTANCE__RRT_TRUE_ACCEPTANCE__seed3,A2_COMPONENT_ABLATION,alns_component_RRT_TRUE_ACCEPTANCE,alns_e2_throughput+RRT_TRUE_ACCEPTANCE,threeshift,e2-threeshift-150c-01,3,5786.258526609102,0.0,17.294823589696534,0,2,1
A2_COMPONENT_ABLATION__formal_goeke80__threeshift__e2-threeshift-150c-01__alns_e2_throughput__seed1,A2_COMPONENT_ABLATION,alns_e2_throughput,alns_e2_throughput,threeshift,e2-threeshift-150c-01,1,4174.920107007233,0.0,1628.6332431915653,0,84,1
A2_COMPONENT_ABLATION__formal_goeke80__threeshift__e2-threeshift-150c-01__alns_e2_throughput__seed2,A2_COMPONENT_ABLATION,alns_e2_throughput,alns_e2_throughput,threeshift,e2-threeshift-150c-01,2,3955.023310771635,0.0,1848.5300394271635,0,68,1
A2_COMPONENT_ABLATION__formal_goeke80__threeshift__e2-threeshift-150c-01__alns_e2_throughput__seed3,A2_COMPONENT_ABLATION,alns_e2_throughput,alns_e2_throughput,threeshift,e2-threeshift-150c-01,3,3727.475514158737,0.0,2076.0778360400614,0,75,1
A3_COMPONENT_STACK_RETEST__formal_goeke80__threeshift__e2-threeshift-150c-01__alns_component_stack__LOCAL_SEARCH-ROUTE_ELIMINATION__seed1,A3_COMPONENT_STACK_RETEST,alns_component_stack,alns_e2_throughput+LOCAL_SEARCH+ROUTE_ELIMINATION,threeshift,e2-threeshift-150c-01,1,4077.412248622571,0.0,1726.1411015762274,0,95,1
A3_COMPONENT_STACK_RETEST__formal_goeke80__threeshift__e2-threeshift-150c-01__alns_component_stack__LOCAL_SEARCH-ROUTE_ELIMINATION__seed2,A3_COMPONENT_STACK_RETEST,alns_component_stack,alns_e2_throughput+LOCAL_SEARCH+ROUTE_ELIMINATION,threeshift,e2-threeshift-150c-01,2,4134.617559460493,0.0,1668.9357907383055,0,79,1
A3_COMPONENT_STACK_RETEST__formal_goeke80__threeshift__e2-threeshift-150c-01__alns_component_stack__LOCAL_SEARCH-ROUTE_ELIMINATION__seed3,A3_COMPONENT_STACK_RETEST,alns_component_stack,alns_e2_throughput+LOCAL_SEARCH+ROUTE_ELIMINATION,threeshift,e2-threeshift-150c-01,3,3625.8356863787267,0.0,2177.7176638200717,0,104,1
