variant,instance,seed,source_phase,algorithm,components,gate_status,actual_evals,eval_budget,best_cost,route_count,route_count_unique,liveness_verdict,run_id
LNS,e2-threeshift-100c-01,1,C_G4_STABILITY,LNS,,OK,16000,16000,2672.587337374461,13,4,BASELINE_LIVENESS_FAIL,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-100c-01__LNS__seed1
LNS,e2-threeshift-100c-01,2,C_G4_STABILITY,LNS,,OK,16000,16000,2666.462179895367,13,7,BASELINE_LIVENESS_PASS,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-100c-01__LNS__seed2
LNS,e2-threeshift-100c-01,3,C_G4_STABILITY,LNS,,OK,16000,16000,2721.997756306055,13,6,BASELINE_LIVENESS_PASS,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-100c-01__LNS__seed3
ROUTE_ELIMINATION_ONLY,e2-threeshift-100c-01,1,A_PRIME_ROUTE_RETEST,alns_component_ROUTE_ELIMINATION,ROUTE_ELIMINATION,OK,16000,16000,2725.1207417192854,14,1,NOT_BASELINE_ALNS_REFERENCE,A_PRIME_ROUTE_RETEST__formal_goeke80__threeshift__e2-threeshift-100c-01__alns_component_ROUTE_ELIMINATION__ROUTE_ELIMINATION__seed1
ROUTE_ELIMINATION_ONLY,e2-threeshift-100c-01,2,A_PRIME_ROUTE_RETEST,alns_component_ROUTE_ELIMINATION,ROUTE_ELIMINATION,OK,16000,16000,2736.1981093217946,14,1,NOT_BASELINE_ALNS_REFERENCE,A_PRIME_ROUTE_RETEST__formal_goeke80__threeshift__e2-threeshift-100c-01__alns_component_ROUTE_ELIMINATION__ROUTE_ELIMINATION__seed2
ROUTE_ELIMINATION_ONLY,e2-threeshift-100c-01,3,A_PRIME_ROUTE_RETEST,alns_component_ROUTE_ELIMINATION,ROUTE_ELIMINATION,OK,16000,16000,2719.82460507196,13,1,NOT_BASELINE_ALNS_REFERENCE,A_PRIME_ROUTE_RETEST__formal_goeke80__threeshift__e2-threeshift-100c-01__alns_component_ROUTE_ELIMINATION__ROUTE_ELIMINATION__seed3
LOCAL_SEARCH_ONLY,e2-threeshift-100c-01,1,C_G4_STABILITY,t3_main_alns,,OK,16000,16000,2723.2098966075837,14,1,NOT_BASELINE_ALNS_REFERENCE,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-100c-01__t3_main_alns__seed1
LOCAL_SEARCH_ONLY,e2-threeshift-100c-01,2,C_G4_STABILITY,t3_main_alns,,OK,16000,16000,2820.4571745731005,14,1,NOT_BASELINE_ALNS_REFERENCE,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-100c-01__t3_main_alns__seed2
LOCAL_SEARCH_ONLY,e2-threeshift-100c-01,3,C_G4_STABILITY,t3_main_alns,,OK,16000,16000,2692.3220464783494,13,1,NOT_BASELINE_ALNS_REFERENCE,C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-100c-01__t3_main_alns__seed3
LNS,e2-threeshift-150c-01,1,A_PRIME_LNS_REFERENCE,LNS,,OK,16000,16000,3901.223314120109,21,5,BASELINE_LIVENESS_PASS,A_PRIME_LNS_REFERENCE__formal_goeke80__threeshift__e2-threeshift-150c-01__LNS__seed1
LNS,e2-threeshift-150c-01,2,A_PRIME_LNS_REFERENCE,LNS,,OK,16000,16000,3884.970113138324,21,5,BASELINE_LIVENESS_PASS,A_PRIME_LNS_REFERENCE__formal_goeke80__threeshift__e2-threeshift-150c-01__LNS__seed2
