run_id,phase,algorithm,display_algorithm,category,instance,seed,best_cost,common_lift,native_lift,flip_lift,native_best_updates,route_count_unique
C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-100c-01__LNS__seed1,C_G4_STABILITY,LNS,LNS,threeshift,e2-threeshift-100c-01,1,2672.587337374461,0.0,1413.6662786502338,156.20442192484416,78,4
C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-100c-01__LNS__seed2,C_G4_STABILITY,LNS,LNS,threeshift,e2-threeshift-100c-01,2,2666.462179895367,0.0,1419.7914361293278,103.08177488920091,59,7
C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-100c-01__LNS__seed3,C_G4_STABILITY,LNS,LNS,threeshift,e2-threeshift-100c-01,3,2721.997756306055,0.0,1364.2558597186398,43.16738376730882,76,6
C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-100c-01__t3_main_alns__seed1,C_G4_STABILITY,t3_main_alns,alns_e2_throughput+LOCAL_SEARCH,threeshift,e2-threeshift-100c-01,1,2723.2098966075837,0.0,1363.0437194171113,0,54,1
C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-100c-01__t3_main_alns__seed2,C_G4_STABILITY,t3_main_alns,alns_e2_throughput+LOCAL_SEARCH,threeshift,e2-threeshift-100c-01,2,2820.4571745731005,0.0,1265.7964414515945,0,48,1
C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-100c-01__t3_main_alns__seed3,C_G4_STABILITY,t3_main_alns,alns_e2_throughput+LOCAL_SEARCH,threeshift,e2-threeshift-100c-01,3,2692.3220464783494,0.0,1393.9315695463456,0,37,1
C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-100c-02__LNS__seed1,C_G4_STABILITY,LNS,LNS,threeshift,e2-threeshift-100c-02,1,2467.248467204898,0.0,1116.2913877722808,223.453958838189,52,5
C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-100c-02__LNS__seed2,C_G4_STABILITY,LNS,LNS,threeshift,e2-threeshift-100c-02,2,2515.994451975414,0.0,1067.545403001765,226.02007595917576,48,4
C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-100c-02__LNS__seed3,C_G4_STABILITY,LNS,LNS,threeshift,e2-threeshift-100c-02,3,2468.9727832682747,0.0,1114.5670717089042,72.36747318580638,51,4
C_G4_STABILITY__formal_goeke80__threeshift__e2-threeshift-100c-02__t3_main_alns__seed1,C_G4_STABILITY,t3_main_alns,alns_e2_throughput+LOCAL_SEARCH,threeshift,e2-threeshift-100c-02,1,2402.1657616930097,0.0,1181.3740932841692,0,84,1
