run_id,phase,algorithm,display_algorithm,category,instance,seed,best_cost,common_lift,native_lift,flip_lift,native_best_updates,route_count_unique
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__ACO__seed1,D_G5_TIER1,ACO,ACO,multidepot,e2-multidepot-100c-01,1,2914.8851171730944,0.0,1046.029109259373,0,19,2
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__ACO__seed2,D_G5_TIER1,ACO,ACO,multidepot,e2-multidepot-100c-01,2,2818.2380480742686,0.0,1142.6761783581987,0,23,2
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__ACO__seed3,D_G5_TIER1,ACO,ACO,multidepot,e2-multidepot-100c-01,3,2926.2833489880004,0.0,1034.630877444467,0,24,2
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__GA__seed1,D_G5_TIER1,GA,GA,multidepot,e2-multidepot-100c-01,1,2894.1244745663066,0.0,1066.7897518661607,95.76164039312243,3,2
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__GA__seed2,D_G5_TIER1,GA,GA,multidepot,e2-multidepot-100c-01,2,2868.9686997805334,0.0,1091.945526651934,101.4142797369309,4,2
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__GA__seed3,D_G5_TIER1,GA,GA,multidepot,e2-multidepot-100c-01,3,2910.062980828603,0.0,1050.8512456038643,109.59842179165753,6,2
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__GA-VNS__seed1,D_G5_TIER1,GA-VNS,GA-VNS,multidepot,e2-multidepot-100c-01,1,2894.1244745663066,0.0,1066.7897518661607,95.76164039312243,3,2
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__GA-VNS__seed2,D_G5_TIER1,GA-VNS,GA-VNS,multidepot,e2-multidepot-100c-01,2,2896.381711654326,0.0,1064.5325147781414,101.4142797369309,3,2
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__GA-VNS__seed3,D_G5_TIER1,GA-VNS,GA-VNS,multidepot,e2-multidepot-100c-01,3,2910.0457527424446,0.0,1050.8684736900227,109.59842179165753,6,2
D_G5_TIER1__formal_goeke80__multidepot__e2-multidepot-100c-01__GWO__seed1,D_G5_TIER1,GWO,GWO,multidepot,e2-multidepot-100c-01,1,2966.0306792903298,0.0,994.8835471421376,0,4,2
