size_bucket,baseline,paired_count,mean_gap_fraction,alns_lower,tie,alns_higher
100c,GA,9,0.11837816103194303,9,0,0
10c,GA,6,0.004497006356224904,3,2,1
150c,GA,9,0.07171856441725712,9,0,0
15c,GA,6,-0.04472332100681584,0,2,4
200c,GA,9,0.10081526679054417,9,0,0
20c,GA,6,0.0021304932222760086,4,0,2
25c,GA,6,0.009617001845427665,3,1,2
50c,GA,9,0.061310052137127174,9,0,0
75c,GA,9,0.0992697501576526,9,0,0
100c,LNS,9,-0.01415684202416351,1,0,8
10c,LNS,6,-0.014248560981557032,0,4,2
150c,LNS,9,-0.005889523348799605,2,0,7
15c,LNS,6,-0.04377679110961576,1,1,4
200c,LNS,9,0.02592399596999168,8,0,1
20c,LNS,6,0.0007597477963602241,3,2,1
25c,LNS,6,0.00198045100905734,2,1,3
50c,LNS,9,-0.011965366468009008,2,0,7
75c,LNS,9,-0.012151573303354023,3,0,6
100c,PSO,9,0.15756758571345203,9,0,0
10c,PSO,6,0.020669111920054276,4,2,0
150c,PSO,9,0.1260825303530644,9,0,0
15c,PSO,6,0.044079239558077465,5,0,1
200c,PSO,9,0.1263796422961024,9,0,0
20c,PSO,6,0.0666447972580078,6,0,0
25c,PSO,6,0.10198439238927748,6,0,0
50c,PSO,9,0.14003054383705504,9,0,0
75c,PSO,9,0.14704953514990052,9,0,0
100c,VNS,9,0.05900748736517944,8,0,1
10c,VNS,6,-0.014248560981557032,0,4,2
150c,VNS,9,0.1116525035653379,9,0,0
15c,VNS,6,-0.04536926136058269,0,2,4
200c,VNS,9,0.18213683637704392,9,0,0
20c,VNS,6,0.0001290400679550884,3,2,1
25c,VNS,6,-0.005650398305938051,1,1,4
50c,VNS,9,0.024928714947369156,7,0,2
75c,VNS,9,0.0634500126345888,8,0,1
100c,ACO,9,0.11895123341602157,9,0,0
10c,ACO,6,0.030568245652179672,6,0,0
150c,ACO,9,0.09302651300435454,9,0,0
15c,ACO,6,-0.015061680776549135,2,2,2
200c,ACO,9,0.13008054431791516,9,0,0
20c,ACO,6,0.027389096335435095,6,0,0
25c,ACO,6,0.03718296418962386,6,0,0
50c,ACO,9,0.08806705350755252,9,0,0
75c,ACO,9,0.10284092668799047,9,0,0
100c,GA-VNS,9,0.10554479106974754,9,0,0
10c,GA-VNS,6,-0.014248560981557032,0,4,2
150c,GA-VNS,9,0.05908788923967807,8,0,1
15c,GA-VNS,6,-0.04536926136058269,0,2,4
200c,GA-VNS,9,0.09445203807639188,8,0,1
20c,GA-VNS,6,-0.0004668877534416285,5,0,1
25c,GA-VNS,6,-0.0015152649930359286,3,1,2
50c,GA-VNS,9,0.03972083792660787,7,0,2
75c,GA-VNS,9,0.08143770586641068,9,0,0
100c,GWO,9,0.09235665449277572,9,0,0
10c,GWO,6,0.006832232065118544,1,5,0
150c,GWO,9,0.07491640674822038,9,0,0
15c,GWO,6,-0.04472332100681584,0,2,4
200c,GWO,9,0.11928242269084538,9,0,0
20c,GWO,6,-0.002753348123132385,2,3,1
25c,GWO,6,-0.006239602672855382,1,1,4
50c,GWO,9,0.012568155840691934,6,0,3
75c,GWO,9,0.06295996171886861,9,0,0
100c,IWD,9,0.16579948393062455,9,0,0
10c,IWD,6,0.016602037296624204,4,2,0
150c,IWD,9,0.137480379219299,9,0,0
15c,IWD,6,-0.020004010493130192,3,0,3
200c,IWD,9,0.23294732179859326,9,0,0
20c,IWD,6,0.009104518646689194,5,0,1
25c,IWD,6,0.041172203722664606,6,0,0
50c,IWD,9,0.11813216108748072,9,0,0
75c,IWD,9,0.13620850094815454,9,0,0
