category,instance,baseline,paired_count,wilcoxon_statistic,p_value_alns_less,note
multidepot,e2-multidepot-100c-01,GA,3,0.0,0.125,per-instance neutral material only
multidepot,e2-multidepot-100c-01,LNS,3,6.0,1.0,per-instance neutral material only
multidepot,e2-multidepot-100c-01,PSO,3,0.0,0.125,per-instance neutral material only
multidepot,e2-multidepot-100c-01,VNS,3,0.0,0.125,per-instance neutral material only
multidepot,e2-multidepot-100c-01,ACO,3,0.0,0.125,per-instance neutral material only
multidepot,e2-multidepot-100c-01,GA-VNS,3,0.0,0.125,per-instance neutral material only
multidepot,e2-multidepot-100c-01,GWO,3,0.0,0.125,per-instance neutral material only
multidepot,e2-multidepot-100c-01,IWD,3,0.0,0.125,per-instance neutral material only
multidepot,e2-multidepot-10c-01,GA,3,1.5,0.75,per-instance neutral material only
multidepot,e2-multidepot-10c-01,LNS,3,3.0,1.0,per-instance neutral material only
multidepot,e2-multidepot-10c-01,PSO,3,0.0,0.5,per-instance neutral material only
multidepot,e2-multidepot-10c-01,VNS,3,3.0,1.0,per-instance neutral material only
multidepot,e2-multidepot-10c-01,ACO,3,0.0,0.125,per-instance neutral material only
multidepot,e2-multidepot-10c-01,GA-VNS,3,3.0,1.0,per-instance neutral material only
multidepot,e2-multidepot-10c-01,GWO,3,0.0,0.5,per-instance neutral material only
multidepot,e2-multidepot-10c-01,IWD,3,0.0,0.125,per-instance neutral material only
multidepot,e2-multidepot-150c-01,GA,3,0.0,0.125,per-instance neutral material only
multidepot,e2-multidepot-150c-01,LNS,3,6.0,1.0,per-instance neutral material only
multidepot,e2-multidepot-150c-01,PSO,3,0.0,0.125,per-instance neutral material only
multidepot,e2-multidepot-150c-01,VNS,3,0.0,0.125,per-instance neutral material only
multidepot,e2-multidepot-150c-01,ACO,3,0.0,0.125,per-instance neutral material only
multidepot,e2-multidepot-150c-01,GA-VNS,3,1.0,0.25,per-instance neutral material only
multidepot,e2-multidepot-150c-01,GWO,3,0.0,0.125,per-instance neutral material only
multidepot,e2-multidepot-150c-01,IWD,3,0.0,0.125,per-instance neutral material only
multidepot,e2-multidepot-15c-01,GA,3,6.0,1.0,per-instance neutral material only
multidepot,e2-multidepot-15c-01,LNS,3,6.0,1.0,per-instance neutral material only
multidepot,e2-multidepot-15c-01,PSO,3,0.0,0.125,per-instance neutral material only
multidepot,e2-multidepot-15c-01,VNS,3,6.0,1.0,per-instance neutral material only
multidepot,e2-multidepot-15c-01,ACO,3,2.0,0.375,per-instance neutral material only
multidepot,e2-multidepot-15c-01,GA-VNS,3,6.0,1.0,per-instance neutral material only
multidepot,e2-multidepot-15c-01,GWO,3,6.0,1.0,per-instance neutral material only
multidepot,e2-multidepot-15c-01,IWD,3,5.0,0.875,per-instance neutral material only
multidepot,e2-multidepot-200c-01,GA,3,0.0,0.125,per-instance neutral material only
multidepot,e2-multidepot-200c-01,LNS,3,0.0,0.125,per-instance neutral material only
multidepot,e2-multidepot-200c-01,PSO,3,0.0,0.125,per-instance neutral material only
multidepot,e2-multidepot-200c-01,VNS,3,0.0,0.125,per-instance neutral material only
multidepot,e2-multidepot-200c-01,ACO,3,0.0,0.125,per-instance neutral material only
multidepot,e2-multidepot-200c-01,GA-VNS,3,0.0,0.125,per-instance neutral material only
multidepot,e2-multidepot-200c-01,GWO,3,0.0,0.125,per-instance neutral material only
multidepot,e2-multidepot-200c-01,IWD,3,0.0,0.125,per-instance neutral material only
multidepot,e2-multidepot-20c-01,GA,3,4.0,0.75,per-instance neutral material only
multidepot,e2-multidepot-20c-01,LNS,3,1.0,1.0,per-instance neutral material only
multidepot,e2-multidepot-20c-01,PSO,3,0.0,0.125,per-instance neutral material only
multidepot,e2-multidepot-20c-01,VNS,3,1.0,1.0,per-instance neutral material only
multidepot,e2-multidepot-20c-01,ACO,3,0.0,0.125,per-instance neutral material only
multidepot,e2-multidepot-20c-01,GA-VNS,3,3.0,0.625,per-instance neutral material only
multidepot,e2-multidepot-20c-01,GWO,3,1.0,1.0,per-instance neutral material only
multidepot,e2-multidepot-20c-01,IWD,3,1.0,0.25,per-instance neutral material only
multidepot,e2-multidepot-25c-01,GA,3,0.0,0.125,per-instance neutral material only
multidepot,e2-multidepot-25c-01,LNS,3,1.0,0.25,per-instance neutral material only
multidepot,e2-multidepot-25c-01,PSO,3,0.0,0.125,per-instance neutral material only
multidepot,e2-multidepot-25c-01,VNS,3,3.0,0.625,per-instance neutral material only
multidepot,e2-multidepot-25c-01,ACO,3,0.0,0.125,per-instance neutral material only
multidepot,e2-multidepot-25c-01,GA-VNS,3,0.0,0.125,per-instance neutral material only
multidepot,e2-multidepot-25c-01,GWO,3,3.0,0.625,per-instance neutral material only
multidepot,e2-multidepot-25c-01,IWD,3,0.0,0.125,per-instance neutral material only
multidepot,e2-multidepot-50c-01,GA,3,0.0,0.125,per-instance neutral material only
multidepot,e2-multidepot-50c-01,LNS,3,6.0,1.0,per-instance neutral material only
multidepot,e2-multidepot-50c-01,PSO,3,0.0,0.125,per-instance neutral material only
multidepot,e2-multidepot-50c-01,VNS,3,1.0,0.25,per-instance neutral material only
multidepot,e2-multidepot-50c-01,ACO,3,0.0,0.125,per-instance neutral material only
multidepot,e2-multidepot-50c-01,GA-VNS,3,1.0,0.25,per-instance neutral material only
multidepot,e2-multidepot-50c-01,GWO,3,1.0,0.25,per-instance neutral material only
multidepot,e2-multidepot-50c-01,IWD,3,0.0,0.125,per-instance neutral material only
multidepot,e2-multidepot-75c-01,GA,3,0.0,0.125,per-instance neutral material only
multidepot,e2-multidepot-75c-01,LNS,3,6.0,1.0,per-instance neutral material only
multidepot,e2-multidepot-75c-01,PSO,3,0.0,0.125,per-instance neutral material only
multidepot,e2-multidepot-75c-01,VNS,3,0.0,0.125,per-instance neutral material only
multidepot,e2-multidepot-75c-01,ACO,3,0.0,0.125,per-instance neutral material only
multidepot,e2-multidepot-75c-01,GA-VNS,3,0.0,0.125,per-instance neutral material only
multidepot,e2-multidepot-75c-01,GWO,3,0.0,0.125,per-instance neutral material only
multidepot,e2-multidepot-75c-01,IWD,3,0.0,0.125,per-instance neutral material only
threeshift,e2-threeshift-100c-01,GA,3,0.0,0.125,per-instance neutral material only
threeshift,e2-threeshift-100c-01,LNS,3,5.0,0.875,per-instance neutral material only
threeshift,e2-threeshift-100c-01,PSO,3,0.0,0.125,per-instance neutral material only
threeshift,e2-threeshift-100c-01,VNS,3,2.0,0.375,per-instance neutral material only
threeshift,e2-threeshift-100c-01,ACO,3,0.0,0.125,per-instance neutral material only
threeshift,e2-threeshift-100c-01,GA-VNS,3,0.0,0.125,per-instance neutral material only
threeshift,e2-threeshift-100c-01,GWO,3,0.0,0.125,per-instance neutral material only
threeshift,e2-threeshift-100c-01,IWD,3,0.0,0.125,per-instance neutral material only
threeshift,e2-threeshift-150c-01,GA,3,0.0,0.125,per-instance neutral material only
threeshift,e2-threeshift-150c-01,LNS,3,3.0,0.625,per-instance neutral material only
threeshift,e2-threeshift-150c-01,PSO,3,0.0,0.125,per-instance neutral material only
threeshift,e2-threeshift-150c-01,VNS,3,0.0,0.125,per-instance neutral material only
threeshift,e2-threeshift-150c-01,ACO,3,0.0,0.125,per-instance neutral material only
threeshift,e2-threeshift-150c-01,GA-VNS,3,0.0,0.125,per-instance neutral material only
threeshift,e2-threeshift-150c-01,GWO,3,0.0,0.125,per-instance neutral material only
threeshift,e2-threeshift-150c-01,IWD,3,0.0,0.125,per-instance neutral material only
threeshift,e2-threeshift-200c-01,GA,3,0.0,0.125,per-instance neutral material only
threeshift,e2-threeshift-200c-01,LNS,3,2.0,0.375,per-instance neutral material only
