instance,seed,hybrid_cost,lns_cost,gain_vs_lns_pct,outcome,loss_class,route_delta,ev_route_delta,cv_emissions_delta,ev_emissions_delta,carbon_cost_delta,runtime_ratio,best_stage,phase_best_costs
L-main-threeshift-100c-01,1,5211.846216947982,5211.541747536296,-0.005842213809954581,LOSS,extra_route_or_partition,3,4,-107.51016698241283,-35.4590713743404,-7.1970714588789555,0.27744204057475047,3,"[6861.4229653369275,5250.254985458049,5211.965393537421]"
L-main-threeshift-100c-01,2,5635.972781395283,5381.017779154468,-4.73804422703239,LOSS,extra_route_or_partition,6,9,-377.5974030580586,-39.19502265706063,-20.98133071049911,0.2637120154897645,3,"[6233.39535625973,5891.350768230289,5638.665368027042]"
L-main-threeshift-100c-01,3,5456.571521014809,5796.741306466416,5.868293364620889,WIN,,4,7,-623.5968456612285,-31.58958946860872,-32.98208514443601,0.23816959562496332,3,"[6185.0093850090825,5490.500028737945,5470.406377238904]"
L-main-threeshift-100c-01,4,4755.8218423428325,5534.69957087972,14.072628849357546,WIN,,-2,-1,-228.24924199036244,-77.8888164828561,-15.410989863541822,0.4477664986596734,1,"[4755.8218423428325,4755.8218423428325,4755.8218423428325]"
L-main-threeshift-100c-01,5,5047.622574425395,5276.797840496619,4.343074588009138,WIN,,0,1,-154.7110155489662,-18.945531011836522,-8.741870553870804,0.29847080569731205,3,"[6257.251797353937,5210.929710525452,5047.622574425395]"
L-main-threeshift-10c-01,1,648.5631028751067,648.5631028751067,0.0,TIE,,0,0,0.0,0.0,0.0,0.2021768751520564,2,"[713.6532670439472,648.5631028751067,648.5631028751067]"
L-main-threeshift-10c-01,2,648.5631028751067,648.5631028751067,0.0,TIE,,0,0,0.0,-1.4210854715202004e-14,-8.881784197001252e-16,0.24137772554373282,1,"[648.5631028751067,648.5631028751067,648.5631028751067]"
L-main-threeshift-10c-01,3,648.5631028751067,648.5631028751067,0.0,TIE,,0,0,0.0,1.4210854715202004e-14,4.440892098500626e-16,0.23085616140082077,2,"[713.6639628738973,648.5631028751067,648.5631028751067]"
L-main-threeshift-10c-01,4,648.5631028751067,648.5631028751067,0.0,TIE,,0,0,0.0,0.0,0.0,0.23785850823258695,2,"[672.510849601405,648.5631028751067,648.5631028751067]"
L-main-threeshift-10c-01,5,648.5631028751067,648.5631028751067,0.0,TIE,,0,0,0.0,0.0,0.0,0.22886556712415423,2,"[676.4592448415958,648.5631028751067,648.5631028751067]"
L-main-threeshift-150c-01,1,9213.710699949605,9327.921180185798,1.2243937103456397,WIN,,1,0,75.07024236130997,-2.243957324790017,3.666075188738418,0.23126806499159872,3,"[10966.59506585001,9440.770834242243,9230.064951669]"
L-main-threeshift-150c-01,2,9280.77825463509,9387.203914558891,1.13373120358814,WIN,,3,5,-418.1124378838647,49.954492179006365,-18.533070986782562,0.2705311245775859,3,"[11034.063535093272,9438.747843599456,9294.119122613141]"
L-main-threeshift-150c-01,3,9138.547011688652,8690.030465921816,-5.161277023431677,LOSS,large_stochastic_tail,-9,-15,925.8986407638474,114.23726573516467,52.36044153316026,0.22643488941274245,3,"[10948.578144712152,9201.265961540097,9141.84594549386]"
L-main-threeshift-150c-01,4,7648.198471662183,9641.886088905105,20.67736124301503,WIN,,6,12,-1274.0061312745352,-207.78083706109578,-74.59315598601566,0.3823350482418745,2,"[7756.699034307675,7648.198471662183,7648.198471662183]"
L-main-threeshift-150c-01,5,8850.516589431056,9458.924930720119,6.432108783452882,WIN,,5,9,-725.1634887958105,5.182532553864348,-36.24384133721958,0.23602554542759488,3,"[10550.584598244455,8894.254311237737,8860.630350957497]"
L-main-threeshift-15c-01,1,1047.7297588653091,1050.8542669302199,0.2973302924332342,WIN,,1,0,-67.40148267185378,0.0,-3.392990637701118,0.35260842325578046,2,"[1058.1930946994908,1047.7297588653091,1047.7297588653091]"
L-main-threeshift-15c-01,2,1047.7297588653091,1021.8545301087881,-2.532183201631084,LOSS,extra_route_or_partition,1,0,-44.29834623547873,0.0,-2.2299787494939984,0.3444708941664182,2,"[1085.6786703725145,1047.7297588653091,1047.7297588653091]"
L-main-threeshift-15c-01,3,1047.7297588653091,1045.5068138400104,-0.2126188940973159,LOSS,extra_route_or_partition,1,0,-62.01437276241751,0.0,-3.1218035248600984,0.39228648914048697,2,"[1063.7886084402815,1047.7297588653091,1047.7297588653091]"
L-main-threeshift-15c-01,4,1047.7297588653091,1045.5068138400104,-0.2126188940973159,LOSS,extra_route_or_partition,1,0,-62.01437276241751,0.0,-3.1218035248600984,0.31403099747708363,2,"[1100.6554287578217,1047.7297588653091,1047.7297588653091]"
L-main-threeshift-15c-01,5,1021.8545301087881,1042.5214725783555,1.9823996927808203,WIN,,0,0,-17.19163869583815,0.0,-0.8654270919484937,0.36967700154366856,2,"[1075.489745182053,1021.8545301087881,1021.8545301087881]"
L-main-threeshift-200c-01,1,9959.411384897756,12549.370852342081,20.63816184825682,WIN,,5,14,-1390.1609164030933,-353.31662531159145,-87.76665944991724,0.3890533064055689,1,"[9959.411384897756,9959.411384897756,9959.411384897756]"
L-main-threeshift-200c-01,2,9379.951420659501,11414.375447054126,17.82334947567962,WIN,,-2,0,-360.76999878440824,-339.0565278540781,-35.2292673509814,0.3560746960924727,2,"[10050.68875594135,9379.951420659501,9379.951420659501]"
L-main-threeshift-200c-01,3,11934.84958571844,12364.525942066744,3.4750734347724035,WIN,,2,5,-168.58730875526498,-127.15206573986586,-14.887520112084871,0.2672523559342421,3,"[13138.655548485776,11964.330106026431,11957.36267691738]"
L-main-threeshift-200c-01,4,9291.552003776213,11872.895261248497,21.741480916600313,WIN,,5,16,-1650.3797562783789,-327.72620945155995,-99.57785431484515,0.46575671211181113,2,"[9433.855802022945,9291.552003776213,9291.552003776213]"
L-main-threeshift-200c-01,5,10011.878590785618,11546.742617691438,13.292614876113761,WIN,,10,18,-1134.5710239773925,-374.8425460436672,-75.98387911486017,0.37683373224751837,3,"[11727.799591773302,10908.348484562704,10012.810216327429]"
L-main-threeshift-20c-01,1,1177.8073450246427,1212.8061044633534,2.885767090873699,WIN,,-1,-3,239.79104193844557,-43.450206127852326,9.883797674705265,0.2539744641940696,2,"[1263.483947253846,1177.8073450246425,1177.8073450246425]"
L-main-threeshift-20c-01,2,1138.4777821932046,1141.8582888961841,0.29605308608369035,WIN,,1,2,-114.9639801169583,6.995026290818359,-5.435157135607886,0.2178978443346547,3,"[1193.2425874298644,1151.5700224638817,1138.4777821932046]"
