actual_evals,algorithm,cost,elapsed_seconds,ev_routes,eval_budget,instance,pair_role,routes,run_id,seed,status,violations
1600,LNS,6344.14729841992,107.37953337498766,23,1600,L-main-threeshift-100c-01,development,30,L-main-threeshift-100c-01__seed2__LNS,2,OK,0
1600,restarted,4829.004736213922,51.87365366599988,24,1600,L-main-threeshift-100c-01,development,29,L-main-threeshift-100c-01__seed2__restarted,2,OK,0
1600,staged,4829.004736213922,50.64413741599128,24,1600,L-main-threeshift-100c-01,development,29,L-main-threeshift-100c-01__seed2__staged,2,OK,0
1600,LNS,6001.85500440746,115.15162733399484,30,1600,L-main-threeshift-100c-01,guard,34,L-main-threeshift-100c-01__seed4__LNS,4,OK,0
1600,restarted,5753.977364621767,24.457117084006313,32,1600,L-main-threeshift-100c-01,guard,37,L-main-threeshift-100c-01__seed4__restarted,4,OK,0
1600,staged,6377.598135414595,20.98598050000146,30,1600,L-main-threeshift-100c-01,guard,34,L-main-threeshift-100c-01__seed4__staged,4,OK,0
1600,LNS,8916.788239483838,175.6284583339875,37,1600,L-main-threeshift-150c-01,development,45,L-main-threeshift-150c-01__seed3__LNS,3,OK,0
1600,restarted,7711.826221080978,55.284891584000434,42,1600,L-main-threeshift-150c-01,development,49,L-main-threeshift-150c-01__seed3__restarted,3,OK,0
1600,staged,7711.826221080978,82.97430537499895,42,1600,L-main-threeshift-150c-01,development,49,L-main-threeshift-150c-01__seed3__staged,3,OK,0
1600,LNS,8648.223700170569,160.84865420800634,35,1600,L-main-threeshift-150c-01,guard,45,L-main-threeshift-150c-01__seed4__LNS,4,OK,0
1600,restarted,9247.352236823992,36.44185179199849,40,1600,L-main-threeshift-150c-01,guard,48,L-main-threeshift-150c-01__seed4__restarted,4,OK,0
1600,staged,9530.748468521346,36.96763137499511,41,1600,L-main-threeshift-150c-01,guard,49,L-main-threeshift-150c-01__seed4__staged,4,OK,0
1600,LNS,1030.2016122091868,14.736799916994642,0,1600,L-main-threeshift-15c-01,development,4,L-main-threeshift-15c-01__seed2__LNS,2,OK,0
1600,restarted,1045.9665360482184,4.803783833005582,0,1600,L-main-threeshift-15c-01,development,4,L-main-threeshift-15c-01__seed2__restarted,2,OK,0
1600,staged,1057.052148183385,5.182304709000164,0,1600,L-main-threeshift-15c-01,development,4,L-main-threeshift-15c-01__seed2__staged,2,OK,0
1600,LNS,1200.2551469360028,24.239697875003912,4,1600,L-main-threeshift-20c-01,development,6,L-main-threeshift-20c-01__seed3__LNS,3,OK,0
1600,restarted,1098.5106604763662,6.7632837499986636,6,1600,L-main-threeshift-20c-01,development,6,L-main-threeshift-20c-01__seed3__restarted,3,OK,0
1600,staged,1098.5106604763662,6.767136875001597,6,1600,L-main-threeshift-20c-01,development,6,L-main-threeshift-20c-01__seed3__staged,3,OK,0
1600,LNS,2619.2272945298537,64.8014589999948,15,1600,L-main-threeshift-50c-01,development,17,L-main-threeshift-50c-01__seed5__LNS,5,OK,0
1600,restarted,2551.2752018714505,13.857841042001382,10,1600,L-main-threeshift-50c-01,development,15,L-main-threeshift-50c-01__seed5__restarted,5,OK,0
1600,staged,2556.2228804223655,13.748108290994423,9,1600,L-main-threeshift-50c-01,development,15,L-main-threeshift-50c-01__seed5__staged,5,OK,0
1600,LNS,4170.0166974391705,87.58530341699952,24,1600,L-main-threeshift-75c-01,development,26,L-main-threeshift-75c-01__seed1__LNS,1,OK,0
1600,restarted,4517.579170370187,15.825178541010246,25,1600,L-main-threeshift-75c-01,development,27,L-main-threeshift-75c-01__seed1__restarted,1,OK,0
1600,staged,4355.329908844398,17.88708333300019,22,1600,L-main-threeshift-75c-01,development,25,L-main-threeshift-75c-01__seed1__staged,1,OK,0
1600,LNS,4340.203023587539,75.52059508299863,29,1600,L-main-threeshift-75c-01,guard,30,L-main-threeshift-75c-01__seed5__LNS,5,OK,0
1600,restarted,3621.116849887639,25.131836041997303,24,1600,L-main-threeshift-75c-01,guard,25,L-main-threeshift-75c-01__seed5__restarted,5,OK,0
1600,staged,3621.116849887639,24.86971783300396,24,1600,L-main-threeshift-75c-01,guard,25,L-main-threeshift-75c-01__seed5__staged,5,OK,0
