actual_evals,algorithm,cost,elapsed_seconds,ev_routes,eval_budget,instance,pair_role,routes,run_id,seed,status,violations
1600,LNS,5970.054667816366,108.04783233300259,26,1600,L-main-threeshift-100c-01,development,31,L-main-threeshift-100c-01__seed2__LNS,2,OK,0
1600,restarted,6038.350420394927,31.156344834002084,31,1600,L-main-threeshift-100c-01,development,35,L-main-threeshift-100c-01__seed2__restarted,2,OK,0
1600,staged,6038.350420394927,19.589396541006863,31,1600,L-main-threeshift-100c-01,development,35,L-main-threeshift-100c-01__seed2__staged,2,OK,0
1600,LNS,6250.339500505469,98.45097687499947,22,1600,L-main-threeshift-100c-01,guard,30,L-main-threeshift-100c-01__seed4__LNS,4,OK,0
1600,restarted,4755.8218423428325,50.06064054100716,29,1600,L-main-threeshift-100c-01,guard,31,L-main-threeshift-100c-01__seed4__restarted,4,OK,0
1600,staged,4755.8218423428325,57.31754087501031,29,1600,L-main-threeshift-100c-01,guard,31,L-main-threeshift-100c-01__seed4__staged,4,OK,0
1600,LNS,8894.748475288605,169.76338379099616,40,1600,L-main-threeshift-150c-01,development,50,L-main-threeshift-150c-01__seed3__LNS,3,OK,0
1600,restarted,10832.230013475297,72.35022108400881,34,1600,L-main-threeshift-150c-01,development,49,L-main-threeshift-150c-01__seed3__restarted,3,OK,0
1600,staged,9871.117982041302,40.22326495900052,31,1600,L-main-threeshift-150c-01,development,46,L-main-threeshift-150c-01__seed3__staged,3,OK,0
1600,LNS,10110.52794427708,148.480240667006,30,1600,L-main-threeshift-150c-01,guard,45,L-main-threeshift-150c-01__seed4__LNS,4,OK,0
1600,restarted,7555.863068605732,52.212850416006404,40,1600,L-main-threeshift-150c-01,guard,48,L-main-threeshift-150c-01__seed4__restarted,4,OK,0
1600,staged,7664.010099262553,51.18210800000816,41,1600,L-main-threeshift-150c-01,guard,49,L-main-threeshift-150c-01__seed4__staged,4,OK,0
1600,LNS,1030.2016122091868,12.817032417005976,0,1600,L-main-threeshift-15c-01,development,4,L-main-threeshift-15c-01__seed2__LNS,2,OK,0
1600,restarted,1045.9665360482184,4.390594458003761,0,1600,L-main-threeshift-15c-01,development,4,L-main-threeshift-15c-01__seed2__restarted,2,OK,0
1600,staged,1057.052148183385,4.624402582994662,0,1600,L-main-threeshift-15c-01,development,4,L-main-threeshift-15c-01__seed2__staged,2,OK,0
1600,LNS,1120.9920695142848,26.05378849999397,6,1600,L-main-threeshift-20c-01,development,6,L-main-threeshift-20c-01__seed3__LNS,3,OK,0
1600,restarted,1202.478509309506,5.286020083003677,7,1600,L-main-threeshift-20c-01,development,7,L-main-threeshift-20c-01__seed3__restarted,3,OK,0
1600,staged,1202.478509309506,5.6376095000014175,7,1600,L-main-threeshift-20c-01,development,7,L-main-threeshift-20c-01__seed3__staged,3,OK,0
1600,LNS,2619.2272945298537,60.32151733299543,15,1600,L-main-threeshift-50c-01,development,17,L-main-threeshift-50c-01__seed5__LNS,5,OK,0
1600,restarted,2949.1603900368946,7.911176000008709,16,1600,L-main-threeshift-50c-01,development,18,L-main-threeshift-50c-01__seed5__restarted,5,OK,0
1600,staged,2983.0605133613635,8.294331375000183,14,1600,L-main-threeshift-50c-01,development,17,L-main-threeshift-50c-01__seed5__staged,5,OK,0
1600,LNS,4338.746816797046,79.9145313330082,25,1600,L-main-threeshift-75c-01,development,27,L-main-threeshift-75c-01__seed1__LNS,1,OK,0
1600,restarted,3802.042921539964,14.171974458004115,27,1600,L-main-threeshift-75c-01,development,27,L-main-threeshift-75c-01__seed1__restarted,1,OK,0
1600,staged,4176.614678972302,14.47244816699822,29,1600,L-main-threeshift-75c-01,development,29,L-main-threeshift-75c-01__seed1__staged,1,OK,0
1600,LNS,4262.491163177121,75.56269458300085,21,1600,L-main-threeshift-75c-01,guard,25,L-main-threeshift-75c-01__seed5__LNS,5,OK,0
1600,restarted,3722.80758793991,21.4474527919956,25,1600,L-main-threeshift-75c-01,guard,25,L-main-threeshift-75c-01__seed5__restarted,5,OK,0
1600,staged,3755.2360143305314,22.468920917002833,23,1600,L-main-threeshift-75c-01,guard,25,L-main-threeshift-75c-01__seed5__staged,5,OK,0
