instance,size,seed,algorithm,battery_kwh,runtime_cap_seconds,eval_budget,seed_mode,checkpoint_path
e2-threeshift-100c-02,100,1,alns_e2_carbon,280.0,1800.0,16000,neutral,baselines/e2_alns/ev_heavy_findability_gate_small_100c02_data/checkpoints/neutral/e2-threeshift-100c-02__alns_e2_carbon__seed1.json
e2-threeshift-100c-02,100,1,alns_e2_carbon_ablation,280.0,1800.0,16000,neutral,baselines/e2_alns/ev_heavy_findability_gate_small_100c02_data/checkpoints/neutral/e2-threeshift-100c-02__alns_e2_carbon_ablation__seed1.json
e2-threeshift-100c-02,100,1,alns_e2_throughput,280.0,1800.0,16000,neutral,baselines/e2_alns/ev_heavy_findability_gate_small_100c02_data/checkpoints/neutral/e2-threeshift-100c-02__alns_e2_throughput__seed1.json
e2-threeshift-100c-02,100,1,LNS,280.0,1800.0,16000,neutral,baselines/e2_alns/ev_heavy_findability_gate_small_100c02_data/checkpoints/neutral/e2-threeshift-100c-02__LNS__seed1.json
e2-threeshift-100c-02,100,1,GA,280.0,1800.0,16000,neutral,baselines/e2_alns/ev_heavy_findability_gate_small_100c02_data/checkpoints/neutral/e2-threeshift-100c-02__GA__seed1.json
e2-threeshift-100c-02,100,1,PSO,280.0,1800.0,16000,neutral,baselines/e2_alns/ev_heavy_findability_gate_small_100c02_data/checkpoints/neutral/e2-threeshift-100c-02__PSO__seed1.json
e2-threeshift-100c-02,100,1,VNS,280.0,1800.0,16000,neutral,baselines/e2_alns/ev_heavy_findability_gate_small_100c02_data/checkpoints/neutral/e2-threeshift-100c-02__VNS__seed1.json
e2-threeshift-100c-02,100,2,alns_e2_carbon,280.0,1800.0,16000,neutral,baselines/e2_alns/ev_heavy_findability_gate_small_100c02_data/checkpoints/neutral/e2-threeshift-100c-02__alns_e2_carbon__seed2.json
e2-threeshift-100c-02,100,2,alns_e2_carbon_ablation,280.0,1800.0,16000,neutral,baselines/e2_alns/ev_heavy_findability_gate_small_100c02_data/checkpoints/neutral/e2-threeshift-100c-02__alns_e2_carbon_ablation__seed2.json
e2-threeshift-100c-02,100,2,alns_e2_throughput,280.0,1800.0,16000,neutral,baselines/e2_alns/ev_heavy_findability_gate_small_100c02_data/checkpoints/neutral/e2-threeshift-100c-02__alns_e2_throughput__seed2.json
e2-threeshift-100c-02,100,2,LNS,280.0,1800.0,16000,neutral,baselines/e2_alns/ev_heavy_findability_gate_small_100c02_data/checkpoints/neutral/e2-threeshift-100c-02__LNS__seed2.json
e2-threeshift-100c-02,100,2,GA,280.0,1800.0,16000,neutral,baselines/e2_alns/ev_heavy_findability_gate_small_100c02_data/checkpoints/neutral/e2-threeshift-100c-02__GA__seed2.json
e2-threeshift-100c-02,100,2,PSO,280.0,1800.0,16000,neutral,baselines/e2_alns/ev_heavy_findability_gate_small_100c02_data/checkpoints/neutral/e2-threeshift-100c-02__PSO__seed2.json
e2-threeshift-100c-02,100,2,VNS,280.0,1800.0,16000,neutral,baselines/e2_alns/ev_heavy_findability_gate_small_100c02_data/checkpoints/neutral/e2-threeshift-100c-02__VNS__seed2.json
