category,instance,size,battery_kwh,attempt_order,route_id,route_customer_count,ev_physical_vehicle_count_before,ev_fleet_limit,accepted,failure_reason,failure_detail,cost_before,cost_after
vanilla,e2-vanilla-150c-01,150,80.0,1,CV10#T1,7,1,10,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_1 at D0,6015.377586977482,inf
vanilla,e2-vanilla-150c-01,150,80.0,2,CV9#T2,7,1,10,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_2 at D0,6015.377586977482,inf
vanilla,e2-vanilla-150c-01,150,80.0,3,CV1#T2,10,1,10,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_3 at D0,6015.377586977482,inf
vanilla,e2-vanilla-150c-01,150,80.0,4,CV9#T1,9,1,10,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_4 at D0,6015.377586977482,inf
vanilla,e2-vanilla-150c-01,150,80.0,5,CV6#T2,7,1,10,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_5 at D0,6015.377586977482,inf
vanilla,e2-vanilla-150c-01,150,80.0,6,CV6#T1,8,1,10,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_6 at D0,6015.377586977482,inf
vanilla,e2-vanilla-150c-01,150,80.0,7,CV8#T2,8,1,10,False,STATION_OR_DEPOT_CAPACITY,No feasible charging insert between C20 and C144,6015.377586977482,inf
vanilla,e2-vanilla-150c-01,150,80.0,8,CV4#T1,9,1,10,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_8 at D0,6015.377586977482,inf
vanilla,e2-vanilla-150c-01,150,80.0,9,CV7#T1,7,1,10,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_9 at D0,6015.377586977482,inf
vanilla,e2-vanilla-150c-01,150,80.0,10,CV5#T2,7,1,10,False,STATION_OR_DEPOT_CAPACITY,No feasible charging insert between C105 and C70,6015.377586977482,inf
vanilla,e2-vanilla-150c-01,150,80.0,11,CV2#T1,8,1,10,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_11 at D0,6015.377586977482,inf
vanilla,e2-vanilla-150c-01,150,80.0,12,CV4#T2,7,1,10,False,STATION_OR_DEPOT_CAPACITY,No feasible charging insert between C38 and C63,6015.377586977482,inf
vanilla,e2-vanilla-150c-01,150,80.0,13,CV3#T1,9,1,10,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_13 at D0,6015.377586977482,inf
vanilla,e2-vanilla-150c-01,150,80.0,14,CV8#T1,8,1,10,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_14 at D0,6015.377586977482,inf
vanilla,e2-vanilla-150c-01,150,80.0,15,CV3#T2,7,1,10,False,STATION_OR_DEPOT_CAPACITY,No feasible charging insert between C2 and C52,6015.377586977482,inf
vanilla,e2-vanilla-150c-01,150,80.0,16,CV2#T2,7,1,10,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_16 at D0,6015.377586977482,inf
vanilla,e2-vanilla-150c-01,150,80.0,17,CV7#T2,5,1,10,False,STATION_OR_DEPOT_CAPACITY,No feasible charging insert between C26 and D0,6015.377586977482,inf
vanilla,e2-vanilla-150c-01,150,80.0,18,CV1#T1,6,1,10,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_18 at D0,6015.377586977482,inf
vanilla,e2-vanilla-150c-01,150,80.0,19,CV10#T2,6,1,10,True,ACCEPTED,,6015.377586977482,6003.0858951897635
vanilla,e2-vanilla-150c-01,150,80.0,20,CV5#T1,7,2,10,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_20 at D0,6003.0858951897635,inf
vanilla,e2-vanilla-200c-01,200,80.0,1,CV10#T2,7,1,14,False,STATION_OR_DEPOT_CAPACITY,No feasible charging insert between C194 and C25,8714.98386087934,inf
vanilla,e2-vanilla-200c-01,200,80.0,2,CV11#T2,7,1,14,False,STATION_OR_DEPOT_CAPACITY,No feasible charging insert between C94 and C178,8714.98386087934,inf
vanilla,e2-vanilla-200c-01,200,80.0,3,CV10#T1,7,1,14,False,STATION_OR_DEPOT_CAPACITY,No feasible charging insert between C106 and C143,8714.98386087934,inf
vanilla,e2-vanilla-200c-01,200,80.0,4,CV4#T1,11,1,14,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_4 at D0,8714.98386087934,inf
vanilla,e2-vanilla-200c-01,200,80.0,5,CV7#T1,8,1,14,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_5 at D0,8714.98386087934,inf
vanilla,e2-vanilla-200c-01,200,80.0,6,CV4#T2,10,1,14,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_6 at D0,8714.98386087934,inf
vanilla,e2-vanilla-200c-01,200,80.0,7,CV5#T1,10,1,14,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_7 at D0,8714.98386087934,inf
vanilla,e2-vanilla-200c-01,200,80.0,8,CV8#T1,8,1,14,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_8 at D0,8714.98386087934,inf
vanilla,e2-vanilla-200c-01,200,80.0,9,CV2#T2,8,1,14,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_9 at D0,8714.98386087934,inf
vanilla,e2-vanilla-200c-01,200,80.0,10,CV11#T1,7,1,14,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_10 at D0,8714.98386087934,inf
vanilla,e2-vanilla-200c-01,200,80.0,11,CV3#T2,7,1,14,False,STATION_OR_DEPOT_CAPACITY,No feasible charging insert between C59 and C124,8714.98386087934,inf
vanilla,e2-vanilla-200c-01,200,80.0,12,CV14#T1,9,1,14,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_12 at D0,8714.98386087934,inf
vanilla,e2-vanilla-200c-01,200,80.0,13,CV13#T1,8,1,14,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_13 at D0,8714.98386087934,inf
vanilla,e2-vanilla-200c-01,200,80.0,14,CV12#T1,7,1,14,False,STATION_OR_DEPOT_CAPACITY,No feasible charging insert between C191 and C33,8714.98386087934,inf
vanilla,e2-vanilla-200c-01,200,80.0,15,CV6#T1,8,1,14,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_15 at D0,8714.98386087934,inf
vanilla,e2-vanilla-200c-01,200,80.0,16,CV3#T1,7,1,14,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_16 at D0,8714.98386087934,inf
vanilla,e2-vanilla-200c-01,200,80.0,17,CV13#T2,6,1,14,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_17 at D0,8714.98386087934,inf
vanilla,e2-vanilla-200c-01,200,80.0,18,CV7#T2,7,1,14,False,STATION_OR_DEPOT_CAPACITY,No feasible charging insert between C23 and C174,8714.98386087934,inf
vanilla,e2-vanilla-200c-01,200,80.0,19,CV1#T2,6,1,14,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_19 at D0,8714.98386087934,inf
vanilla,e2-vanilla-200c-01,200,80.0,20,CV9#T1,6,1,14,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_20 at D0,8714.98386087934,inf
vanilla,e2-vanilla-200c-01,200,80.0,21,CV6#T2,5,1,14,True,ACCEPTED,,8714.98386087934,8772.978628586563
vanilla,e2-vanilla-200c-01,200,80.0,22,CV5#T2,6,2,14,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_22 at D0,8772.978628586563,inf
vanilla,e2-vanilla-200c-01,200,80.0,23,CV2#T1,9,2,14,False,CHARGING_TIME_WINDOW_DETOUR,No feasible depot charging window for EV_CONV_23 at D0,8772.978628586563,inf
