battery_kwh,category,cv_over_manifest_rows,ev_over_manifest_rows,max_ev_route_count,max_manifest_ev,mean_ev_route_share,rows,total_over_manifest_rows
60.0,multidepot,4,3,48,14,0.41808553765075507,4,4
60.0,threeshift,4,3,35,14,0.2873861480075901,4,4
60.0,vanilla,4,0,0,14,0.0,4,4
81.0,multidepot,4,3,39,14,0.554503367003367,4,4
81.0,threeshift,4,2,40,14,0.3665501165501166,4,4
81.0,vanilla,4,2,40,14,0.2980542452830189,4,4
82.6,multidepot,4,2,24,14,0.3523965141612201,4,4
82.6,threeshift,4,2,40,14,0.2945601851851852,4,4
82.6,vanilla,4,2,42,14,0.3005050505050505,4,4
89.0,multidepot,2,2,27,14,0.40223311546840956,4,4
89.0,threeshift,4,2,41,14,0.2637820512820513,4,4
89.0,vanilla,3,4,51,14,0.6254909263271939,4,4
100.0,multidepot,2,3,46,14,0.6113127069009422,4,4
100.0,threeshift,2,2,61,14,0.4376119402985075,4,4
100.0,vanilla,3,3,44,14,0.525599128540305,4,4
113.0,multidepot,0,4,71,14,0.9403310653310654,4,4
113.0,threeshift,1,3,68,14,0.6840336134453782,4,4
113.0,vanilla,3,4,57,14,0.7093428871597885,4,4
123.9,multidepot,0,4,73,14,0.932985257985258,4,4
123.9,threeshift,1,4,52,14,0.8842932302439345,4,4
123.9,vanilla,1,4,72,14,0.861627547834274,4,4
140.0,multidepot,2,3,59,14,0.6832528957528957,4,4
140.0,threeshift,0,4,73,14,0.9599107653352936,4,4
140.0,vanilla,1,4,53,14,0.8457977207977208,4,4
141.0,multidepot,2,3,59,14,0.6832528957528957,4,4
141.0,threeshift,0,4,73,14,0.9594572094572095,4,4
141.0,vanilla,1,4,53,14,0.8457977207977208,4,4
150.0,multidepot,2,3,59,14,0.6832528957528957,4,4
150.0,threeshift,1,3,51,14,0.687128537735849,4,4
150.0,vanilla,1,4,53,14,0.8457977207977208,4,4
176.0,multidepot,2,3,59,14,0.6832528957528957,4,4
176.0,threeshift,0,4,73,14,0.9595654121863799,4,4
176.0,vanilla,1,4,53,14,0.8457977207977208,4,4
180.0,multidepot,2,3,59,14,0.6832528957528957,4,4
180.0,threeshift,0,4,73,14,0.9595654121863799,4,4
180.0,vanilla,1,4,53,14,0.8457977207977208,4,4
194.0,multidepot,2,3,59,14,0.6832528957528957,4,4
194.0,threeshift,1,3,51,14,0.6991487455197132,4,4
194.0,vanilla,1,4,53,14,0.8457977207977208,4,4
200.0,multidepot,2,3,59,14,0.6832528957528957,4,4
200.0,threeshift,1,3,51,14,0.6991487455197132,4,4
200.0,vanilla,1,4,53,14,0.8457977207977208,4,4
210.0,multidepot,2,3,59,14,0.6832528957528957,4,4
210.0,threeshift,1,3,51,14,0.6991487455197132,4,4
210.0,vanilla,1,4,53,14,0.8457977207977208,4,4
240.0,multidepot,2,3,59,14,0.6832528957528957,4,4
240.0,threeshift,0,4,70,14,0.9434297912713472,4,4
240.0,vanilla,1,4,53,14,0.8457977207977208,4,4
280.0,multidepot,2,3,59,14,0.6832528957528957,4,4
280.0,threeshift,0,4,70,14,0.9434297912713472,4,4
280.0,vanilla,1,4,53,14,0.8457977207977208,4,4
282.0,multidepot,2,3,59,14,0.6832528957528957,4,4
282.0,threeshift,0,4,70,14,0.9434297912713472,4,4
282.0,vanilla,1,4,53,14,0.8457977207977208,4,4
291.0,multidepot,2,3,59,14,0.6832528957528957,4,4
291.0,threeshift,0,4,70,14,0.9434297912713472,4,4
291.0,vanilla,1,4,53,14,0.8457977207977208,4,4
