active_flags,actual_evals,algorithm,best_cost,category,checkpoint_path,checkpoint_readable,commit_hash,cv_physical_vehicle_count,cv_route_count,elapsed_seconds,ev_physical_vehicle_count,ev_route_count,eval_budget_backstop,evals_per_second,feasible,gate_status,instance,max_trips_per_physical_vehicle,numpy,python,replicate,reused_physical_vehicle_count,route_count,runtime_cap_seconds,seed,size,stage,status,timings,violation_count,winner_all_cv,winner_all_ev,winner_ev_route_share
{},3000,LNS,3960.9142264324673,multidepot,baselines/e2_alns/goeke80_multitrip_t3_preflight_data/stage_a/checkpoints/e2-multidepot-100c-01__LNS__seed1.json,True,fffb1ae661fefa096ee568e5cdf76ef297207a91,7,14,114.90663170799962,1,1,3000,26.108153684493953,True,OK,e2-multidepot-100c-01,2,2.3.5,/opt/anaconda3/bin/python3.13,1,7,15,300.0,1,100,stage_a,OK,{},0,False,False,0.06666666666666667
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",3000,alns_e2_throughput,3960.9142264324673,multidepot,baselines/e2_alns/goeke80_multitrip_t3_preflight_data/stage_a/checkpoints/e2-multidepot-100c-01__alns_e2_throughput__seed1.json,True,fffb1ae661fefa096ee568e5cdf76ef297207a91,7,14,60.19424691599852,1,1,3000,49.8386499325512,True,OK,e2-multidepot-100c-01,2,2.3.5,/opt/anaconda3/bin/python3.13,1,7,15,300.0,1,100,stage_a,OK,"{""acceptance"": {""count"": 2980.0, ""seconds"": 0.0008737202297197655}, ""checkpoint_model_cost"": {""count"": 1.0, ""seconds"": 0.00025195800117217004}, ""destroy:random_customer_removal"": {""count"": 498.0, ""seconds"": 0.09654406398840365}, ""destroy:route_segment_removal"": {""count"": 495.0, ""seconds"": 0.09216100598496269}, ""destroy:shaw_related_removal"": {""count"": 498.0, ""seconds"": 2.839329455011466}, ""destroy:vehicle_type_swap"": {""count"": 495.0, ""seconds"": 1.823618794005597}, ""destroy:whole_route_removal"": {""count"": 496.0, ""seconds"": 0.08317283201540704}, ""destroy:worst_customer_removal"": {""count"": 498.0, ""seconds"": 0.10190795999005786}, ""final_check"": {""count"": 1.0, ""seconds"": 0.00032333299895981327}, ""full_candidate_score"": {""count"": 2980.0, ""seconds"": 1.8053984340403986}, ""history_model_cost"": {""count"": 1.0, ""seconds"": 0.00030820800020592287}, ""initial_reference_score"": {""count"": 1.0, ""seconds"": 0.0006455410002672579}, ""repair:greedy_insert_repair"": {""count"": 994.0, ""seconds"": 17.934394467039965}, ""repair:regret2_insert_repair"": {""count"": 993.0, ""seconds"": 17.420900888977485}, ""repair:regret3_insert_repair"": {""count"": 993.0, ""seconds"": 17.581912266068684}, ""repair_full_check"": {""count"": 5960.0, ""seconds"": 2.153736973883497}, ""repair_solution_score"": {""count"": 1346.0, ""seconds"": 0.35213475607451983}, ""route_model_cost"": {""count"": 122301.0, ""seconds"": 3.166346484915266}, ""scan_build"": {""count"": 20.0, ""seconds"": 0.0221343769953819}, ""scan_score"": {""count"": 20.0, ""seconds"": 0.010736751992226345}}",0,False,False,0.06666666666666667
{},3000,LNS,3960.9142264324673,multidepot,baselines/e2_alns/goeke80_multitrip_t3_preflight_data/stage_a/checkpoints/e2-multidepot-100c-01__LNS__seed2.json,True,fffb1ae661fefa096ee568e5cdf76ef297207a91,7,14,114.42783529199733,1,1,3000,26.217397124961686,True,OK,e2-multidepot-100c-01,2,2.3.5,/opt/anaconda3/bin/python3.13,1,7,15,300.0,2,100,stage_a,OK,{},0,False,False,0.06666666666666667
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",3000,alns_e2_throughput,3960.9142264324673,multidepot,baselines/e2_alns/goeke80_multitrip_t3_preflight_data/stage_a/checkpoints/e2-multidepot-100c-01__alns_e2_throughput__seed2.json,True,fffb1ae661fefa096ee568e5cdf76ef297207a91,7,14,61.001514374998806,1,1,3000,49.17910695721247,True,OK,e2-multidepot-100c-01,2,2.3.5,/opt/anaconda3/bin/python3.13,1,7,15,300.0,2,100,stage_a,OK,"{""acceptance"": {""count"": 2980.0, ""seconds"": 0.0009359189825772773}, ""checkpoint_model_cost"": {""count"": 1.0, ""seconds"": 0.0002559589993325062}, ""destroy:random_customer_removal"": {""count"": 498.0, ""seconds"": 0.1025064560053579}, ""destroy:route_segment_removal"": {""count"": 495.0, ""seconds"": 0.0962959449752816}, ""destroy:shaw_related_removal"": {""count"": 498.0, ""seconds"": 2.9551622540493554}, ""destroy:vehicle_type_swap"": {""count"": 495.0, ""seconds"": 1.821395993072656}, ""destroy:whole_route_removal"": {""count"": 496.0, ""seconds"": 0.08555706897459459}, ""destroy:worst_customer_removal"": {""count"": 498.0, ""seconds"": 0.10451108908091555}, ""final_check"": {""count"": 1.0, ""seconds"": 0.0003405419993214309}, ""full_candidate_score"": {""count"": 2980.0, ""seconds"": 1.840675740106235}, ""history_model_cost"": {""count"": 1.0, ""seconds"": 0.00034266600050614215}, ""initial_reference_score"": {""count"": 1.0, ""seconds"": 0.000729499999579275}, ""repair:greedy_insert_repair"": {""count"": 994.0, ""seconds"": 18.20225097002185}, ""repair:regret2_insert_repair"": {""count"": 993.0, ""seconds"": 17.974099539005692}, ""repair:regret3_insert_repair"": {""count"": 993.0, ""seconds"": 17.642327418991044}, ""repair_full_check"": {""count"": 5960.0, ""seconds"": 2.185043530058465}, ""repair_solution_score"": {""count"": 1308.0, ""seconds"": 0.3530314820818603}, ""route_model_cost"": {""count"": 128461.0, ""seconds"": 3.3859001877426635}, ""scan_build"": {""count"": 20.0, ""seconds"": 0.021602542998152785}, ""scan_score"": {""count"": 20.0, ""seconds"": 0.010842623993084999}}",0,False,False,0.06666666666666667
{},3000,LNS,3960.9142264324673,multidepot,baselines/e2_alns/goeke80_multitrip_t3_preflight_data/stage_a/checkpoints/e2-multidepot-100c-01__LNS__seed3.json,True,fffb1ae661fefa096ee568e5cdf76ef297207a91,7,14,112.51938625000184,1,1,3000,26.662072199135824,True,OK,e2-multidepot-100c-01,2,2.3.5,/opt/anaconda3/bin/python3.13,1,7,15,300.0,3,100,stage_a,OK,{},0,False,False,0.06666666666666667
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",3000,alns_e2_throughput,3960.9142264324673,multidepot,baselines/e2_alns/goeke80_multitrip_t3_preflight_data/stage_a/checkpoints/e2-multidepot-100c-01__alns_e2_throughput__seed3.json,True,fffb1ae661fefa096ee568e5cdf76ef297207a91,7,14,59.12209358400287,1,1,3000,50.7424520706035,True,OK,e2-multidepot-100c-01,2,2.3.5,/opt/anaconda3/bin/python3.13,1,7,15,300.0,3,100,stage_a,OK,"{""acceptance"": {""count"": 2980.0, ""seconds"": 0.0008750780289119575}, ""checkpoint_model_cost"": {""count"": 1.0, ""seconds"": 0.00025425000058021396}, ""destroy:random_customer_removal"": {""count"": 498.0, ""seconds"": 0.10742291103451862}, ""destroy:route_segment_removal"": {""count"": 495.0, ""seconds"": 0.09597278991350322}, ""destroy:shaw_related_removal"": {""count"": 498.0, ""seconds"": 2.770145829024841}, ""destroy:vehicle_type_swap"": {""count"": 495.0, ""seconds"": 1.9327217039499374}, ""destroy:whole_route_removal"": {""count"": 496.0, ""seconds"": 0.08271771600993816}, ""destroy:worst_customer_removal"": {""count"": 498.0, ""seconds"": 0.10419300403009402}, ""final_check"": {""count"": 1.0, ""seconds"": 0.0003271670029789675}, ""full_candidate_score"": {""count"": 2980.0, ""seconds"": 1.8269989638320112}, ""history_model_cost"": {""count"": 1.0, ""seconds"": 0.00041429199700360186}, ""initial_reference_score"": {""count"": 1.0, ""seconds"": 0.0006314999991445802}, ""repair:greedy_insert_repair"": {""count"": 994.0, ""seconds"": 16.69374594697001}, ""repair:regret2_insert_repair"": {""count"": 993.0, ""seconds"": 17.03719045100661}, ""repair:regret3_insert_repair"": {""count"": 993.0, ""seconds"": 18.078249224028696}, ""repair_full_check"": {""count"": 5960.0, ""seconds"": 2.1593740759744833}, ""repair_solution_score"": {""count"": 1361.0, ""seconds"": 0.3824732981083798}, ""route_model_cost"": {""count"": 125655.0, ""seconds"": 3.223844245170767}, ""scan_build"": {""count"": 20.0, ""seconds"": 0.021682334005163284}, ""scan_score"": {""count"": 20.0, ""seconds"": 0.01163425100457971}}",0,False,False,0.06666666666666667
{},3000,LNS,476.14411336859115,multidepot,baselines/e2_alns/goeke80_multitrip_t3_preflight_data/stage_a/checkpoints/e2-multidepot-10c-01__LNS__seed1.json,True,fffb1ae661fefa096ee568e5cdf76ef297207a91,1,2,7.401928540999506,1,1,3000,405.29977875129555,True,OK,e2-multidepot-10c-01,2,2.3.5,/opt/anaconda3/bin/python3.13,1,1,3,180.0,1,10,stage_a,OK,{},0,False,False,0.3333333333333333
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",3000,alns_e2_throughput,387.9007343319535,multidepot,baselines/e2_alns/goeke80_multitrip_t3_preflight_data/stage_a/checkpoints/e2-multidepot-10c-01__alns_e2_throughput__seed1.json,True,fffb1ae661fefa096ee568e5cdf76ef297207a91,1,1,4.5267486670018116,1,1,3000,662.7273172616807,True,OK,e2-multidepot-10c-01,1,2.3.5,/opt/anaconda3/bin/python3.13,1,0,2,180.0,1,10,stage_a,OK,"{""acceptance"": {""count"": 2980.0, ""seconds"": 0.004604898887919262}, ""checkpoint_model_cost"": {""count"": 2.0, ""seconds"": 8.774900197749957e-05}, ""destroy:random_customer_removal"": {""count"": 1676.0, ""seconds"": 0.0734699500426359}, ""destroy:route_segment_removal"": {""count"": 129.0, ""seconds"": 0.0040051239884633105}, ""destroy:shaw_related_removal"": {""count"": 129.0, ""seconds"": 0.009485663023951929}, ""destroy:vehicle_type_swap"": {""count"": 129.0, ""seconds"": 0.03404158500416088}, ""destroy:whole_route_removal"": {""count"": 788.0, ""seconds"": 0.0168916289912886}, ""destroy:worst_customer_removal"": {""count"": 129.0, ""seconds"": 0.004055628982314374}, ""final_check"": {""count"": 1.0, ""seconds"": 8.433299808530137e-05}, ""full_candidate_score"": {""count"": 2980.0, ""seconds"": 0.4129282381036319}, ""history_model_cost"": {""count"": 2.0, ""seconds"": 0.00011275000360910781}, ""initial_reference_score"": {""count"": 1.0, ""seconds"": 0.00014804199963691644}, ""local_search"": {""count"": 471.0, ""seconds"": 0.001017699029034702}, ""repair:greedy_insert_repair"": {""count"": 1860.0, ""seconds"": 1.3329720230321982}, ""repair:regret2_insert_repair"": {""count"": 530.0, ""seconds"": 0.46483962899947073}, ""repair:regret3_insert_repair"": {""count"": 590.0, ""seconds"": 0.52048903904506}, ""repair_full_check"": {""count"": 3712.0, ""seconds"": 0.4119538290251512}, ""repair_solution_score"": {""count"": 132.0, ""seconds"": 0.004761753993079765}, ""route_model_cost"": {""count"": 778.0, ""seconds"": 0.016566337009862764}, ""scan_build"": {""count"": 20.0, ""seconds"": 0.001818795997678535}, ""scan_score"": {""count"": 20.0, ""seconds"": 0.0016573729953961447}}",0,False,False,0.5
{},3000,LNS,476.14411336859115,multidepot,baselines/e2_alns/goeke80_multitrip_t3_preflight_data/stage_a/checkpoints/e2-multidepot-10c-01__LNS__seed2.json,True,fffb1ae661fefa096ee568e5cdf76ef297207a91,1,2,8.600387542002863,1,1,3000,348.8214903512776,True,OK,e2-multidepot-10c-01,2,2.3.5,/opt/anaconda3/bin/python3.13,1,1,3,180.0,2,10,stage_a,OK,{},0,False,False,0.3333333333333333
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",3000,alns_e2_throughput,387.9007343319535,multidepot,baselines/e2_alns/goeke80_multitrip_t3_preflight_data/stage_a/checkpoints/e2-multidepot-10c-01__alns_e2_throughput__seed2.json,True,fffb1ae661fefa096ee568e5cdf76ef297207a91,1,1,4.412112832997082,1,1,3000,679.9463462411376,True,OK,e2-multidepot-10c-01,1,2.3.5,/opt/anaconda3/bin/python3.13,1,0,2,180.0,2,10,stage_a,OK,"{""acceptance"": {""count"": 2980.0, ""seconds"": 0.007801090967404889}, ""checkpoint_model_cost"": {""count"": 2.0, ""seconds"": 8.93340002221521e-05}, ""destroy:random_customer_removal"": {""count"": 99.0, ""seconds"": 0.009211630018398864}, ""destroy:route_segment_removal"": {""count"": 99.0, ""seconds"": 0.0032087069921544753}, ""destroy:shaw_related_removal"": {""count"": 2270.0, ""seconds"": 0.19211243997051497}, ""destroy:vehicle_type_swap"": {""count"": 99.0, ""seconds"": 0.029807333019562066}, ""destroy:whole_route_removal"": {""count"": 314.0, ""seconds"": 0.007714251038123621}, ""destroy:worst_customer_removal"": {""count"": 99.0, ""seconds"": 0.005223426996963099}, ""final_check"": {""count"": 1.0, ""seconds"": 8.454199996776879e-05}, ""full_candidate_score"": {""count"": 2980.0, ""seconds"": 0.4541408559343836}, ""history_model_cost"": {""count"": 2.0, ""seconds"": 0.00014537500101141632}, ""initial_reference_score"": {""count"": 1.0, ""seconds"": 0.00014187499982654117}, ""local_search"": {""count"": 755.0, ""seconds"": 0.0015024139866000041}, ""repair:greedy_insert_repair"": {""count"": 2282.0, ""seconds"": 1.6388298649617354}, ""repair:regret2_insert_repair"": {""count"": 285.0, ""seconds"": 0.1929670010249538}, ""repair:regret3_insert_repair"": {""count"": 413.0, ""seconds"": 0.39109087704491685}, ""repair_full_check"": {""count"": 3386.0, ""seconds"": 0.3929888479215151}, ""repair_solution_score"": {""count"": 102.0, ""seconds"": 0.004052784981467994}, ""route_model_cost"": {""count"": 506.0, ""seconds"": 0.01115510001545772}, ""scan_build"": {""count"": 20.0, ""seconds"": 0.0018332539984839968}, ""scan_score"": {""count"": 20.0, ""seconds"": 0.0016284979974443559}}",0,False,False,0.5
