active_flags,actual_evals,algorithm,best_cost,category,checkpoint_path,checkpoint_readable,commit_hash,cv_physical_vehicle_count,cv_route_count,elapsed_seconds,ev_physical_vehicle_count,ev_route_count,eval_budget_backstop,evals_per_second,feasible,gate_status,instance,max_trips_per_physical_vehicle,numpy,python,replicate,reused_physical_vehicle_count,route_count,runtime_cap_seconds,seed,size,stage,status,timings,violation_count,winner_all_cv,winner_all_ev,winner_ev_route_share
{},16000,LNS,4635.703685132771,vanilla,baselines/e2_alns/goeke80_multitrip_t3_preflight_data/stage_b/checkpoints/e2-vanilla-100c-01__LNS__seed1.json,True,7af59018f259a742491db61c948b4092cbcd8b89,7,14,886.5414761249995,1,1,16000,18.047660973443335,True,OK,e2-vanilla-100c-01,2,2.3.5,/opt/anaconda3/bin/python3.13,1,7,15,900.0,1,100,stage_b,OK,{},0,False,False,0.06666666666666667
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",16000,alns_e2_throughput,4635.703685132771,vanilla,baselines/e2_alns/goeke80_multitrip_t3_preflight_data/stage_b/checkpoints/e2-vanilla-100c-01__alns_e2_throughput__seed1.json,True,7af59018f259a742491db61c948b4092cbcd8b89,7,14,426.06981924999855,1,1,16000,37.552530775741054,True,OK,e2-vanilla-100c-01,2,2.3.5,/opt/anaconda3/bin/python3.13,1,7,15,900.0,1,100,stage_b,OK,"{""acceptance"": {""count"": 15936.0, ""seconds"": 0.0062776508639217354}, ""checkpoint_model_cost"": {""count"": 1.0, ""seconds"": 0.00025466700026299804}, ""destroy:random_customer_removal"": {""count"": 2658.0, ""seconds"": 0.6705281680187909}, ""destroy:route_segment_removal"": {""count"": 2655.0, ""seconds"": 0.6707483728096122}, ""destroy:shaw_related_removal"": {""count"": 2655.0, ""seconds"": 20.75273406990891}, ""destroy:vehicle_type_swap"": {""count"": 2655.0, ""seconds"": 6.689059975964483}, ""destroy:whole_route_removal"": {""count"": 2655.0, ""seconds"": 0.5971299030570663}, ""destroy:worst_customer_removal"": {""count"": 2658.0, ""seconds"": 0.767324371910945}, ""final_check"": {""count"": 1.0, ""seconds"": 0.0003484170010779053}, ""full_candidate_score"": {""count"": 15936.0, ""seconds"": 13.66074210932129}, ""history_model_cost"": {""count"": 1.0, ""seconds"": 0.0003262090031057596}, ""initial_reference_score"": {""count"": 1.0, ""seconds"": 0.0006722920006723143}, ""repair:greedy_insert_repair"": {""count"": 5312.0, ""seconds"": 127.17345077853679}, ""repair:regret2_insert_repair"": {""count"": 5312.0, ""seconds"": 133.59061354478035}, ""repair:regret3_insert_repair"": {""count"": 5312.0, ""seconds"": 130.86111564077873}, ""repair_full_check"": {""count"": 31872.0, ""seconds"": 16.8170594755793}, ""repair_solution_score"": {""count"": 2655.0, ""seconds"": 0.9616892999765696}, ""route_model_cost"": {""count"": 534899.0, ""seconds"": 19.701851395657286}, ""scan_build"": {""count"": 64.0, ""seconds"": 0.09405117101414362}, ""scan_score"": {""count"": 64.0, ""seconds"": 0.04856545796064893}}",0,False,False,0.06666666666666667
{},16000,LNS,4635.703685132771,vanilla,baselines/e2_alns/goeke80_multitrip_t3_preflight_data/stage_b/checkpoints/e2-vanilla-100c-01__LNS__seed2.json,True,7af59018f259a742491db61c948b4092cbcd8b89,7,14,883.8943289169983,1,1,16000,18.101711343259982,True,OK,e2-vanilla-100c-01,2,2.3.5,/opt/anaconda3/bin/python3.13,1,7,15,900.0,2,100,stage_b,OK,{},0,False,False,0.06666666666666667
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",16000,alns_e2_throughput,4635.703685132771,vanilla,baselines/e2_alns/goeke80_multitrip_t3_preflight_data/stage_b/checkpoints/e2-vanilla-100c-01__alns_e2_throughput__seed2.json,True,7af59018f259a742491db61c948b4092cbcd8b89,7,14,435.08211799999845,1,1,16000,36.774666983670556,True,OK,e2-vanilla-100c-01,2,2.3.5,/opt/anaconda3/bin/python3.13,1,7,15,900.0,2,100,stage_b,OK,"{""acceptance"": {""count"": 15936.0, ""seconds"": 0.00703672490635654}, ""checkpoint_model_cost"": {""count"": 1.0, ""seconds"": 0.0013985829937155358}, ""destroy:random_customer_removal"": {""count"": 2658.0, ""seconds"": 0.7325004090089351}, ""destroy:route_segment_removal"": {""count"": 2655.0, ""seconds"": 0.7253664429663331}, ""destroy:shaw_related_removal"": {""count"": 2655.0, ""seconds"": 21.914296328817727}, ""destroy:vehicle_type_swap"": {""count"": 2655.0, ""seconds"": 7.259119108028244}, ""destroy:whole_route_removal"": {""count"": 2655.0, ""seconds"": 0.6547428070771275}, ""destroy:worst_customer_removal"": {""count"": 2658.0, ""seconds"": 0.7909379500124487}, ""final_check"": {""count"": 1.0, ""seconds"": 0.00035104199923807755}, ""full_candidate_score"": {""count"": 15936.0, ""seconds"": 14.510876706248382}, ""history_model_cost"": {""count"": 1.0, ""seconds"": 0.0007877079988247715}, ""initial_reference_score"": {""count"": 1.0, ""seconds"": 0.0006286670031840913}, ""repair:greedy_insert_repair"": {""count"": 5312.0, ""seconds"": 127.52995189029753}, ""repair:regret2_insert_repair"": {""count"": 5312.0, ""seconds"": 135.38556694306317}, ""repair:regret3_insert_repair"": {""count"": 5312.0, ""seconds"": 135.34732947630255}, ""repair_full_check"": {""count"": 31872.0, ""seconds"": 17.6263155767665}, ""repair_solution_score"": {""count"": 2655.0, ""seconds"": 1.019819912915409}, ""route_model_cost"": {""count"": 530716.0, ""seconds"": 19.954130972480925}, ""scan_build"": {""count"": 64.0, ""seconds"": 0.0987190450032358}, ""scan_score"": {""count"": 64.0, ""seconds"": 0.04940017202170566}}",0,False,False,0.06666666666666667
{},16000,LNS,4635.703685132771,vanilla,baselines/e2_alns/goeke80_multitrip_t3_preflight_data/stage_b/checkpoints/e2-vanilla-100c-01__LNS__seed3.json,True,7af59018f259a742491db61c948b4092cbcd8b89,7,14,880.7243151660005,1,1,16000,18.166865299937008,True,OK,e2-vanilla-100c-01,2,2.3.5,/opt/anaconda3/bin/python3.13,1,7,15,900.0,3,100,stage_b,OK,{},0,False,False,0.06666666666666667
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",16000,alns_e2_throughput,4635.703685132771,vanilla,baselines/e2_alns/goeke80_multitrip_t3_preflight_data/stage_b/checkpoints/e2-vanilla-100c-01__alns_e2_throughput__seed3.json,True,7af59018f259a742491db61c948b4092cbcd8b89,7,14,445.36173658400367,1,1,16000,35.92585237053048,True,OK,e2-vanilla-100c-01,2,2.3.5,/opt/anaconda3/bin/python3.13,1,7,15,900.0,3,100,stage_b,OK,"{""acceptance"": {""count"": 15936.0, ""seconds"": 0.006888060488563497}, ""checkpoint_model_cost"": {""count"": 1.0, ""seconds"": 0.0002746250029304065}, ""destroy:random_customer_removal"": {""count"": 2658.0, ""seconds"": 0.7133343610330485}, ""destroy:route_segment_removal"": {""count"": 2655.0, ""seconds"": 0.7402711491158698}, ""destroy:shaw_related_removal"": {""count"": 2655.0, ""seconds"": 21.56468960710481}, ""destroy:vehicle_type_swap"": {""count"": 2655.0, ""seconds"": 6.974004593757854}, ""destroy:whole_route_removal"": {""count"": 2655.0, ""seconds"": 0.6316784760929295}, ""destroy:worst_customer_removal"": {""count"": 2658.0, ""seconds"": 0.7661501677503111}, ""final_check"": {""count"": 1.0, ""seconds"": 0.0003436250044615008}, ""full_candidate_score"": {""count"": 15936.0, ""seconds"": 14.20088403216505}, ""history_model_cost"": {""count"": 1.0, ""seconds"": 0.0003477079953881912}, ""initial_reference_score"": {""count"": 1.0, ""seconds"": 0.0006838330009486526}, ""repair:greedy_insert_repair"": {""count"": 5312.0, ""seconds"": 132.44622057192464}, ""repair:regret2_insert_repair"": {""count"": 5312.0, ""seconds"": 141.2336038878566}, ""repair:regret3_insert_repair"": {""count"": 5312.0, ""seconds"": 135.71350543172593}, ""repair_full_check"": {""count"": 31872.0, ""seconds"": 17.85899669225182}, ""repair_solution_score"": {""count"": 2655.0, ""seconds"": 0.9958034501905786}, ""route_model_cost"": {""count"": 537691.0, ""seconds"": 20.974462369536923}, ""scan_build"": {""count"": 64.0, ""seconds"": 0.0931882540389779}, ""scan_score"": {""count"": 64.0, ""seconds"": 0.04506987200875301}}",0,False,False,0.06666666666666667
{},16000,LNS,4535.2984099914565,vanilla,baselines/e2_alns/goeke80_multitrip_t3_preflight_data/stage_b/checkpoints/e2-vanilla-100c-02__LNS__seed1.json,True,7af59018f259a742491db61c948b4092cbcd8b89,7,13,873.0047570000024,1,1,16000,18.32750608940835,True,OK,e2-vanilla-100c-02,2,2.3.5,/opt/anaconda3/bin/python3.13,2,6,14,900.0,1,100,stage_b,OK,{},0,False,False,0.07142857142857142
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",16000,alns_e2_throughput,4535.2984099914565,vanilla,baselines/e2_alns/goeke80_multitrip_t3_preflight_data/stage_b/checkpoints/e2-vanilla-100c-02__alns_e2_throughput__seed1.json,True,7af59018f259a742491db61c948b4092cbcd8b89,7,13,424.0068305839959,1,1,16000,37.73524114685316,True,OK,e2-vanilla-100c-02,2,2.3.5,/opt/anaconda3/bin/python3.13,2,6,14,900.0,1,100,stage_b,OK,"{""acceptance"": {""count"": 15936.0, ""seconds"": 0.006551953905727714}, ""checkpoint_model_cost"": {""count"": 1.0, ""seconds"": 0.0002708749962039292}, ""destroy:random_customer_removal"": {""count"": 2658.0, ""seconds"": 0.6566289559414145}, ""destroy:route_segment_removal"": {""count"": 2655.0, ""seconds"": 0.660065101867076}, ""destroy:shaw_related_removal"": {""count"": 2655.0, ""seconds"": 19.92882908679894}, ""destroy:vehicle_type_swap"": {""count"": 2655.0, ""seconds"": 4.604843853914645}, ""destroy:whole_route_removal"": {""count"": 2655.0, ""seconds"": 0.5802688901021611}, ""destroy:worst_customer_removal"": {""count"": 2658.0, ""seconds"": 0.750788160963566}, ""final_check"": {""count"": 1.0, ""seconds"": 0.000748792001104448}, ""full_candidate_score"": {""count"": 15936.0, ""seconds"": 13.624462150779436}, ""history_model_cost"": {""count"": 1.0, ""seconds"": 0.0003430419965297915}, ""initial_reference_score"": {""count"": 1.0, ""seconds"": 0.0006712920003337786}, ""repair:greedy_insert_repair"": {""count"": 5312.0, ""seconds"": 127.29232442371722}, ""repair:regret2_insert_repair"": {""count"": 5312.0, ""seconds"": 132.27202790305455}, ""repair:regret3_insert_repair"": {""count"": 5312.0, ""seconds"": 132.56186312017962}, ""repair_full_check"": {""count"": 31872.0, ""seconds"": 16.547714953565446}, ""repair_solution_score"": {""count"": 2655.0, ""seconds"": 0.9407211130965152}, ""route_model_cost"": {""count"": 536249.0, ""seconds"": 20.9004975492644}, ""scan_build"": {""count"": 64.0, ""seconds"": 0.09876032800821122}, ""scan_score"": {""count"": 64.0, ""seconds"": 0.05283145398425404}}",0,False,False,0.07142857142857142
{},16000,LNS,4535.2984099914565,vanilla,baselines/e2_alns/goeke80_multitrip_t3_preflight_data/stage_b/checkpoints/e2-vanilla-100c-02__LNS__seed2.json,True,7af59018f259a742491db61c948b4092cbcd8b89,7,13,840.8271336249963,1,1,16000,19.02888163351767,True,OK,e2-vanilla-100c-02,2,2.3.5,/opt/anaconda3/bin/python3.13,2,6,14,900.0,2,100,stage_b,OK,{},0,False,False,0.07142857142857142
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",16000,alns_e2_throughput,4535.2984099914565,vanilla,baselines/e2_alns/goeke80_multitrip_t3_preflight_data/stage_b/checkpoints/e2-vanilla-100c-02__alns_e2_throughput__seed2.json,True,7af59018f259a742491db61c948b4092cbcd8b89,7,13,413.6587792499995,1,1,16000,38.67922259261471,True,OK,e2-vanilla-100c-02,2,2.3.5,/opt/anaconda3/bin/python3.13,2,6,14,900.0,2,100,stage_b,OK,"{""acceptance"": {""count"": 15936.0, ""seconds"": 0.0062718561821384355}, ""checkpoint_model_cost"": {""count"": 1.0, ""seconds"": 0.0002545000024838373}, ""destroy:random_customer_removal"": {""count"": 2658.0, ""seconds"": 0.6578973691503052}, ""destroy:route_segment_removal"": {""count"": 2655.0, ""seconds"": 0.6672620760800783}, ""destroy:shaw_related_removal"": {""count"": 2655.0, ""seconds"": 19.84046908288292}, ""destroy:vehicle_type_swap"": {""count"": 2655.0, ""seconds"": 4.4510558271285845}, ""destroy:whole_route_removal"": {""count"": 2655.0, ""seconds"": 0.5853312699327944}, ""destroy:worst_customer_removal"": {""count"": 2658.0, ""seconds"": 0.7399458289364702}, ""final_check"": {""count"": 1.0, ""seconds"": 0.00035866600228473544}, ""full_candidate_score"": {""count"": 15936.0, ""seconds"": 13.383294530547573}, ""history_model_cost"": {""count"": 1.0, ""seconds"": 0.00033837500086519867}, ""initial_reference_score"": {""count"": 1.0, ""seconds"": 0.001727625000057742}, ""repair:greedy_insert_repair"": {""count"": 5312.0, ""seconds"": 126.02724709417816}, ""repair:regret2_insert_repair"": {""count"": 5312.0, ""seconds"": 128.0912051255582}, ""repair:regret3_insert_repair"": {""count"": 5312.0, ""seconds"": 128.14862006908515}, ""repair_full_check"": {""count"": 31872.0, ""seconds"": 16.13644420143828}, ""repair_solution_score"": {""count"": 2655.0, ""seconds"": 0.9280330941692227}, ""route_model_cost"": {""count"": 527028.0, ""seconds"": 20.28273573423212}, ""scan_build"": {""count"": 64.0, ""seconds"": 0.09081845798209542}, ""scan_score"": {""count"": 64.0, ""seconds"": 0.04631454103218857}}",0,False,False,0.07142857142857142
