category,size,instance_count,current_q_infeasible_count,current_q_feasible_count,goeke_q_infeasible_count,goeke_q_feasible_count,min_current_capacity_surplus_kg,max_current_capacity_surplus_kg,min_goeke_capacity_surplus_kg,max_goeke_capacity_surplus_kg
ALL,ALL,69,69,0,1,68,-55001.0,-1258.0,-5801.0,10729.0
multidepot,10,3,3,0,0,3,-2471.0,-1258.0,1629.0,2842.0
multidepot,100,3,3,0,0,3,-24549.0,-23024.0,3240.0,4151.0
multidepot,15,3,3,0,0,3,-4019.0,-2276.0,81.0,3874.0
multidepot,150,3,3,0,0,3,-38647.0,-37029.0,1921.0,2721.0
multidepot,20,3,3,0,0,3,-4562.0,-3963.0,1588.0,2187.0
multidepot,200,3,3,0,0,3,-52757.0,-46990.0,2210.0,5048.0
multidepot,25,3,3,0,0,3,-5720.0,-5703.0,430.0,2497.0
multidepot,50,3,3,0,0,3,-12890.0,-11175.0,1460.0,3175.0
multidepot,75,3,3,0,0,3,-19525.0,-16700.0,3025.0,3800.0
multidepot,ALL,27,27,0,0,27,-52757.0,-1258.0,81.0,5048.0
threeshift,100,3,3,0,0,3,-26103.0,-21988.0,547.0,6712.0
threeshift,150,3,3,0,0,3,-38963.0,-36542.0,2037.0,4285.0
threeshift,200,3,3,0,1,2,-55001.0,-46671.0,-5801.0,10729.0
threeshift,50,3,3,0,0,3,-13311.0,-11233.0,1039.0,3117.0
threeshift,75,3,3,0,0,3,-17676.0,-15908.0,2824.0,6642.0
threeshift,ALL,15,15,0,1,14,-55001.0,-11233.0,-5801.0,10729.0
vanilla,10,3,3,0,0,3,-2471.0,-1258.0,1629.0,2842.0
vanilla,100,3,3,0,0,3,-24549.0,-23024.0,3240.0,4151.0
vanilla,15,3,3,0,0,3,-4019.0,-2276.0,81.0,3874.0
vanilla,150,3,3,0,0,3,-38647.0,-37029.0,1921.0,2721.0
vanilla,20,3,3,0,0,3,-4562.0,-3963.0,1588.0,2187.0
vanilla,200,3,3,0,0,3,-52757.0,-46990.0,2210.0,5048.0
vanilla,25,3,3,0,0,3,-5720.0,-5703.0,430.0,2497.0
vanilla,50,3,3,0,0,3,-12890.0,-11175.0,1460.0,3175.0
vanilla,75,3,3,0,0,3,-19525.0,-16700.0,3025.0,3800.0
vanilla,ALL,27,27,0,0,27,-52757.0,-1258.0,81.0,5048.0
