alns_charging_action_count,alns_cost,alns_evals,alns_status,battery_kwh,category,comparison_mode,gap_pct_alns_minus_lns,instance,lns_charging_action_count,lns_cost,lns_evals,lns_status,paired_winner,replicate,scenario,seed,size,winner_algorithm_for_composition,winner_all_cv,winner_all_ev,winner_charging_action_count,winner_cv_physical,winner_ev_physical,winner_ev_route_share,winner_max_trips_per_vehicle
1,3960.9142264324673,16000,OK,100.0,multidepot,wallclock,0.0,e2-multidepot-100c-01,1,3960.9142264324673,16000,OK,tie,1,wc100,1,100,alns_e2_throughput,False,False,1,7,1,0.06666666666666667,2
1,387.9007343319535,16000,OK,100.0,multidepot,wallclock,-18.53291399789436,e2-multidepot-10c-01,1,476.14411336859115,16000,OK,alns,1,wc100,1,10,alns_e2_throughput,False,False,1,1,1,0.5,1
1,5488.782859056312,16000,OK,100.0,multidepot,wallclock,0.0,e2-multidepot-150c-01,1,5488.782859056312,16000,OK,tie,1,wc100,1,150,alns_e2_throughput,False,False,1,10,1,0.045454545454545456,3
0,621.371321439464,16000,OK,100.0,multidepot,wallclock,0.0,e2-multidepot-15c-01,0,621.371321439464,16000,OK,tie,1,wc100,1,15,alns_e2_throughput,True,False,0,2,0,0.0,1
1,6608.239546640648,8134,OK,100.0,multidepot,wallclock,0.0,e2-multidepot-200c-01,1,6608.239546640648,10974,OK,tie,1,wc100,1,200,alns_e2_throughput,False,False,1,14,1,0.034482758620689655,2
1,1130.7005298293218,16000,OK,100.0,multidepot,wallclock,62.7921444687605,e2-multidepot-20c-01,2,694.5670096792054,16000,OK,lns,1,wc100,1,20,LNS,False,False,2,2,1,0.3333333333333333,1
1,828.678306576153,16000,OK,100.0,multidepot,wallclock,0.0,e2-multidepot-25c-01,1,828.678306576153,16000,OK,tie,1,wc100,1,25,alns_e2_throughput,False,False,1,2,1,0.2,2
1,2020.688951370618,16000,OK,100.0,multidepot,wallclock,0.0,e2-multidepot-50c-01,1,2020.688951370618,16000,OK,tie,1,wc100,1,50,alns_e2_throughput,False,False,1,4,1,0.1111111111111111,2
1,3062.7977925322516,16000,OK,100.0,multidepot,wallclock,0.0,e2-multidepot-75c-01,1,3062.7977925322516,16000,OK,tie,1,wc100,1,75,alns_e2_throughput,False,False,1,6,1,0.07692307692307693,2
1,4086.253616024695,16000,OK,100.0,threeshift,wallclock,0.0,e2-threeshift-100c-01,1,4086.253616024695,16000,OK,tie,1,wc100,1,100,alns_e2_throughput,False,False,1,7,1,0.06666666666666667,2
1,5803.553350198798,16000,OK,100.0,threeshift,wallclock,0.0,e2-threeshift-150c-01,1,5803.553350198798,16000,OK,tie,1,wc100,1,150,alns_e2_throughput,False,False,1,10,1,0.045454545454545456,3
1,6633.4344963179965,9296,OK,100.0,threeshift,wallclock,0.0,e2-threeshift-200c-01,1,6633.4344963179965,11449,OK,tie,1,wc100,1,200,alns_e2_throughput,False,False,1,14,1,0.037037037037037035,2
1,1783.6949728422799,16000,OK,100.0,threeshift,wallclock,0.0,e2-threeshift-50c-01,1,1783.6949728422799,16000,OK,tie,1,wc100,1,50,alns_e2_throughput,False,False,1,4,1,0.125,2
1,2732.803960039656,16000,OK,100.0,threeshift,wallclock,0.0,e2-threeshift-75c-01,1,2732.803960039656,16000,OK,tie,1,wc100,1,75,alns_e2_throughput,False,False,1,6,1,0.08333333333333333,2
1,4635.703685132771,16000,OK,100.0,vanilla,wallclock,0.0,e2-vanilla-100c-01,1,4635.703685132771,16000,OK,tie,1,wc100,1,100,alns_e2_throughput,False,False,1,7,1,0.06666666666666667,2
1,398.0471571718608,16000,OK,100.0,vanilla,wallclock,-30.62886957927252,e2-vanilla-10c-01,1,573.7936728978657,16000,OK,alns,1,wc100,1,10,alns_e2_throughput,False,False,1,1,1,0.5,1
1,6015.377586977482,16000,OK,100.0,vanilla,wallclock,0.0,e2-vanilla-150c-01,1,6015.377586977482,16000,OK,tie,1,wc100,1,150,alns_e2_throughput,False,False,1,10,1,0.047619047619047616,2
0,642.185285005708,16000,OK,100.0,vanilla,wallclock,0.0,e2-vanilla-15c-01,0,642.185285005708,16000,OK,tie,1,wc100,1,15,alns_e2_throughput,True,False,0,2,0,0.0,1
1,8714.98386087934,0,OK,100.0,vanilla,wallclock,0.0,e2-vanilla-200c-01,1,8714.98386087934,0,OK,tie,1,wc100,1,200,alns_e2_throughput,False,False,1,14,1,0.034482758620689655,2
1,1155.0731809827587,16000,OK,100.0,vanilla,wallclock,0.0,e2-vanilla-20c-01,1,1155.0731809827587,16000,OK,tie,1,wc100,1,20,alns_e2_throughput,False,False,1,2,1,0.25,2
