active_flags,actual_evals,algorithm,battery_kwh,best_cost,category,charging_action_count,checkpoint_path,checkpoint_readable,commit_hash,comparison_mode,cv_physical_vehicle_count,cv_route_count,elapsed_seconds,ev_physical_vehicle_count,ev_route_count,eval_budget_backstop,evals_per_second,feasible,gate_status,instance,max_trips_per_physical_vehicle,numpy,python,replicate,route_count,runtime_cap_seconds,scenario,scenario_label,seed,size,status,timings,violation_count,winner_all_cv,winner_all_ev,winner_ev_route_share
{},16000,LNS,100.0,3960.9142264324673,multidepot,1,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/high_tension_separation_probe_smoke_data/checkpoints/wc100/e2-multidepot-100c-01__LNS__seed1.json,True,9b6e2e2629fa88ad616f1d06fd76c2f4d96339b1,wallclock,7,14,572.7284751249972,1,1,16000,27.936449286039117,True,OK,e2-multidepot-100c-01,2,2.3.5,/opt/anaconda3/bin/python3.13,1,15,900.0,wc100,100kWh same wall-clock,1,100,OK,{},0,False,False,0.06666666666666667
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",16000,alns_e2_throughput,100.0,3960.9142264324673,multidepot,1,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/high_tension_separation_probe_smoke_data/checkpoints/wc100/e2-multidepot-100c-01__alns_e2_throughput__seed1.json,True,9b6e2e2629fa88ad616f1d06fd76c2f4d96339b1,wallclock,7,14,301.48161091700604,1,1,16000,53.071230286097254,True,OK,e2-multidepot-100c-01,2,2.3.5,/opt/anaconda3/bin/python3.13,1,15,900.0,wc100,100kWh same wall-clock,1,100,OK,"{""acceptance"": {""count"": 15936.0, ""seconds"": 0.004570039003738202}, ""checkpoint_model_cost"": {""count"": 1.0, ""seconds"": 0.00044470799912232906}, ""destroy:random_customer_removal"": {""count"": 2658.0, ""seconds"": 0.5005812857270939}, ""destroy:route_segment_removal"": {""count"": 2655.0, ""seconds"": 0.49224378759390675}, ""destroy:shaw_related_removal"": {""count"": 2655.0, ""seconds"": 14.866975761731737}, ""destroy:vehicle_type_swap"": {""count"": 2655.0, ""seconds"": 8.308958708337741}, ""destroy:whole_route_removal"": {""count"": 2655.0, ""seconds"": 0.4402956388221355}, ""destroy:worst_customer_removal"": {""count"": 2658.0, ""seconds"": 0.5491176661162172}, ""final_check"": {""count"": 1.0, ""seconds"": 0.00031120899075176567}, ""full_candidate_score"": {""count"": 15936.0, ""seconds"": 9.550704522669548}, ""history_model_cost"": {""count"": 1.0, ""seconds"": 0.0003336249938001856}, ""initial_reference_score"": {""count"": 1.0, ""seconds"": 0.0006163750076666474}, ""repair:greedy_insert_repair"": {""count"": 5312.0, ""seconds"": 89.78225319985359}, ""repair:regret2_insert_repair"": {""count"": 5312.0, ""seconds"": 90.70955998063437}, ""repair:regret3_insert_repair"": {""count"": 5312.0, ""seconds"": 91.7007056219154}, ""repair_full_check"": {""count"": 31872.0, ""seconds"": 11.743712913579657}, ""repair_solution_score"": {""count"": 7213.0, ""seconds"": 1.8862778766051633}, ""route_model_cost"": {""count"": 629819.0, ""seconds"": 15.888636663847137}, ""scan_build"": {""count"": 64.0, ""seconds"": 0.06669075199170038}, ""scan_score"": {""count"": 64.0, ""seconds"": 0.03387616606778465}}",0,False,False,0.06666666666666667
{},10248,LNS,100.0,6633.4344963179965,threeshift,1,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/high_tension_separation_probe_smoke_data/checkpoints/wc100/e2-threeshift-200c-01__LNS__seed1.json,True,9b6e2e2629fa88ad616f1d06fd76c2f4d96339b1,wallclock,14,26,903.8429214579955,1,1,16000,11.338253314490617,True,OK,e2-threeshift-200c-01,2,2.3.5,/opt/anaconda3/bin/python3.13,1,27,900.0,wc100,100kWh same wall-clock,1,200,OK,{},0,False,False,0.037037037037037035
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",7996,alns_e2_throughput,100.0,6633.4344963179965,threeshift,1,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/high_tension_separation_probe_smoke_data/checkpoints/wc100/e2-threeshift-200c-01__alns_e2_throughput__seed1.json,True,9b6e2e2629fa88ad616f1d06fd76c2f4d96339b1,wallclock,14,26,906.2153944580059,1,1,16000,8.823509343253091,True,OK,e2-threeshift-200c-01,2,2.3.5,/opt/anaconda3/bin/python3.13,1,27,900.0,wc100,100kWh same wall-clock,1,200,OK,"{""acceptance"": {""count"": 7964.0, ""seconds"": 0.0023651506926398724}, ""checkpoint_model_cost"": {""count"": 1.0, ""seconds"": 0.0004829579993383959}, ""destroy:random_customer_removal"": {""count"": 1329.0, ""seconds"": 0.49056428515177686}, ""destroy:route_segment_removal"": {""count"": 1326.0, ""seconds"": 0.5968290170276305}, ""destroy:shaw_related_removal"": {""count"": 1328.0, ""seconds"": 44.47743463734514}, ""destroy:vehicle_type_swap"": {""count"": 1326.0, ""seconds"": 20.896083706742502}, ""destroy:whole_route_removal"": {""count"": 1326.0, ""seconds"": 0.5528072550659999}, ""destroy:worst_customer_removal"": {""count"": 1329.0, ""seconds"": 0.5919268409488723}, ""final_check"": {""count"": 1.0, ""seconds"": 0.0007365830097114667}, ""full_candidate_score"": {""count"": 7964.0, ""seconds"": 9.531760280267918}, ""history_model_cost"": {""count"": 1.0, ""seconds"": 0.000606249988777563}, ""initial_reference_score"": {""count"": 1.0, ""seconds"": 0.0011700420000124723}, ""repair:greedy_insert_repair"": {""count"": 2655.0, ""seconds"": 272.09990593364637}, ""repair:regret2_insert_repair"": {""count"": 2655.0, ""seconds"": 281.6167451449437}, ""repair:regret3_insert_repair"": {""count"": 2654.0, ""seconds"": 277.6100337559037}, ""repair_full_check"": {""count"": 15928.0, ""seconds"": 13.774874584269128}, ""repair_solution_score"": {""count"": 7400.0, ""seconds"": 3.754346757224994}, ""route_model_cost"": {""count"": 928803.0, ""seconds"": 26.95816909278801}, ""scan_build"": {""count"": 32.0, ""seconds"": 0.09672104295168538}, ""scan_score"": {""count"": 32.0, ""seconds"": 0.05059408496890683}}",0,False,False,0.037037037037037035
{},16000,LNS,100.0,573.7936728978657,vanilla,1,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/high_tension_separation_probe_smoke_data/checkpoints/wc100/e2-vanilla-10c-01__LNS__seed1.json,True,9b6e2e2629fa88ad616f1d06fd76c2f4d96339b1,wallclock,1,2,29.6505441670015,1,1,16000,539.6191014196165,True,OK,e2-vanilla-10c-01,2,2.3.5,/opt/anaconda3/bin/python3.13,1,3,300.0,wc100,100kWh same wall-clock,1,10,OK,{},0,False,False,0.3333333333333333
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",16000,alns_e2_throughput,100.0,398.0471571718608,vanilla,1,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/high_tension_separation_probe_smoke_data/checkpoints/wc100/e2-vanilla-10c-01__alns_e2_throughput__seed1.json,True,9b6e2e2629fa88ad616f1d06fd76c2f4d96339b1,wallclock,1,1,12.333462957991287,1,1,16000,1297.2836627066717,True,OK,e2-vanilla-10c-01,1,2.3.5,/opt/anaconda3/bin/python3.13,1,2,300.0,wc100,100kWh same wall-clock,1,10,OK,"{""acceptance"": {""count"": 15936.0, ""seconds"": 0.024847552514984272}, ""checkpoint_model_cost"": {""count"": 4.0, ""seconds"": 0.0001774589909473434}, ""destroy:random_customer_removal"": {""count"": 1014.0, ""seconds"": 0.03990228884504177}, ""destroy:route_segment_removal"": {""count"": 1014.0, ""seconds"": 0.02818662390927784}, ""destroy:shaw_related_removal"": {""count"": 8698.0, ""seconds"": 0.5491801246098476}, ""destroy:vehicle_type_swap"": {""count"": 1014.0, ""seconds"": 0.14957156717719045}, ""destroy:whole_route_removal"": {""count"": 2237.0, ""seconds"": 0.04327101312810555}, ""destroy:worst_customer_removal"": {""count"": 1959.0, ""seconds"": 0.054900976858334616}, ""final_check"": {""count"": 1.0, ""seconds"": 8.304200309794396e-05}, ""full_candidate_score"": {""count"": 15936.0, ""seconds"": 1.9722137466887943}, ""history_model_cost"": {""count"": 4.0, ""seconds"": 0.00020629301434382796}, ""initial_reference_score"": {""count"": 1.0, ""seconds"": 0.0001667500037001446}, ""local_search"": {""count"": 4905.0, ""seconds"": 0.006001866175211035}, ""repair:greedy_insert_repair"": {""count"": 10657.0, ""seconds"": 5.649409995457972}, ""repair:regret2_insert_repair"": {""count"": 2028.0, ""seconds"": 1.0407948108186247}, ""repair:regret3_insert_repair"": {""count"": 3251.0, ""seconds"": 2.113872176836594}, ""repair_full_check"": {""count"": 17038.0, ""seconds"": 1.4882136866654037}, ""repair_solution_score"": {""count"": 1014.0, ""seconds"": 0.034558387196739204}, ""route_model_cost"": {""count"": 790.0, ""seconds"": 0.017268021823838353}, ""scan_build"": {""count"": 64.0, ""seconds"": 0.005448256983072497}, ""scan_score"": {""count"": 64.0, ""seconds"": 0.004940955972415395}}",0,False,False,0.5
{},16000,LNS,150.0,3960.9142264324673,multidepot,1,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/high_tension_separation_probe_smoke_data/checkpoints/wc150/e2-multidepot-100c-01__LNS__seed1.json,True,9b6e2e2629fa88ad616f1d06fd76c2f4d96339b1,wallclock,7,14,553.2912387079996,1,1,16000,28.91786256612682,True,OK,e2-multidepot-100c-01,2,2.3.5,/opt/anaconda3/bin/python3.13,1,15,900.0,wc150,150kWh same wall-clock,1,100,OK,{},0,False,False,0.06666666666666667
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",16000,alns_e2_throughput,150.0,3960.9142264324673,multidepot,1,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/high_tension_separation_probe_smoke_data/checkpoints/wc150/e2-multidepot-100c-01__alns_e2_throughput__seed1.json,True,9b6e2e2629fa88ad616f1d06fd76c2f4d96339b1,wallclock,7,14,302.7964143749996,1,1,16000,52.84078423790292,True,OK,e2-multidepot-100c-01,2,2.3.5,/opt/anaconda3/bin/python3.13,1,15,900.0,wc150,150kWh same wall-clock,1,100,OK,"{""acceptance"": {""count"": 15936.0, ""seconds"": 0.00441707500431221}, ""checkpoint_model_cost"": {""count"": 1.0, ""seconds"": 0.0002554579987190664}, ""destroy:random_customer_removal"": {""count"": 2658.0, ""seconds"": 0.5061519150913227}, ""destroy:route_segment_removal"": {""count"": 2655.0, ""seconds"": 0.503065752069233}, ""destroy:shaw_related_removal"": {""count"": 2655.0, ""seconds"": 14.793858906588866}, ""destroy:vehicle_type_swap"": {""count"": 2655.0, ""seconds"": 5.350650021486217}, ""destroy:whole_route_removal"": {""count"": 2655.0, ""seconds"": 0.4378870591754094}, ""destroy:worst_customer_removal"": {""count"": 2658.0, ""seconds"": 0.5456004648585804}, ""final_check"": {""count"": 1.0, ""seconds"": 0.00031270799809135497}, ""full_candidate_score"": {""count"": 15936.0, ""seconds"": 9.58791686691984}, ""history_model_cost"": {""count"": 1.0, ""seconds"": 0.00038054099422879517}, ""initial_reference_score"": {""count"": 1.0, ""seconds"": 0.0006133749993750826}, ""repair:greedy_insert_repair"": {""count"": 5312.0, ""seconds"": 91.7215966990916}, ""repair:regret2_insert_repair"": {""count"": 5312.0, ""seconds"": 91.44658315023116}, ""repair:regret3_insert_repair"": {""count"": 5312.0, ""seconds"": 92.68462676159106}, ""repair_full_check"": {""count"": 31872.0, ""seconds"": 11.684192199027166}, ""repair_solution_score"": {""count"": 5724.0, ""seconds"": 1.4750120473472634}, ""route_model_cost"": {""count"": 631670.0, ""seconds"": 16.351904909170116}, ""scan_build"": {""count"": 64.0, ""seconds"": 0.0683333750203019}, ""scan_score"": {""count"": 64.0, ""seconds"": 0.03375837893690914}}",0,False,False,0.06666666666666667
{},10821,LNS,150.0,6633.4344963179965,threeshift,1,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/high_tension_separation_probe_smoke_data/checkpoints/wc150/e2-threeshift-200c-01__LNS__seed1.json,True,9b6e2e2629fa88ad616f1d06fd76c2f4d96339b1,wallclock,14,26,903.8094437079999,1,1,16000,11.972656487860307,True,OK,e2-threeshift-200c-01,2,2.3.5,/opt/anaconda3/bin/python3.13,1,27,900.0,wc150,150kWh same wall-clock,1,200,OK,{},0,False,False,0.037037037037037035
"{""SETP_ALNS_CRUSH_ADAPTIVE_Q"": ""1"", ""SETP_ALNS_CRUSH_LOCAL_SEARCH"": ""0"", ""SETP_ALNS_CRUSH_REPAIR_STRUCTURE_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_COST_CACHE"": ""1"", ""SETP_ALNS_CRUSH_ROUTE_ELIMINATION"": ""0"", ""SETP_ALNS_CRUSH_SA_ACCEPTANCE"": ""1"", ""SETP_ALNS_CRUSH_SA_MODE"": ""lns_cooling"", ""SETP_ALNS_CRUSH_SCAN_REBUILD"": ""1"", ""SETP_ALNS_CRUSH_SCAN_RESTART"": ""1"", ""SETP_ALNS_CRUSH_TIMING_LEDGER"": ""1"", ""SETP_ALNS_CRUSH_TRUE_ACCEPTANCE"": ""0"", ""SETP_ALNS_CRUSH_TRUE_REPAIR"": ""1""}",8359,alns_e2_throughput,150.0,6633.4344963179965,threeshift,1,/Volumes/移动硬盘（512G）/ReSETP/baselines/e2_alns/high_tension_separation_probe_smoke_data/checkpoints/wc150/e2-threeshift-200c-01__alns_e2_throughput__seed1.json,True,9b6e2e2629fa88ad616f1d06fd76c2f4d96339b1,wallclock,14,26,905.9156369580014,1,1,16000,9.227128508421504,True,OK,e2-threeshift-200c-01,2,2.3.5,/opt/anaconda3/bin/python3.13,1,27,900.0,wc150,150kWh same wall-clock,1,200,OK,"{""acceptance"": {""count"": 8325.0, ""seconds"": 0.0025116176111623645}, ""checkpoint_model_cost"": {""count"": 1.0, ""seconds"": 0.00046195799950510263}, ""destroy:random_customer_removal"": {""count"": 1389.0, ""seconds"": 0.510031615223852}, ""destroy:route_segment_removal"": {""count"": 1386.0, ""seconds"": 0.6198512754053809}, ""destroy:shaw_related_removal"": {""count"": 1389.0, ""seconds"": 46.16352597766672}, ""destroy:vehicle_type_swap"": {""count"": 1386.0, ""seconds"": 16.429803663966595}, ""destroy:whole_route_removal"": {""count"": 1386.0, ""seconds"": 0.5726910801313352}, ""destroy:worst_customer_removal"": {""count"": 1389.0, ""seconds"": 0.6212532520439709}, ""final_check"": {""count"": 1.0, ""seconds"": 0.0009333339985460043}, ""full_candidate_score"": {""count"": 8325.0, ""seconds"": 9.849803671997506}, ""history_model_cost"": {""count"": 1.0, ""seconds"": 0.000592500000493601}, ""initial_reference_score"": {""count"": 1.0, ""seconds"": 0.0012041250010952353}, ""repair:greedy_insert_repair"": {""count"": 2775.0, ""seconds"": 270.2468986461754}, ""repair:regret2_insert_repair"": {""count"": 2775.0, ""seconds"": 284.79128409997793}, ""repair:regret3_insert_repair"": {""count"": 2775.0, ""seconds"": 278.93642100285797}, ""repair_full_check"": {""count"": 16650.0, ""seconds"": 13.970311612836667}, ""repair_solution_score"": {""count"": 7739.0, ""seconds"": 3.838649056619033}, ""route_model_cost"": {""count"": 950716.0, ""seconds"": 27.20871094823815}, ""scan_build"": {""count"": 34.0, ""seconds"": 0.10131895999074914}, ""scan_score"": {""count"": 34.0, ""seconds"": 0.051513956947019324}}",0,False,False,0.037037037037037035
