algorithm_best_obj,arm,bundle_hashes,candidate_scores,class,distance_double,elapsed_seconds,eval_budget,evaluations,failure_codes,geometry_family,independent_recompute_pass,initial_distance_double,initial_route_count,initial_solution_sha256,instance,lexicographic_score,model_violation_count,process_cpu_seconds,route_count,score_counts,seed,solution_path,solution_sha256,status,structural_counts,task_index,true_swapstar_attempts,true_swapstar_evaluations
998975.3699135819,candidate_true_swapstar,"{""carbon_profile.csv"": ""b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd"", ""distance_matrix.npy"": ""da8967e9253e3312b58766c82bc05dced6ca3f7887c9363717f38f81c84512f0"", ""instance.json"": ""850b05bb8928a31f65151716e25a331a69ba623eacd129d7b962a41c9d9f50bc""}",400,C1,4037.369913581908,16.82651766599156,400,400,[],C,True,4254.77588313951,21,9f8d36af3c194845a76a14d37146b8188e052d73f37d462390a418350700aa68,C1_2_1,998975.3699135819,0,14.942553,21,"{""candidate"": 400, ""candidate_channel:destroy_repair"": 390, ""candidate_channel:true_swapstar"": 10, ""reference"": 2, ""reference_cache_hit"": 7, ""reference_cache_hit:history"": 7, ""reference_phase:final"": 1, ""reference_phase:initial"": 1, ""repair_delta"": 43206}",1,baselines/e2_alns/homberger_g1a_true_swapstar_20260718/solutions/C1_2_1__seed1__budget400__candidate_true_swapstar.json,bdb4eb0c945c431a804f4b3eca19827243cc80c7bbf5b9963fd7dcc46c45c867,OK,"{""accepted"": 3, ""attempts"": 3, ""best_improved"": 2, ""rejected"": 0}",0,3,10
999116.4977990618,baseline,"{""carbon_profile.csv"": ""b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd"", ""distance_matrix.npy"": ""da8967e9253e3312b58766c82bc05dced6ca3f7887c9363717f38f81c84512f0"", ""instance.json"": ""850b05bb8928a31f65151716e25a331a69ba623eacd129d7b962a41c9d9f50bc""}",400,C1,4178.497799061866,14.436162083002273,400,400,[],C,True,4254.77588313951,21,9f8d36af3c194845a76a14d37146b8188e052d73f37d462390a418350700aa68,C1_2_1,999116.4977990618,0,12.939619,21,"{""candidate"": 400, ""candidate_channel:destroy_repair"": 400, ""reference"": 2, ""reference_cache_hit"": 2, ""reference_cache_hit:history"": 2, ""reference_phase:final"": 1, ""reference_phase:initial"": 1, ""repair_delta"": 44474}",1,baselines/e2_alns/homberger_g1a_true_swapstar_20260718/solutions/C1_2_1__seed1__budget400__baseline.json,e76ccff3742037a9213923897584e44306448a6b91bfca24018f4e3f2e4657e1,OK,"{""accepted"": 0, ""attempts"": 0, ""best_improved"": 0, ""rejected"": 0}",1,0,0
999116.4977990618,baseline,"{""carbon_profile.csv"": ""b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd"", ""distance_matrix.npy"": ""da8967e9253e3312b58766c82bc05dced6ca3f7887c9363717f38f81c84512f0"", ""instance.json"": ""850b05bb8928a31f65151716e25a331a69ba623eacd129d7b962a41c9d9f50bc""}",400,C1,4178.497799061866,18.459984167013317,400,400,[],C,True,4254.77588313951,21,9f8d36af3c194845a76a14d37146b8188e052d73f37d462390a418350700aa68,C1_2_1,999116.4977990618,0,16.635799,21,"{""candidate"": 400, ""candidate_channel:destroy_repair"": 400, ""reference"": 2, ""reference_cache_hit"": 2, ""reference_cache_hit:history"": 2, ""reference_phase:final"": 1, ""reference_phase:initial"": 1, ""repair_delta"": 62825}",2,baselines/e2_alns/homberger_g1a_true_swapstar_20260718/solutions/C1_2_1__seed2__budget400__baseline.json,5b7064500188310ecfc0c2fd3874b88527324ad03c14df7cc5c8acadda62bb83,OK,"{""accepted"": 0, ""attempts"": 0, ""best_improved"": 0, ""rejected"": 0}",2,0,0
999010.0846970582,candidate_true_swapstar,"{""carbon_profile.csv"": ""b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd"", ""distance_matrix.npy"": ""da8967e9253e3312b58766c82bc05dced6ca3f7887c9363717f38f81c84512f0"", ""instance.json"": ""850b05bb8928a31f65151716e25a331a69ba623eacd129d7b962a41c9d9f50bc""}",400,C1,4072.0846970581724,19.917991625028662,400,400,[],C,True,4254.77588313951,21,9f8d36af3c194845a76a14d37146b8188e052d73f37d462390a418350700aa68,C1_2_1,999010.0846970582,0,17.818492,21,"{""candidate"": 400, ""candidate_channel:destroy_repair"": 394, ""candidate_channel:true_swapstar"": 6, ""reference"": 2, ""reference_cache_hit"": 6, ""reference_cache_hit:history"": 6, ""reference_phase:final"": 1, ""reference_phase:initial"": 1, ""repair_delta"": 61653}",2,baselines/e2_alns/homberger_g1a_true_swapstar_20260718/solutions/C1_2_1__seed2__budget400__candidate_true_swapstar.json,5c7900b245e8d24db6a443e0894ecd58d225574dc60445ca5b82ec3c79829ed2,OK,"{""accepted"": 2, ""attempts"": 2, ""best_improved"": 1, ""rejected"": 0}",3,2,6
998974.4447363035,candidate_true_swapstar,"{""carbon_profile.csv"": ""b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd"", ""distance_matrix.npy"": ""da8967e9253e3312b58766c82bc05dced6ca3f7887c9363717f38f81c84512f0"", ""instance.json"": ""850b05bb8928a31f65151716e25a331a69ba623eacd129d7b962a41c9d9f50bc""}",400,C1,4036.4447363035015,26.827821666025557,400,400,[],C,True,4254.77588313951,21,9f8d36af3c194845a76a14d37146b8188e052d73f37d462390a418350700aa68,C1_2_1,998974.4447363035,0,23.873696,21,"{""candidate"": 400, ""candidate_channel:destroy_repair"": 364, ""candidate_channel:true_swapstar"": 36, ""reference"": 2, ""reference_cache_hit"": 7, ""reference_cache_hit:history"": 7, ""reference_phase:final"": 1, ""reference_phase:initial"": 1, ""repair_delta"": 62480}",3,baselines/e2_alns/homberger_g1a_true_swapstar_20260718/solutions/C1_2_1__seed3__budget400__candidate_true_swapstar.json,8a3808b764b35246b138977a8af25c7a45a04770fc6a1bc071a2826ef3eda01c,OK,"{""accepted"": 10, ""attempts"": 10, ""best_improved"": 2, ""rejected"": 0}",4,10,36
999039.2475336108,baseline,"{""carbon_profile.csv"": ""b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd"", ""distance_matrix.npy"": ""da8967e9253e3312b58766c82bc05dced6ca3f7887c9363717f38f81c84512f0"", ""instance.json"": ""850b05bb8928a31f65151716e25a331a69ba623eacd129d7b962a41c9d9f50bc""}",400,C1,4101.247533610777,19.248377291020006,400,400,[],C,True,4254.77588313951,21,9f8d36af3c194845a76a14d37146b8188e052d73f37d462390a418350700aa68,C1_2_1,999039.2475336108,0,17.290145000000003,21,"{""candidate"": 400, ""candidate_channel:destroy_repair"": 400, ""reference"": 2, ""reference_cache_hit"": 5, ""reference_cache_hit:history"": 5, ""reference_phase:final"": 1, ""reference_phase:initial"": 1, ""repair_delta"": 64979}",3,baselines/e2_alns/homberger_g1a_true_swapstar_20260718/solutions/C1_2_1__seed3__budget400__baseline.json,9ea4a7d6c2cd30ac7775fede66efbedf58911e5239fa8b365fc57949547016a7,OK,"{""accepted"": 0, ""attempts"": 0, ""best_improved"": 0, ""rejected"": 0}",5,0,0
279720.36698037403,baseline,"{""carbon_profile.csv"": ""b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd"", ""distance_matrix.npy"": ""7e483ea8a1eb37a041533d07a9e60f0adbdc893813b6df2c8445a9db7f0d43fa"", ""instance.json"": ""b1bd1de1274e45938cc0f2eb2381eaa59a019f247aa99eaa84354b622df1dcd2""}",400,C2,2544.3669803740313,79.15938324999297,400,400,[],C,True,2867.8475827877205,6,6dba84cb68946c320b53d7cfb35dee6c8843295528c0a2972d655ac01b9ec563,C2_2_8,279720.36698037403,0,71.454146,6,"{""candidate"": 400, ""candidate_channel:destroy_repair"": 400, ""reference"": 2, ""reference_cache_hit"": 15, ""reference_cache_hit:history"": 15, ""reference_phase:final"": 1, ""reference_phase:initial"": 1, ""repair_delta"": 197311}",1,baselines/e2_alns/homberger_g1a_true_swapstar_20260718/solutions/C2_2_8__seed1__budget400__baseline.json,6158796831eb536249442606503c3b265458898599020a07cb758362b63a4641,OK,"{""accepted"": 0, ""attempts"": 0, ""best_improved"": 0, ""rejected"": 0}",6,0,0
279720.36698037403,candidate_true_swapstar,"{""carbon_profile.csv"": ""b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd"", ""distance_matrix.npy"": ""7e483ea8a1eb37a041533d07a9e60f0adbdc893813b6df2c8445a9db7f0d43fa"", ""instance.json"": ""b1bd1de1274e45938cc0f2eb2381eaa59a019f247aa99eaa84354b622df1dcd2""}",400,C2,2544.3669803740313,78.55989666696405,400,400,[],C,True,2867.8475827877205,6,6dba84cb68946c320b53d7cfb35dee6c8843295528c0a2972d655ac01b9ec563,C2_2_8,279720.36698037403,0,70.940225,6,"{""candidate"": 400, ""candidate_channel:destroy_repair"": 400, ""reference"": 2, ""reference_cache_hit"": 15, ""reference_cache_hit:history"": 15, ""reference_phase:final"": 1, ""reference_phase:initial"": 1, ""repair_delta"": 197311}",1,baselines/e2_alns/homberger_g1a_true_swapstar_20260718/solutions/C2_2_8__seed1__budget400__candidate_true_swapstar.json,6158796831eb536249442606503c3b265458898599020a07cb758362b63a4641,OK,"{""accepted"": 0, ""attempts"": 0, ""best_improved"": 0, ""rejected"": 0}",7,0,0
279610.7274003853,candidate_true_swapstar,"{""carbon_profile.csv"": ""b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd"", ""distance_matrix.npy"": ""7e483ea8a1eb37a041533d07a9e60f0adbdc893813b6df2c8445a9db7f0d43fa"", ""instance.json"": ""b1bd1de1274e45938cc0f2eb2381eaa59a019f247aa99eaa84354b622df1dcd2""}",400,C2,2434.7274003853054,53.105338166991714,400,400,[],C,True,2867.8475827877205,6,6dba84cb68946c320b53d7cfb35dee6c8843295528c0a2972d655ac01b9ec563,C2_2_8,279610.7274003853,0,47.752165,6,"{""candidate"": 400, ""candidate_channel:destroy_repair"": 363, ""candidate_channel:true_swapstar"": 37, ""reference"": 2, ""reference_cache_hit"": 20, ""reference_cache_hit:history"": 20, ""reference_phase:final"": 1, ""reference_phase:initial"": 1, ""repair_delta"": 92591}",2,baselines/e2_alns/homberger_g1a_true_swapstar_20260718/solutions/C2_2_8__seed2__budget400__candidate_true_swapstar.json,a5b03da6c82d0fe1d4313bad776bd57bcf8087016f3facfefde239e3f63855cf,OK,"{""accepted"": 17, ""attempts"": 64, ""best_improved"": 0, ""rejected"": 47}",8,64,37
279610.06012712995,baseline,"{""carbon_profile.csv"": ""b900a2f2f5f6dac70be1d8372d04de9441d2e79a52cd5c3a79b791552ac833bd"", ""distance_matrix.npy"": ""7e483ea8a1eb37a041533d07a9e60f0adbdc893813b6df2c8445a9db7f0d43fa"", ""instance.json"": ""b1bd1de1274e45938cc0f2eb2381eaa59a019f247aa99eaa84354b622df1dcd2""}",400,C2,2434.0601271299647,40.903806125046685,400,400,[],C,True,2867.8475827877205,6,6dba84cb68946c320b53d7cfb35dee6c8843295528c0a2972d655ac01b9ec563,C2_2_8,279610.06012712995,0,37.015207000000004,6,"{""candidate"": 400, ""candidate_channel:destroy_repair"": 400, ""reference"": 2, ""reference_cache_hit"": 22, ""reference_cache_hit:history"": 22, ""reference_phase:final"": 1, ""reference_phase:initial"": 1, ""repair_delta"": 96302}",2,baselines/e2_alns/homberger_g1a_true_swapstar_20260718/solutions/C2_2_8__seed2__budget400__baseline.json,59cf80e4eb0769b9d31936fdbbd0005e34478ccda495a5004218dae58cef5ad3,OK,"{""accepted"": 0, ""attempts"": 0, ""best_improved"": 0, ""rejected"": 0}",9,0,0
