profile,destroy_id,repair_id,revert_reason,attempts,accepted_count,accepted_worse_count,best_improved_count,hard_violation_count,route_count_drop_count,local_search_improve_count
A0_TRACE,random_customer_removal,greedy_insert_repair,candidate_usable,45455,12966,595,1076,0,117,0
A0_TRACE,random_customer_removal,greedy_insert_repair,unchanged,62198,0,0,0,0,0,UNKNOWN
A0_TRACE,random_customer_removal,regret2_insert_repair,candidate_usable,29593,10089,155,697,0,71,0
A0_TRACE,random_customer_removal,regret2_insert_repair,unchanged,20624,0,0,0,0,0,UNKNOWN
A0_TRACE,random_customer_removal,regret3_insert_repair,candidate_usable,586,129,1,19,0,0,0
A0_TRACE,random_customer_removal,regret3_insert_repair,unchanged,1795,0,0,0,0,0,UNKNOWN
A0_TRACE,route_segment_removal,greedy_insert_repair,candidate_usable,95,24,1,0,0,0,0
A0_TRACE,route_segment_removal,greedy_insert_repair,unchanged,603,0,0,0,0,0,UNKNOWN
A0_TRACE,route_segment_removal,regret2_insert_repair,candidate_usable,1295,739,6,78,0,3,0
A0_TRACE,route_segment_removal,regret2_insert_repair,unchanged,3231,0,0,0,0,0,UNKNOWN
A0_TRACE,route_segment_removal,regret3_insert_repair,candidate_usable,1345,589,0,31,0,0,0
A0_TRACE,route_segment_removal,regret3_insert_repair,unchanged,2312,0,0,0,0,0,UNKNOWN
A0_TRACE,shaw_related_removal,greedy_insert_repair,candidate_usable,286,13,6,2,0,0,0
A0_TRACE,shaw_related_removal,greedy_insert_repair,unchanged,729,0,0,0,0,0,UNKNOWN
A0_TRACE,shaw_related_removal,regret2_insert_repair,candidate_usable,371,67,26,27,0,11,0
A0_TRACE,shaw_related_removal,regret2_insert_repair,unchanged,2026,0,0,0,0,0,UNKNOWN
A0_TRACE,shaw_related_removal,regret3_insert_repair,candidate_usable,874,67,4,27,0,3,0
A0_TRACE,shaw_related_removal,regret3_insert_repair,unchanged,1403,0,0,0,0,0,UNKNOWN
A0_TRACE,vehicle_type_swap,greedy_insert_repair,candidate_usable,3875,107,0,107,0,0,0
A0_TRACE,vehicle_type_swap,greedy_insert_repair,unchanged,397,0,0,0,0,0,UNKNOWN
A0_TRACE,vehicle_type_swap,regret2_insert_repair,candidate_usable,165,0,0,0,0,0,0
A0_TRACE,vehicle_type_swap,regret2_insert_repair,unchanged,393,0,0,0,0,0,UNKNOWN
A0_TRACE,vehicle_type_swap,regret3_insert_repair,candidate_usable,165,0,0,0,0,0,0
A0_TRACE,vehicle_type_swap,regret3_insert_repair,unchanged,393,0,0,0,0,0,UNKNOWN
A0_TRACE,whole_route_removal,greedy_insert_repair,candidate_usable,450,28,0,8,0,1,0
A0_TRACE,whole_route_removal,greedy_insert_repair,unchanged,1646,0,0,0,0,0,UNKNOWN
A0_TRACE,whole_route_removal,regret2_insert_repair,candidate_usable,363,89,4,8,0,4,0
A0_TRACE,whole_route_removal,regret2_insert_repair,unchanged,1185,0,0,0,0,0,UNKNOWN
A0_TRACE,whole_route_removal,regret3_insert_repair,candidate_usable,2408,1857,1,8,0,2,0
A0_TRACE,whole_route_removal,regret3_insert_repair,unchanged,2805,0,0,0,0,0,UNKNOWN
A0_TRACE,worst_customer_removal,greedy_insert_repair,candidate_usable,84,0,0,0,0,0,0
A0_TRACE,worst_customer_removal,greedy_insert_repair,unchanged,477,0,0,0,0,0,UNKNOWN
A0_TRACE,worst_customer_removal,regret2_insert_repair,candidate_usable,114,3,0,1,0,0,0
A0_TRACE,worst_customer_removal,regret2_insert_repair,unchanged,489,0,0,0,0,0,UNKNOWN
A0_TRACE,worst_customer_removal,regret3_insert_repair,candidate_usable,227,6,0,6,0,0,0
A0_TRACE,worst_customer_removal,regret3_insert_repair,unchanged,754,0,0,0,0,0,UNKNOWN
