all_cv_cost,all_ev_cost,battery_kwh,best_E_total,best_cost,best_ev_routes,best_mask,best_mixed_cost,composition,feasible_assignment_count,mixed_gap_pct,route_count,source_profile,source_seed,source_solution_path,source_start
1335.9771655744785,N/A,80.0,503.8789245490938,1297.229570554624,2,1000010,1297.229570554624,MIXED,4,0.0,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY
1335.9771655744785,1124.8470945585916,280.0,109.84678457284214,1124.8470945585916,7,1111111,1143.143459762554,ALL_EV,128,1.6265646497617605,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,CV_ONLY
1348.597512970941,N/A,80.0,560.926082306162,1330.0282331609194,1,0000010,1330.0282331609194,MIXED,8,0.0,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__SHARED_ONE_EV__seed2.json,SHARED_ONE_EV
1348.597512970941,1133.7113523331486,280.0,106.58789909632384,1133.7113523331486,7,1111111,1152.2806321431704,ALL_EV,128,1.6379195437892218,7,BALANCED_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__SHARED_ONE_EV__seed2.json,SHARED_ONE_EV
1323.2164556393316,N/A,80.0,453.53886123620657,1274.15636901853,3,1101000,1274.15636901853,MIXED,24,0.0,7,DEFAULT_ALPHA_UCB,4,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/DEFAULT_ALPHA_UCB__CV_ONLY__seed4.json,CV_ONLY
1323.2164556393316,1115.8317691417785,280.0,110.6601641975558,1115.8317691417785,7,1111111,1130.8192424313893,ALL_EV,128,1.3431660313039933,7,DEFAULT_ALPHA_UCB,4,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/DEFAULT_ALPHA_UCB__CV_ONLY__seed4.json,CV_ONLY
1366.531565514957,N/A,80.0,454.3793948567005,1326.1448415205703,3,00010110,1326.1448415205703,MIXED,32,0.0,8,DEFAULT_ALPHA_UCB,4,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/DEFAULT_ALPHA_UCB__SHARED_ONE_EV__seed4.json,SHARED_ONE_EV
1366.531565514957,N/A,280.0,170.8087464756322,1200.2864839270112,7,11110111,1200.2864839270112,MIXED,128,0.0,8,DEFAULT_ALPHA_UCB,4,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/DEFAULT_ALPHA_UCB__SHARED_ONE_EV__seed4.json,SHARED_ONE_EV
1372.3182658309267,N/A,80.0,464.85453975272077,1334.0513914242906,3,11010000,1334.0513914242906,MIXED,16,0.0,8,MINIMUM_COVERAGE,5,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/MINIMUM_COVERAGE__CV_ONLY__seed5.json,CV_ONLY
1372.3182658309267,1172.7228812008877,280.0,93.99073189331145,1172.7228812008877,8,11111111,1180.703056213851,ALL_EV,256,0.6804825880766768,8,MINIMUM_COVERAGE,5,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/MINIMUM_COVERAGE__CV_ONLY__seed5.json,CV_ONLY
1432.3444316694386,N/A,80.0,442.6176462258549,1366.253760315196,4,00010111,1366.253760315196,MIXED,32,0.0,8,MINIMUM_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/MINIMUM_COVERAGE__SHARED_ONE_EV__seed2.json,SHARED_ONE_EV
1432.3444316694386,1216.414238229307,280.0,96.45511056919752,1216.414238229307,8,11111111,1229.8562272745696,ALL_EV,256,1.1050502882003062,8,MINIMUM_COVERAGE,2,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/MINIMUM_COVERAGE__SHARED_ONE_EV__seed2.json,SHARED_ONE_EV
