accepted_count,accepted_worse_count,actual_evaluations,best_charging_actions,best_cost,best_ev_routes,best_routes,best_solution_path,best_update_count,cost_improvement,dominant_destroy,dominant_pair_count,dominant_pair_share,dominant_repair,eval_budget,feasible,initial_charging_actions,initial_cost,initial_ev_routes,initial_routes,profile,route_drop_candidate_rows,run_id,seed,selected_pair_count,start,trace_rows,vehicle_type_swap_attempts,vehicle_type_swap_best_updates,violation_count,whole_route_attempts
63,17,400,8,1190.2974444899996,8,8,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/DEFAULT_ALPHA_UCB__CV_ONLY__seed1.json,25,540.0932736849516,random_customer_removal,350,0.8997429305912596,greedy_insert_repair,400,True,0,1730.3907181749512,0,8,DEFAULT_ALPHA_UCB,0,DEFAULT_ALPHA_UCB__CV_ONLY__seed1,1,16,CV_ONLY,389,25,7,0,3
86,15,400,6,1318.8043658048873,6,8,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed1.json,30,411.5863523700639,random_customer_removal,97,0.24871794871794872,greedy_insert_repair,400,True,0,1730.3907181749512,0,8,BALANCED_COVERAGE,0,BALANCED_COVERAGE__CV_ONLY__seed1,1,18,CV_ONLY,390,51,2,0,35
102,17,400,7,1262.1926981143624,7,8,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/MINIMUM_COVERAGE__CV_ONLY__seed1.json,23,468.19802006058876,vehicle_type_swap,138,0.35475578406169667,greedy_insert_repair,400,True,0,1730.3907181749512,0,8,MINIMUM_COVERAGE,0,MINIMUM_COVERAGE__CV_ONLY__seed1,1,16,CV_ONLY,389,138,7,0,10
59,17,400,1,1334.822453989313,1,8,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/DEFAULT_ALPHA_UCB__CV_ONLY__seed2.json,21,395.5682641856381,random_customer_removal,385,0.9897172236503856,regret2_insert_repair,400,True,0,1730.3907181749512,0,8,DEFAULT_ALPHA_UCB,1,DEFAULT_ALPHA_UCB__CV_ONLY__seed2,2,4,CV_ONLY,389,0,0,0,0
50,12,400,7,1124.8470945585916,7,7,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed2.json,26,605.5436236163596,random_customer_removal,75,0.19329896907216496,regret2_insert_repair,400,True,0,1730.3907181749512,0,8,BALANCED_COVERAGE,2,BALANCED_COVERAGE__CV_ONLY__seed2,2,18,CV_ONLY,388,86,6,0,33
45,16,400,8,1291.4034784006415,8,8,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/MINIMUM_COVERAGE__CV_ONLY__seed2.json,17,438.9872397743097,vehicle_type_swap,213,0.5503875968992248,greedy_insert_repair,400,True,0,1730.3907181749512,0,8,MINIMUM_COVERAGE,1,MINIMUM_COVERAGE__CV_ONLY__seed2,2,16,CV_ONLY,387,213,8,0,20
70,21,400,1,1272.1614629212127,1,7,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/DEFAULT_ALPHA_UCB__CV_ONLY__seed3.json,33,458.22925525373853,random_customer_removal,387,0.9948586118251928,regret3_insert_repair,400,True,0,1730.3907181749512,0,8,DEFAULT_ALPHA_UCB,1,DEFAULT_ALPHA_UCB__CV_ONLY__seed3,3,3,CV_ONLY,389,0,0,0,0
63,10,400,5,1245.2920036864946,5,7,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed3.json,27,485.0987144884566,random_customer_removal,75,0.1937984496124031,regret2_insert_repair,400,True,0,1730.3907181749512,0,8,BALANCED_COVERAGE,2,BALANCED_COVERAGE__CV_ONLY__seed3,3,18,CV_ONLY,387,58,4,0,32
69,14,400,7,1305.0683970733062,7,8,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/MINIMUM_COVERAGE__CV_ONLY__seed3.json,16,425.322321101645,vehicle_type_swap,163,0.4190231362467866,greedy_insert_repair,400,True,0,1730.3907181749512,0,8,MINIMUM_COVERAGE,0,MINIMUM_COVERAGE__CV_ONLY__seed3,3,16,CV_ONLY,389,163,6,0,10
50,10,400,7,1115.8317691417785,7,7,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/DEFAULT_ALPHA_UCB__CV_ONLY__seed4.json,27,614.5589490331727,random_customer_removal,327,0.8427835051546392,regret2_insert_repair,400,True,0,1730.3907181749512,0,8,DEFAULT_ALPHA_UCB,2,DEFAULT_ALPHA_UCB__CV_ONLY__seed4,4,16,CV_ONLY,388,33,6,0,16
80,17,400,6,1274.2327573571758,6,8,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed4.json,18,456.15796081777535,random_customer_removal,65,0.16839378238341968,regret3_insert_repair,400,True,0,1730.3907181749512,0,8,BALANCED_COVERAGE,1,BALANCED_COVERAGE__CV_ONLY__seed4,4,18,CV_ONLY,386,81,5,0,33
73,19,400,8,1264.650629905057,8,8,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/MINIMUM_COVERAGE__CV_ONLY__seed4.json,15,465.74008826989416,vehicle_type_swap,210,0.5440414507772021,greedy_insert_repair,400,True,0,1730.3907181749512,0,8,MINIMUM_COVERAGE,1,MINIMUM_COVERAGE__CV_ONLY__seed4,4,16,CV_ONLY,386,210,7,0,33
76,24,400,1,1377.7716780150404,1,8,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/DEFAULT_ALPHA_UCB__CV_ONLY__seed5.json,31,352.6190401599108,random_customer_removal,386,0.9922879177377892,regret3_insert_repair,400,True,0,1730.3907181749512,0,8,DEFAULT_ALPHA_UCB,1,DEFAULT_ALPHA_UCB__CV_ONLY__seed5,5,3,CV_ONLY,389,0,0,0,0
59,15,400,6,1173.2535002441603,6,7,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__CV_ONLY__seed5.json,30,557.1372179307909,random_customer_removal,58,0.1483375959079284,regret3_insert_repair,400,True,0,1730.3907181749512,0,8,BALANCED_COVERAGE,2,BALANCED_COVERAGE__CV_ONLY__seed5,5,18,CV_ONLY,391,77,5,0,33
54,14,400,8,1172.7228812008877,8,8,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/MINIMUM_COVERAGE__CV_ONLY__seed5.json,21,557.6678369740634,vehicle_type_swap,132,0.34108527131782945,greedy_insert_repair,400,True,0,1730.3907181749512,0,8,MINIMUM_COVERAGE,1,MINIMUM_COVERAGE__CV_ONLY__seed5,5,16,CV_ONLY,387,132,8,0,10
65,24,400,1,1373.4648580020153,1,8,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/DEFAULT_ALPHA_UCB__SHARED_ONE_EV__seed1.json,21,438.37261871734904,random_customer_removal,389,1.0,greedy_insert_repair,400,True,1,1811.8374767193643,1,9,DEFAULT_ALPHA_UCB,2,DEFAULT_ALPHA_UCB__SHARED_ONE_EV__seed1,1,1,SHARED_ONE_EV,389,0,0,0,0
91,12,400,8,1187.2425592844786,8,8,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__SHARED_ONE_EV__seed1.json,30,624.5949174348857,random_customer_removal,96,0.24615384615384617,regret2_insert_repair,400,True,1,1811.8374767193643,1,9,BALANCED_COVERAGE,1,BALANCED_COVERAGE__SHARED_ONE_EV__seed1,1,18,SHARED_ONE_EV,390,74,7,0,33
79,13,400,7,1316.4441128512776,7,8,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/MINIMUM_COVERAGE__SHARED_ONE_EV__seed1.json,20,495.3933638680867,vehicle_type_swap,121,0.31266149870801035,greedy_insert_repair,400,True,1,1811.8374767193643,1,9,MINIMUM_COVERAGE,1,MINIMUM_COVERAGE__SHARED_ONE_EV__seed1,1,16,SHARED_ONE_EV,387,121,6,0,10
76,27,400,1,1358.241961455138,1,8,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/DEFAULT_ALPHA_UCB__SHARED_ONE_EV__seed2.json,31,453.5955152642264,random_customer_removal,388,1.0,greedy_insert_repair,400,True,1,1811.8374767193643,1,9,DEFAULT_ALPHA_UCB,1,DEFAULT_ALPHA_UCB__SHARED_ONE_EV__seed2,2,1,SHARED_ONE_EV,388,0,0,0,0
71,9,400,7,1133.7113523331486,7,7,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__SHARED_ONE_EV__seed2.json,33,678.1261243862157,random_customer_removal,66,0.17010309278350516,regret2_insert_repair,400,True,1,1811.8374767193643,1,9,BALANCED_COVERAGE,2,BALANCED_COVERAGE__SHARED_ONE_EV__seed2,2,18,SHARED_ONE_EV,388,74,6,0,34
100,11,400,8,1216.414238229307,8,8,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/MINIMUM_COVERAGE__SHARED_ONE_EV__seed2.json,27,595.4232384900572,route_segment_removal,114,0.2923076923076923,regret3_insert_repair,400,True,1,1811.8374767193643,1,9,MINIMUM_COVERAGE,1,MINIMUM_COVERAGE__SHARED_ONE_EV__seed2,2,16,SHARED_ONE_EV,390,110,8,0,10
72,17,400,1,1345.2160907792017,1,8,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/DEFAULT_ALPHA_UCB__SHARED_ONE_EV__seed3.json,33,466.62138594016255,random_customer_removal,391,1.0,greedy_insert_repair,400,True,1,1811.8374767193643,1,9,DEFAULT_ALPHA_UCB,2,DEFAULT_ALPHA_UCB__SHARED_ONE_EV__seed3,3,1,SHARED_ONE_EV,391,0,0,0,0
117,12,400,6,1148.99720621653,6,7,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__SHARED_ONE_EV__seed3.json,32,662.8402705028343,random_customer_removal,74,0.19023136246786632,regret2_insert_repair,400,True,1,1811.8374767193643,1,9,BALANCED_COVERAGE,2,BALANCED_COVERAGE__SHARED_ONE_EV__seed3,3,18,SHARED_ONE_EV,389,61,5,0,33
66,23,400,8,1259.7439831344493,8,8,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/MINIMUM_COVERAGE__SHARED_ONE_EV__seed3.json,15,552.093493584915,vehicle_type_swap,237,0.6124031007751938,greedy_insert_repair,400,True,1,1811.8374767193643,1,9,MINIMUM_COVERAGE,2,MINIMUM_COVERAGE__SHARED_ONE_EV__seed3,3,16,SHARED_ONE_EV,387,237,7,0,10
63,18,400,1,1343.039541507247,1,8,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/DEFAULT_ALPHA_UCB__SHARED_ONE_EV__seed4.json,24,468.7979352121174,random_customer_removal,386,0.9974160206718347,regret2_insert_repair,400,True,1,1811.8374767193643,1,9,DEFAULT_ALPHA_UCB,1,DEFAULT_ALPHA_UCB__SHARED_ONE_EV__seed4,4,2,SHARED_ONE_EV,387,0,0,0,0
67,14,400,6,1189.9707289378368,6,7,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/BALANCED_COVERAGE__SHARED_ONE_EV__seed4.json,24,621.8667477815275,random_customer_removal,80,0.20618556701030927,regret2_insert_repair,400,True,1,1811.8374767193643,1,9,BALANCED_COVERAGE,2,BALANCED_COVERAGE__SHARED_ONE_EV__seed4,4,18,SHARED_ONE_EV,388,71,5,0,32
100,15,400,7,1241.5386968317139,7,8,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/MINIMUM_COVERAGE__SHARED_ONE_EV__seed4.json,19,570.2987798876504,vehicle_type_swap,158,0.40932642487046633,greedy_insert_repair,400,True,1,1811.8374767193643,1,9,MINIMUM_COVERAGE,1,MINIMUM_COVERAGE__SHARED_ONE_EV__seed4,4,16,SHARED_ONE_EV,386,158,7,0,10
79,32,400,1,1347.2496524571625,1,7,baselines/e2_alns/m1_scheduler_realization_20260710/solutions/DEFAULT_ALPHA_UCB__SHARED_ONE_EV__seed5.json,20,464.5878242622018,shaw_related_removal,383,0.9845758354755784,greedy_insert_repair,400,True,1,1811.8374767193643,1,9,DEFAULT_ALPHA_UCB,2,DEFAULT_ALPHA_UCB__SHARED_ONE_EV__seed5,5,7,SHARED_ONE_EV,389,0,0,0,0
